Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
0,"[0, 3]",103.39999999999627,"[-999, 10]","[0, 0]","[2.799999999999998, 0]",1,26
1,"[0, 1]",81.09999999999754,"[0, 14]","[3.1999999999999966, 0]","[3.1999999999999966, 0]",1,26
2,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,26
3,"[0, 3]",108.94999999999595,"[1, 0]","[0, 0]","[0, 0]",1,26
4,"[2, 1]",36.650000000000055,"[2, -999]","[0, 0]","[0, 0]",1,26
5,"[0, 1]",80.29999999999758,"[3, 16]","[0, 0]","[0, 0]",1,26
6,"[0, 1]",82.74999999999744,"[5, 5]","[0, 0]","[0, 0]",1,26
7,"[2, 3]",68.34999999999826,"[4, 2]","[0, 0]","[0, 0]",1,26
8,"[2, 1]",39.649999999999885,"[7, 4]","[0, 0]","[0, 0]",1,26
9,"[2, 1]",42.8499999999997,"[8, 8]","[0, 0]","[0, 0]",1,26
10,"[2, 3]",72.949999999998,"[9, 7]","[0, 0]","[0, 0]",1,26
11,"[0, 1]",76.04999999999782,"[6, 6]","[0, 0]","[0, 0]",1,26
12,"[2, 1]",42.69999999999971,"[10, 9]","[0, 0]","[0, 0]",1,26
13,"[0, 1]",82.39999999999746,"[11, 22]","[2.8999999999999977, 0]","[2.8999999999999977, 0]",1,26
14,"[2, 1]",43.499999999999666,"[12, 12]","[0, 0]","[0, 0]",1,26
15,"[0, 3]",112.79999999999573,"[13, 25]","[0, 0]","[0, 0]",1,26
16,"[2, 1]",50.199999999999285,"[14, 1]","[1.900000000000001, 0]","[1.900000000000001, 0]",1,26
17,"[2, 3]",82.89999999999743,"[16, 3]","[3.349999999999996, 0]","[3.349999999999996, 0]",1,26
18,"[2, 3]",86.79999999999721,"[17, 17]","[5.649999999999988, 0]","[2.3499999999999996, 0]",1,26
19,"[0, 3]",114.34999999999565,"[15, 26]","[1.900000000000001, 0]","[1.900000000000001, 0]",1,26
20,"[0, 1]",87.0999999999972,"[19, 27]","[0, 0]","[0, 0]",1,26
21,"[0, 3]",119.39999999999536,"[20, 19]","[0, 0]","[0, 0]",1,26
22,"[2, 1]",55.299999999998995,"[18, 11]","[5.04999999999999, 0]","[0.05, 0]",1,26
23,"[0, 1]",90.29999999999701,"[21, 29]","[0, 0]","[0, 0]",1,26
24,"[0, 1]",92.94999999999686,"[23, 23]","[0, 0]","[0, 0]",1,26
25,"[2, 3]",82.69999999999744,"[22, 18]","[0, 0]","[0, 0]",1,26
26,"[2, 3]",92.49999999999689,"[25, 15]","[0, 0]","[0, 0]",1,26
27,"[2, 1]",63.49999999999853,"[26, 13]","[3.4999999999999956, 0]","[0, 0]",1,26
28,"[0, 3]",121.04999999999526,"[24, 35]","[0, 0]","[0, 0]",1,26
29,"[2, 1]",71.74999999999807,"[27, 20]","[5.4999999999999885, 0]","[3.2999999999999963, 0]",1,26
30,"[0, 3]",126.59999999999495,"[28, 36]","[2.5999999999999988, 0]","[2.5999999999999988, 0]",1,26
31,"[0, 3]",134.09999999999624,"[30, 37]","[2.1000000000000005, 0]","[2.1000000000000005, 0]",1,26
32,"[0, 3]",136.4999999999968,"[31, 31]","[0, 0]","[0, 0]",1,26
33,"[2, 3]",97.6499999999966,"[29, 21]","[0, 0]","[0, 0]",1,26
34,"[0, 1]",107.64999999999603,"[32, 45]","[0, 0]","[0, 0]",1,26
35,"[2, 3]",98.94999999999652,"[33, 33]","[0, 0]","[0, 0]",1,26
36,"[2, 3]",107.49999999999604,"[35, 28]","[0.7000000000000001, 0]","[0, 0]",1,26
37,"[2, 3]",114.94999999999561,"[36, 30]","[0, 0]","[0, 0]",1,26
38,"[0, 1]",102.24999999999633,"[34, 34]","[0, 0]","[0, 0]",1,26
39,"[0, 3]",134.7499999999964,"[38, 47]","[0.65, 0]","[0, 0]",1,26
40,"[0, 1]",107.94999999999601,"[39, 48]","[1.0000000000000002, 0]","[0, 0]",1,26
41,"[0, 3]",142.2999999999981,"[40, 51]","[1.2500000000000004, 0]","[0, 0]",1,26
42,"[2, 1]",75.44999999999786,"[37, -999]","[0, 0]","[0, 0]",1,26
43,"[0, 3]",142.99999999999827,"[41, 41]","[1.5000000000000007, 0]","[0, 0]",1,26
44,"[0, 1]",116.49999999999552,"[43, 53]","[1.7000000000000008, 0]","[0, 0]",1,26
45,"[2, 1]",74.54999999999791,"[42, 42]","[0, 0]","[0, 0]",1,26
46,"[0, 1]",116.44999999999553,"[44, 44]","[1.850000000000001, 0]","[0, 0]",1,26
47,"[2, 3]",106.89999999999607,"[45, 32]","[1.4500000000000006, 0]","[0, 0]",1,26
48,"[2, 1]",83.79999999999738,"[47, 38]","[1.2000000000000004, 0]","[0, 0]",1,26
49,"[0, 3]",144.29999999999856,"[46, 54]","[1.950000000000001, 0]","[0, 0]",1,26
