Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-4.366480036395816, -4.217106636928948, -4.175635251022869, -3.8440317168034626]","[0.19772501994257383, 0.22957979890985186, 0.23930097340839254, 0.3333942077391818]","[0, 1, 2, 3, 3, 0, 2, 2, 1, 3, 1, 0, 0, 3, 3, 0, 1, 3, 2, 1, 3, 3, 1, 0, 0, 1, 1, 2, 1, 3, 0, 3, 2, 3, 0, 2, 3, 3, 2, 2, 0, 1, 2, 2]",4.460170620984805,0.8839204996587979
1,"[-2.778581512412696, -2.7314601974023054, -2.712756187869111, -2.601629920173061]","[0.23202595704500323, 0.24322101682711236, 0.2478130357555596, 0.2769399903723248]","[2, 1, 0, 3, 2, 3, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 3, 3, 3, 1, 3, 0, 1, 0, 1, 1, 1, 2, 2, 3, 2, 0, 2, 0, 3, 1, 3, 3, 3, 1, 3, 0, 3, 2]",4.585910176947327,0.6946932261931835
2,"[-8.393150104730786, -7.964082049358747, -7.739829832829239, -6.839888296073913]","[0.10887790128967598, 0.16721746285101163, 0.20925369230021149, 0.514650943559101]","[3, 2, 1, 0, 3, 1, 2, 2, 3, 0, 0, 3, 3, 1, 1, 2, 2, 3, 0, 1, 0, 0, 1, 1, 3, 2, 1, 3, 3, 3, 1, 3, 0, 2, 0, 3, 2, 3, 1, 1, 3, 3, 3, 0]",5.475225478511892,1.0850414408981546
3,"[-2.587496438290995, -2.557600718755186, -2.539757397006454, -2.458626740431883]","[0.23714744589146747, 0.24434417918133533, 0.24874322103266025, 0.269765153894537]","[0, 3, 2, 1, 3, 0, 1, 2, 2, 3, 2, 2, 2, 1, 0, 3, 3, 0, 0, 1, 0, 2, 1, 1, 2, 0, 2, 3, 2, 0, 3, 2, 2, 2, 1, 3, 3, 1, 1, 2, 2, 1, 2, 3]",5.111081126421373,0.6586139546833374
4,"[-2.634001575233586, -2.595090384520606, -2.5832339444013055, -2.4956641663406205]","[0.23584240998850753, 0.24520019967707227, 0.24812470400771, 0.2708326863267103]","[0, 1, 3, 2, 2, 3, 1, 0, 1, 1, 2, 0, 2, 2, 1, 1, 3, 1, 0, 1, 1, 2, 0, 0, 2, 2, 1, 3, 1, 0, 3, 0, 3, 0, 1, 0, 0, 1, 3, 1, 2, 2, 2, 0]",4.762681367146358,0.6678437051268955
5,"[-6.614162245660786, -6.294179304627566, -6.167525090640263, -5.595124757113001]","[0.1490162363567063, 0.20521089570795767, 0.23291938902773113, 0.412853478907605]","[2, 0, 3, 1, 1, 3, 2, 1, 0, 2, 3, 1, 3, 2, 3, 1, 2, 0, 0, 1, 0, 1, 3, 3, 3, 3, 3, 3, 0, 3, 2, 1, 3, 3, 3, 2, 0, 1, 3, 3, 3, 2, 3, 2]",5.094224133563316,1.0127846188152465
6,"[-6.84828536080824, -6.460560021720805, -6.381138313771692, -5.781520358988397]","[0.14336867279851626, 0.2112716578027924, 0.22873554046477063, 0.41662412893392087]","[2, 3, 0, 1, 2, 3, 0, 3, 2, 1, 3, 3, 2, 1, 0, 1, 1, 0, 2, 0, 1, 3, 2, 3, 2, 2, 3, 2, 0, 1, 1, 0, 2, 3, 3, 2, 2, 2, 1, 1, 3, 2, 3, 3]",5.28003394293673,1.0195085120555258
7,"[-4.592025210018803, -4.46660608633887, -4.403296648082291, -4.096719425444175]","[0.20070904381705443, 0.22752848511222165, 0.24239893923541125, 0.3293635318353126]","[0, 3, 1, 2, 2, 0, 3, 1, 3, 0, 2, 2, 0, 0, 3, 3, 0, 1, 1, 2, 1, 3, 3, 1, 2, 0, 3, 1, 2, 1, 3, 1, 0, 1, 1, 3, 0, 0, 0, 1, 3, 2, 1, 2]",4.6686408804291135,0.8952609347588112
8,"[-16.251627829116742, -16.02136756261514, -15.315237564700192, -13.066606005337041]","[0.03450953245119293, 0.04344500369353115, 0.08802543908574975, 0.8340200247695262]","[0, 2, 1, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 2, 1, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3]",4.867034409757211,1.2843620629108554
9,"[-3.1636472959137665, -3.105800111213807, -3.090169549858687, -2.971868349780994]","[0.23003310597188492, 0.24373228304023187, 0.24757188483805778, 0.2786627261498254]","[3, 1, 0, 2, 1, 1, 3, 0, 2, 3, 1, 3, 2, 3, 0, 0, 3, 2, 0, 3, 0, 2, 2, 1, 0, 3, 2, 1, 3, 2, 2, 0, 2, 3, 1, 3, 0, 1, 3, 2, 2, 3, 2, 0]",5.127362620052818,0.7460828717915344
