Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.1817875881352284, -3.0590046689097647, -2.998225228507394, -2.1789224944880674]","[0.16506525937153724, 0.18662921225129986, 0.19832423991871329, 0.4499812884584495]","[1, 2, 3, 0, 0, 2, 1]",4.460170620984805,0.8839204996587979
1,"[-1.8134288824668618, -1.0415297890527986, -1.0424277974072573, -1.4116603124677585]","[0.1466218338986069, 0.3172708441273266, 0.31698606014700875, 0.21912126182705768]","[3, 0, 1, 2, 3, 0, 0]",4.585910176947327,0.6946932261931835
2,"[-7.385151413432392, -6.739769088809241, -6.072939908108887, -5.6351374088866955]","[0.08080299987422017, 0.15406836255636377, 0.3001329662564094, 0.4649956713130066]","[3, 1, 2, 0, 1, 3, 0]",5.475225478511892,1.0850414408981546
3,"[-1.4149228822761788, -0.8879639002311277, -1.3634297351498998, -1.2624792918221315]","[0.20361239312828416, 0.3448733109144066, 0.21437167335706736, 0.23714262260024194]","[0, 3, 1, 2, 0, 2, 3]",5.111081126421373,0.6586139546833374
4,"[-0.9728120690446602, -1.413932364563595, -1.3974997933154814, -1.3106311953279415]","[0.3321582035287627, 0.21368245899032726, 0.2172228201744174, 0.23693651730649265]","[2, 1, 0, 3, 2, 1, 3]",4.762681367146358,0.6678437051268955
5,"[-5.461982597560361, -5.145270681350981, -4.459987472326917, -4.381781257996543]","[0.12435351506230263, 0.17068851633011917, 0.338702981504202, 0.36625498710337606]","[1, 2, 3, 0, 0, 3, 1]",5.094224133563316,1.0127846188152465
6,"[-5.663772450433786, -4.905632500694478, -4.674768830426834, -4.757818935371842]","[0.12052335575525833, 0.25723331347190465, 0.32403358824801115, 0.29820974252482585]","[0, 3, 2, 1, 3, 0, 3]",5.28003394293673,1.0195085120555258
7,"[-3.4569591728985287, -3.289033916118518, -3.1976586120617716, -2.4293076435077428]","[0.15940403778570014, 0.1885507787627683, 0.20659134391796805, 0.4454538395335635]","[0, 1, 3, 2, 2, 1, 0]",4.6686408804291135,0.8952609347588112
8,"[-16.45517745689401, -14.319766306280922, -13.7364045793035, -12.020831770238344]","[0.009181119421922339, 0.07767708435254658, 0.13920142935110977, 0.7739403668744212]","[3, 2, 1, 0, 3, 3, 3]",4.867034409757211,1.2843620629108554
9,"[-1.503620113384, -2.15288719578346, -1.40883725172318, -1.7987922458708352]","[0.2970662853375144, 0.15519590381499876, 0.326600646008952, 0.22113716483853493]","[2, 0, 3, 1, 1, 1, 3]",5.127362620052818,0.7460828717915344
10,"[-7.183088488749387, -6.910762424973116, -6.939757973897893, -6.385764334870869]","[0.17217337776869276, 0.2260662376260385, 0.2196054427681234, 0.3821549418371455]","[3, 2, 0, 1, 3, 2, 3]",4.874854702573645,1.0991563453667006
11,"[-4.3044011226222185, -3.608757714674552, -4.001296322573606, -3.6138991518515553]","[0.1573868340050123, 0.31556039617872683, 0.2131106439077434, 0.31394212590851744]","[2, 1, 0, 3, 3, 2, 0]",4.656811773518437,0.9520184559049998
12,"[-3.6809943249467114, -2.7778100801116583, -2.739539932974129, -2.977799278885466]","[0.1242027434352882, 0.30646375777163026, 0.3184194854372299, 0.2509140133558516]","[1, 2, 0, 3, 3, 0, 0]",3.9783976047798206,0.89992122938697
13,"[-1.3870393481583634, -1.5646408373734793, -0.8409943170065703, -0.7817170565167693]","[0.18533860038805858, 0.15517956578489464, 0.31997070850763737, 0.3395111253194095]","[3, 1, 2, 0, 1, 1, 0]",4.92419433934413,0.6503035548296694
14,"[-49.741637564276246, -43.77810043254171, -37.607772040885465, -32.920428940069115]","[4.9051419247778596e-08, 1.908019665934025e-05, 0.00912688164365406, 0.9908539891082674]","[3, 0, 1, 2, 3, 3, 3]",5.17175187711471,1.505265558340087
15,"[-1.1967612778864598, -1.1780225444728727, -1.1613948346465308, -0.6204753906657434]","[0.20685381719361137, 0.2107665409813838, 0.21430040447423068, 0.36807923735077414]","[0, 3, 2, 1, 2, 1, 0]",4.793239365798673,0.6134946407785655
16,"[-3.6781466289058686, -3.4789427883158126, -2.936692758761235, -3.180763165598405]","[0.16767752087142992, 0.20463879649596134, 0.35195259255578765, 0.27573109007682106]","[2, 3, 1, 0, 1, 0, 3]",4.525715817245959,0.906964132790092
17,"[-1.3985888053033564, -0.8885421687859927, -0.8672836679915139, -1.5174196408793086]","[0.19031386343505793, 0.3169427818174191, 0.3237526373971978, 0.16899071735032514]","[0, 2, 1, 3, 3, 3, 0]",5.636268860783454,0.6493186681173158
18,"[-4.522121425054989, -4.772885641065216, -4.070392791403836, -4.532220697211105]","[0.23045813215060448, 0.1793438639478062, 0.36205561779051476, 0.22814238611107454]","[3, 1, 0, 2, 3, 3, 1]",5.2899381420525975,0.9782277058574655
19,"[-2.2703867239683033, -2.9110084549216757, -2.6502159630892876, -1.9545314699400438]","[0.27914445196263254, 0.14709927012762936, 0.19092871866529199, 0.382827559244446]","[1, 0, 3, 2, 2, 1, 1]",5.428092826984956,0.8262956822143522
20,"[-3.087386696781431, -2.4827216091021196, -3.132540509705188, -2.1896685094024804]","[0.1602439141314169, 0.29334875914620884, 0.15316921717162796, 0.39323810955074634]","[2, 0, 3, 1, 2, 2, 0]",4.351015528376843,0.8597652175947909
21,"[-7.819274700113663, -7.855151027568412, -7.630685546858767, -6.779849684945274]","[0.16666958171249105, 0.16079607904857993, 0.2012609758367911, 0.4712733634021378]","[3, 2, 1, 0, 2, 1, 3]",4.48583998607457,1.109592412446114
22,"[-15.916262560680673, -14.79881089444145, -13.822744100210183, -13.236058688842867]","[0.037371256928326976, 0.11424594580621844, 0.30320839400292626, 0.5451744032625283]","[3, 0, 2, 1, 3, 2, 3]",4.675572635287591,1.263384148254807
23,"[-3.4950501236702562, -3.864916725240355, -3.2870801509494756, -3.8019789495417973]","[0.27339542815053314, 0.18886880118400803, 0.3365979443611815, 0.2011378263042773]","[2, 3, 0, 1, 3, 1, 3]",3.974710683613344,0.9297155371228952
24,"[-3.192360303407484, -2.5626451943968265, -3.0457387800027123, -2.891433425673913]","[0.18566302960056594, 0.3485035688856432, 0.21498212502378114, 0.25085127649000977]","[1, 2, 3, 0, 0, 2, 3]",4.422606599202851,0.8703366879516085
25,"[-4.075098807076737, -3.183795630082215, -3.1787891113986797, -3.492988528282572]","[0.1302310605396217, 0.3175430623326791, 0.31913683390162373, 0.23308904322607546]","[1, 2, 0, 3, 3, 0, 0]",5.336843888952245,0.9090509610475322
26,"[-10.042083674737189, -8.841347962847928, -8.779744500151395, -8.737361154712632]","[0.0866333104624197, 0.2878444128137756, 0.30613419867283514, 0.3193880780509696]","[2, 1, 0, 3, 3, 3, 0]",5.287198903253955,1.139753801104471
27,"[-4.238141207179076, -4.666550167390583, -4.014393425620762, -4.156861111608824]","[0.2508167164783229, 0.16341835355087914, 0.3137103916490399, 0.2720545383217581]","[2, 1, 3, 0, 1, 3, 1]",5.146514201877921,0.9580379104726516
28,"[-3.434079536982493, -3.3468623078442263, -2.804188290469413, -3.163689312686791]","[0.18942924914541706, 0.2066926337205666, 0.35563568349369806, 0.24824243364031823]","[1, 3, 2, 0, 0, 1, 3]",4.836812181033403,0.8840563218705023
29,"[-2.3645748807420706, -1.8171861045091433, -2.2978471999148002, -2.2335419683954507]","[0.2025216932151412, 0.3501059363702839, 0.21649656659312477, 0.23087580382145004]","[1, 2, 0, 3, 3, 0, 2]",6.243259375673981,0.7779270500583765
30,"[-6.152635104949132, -6.101060137615879, -5.438110610738859, -5.490460829960576]","[0.16569605532656614, 0.17446603578559142, 0.33855264757687503, 0.3212852613109674]","[1, 0, 2, 3, 0, 1, 3]",5.075671453390037,1.031128220103598
31,"[-5.036057494137244, -4.878670527293599, -5.28231467440248, -5.326641282258926]","[0.2702705277930247, 0.31633772061211657, 0.21127618936960366, 0.20211556222525504]","[3, 2, 0, 1, 3, 3, 2]",4.427218785706602,1.0032677575176825
32,"[-23.73144156863958, -22.16284879960227, -22.254758889973242, -20.966174516945454]","[0.03837067819905641, 0.18417499186197578, 0.1680020628188547, 0.609452267120113]","[3, 2, 0, 1, 3, 3, 2]",5.542841445465399,1.3204445100790805
33,"[-11.444322945053639, -11.008190980570387, -11.144180789287086, -11.153431952283064]","[0.1910445071372757, 0.29549100222095154, 0.2579197727753445, 0.25554471786642824]","[1, 0, 2, 3, 3, 2, 3]",4.678979793757242,1.186801974113033
