Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,4
1,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1,4
2,"[2, 3]",67.94999999999828,"[0, 0]","[0.05, 0]","[0, 0]",1,4
3,"[0, 1]",67.44999999999831,"[1, -999]","[0.05, 0]","[0, 0]",1,4
4,"[2, 3]",67.94999999999828,"[2, 2]","[0.05, 0]","[0, 0]",1,4
5,"[2, 3]",68.24999999999827,"[4, 4]","[0.05, 0]","[0, 0]",1,4
6,"[2, 3]",68.29999999999826,"[5, 5]","[0.05, 0]","[0, 0]",1,4
7,"[2, 3]",68.24999999999827,"[6, 6]","[0.05, 0]","[0, 0]",1,4
8,"[2, 3]",68.29999999999826,"[7, 7]","[0.05, 0]","[0, 0]",1,4
9,"[2, 3]",68.29999999999826,"[8, 8]","[0.05, 0]","[0, 0]",1,4
10,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1,4
11,"[0, 1]",67.5999999999983,"[10, 10]","[0.05, 0]","[0, 0]",1,4
12,"[2, 3]",67.89999999999829,"[9, 9]","[0.05, 0]","[0, 0]",1,4
13,"[2, 3]",68.24999999999827,"[12, 12]","[0.05, 0]","[0, 0]",1,4
14,"[2, 3]",68.24999999999827,"[13, 13]","[0.05, 0]","[0, 0]",1,4
15,"[0, 1]",67.44999999999831,"[11, -999]","[0.05, 0]","[0, 0]",1,4
16,"[2, 3]",67.94999999999828,"[14, 14]","[0.05, 0]","[0, 0]",1,4
17,"[0, 1]",67.44999999999831,"[15, -999]","[0.05, 0]","[0, 0]",1,4
18,"[0, 1]",67.5999999999983,"[17, 17]","[0.05, 0]","[0, 0]",1,4
19,"[2, 3]",67.89999999999829,"[16, 16]","[0.05, 0]","[0, 0]",1,4
20,"[0, 1]",67.44999999999831,"[18, -999]","[0.05, 0]","[0, 0]",1,4
21,"[0, 1]",67.5999999999983,"[20, 20]","[0.05, 0]","[0, 0]",1,4
22,"[0, 1]",67.5999999999983,"[21, 21]","[0.05, 0]","[0, 0]",1,4
23,"[2, 3]",67.79999999999829,"[19, -999]","[0.05, 0]","[0, 0]",1,4
24,"[2, 3]",68.24999999999827,"[23, 23]","[0.05, 0]","[0, 0]",1,4
25,"[0, 1]",67.44999999999831,"[22, -999]","[0.05, 0]","[0, 0]",1,4
26,"[0, 1]",67.5999999999983,"[25, 25]","[0.05, 0]","[0, 0]",1,4
27,"[0, 1]",67.5999999999983,"[26, 26]","[0.05, 0]","[0, 0]",1,4
28,"[0, 1]",67.5999999999983,"[27, 27]","[0.05, 0]","[0, 0]",1,4
29,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,4
30,"[2, 3]",68.24999999999827,"[29, 29]","[0.05, 0]","[0, 0]",1,4
31,"[2, 3]",68.29999999999826,"[30, 30]","[0.05, 0]","[0, 0]",1,4
32,"[2, 3]",68.29999999999826,"[31, 31]","[0.05, 0]","[0, 0]",1,4
33,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1,4
34,"[2, 3]",67.94999999999828,"[32, 32]","[0.05, 0]","[0, 0]",1,4
35,"[2, 3]",68.24999999999827,"[34, 34]","[0.05, 0]","[0, 0]",1,4
36,"[0, 1]",67.44999999999831,"[33, -999]","[0.05, 0]","[0, 0]",1,4
37,"[0, 1]",67.5999999999983,"[36, 36]","[0.05, 0]","[0, 0]",1,4
38,"[0, 1]",67.5999999999983,"[37, 37]","[0.05, 0]","[0, 0]",1,4
39,"[0, 1]",67.5999999999983,"[38, 38]","[0.05, 0]","[0, 0]",1,4
40,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,4
41,"[0, 1]",67.44999999999831,"[39, -999]","[0.05, 0]","[0, 0]",1,4
42,"[0, 1]",67.5999999999983,"[41, 41]","[0.05, 0]","[0, 0]",1,4
43,"[0, 1]",67.5999999999983,"[42, 42]","[0.05, 0]","[0, 0]",1,4
44,"[0, 1]",67.5999999999983,"[43, 43]","[0.05, 0]","[0, 0]",1,4
45,"[0, 1]",67.5999999999983,"[44, 44]","[0.05, 0]","[0, 0]",1,4
46,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,4
47,"[2, 3]",68.24999999999827,"[46, 46]","[0.05, 0]","[0, 0]",1,4
48,"[0, 1]",67.44999999999831,"[45, -999]","[0.05, 0]","[0, 0]",1,4
49,"[0, 1]",67.5999999999983,"[48, 48]","[0.05, 0]","[0, 0]",1,4
50,"[0, 1]",67.5999999999983,"[49, 49]","[0.05, 0]","[0, 0]",1,4
51,"[0, 1]",67.5999999999983,"[50, 50]","[0.05, 0]","[0, 0]",1,4
52,"[0, 1]",67.5999999999983,"[51, 51]","[0.05, 0]","[0, 0]",1,4
53,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,4
54,"[0, 1]",67.44999999999831,"[52, -999]","[0.05, 0]","[0, 0]",1,4
55,"[2, 3]",67.94999999999828,"[53, 53]","[0.05, 0]","[0, 0]",1,4
56,"[0, 1]",67.44999999999831,"[54, -999]","[0.05, 0]","[0, 0]",1,4
57,"[2, 3]",67.94999999999828,"[55, 55]","[0.05, 0]","[0, 0]",1,4
58,"[2, 3]",68.24999999999827,"[57, 57]","[0.05, 0]","[0, 0]",1,4
59,"[2, 3]",68.24999999999827,"[58, 58]","[0.05, 0]","[0, 0]",1,4
60,"[2, 3]",68.29999999999826,"[59, 59]","[0.05, 0]","[0, 0]",1,4
61,"[2, 3]",68.24999999999827,"[60, 60]","[0.05, 0]","[0, 0]",1,4
62,"[2, 3]",68.29999999999826,"[61, 61]","[0.05, 0]","[0, 0]",1,4
63,"[2, 3]",68.24999999999827,"[62, 62]","[0.05, 0]","[0, 0]",1,4
64,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1,4
65,"[0, 1]",67.5999999999983,"[64, 64]","[0.05, 0]","[0, 0]",1,4
66,"[2, 3]",67.89999999999829,"[63, 63]","[0.05, 0]","[0, 0]",1,4
67,"[2, 3]",68.24999999999827,"[66, 66]","[0.05, 0]","[0, 0]",1,4
68,"[2, 3]",68.24999999999827,"[67, 67]","[0.05, 0]","[0, 0]",1,4
69,"[2, 3]",68.29999999999826,"[68, 68]","[0.05, 0]","[0, 0]",1,4
70,"[2, 3]",68.29999999999826,"[69, 69]","[0.05, 0]","[0, 0]",1,4
71,"[2, 3]",68.24999999999827,"[70, 70]","[0.05, 0]","[0, 0]",1,4
72,"[2, 3]",68.29999999999826,"[71, 71]","[0.05, 0]","[0, 0]",1,4
73,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1,4
74,"[0, 1]",67.5999999999983,"[73, 73]","[0.05, 0]","[0, 0]",1,4
75,"[0, 1]",67.5999999999983,"[74, 74]","[0.05, 0]","[0, 0]",1,4
76,"[0, 1]",67.5999999999983,"[75, 75]","[0.05, 0]","[0, 0]",1,4
77,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1,4
78,"[2, 3]",68.24999999999827,"[77, 77]","[0.05, 0]","[0, 0]",1,4
79,"[2, 3]",68.29999999999826,"[78, 78]","[0.05, 0]","[0, 0]",1,4
0,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",2,4
1,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",2,4
2,"[0, 1]",67.44999999999831,"[0, -999]","[0.05, 0]","[0, 0]",2,4
3,"[2, 3]",67.94999999999828,"[1, 1]","[0.05, 0]","[0, 0]",2,4
4,"[0, 1]",67.44999999999831,"[2, -999]","[0.05, 0]","[0, 0]",2,4
5,"[0, 1]",67.5999999999983,"[4, 4]","[0.05, 0]","[0, 0]",2,4
6,"[0, 1]",67.5999999999983,"[5, 5]","[0.05, 0]","[0, 0]",2,4
7,"[0, 1]",67.5999999999983,"[6, 6]","[0.05, 0]","[0, 0]",2,4
8,"[0, 1]",67.5999999999983,"[7, 7]","[0.05, 0]","[0, 0]",2,4
9,"[0, 1]",67.5999999999983,"[8, 8]","[0.05, 0]","[0, 0]",2,4
10,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",2,4
11,"[2, 3]",68.24999999999827,"[10, 10]","[0.05, 0]","[0, 0]",2,4
12,"[0, 1]",67.44999999999831,"[9, -999]","[0.05, 0]","[0, 0]",2,4
13,"[0, 1]",67.5999999999983,"[12, 12]","[0.05, 0]","[0, 0]",2,4
14,"[0, 1]",67.5999999999983,"[13, 13]","[0.05, 0]","[0, 0]",2,4
15,"[2, 3]",67.84999999999829,"[11, -999]","[0.05, 0]","[0, 0]",2,4
16,"[0, 1]",67.44999999999831,"[14, -999]","[0.05, 0]","[0, 0]",2,4
17,"[2, 3]",67.94999999999828,"[15, 15]","[0.05, 0]","[0, 0]",2,4
18,"[2, 3]",68.24999999999827,"[17, 17]","[0.05, 0]","[0, 0]",2,4
19,"[0, 1]",67.44999999999831,"[16, -999]","[0.05, 0]","[0, 0]",2,4
20,"[2, 3]",67.94999999999828,"[18, 18]","[0.05, 0]","[0, 0]",2,4
21,"[2, 3]",68.24999999999827,"[20, 20]","[0.05, 0]","[0, 0]",2,4
22,"[2, 3]",68.29999999999826,"[21, 21]","[0.05, 0]","[0, 0]",2,4
23,"[0, 1]",67.44999999999831,"[19, -999]","[0.05, 0]","[0, 0]",2,4
24,"[0, 1]",67.5999999999983,"[23, 23]","[0.05, 0]","[0, 0]",2,4
25,"[2, 3]",67.89999999999829,"[22, 22]","[0.05, 0]","[0, 0]",2,4
26,"[2, 3]",68.24999999999827,"[25, 25]","[0.05, 0]","[0, 0]",2,4
27,"[2, 3]",68.29999999999826,"[26, 26]","[0.05, 0]","[0, 0]",2,4
28,"[2, 3]",68.29999999999826,"[27, 27]","[0.05, 0]","[0, 0]",2,4
29,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",2,4
30,"[0, 1]",67.5999999999983,"[29, 29]","[0.05, 0]","[0, 0]",2,4
31,"[0, 1]",67.5999999999983,"[30, 30]","[0.05, 0]","[0, 0]",2,4
32,"[0, 1]",67.5999999999983,"[31, 31]","[0.05, 0]","[0, 0]",2,4
