Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 3]",96.69999999999665,"[-999, 1]","[0, 0]","[0, 0]",1
1,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 1]",37.6,"[1, -999]","[0.44999999999999996, 0]","[0, 0]",1
3,"[0, 3]",104.6499999999962,"[0, 12]","[3.149999999999997, 0]","[3.099999999999997, 0]",1
4,"[0, 3]",106.79999999999607,"[3, 3]","[0.6, 0]","[0, 0]",1
5,"[2, 1]",36.60000000000006,"[2, 2]","[0.05, 0]","[0, 0]",1
6,"[2, 1]",38.79999999999993,"[5, 5]","[0.44999999999999996, 0]","[0, 0]",1
7,"[0, 3]",103.49999999999626,"[4, 4]","[0.05, 0]","[0, 0]",1
8,"[0, 1]",73.69999999999796,"[7, 18]","[0.6, 0]","[0, 0]",1
9,"[2, 1]",36.70000000000005,"[6, 6]","[0.05, 0]","[0, 0]",1
10,"[0, 1]",78.2999999999977,"[8, 21]","[2.8999999999999977, 0]","[2.849999999999998, 0]",1
11,"[2, 3]",72.49999999999802,"[9, 0]","[0.05, 0]","[0, 0]",1
12,"[2, 3]",74.84999999999789,"[11, 11]","[0.44999999999999996, 0]","[0, 0]",1
13,"[0, 1]",74.24999999999793,"[10, 10]","[0.05, 0]","[0, 0]",1
14,"[0, 3]",106.2999999999961,"[13, 7]","[0.6, 0]","[0, 0]",1
15,"[0, 3]",109.8999999999959,"[14, 14]","[1.7500000000000009, 0]","[0, 0]",1
16,"[0, 1]",88.34999999999712,"[15, 30]","[6.249999999999986, 0.05]","[3.2999999999999963, 0]",1
17,"[0, 3]",118.19999999999543,"[16, 15]","[4.149999999999993, 0]","[0, 0]",1
18,"[2, 1]",36.500000000000064,"[12, -999]","[0.05, 0]","[0, 0]",1
19,"[0, 3]",118.94999999999538,"[17, 17]","[2.6499999999999986, 0]","[0, 0]",1
20,"[0, 1]",91.54999999999694,"[19, 32]","[3.8499999999999943, 0]","[0, 0]",1
21,"[2, 1]",42.59999999999972,"[18, 8]","[0.05, 0]","[0, 0]",1
22,"[0, 3]",126.84999999999494,"[20, 37]","[4.749999999999991, 0]","[2.3999999999999995, 0]",1
23,"[0, 1]",99.2499999999965,"[22, 38]","[3.599999999999995, 0]","[0, 0]",1
24,"[0, 3]",130.8499999999955,"[23, 22]","[4.799999999999991, 0]","[0, 0]",1
25,"[0, 1]",102.99999999999629,"[24, 39]","[6.0499999999999865, 0]","[0, 0]",1
26,"[0, 3]",135.44999999999655,"[25, 24]","[7.299999999999982, 0]","[0, 0]",1
27,"[0, 1]",112.74999999999574,"[26, 43]","[10.90000000000002, 0]","[2.3499999999999996, 0]",1
28,"[2, 1]",37.30000000000002,"[21, 13]","[0.05, 0]","[0, 0]",1
29,"[2, 1]",39.649999999999885,"[28, 28]","[0.44999999999999996, 0]","[0, 0]",1
30,"[2, 1]",42.34999999999973,"[29, 29]","[1.2500000000000004, 0]","[0, 0]",1
31,"[0, 1]",106.3499999999961,"[27, 27]","[1.5000000000000007, 0]","[0, 0]",1
32,"[2, 1]",48.449999999999385,"[30, 16]","[3.5499999999999954, 0]","[3.4999999999999956, 0]",1
33,"[0, 3]",135.74999999999662,"[31, 26]","[0.05, 0]","[0, 0]",1
34,"[0, 3]",139.29999999999742,"[33, 33]","[1.2500000000000004, 0]","[0, 0]",1
35,"[0, 1]",111.04999999999583,"[34, 45]","[2.499999999999999, 0]","[0, 0]",1
36,"[2, 3]",78.04999999999771,"[32, 19]","[1.950000000000001, 0.05]","[1.900000000000001, 0]",1
37,"[2, 3]",80.59999999999756,"[36, 36]","[3.8499999999999943, 0]","[3.399999999999996, 0]",1
38,"[2, 1]",51.84999999999919,"[37, 20]","[1.2500000000000004, 0]","[0, 0]",1
39,"[2, 1]",60.19999999999872,"[38, 23]","[6.0499999999999865, 0]","[0, 0]",1
40,"[0, 1]",102.44999999999632,"[35, 35]","[0.05, 0]","[0, 0]",1
41,"[0, 3]",134.7499999999964,"[40, 46]","[0.6, 0]","[0, 0]",1
42,"[2, 1]",61.94999999999862,"[39, 25]","[0.05, 0]","[0, 0]",1
43,"[2, 1]",62.54999999999858,"[42, 42]","[9.5, 0]","[0, 0]",1
44,"[2, 1]",76.84999999999778,"[43, 31]","[11.65000000000003, 0.05]","[2.9499999999999975, 0]",1
45,"[2, 1]",77.29999999999775,"[44, 44]","[7.79999999999998, 0]","[0, 0]",1
46,"[2, 3]",112.04999999999578,"[45, 34]","[7.099999999999983, 0]","[0, 0]",1
47,"[0, 3]",124.39999999999507,"[41, 41]","[0.05, 0]","[0, 0]",1
48,"[2, 1]",85.59999999999728,"[46, 40]","[3.7499999999999947, 0]","[0, 0]",1
49,"[2, 1]",86.64999999999722,"[48, 48]","[3.149999999999997, 0]","[0, 0]",1
50,"[0, 3]",121.64999999999523,"[47, 47]","[0.05, 0]","[0, 0]",1
51,"[0, 1]",93.54999999999683,"[50, 49]","[0.6, 0]","[0, 0]",1
52,"[2, 3]",121.74999999999523,"[49, 50]","[3.4999999999999956, 0]","[3.4499999999999957, 0]",1
53,"[0, 3]",124.34999999999508,"[51, 52]","[0.05, 0]","[0, 0]",1
54,"[2, 1]",89.99999999999703,"[52, 51]","[0.05, 0]","[0, 0]",1
55,"[0, 3]",123.9999999999951,"[53, 53]","[0.05, 0]","[0, 0]",1
56,"[2, 3]",126.34999999999496,"[54, 55]","[0.05, 0]","[0, 0]",1
57,"[2, 1]",109.24999999999594,"[56, 60]","[7.049999999999983, 0]","[6.5999999999999845, 0]",1
58,"[0, 1]",90.19999999999702,"[55, 54]","[0.05, 0]","[0, 0]",1
59,"[0, 1]",92.49999999999689,"[58, 58]","[0.6, 0]","[0, 0]",1
60,"[0, 1]",94.84999999999675,"[59, 59]","[1.7000000000000008, 0]","[0, 0]",1
61,"[0, 3]",127.19999999999492,"[60, 56]","[2.9499999999999975, 0]","[0, 0]",1
62,"[0, 3]",130.69999999999547,"[61, 61]","[4.149999999999993, 0]","[0, 0]",1
63,"[0, 3]",133.4999999999961,"[62, 62]","[5.399999999999989, 0]","[0, 0]",1
64,"[0, 1]",105.79999999999613,"[63, 57]","[6.5999999999999845, 0]","[0, 0]",1
65,"[2, 3]",133.59999999999613,"[57, 63]","[3.2999999999999963, 0]","[3.2499999999999964, 0]",1
66,"[0, 1]",105.34999999999616,"[64, 64]","[5.09999999999999, 0]","[0, 0]",1
67,"[2, 1]",119.09999999999538,"[65, 73]","[9.900000000000006, 0.05]","[9.850000000000005, 0]",1
68,"[2, 3]",149.49999999999974,"[67, 65]","[0.44999999999999996, 0]","[0, 0]",1
69,"[2, 3]",153.20000000000059,"[68, 68]","[1.3000000000000005, 0]","[0, 0]",1
70,"[2, 3]",156.3500000000013,"[69, 69]","[2.3499999999999996, 0]","[0, 0]",1
71,"[2, 1]",127.84999999999488,"[70, 77]","[5.14999999999999, 0]","[0, 0]",1
72,"[0, 1]",93.9499999999968,"[66, 66]","[0.05, 0]","[0, 0]",1
73,"[0, 1]",96.24999999999667,"[72, 72]","[0.6, 0]","[0, 0]",1
74,"[0, 1]",103.39999999999627,"[73, 67]","[4.199999999999993, 0]","[2.499999999999999, 0]",1
75,"[0, 1]",105.04999999999617,"[74, 74]","[2.8999999999999977, 0]","[0, 0]",1
76,"[2, 3]",151.5500000000002,"[71, 78]","[5.4999999999999885, 0]","[0, 0]",1
77,"[0, 1]",104.39999999999621,"[75, 75]","[1.4000000000000006, 0]","[0, 0]",1
78,"[0, 3]",139.99999999999758,"[77, 70]","[2.5999999999999988, 0]","[0, 0]",1
79,"[2, 1]",118.29999999999542,"[76, 71]","[8.449999999999985, 0]","[0, 0]",1
