Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-2.244889732448709, -2.209770217626703, -2.2096549995723236, -2.140624994713697]","[0.23914859848385853, 0.2476966035682255, 0.24772514433313916, 0.2654296536147767]","[1, 0, 3, 2, 2, 1, 3, 2, 2, 2, 0, 1, 3, 1, 0, 0, 1, 2, 0, 3, 3, 3]",4.387327716891795,0.5916685745426549
1,"[-1.6924465578015777, -1.6798663522043575, -1.6795988965277664, -1.6532444412327063]","[0.2459679170499861, 0.24908178952769344, 0.2491484167757588, 0.2558018766465616]","[3, 2, 1, 0, 0, 1, 1, 3, 1, 2, 3, 0, 2, 3, 0, 0, 2, 1, 2, 3, 2, 3]",4.756538246951499,0.4260766689740587
2,"[-1.838731114037578, -1.8251327326162439, -1.82173627835163, -0.9544607466681295]","[0.1834172979529001, 0.18592851185512543, 0.18656108318381598, 0.44409310700815857]","[2, 0, 1, 3, 2, 1, 1, 0, 2, 0, 3, 0, 0, 2, 2, 2, 3, 3, 1, 1, 1, 2]",4.831769822528457,0.47746793811544935
3,"[-0.8200153967064084, -1.6421052733418995, -1.641425180281189, -0.7865361980537579]","[0.3432451926754424, 0.15086043872769117, 0.15096307276159684, 0.35493129583526956]","[3, 0, 1, 2, 2, 0, 2, 1, 2, 1, 3, 1, 3, 1, 0, 2, 2, 1, 3, 1, 2, 0]",5.291330169061063,0.4091650182221674
4,"[-1.6360467974573139, -1.6257311372929208, -1.6250606339601057, -1.603674719270175]","[0.24665063623279698, 0.24920816901554088, 0.24937531995479925, 0.25476587479686286]","[3, 2, 1, 0, 1, 2, 3, 0, 2, 2, 1, 2, 3, 3, 1, 3, 1, 0, 0, 0, 1, 0]",5.045563162787139,0.4032307946350287
5,"[-2.876648698375166, -2.8199770075908384, -2.810437778773457, -2.681864129297706]","[0.23031871579258895, 0.24374820879552828, 0.24608450424522132, 0.27984857116666134]","[2, 3, 1, 0, 0, 2, 1, 3, 2, 1, 2, 2, 0, 3, 3, 3, 1, 0, 0, 1, 0, 0]",4.7283210248721375,0.7094490558856106
6,"[-1.95865005430875, -1.9438463790787353, -1.9402392944340607, -1.9025931800036995]","[0.24442987632700622, 0.24807525274386782, 0.24897169698191302, 0.258523173947213]","[1, 0, 3, 2, 3, 3, 1, 0, 0, 2, 2, 2, 1, 3, 1, 0, 0, 3, 1, 2, 3, 3]",6.20945160704085,0.51089497112827
7,"[-1.7321566674261, -1.7198836319028865, -1.7165106928202631, -1.6898796257206445]","[0.24562172423458967, 0.24865482297345806, 0.24949493657346786, 0.25622851621848436]","[3, 1, 2, 0, 3, 2, 1, 0, 2, 3, 1, 0, 0, 3, 2, 3, 2, 2, 1, 0, 1, 2]",4.302607866911651,0.4413161900651419
8,"[-1.8870246623831586, -1.873913325248573, -1.8696328427270468, -1.8312326011659719]","[0.24461125104082498, 0.24783954902458932, 0.24890269564931025, 0.25864650428527536]","[0, 1, 2, 3, 2, 0, 3, 0, 2, 0, 2, 1, 0, 1, 3, 1, 3, 1, 3, 2, 2, 0]",5.180132471723498,0.4914827757539872
9,"[-1.8193079318093899, -1.803526035889897, -1.801876415086766, -1.768734196170296]","[0.24477612015287425, 0.24866979537770845, 0.2490803447775886, 0.25747373969182863]","[0, 2, 1, 3, 1, 2, 0, 3, 2, 1, 3, 2, 2, 2, 1, 3, 0, 0, 1, 0, 2, 3]",4.686470338861388,0.47039534253899756
10,"[-1.4674404330209647, -2.2693150385995966, -2.2644987054527235, -2.206137044057004]","[0.42072024697040544, 0.18868774590783985, 0.1895987209715673, 0.20099328615018738]","[0, 2, 3, 1, 0, 3, 2, 2, 2, 1, 3, 0, 3, 1, 3, 2, 0, 2, 2, 1, 1, 3]",5.536375102217471,0.5982179893636089
11,"[-1.9502809187944812, -1.9309576592426738, -1.9308527681581313, -1.8909666172876904]","[0.24388828376088195, 0.2486468275939408, 0.24867290979722656, 0.25879197884795074]","[0, 2, 1, 3, 0, 1, 1, 1, 1, 2, 3, 3, 0, 3, 0, 0, 0, 2, 2, 3, 3, 2]",4.836204353544442,0.5111705766256293
12,"[-1.7927621542469925, -0.9475298282622889, -1.7785570368121053, -1.7432000700257602]","[0.18540368529437917, 0.4317159532887259, 0.18805616118015492, 0.1948242002367399]","[3, 1, 2, 0, 0, 0, 3, 3, 2, 3, 2, 0, 1, 0, 2, 2, 3, 2, 1, 0, 1, 0]",4.519164852716405,0.4620742933351313
13,"[-1.4109500349319513, -1.4060527734039083, -1.406120032401843, -1.3957657153236909]","[0.2484440479944278, 0.24966372757984961, 0.24964693601241028, 0.25224528841331234]","[1, 2, 3, 0, 3, 1, 2, 0, 1, 2, 1, 2, 3, 2, 0, 3, 0, 0, 3, 1, 3, 2]",5.242898862617598,0.2993225891727911
14,"[-1.5655367340461999, -1.559575426873434, -1.5581624314262095, -1.5482173263506978]","[0.24808657466649217, 0.2495699118650596, 0.2499228022718445, 0.2524207111966037]","[1, 0, 3, 2, 3, 0, 3, 0, 3, 1, 2, 1, 2, 3, 1, 0, 2, 2, 1, 0, 2, 2]",5.328131598434587,0.37296346611139697
15,"[-0.9057111590069268, -1.7257067429292605, -1.7283118904030381, -1.7049713568082152]","[0.42929826743917554, 0.1890773811833516, 0.18858544777916675, 0.19303890359830617]","[1, 3, 2, 0, 3, 3, 1, 0, 1, 2, 0, 2, 1, 2, 3, 3, 0, 1, 3, 2, 1, 2]",4.585201976949268,0.4424073938489805
16,"[-1.8107779446569372, -0.8362430972825693, -1.797528099184614, -1.772260863121443]","[0.17536042897951853, 0.46469361567892686, 0.17769938877481348, 0.18224656656674101]","[3, 0, 2, 1, 1, 0, 2, 2, 3, 0, 0, 0, 3, 3, 2, 0, 2, 2, 1, 3, 2, 3]",4.427004690671738,0.4683123468475122
17,"[-1.9592141358394728, -1.106699909345351, -1.9402675705508006, -1.9109599534147361]","[0.18470286391207008, 0.43322733760307786, 0.18823571075665796, 0.19383408772819424]","[2, 1, 3, 0, 1, 3, 2, 3, 2, 3, 3, 0, 2, 0, 2, 1, 2, 0, 2, 3, 1, 0]",5.004795208492897,0.5129030629626294
18,"[-2.432028465888953, -2.4012425077664052, -1.4549939024388299, -2.338657149779766]","[0.1728399110594517, 0.17824370704984605, 0.45916074693146797, 0.18975563495923414]","[1, 3, 2, 0, 0, 3, 3, 3, 2, 0, 1, 1, 3, 1, 3, 3, 1, 0, 2, 0, 1, 0]",4.5606405866951505,0.6295853339242021
19,"[-1.2376407099144529, -2.1739205710400733, -2.1753199411949926, -2.127914904262552]","[0.4557547905115097, 0.1786940389324355, 0.17844415470853173, 0.18710701584752315]","[1, 0, 2, 3, 1, 1, 2, 3, 0, 2, 2, 2, 2, 2, 1, 3, 2, 3, 0, 1, 2, 3]",4.5389496132423135,0.5783527665555374
20,"[-1.5132372968650474, -0.6751915891956412, -1.507940070457415, -0.6663362376941776]","[0.15038581175999727, 0.3476686176732961, 0.15118455314259477, 0.350761017424112]","[1, 0, 3, 2, 2, 2, 2, 3, 2, 1, 0, 0, 1, 3, 0, 0, 2, 3, 1, 0, 2, 0]",5.251557330386705,0.34956985502282145
21,"[-1.531604616931729, -1.524712157361438, -0.6974919245333001, -1.5126688166759845]","[0.18765942736653574, 0.18895733011557903, 0.43213647634346913, 0.19124676617441608]","[1, 0, 2, 3, 0, 3, 1, 1, 2, 1, 3, 0, 1, 3, 3, 0, 2, 2, 3, 3, 0, 3]",4.748398979333544,0.35856886453588077
22,"[-1.5672743146328816, -0.7232710956724498, -1.559576420963809, -1.5483760729126315]","[0.1868298403504415, 0.4345024037512758, 0.18827358636793362, 0.1903941695303491]","[0, 2, 3, 1, 2, 3, 1, 0, 3, 0, 3, 2, 3, 3, 1, 0, 0, 2, 2, 3, 0, 1]",3.660753882223916,0.37679320680744455
23,"[-2.086031599513735, -2.0615611220455468, -2.0681502422762006, -2.0305153288169135]","[0.24390834403732223, 0.24995052368090012, 0.24830898371989146, 0.25783214856188613]","[3, 0, 1, 2, 0, 2, 3, 3, 1, 1, 2, 2, 1, 0, 3, 0, 2, 1, 3, 0, 0, 0]",4.251279152878516,0.5507163261588576
24,"[-0.8506140905224903, -1.672005701939912, -1.6717241195384196, -1.6624788489699336]","[0.4303312081850938, 0.18926791526320227, 0.18932121728141052, 0.19107965927029338]","[2, 3, 0, 1, 0, 3, 1, 2, 3, 2, 3, 2, 2, 1, 2, 0, 1, 2, 1, 3, 0, 1]",4.884760486980922,0.4208982562671682
25,"[-2.469125855691117, -1.5933472286421315, -2.446335431242125, -2.397858355606354]","[0.18189542426443975, 0.4366843212402269, 0.1860884976601461, 0.1953317568351872]","[0, 3, 2, 1, 0, 0, 3, 1, 3, 2, 1, 0, 2, 0, 1, 3, 0, 3, 2, 3, 2, 2]",5.296802368882186,0.6333650720890222
26,"[-2.3295567784241453, -2.312172292495676, -2.30721737342022, -1.4416054464606494]","[0.18280622422347192, 0.18601200111053495, 0.18693596271021404, 0.4442458119557792]","[1, 3, 0, 2, 3, 3, 2, 2, 1, 2, 0, 1, 0, 2, 0, 2, 0, 1, 1, 1, 3, 2]",4.850404616541225,0.6075355381938741
27,"[-2.1174718848744183, -2.10366405208416, -2.098615280763009, -1.2412325490485698]","[0.1839997747145247, 0.18655803420129166, 0.18750230475133928, 0.4419398863328445]","[2, 3, 0, 1, 0, 2, 0, 3, 0, 1, 2, 1, 2, 0, 1, 3, 3, 0, 0, 2, 1, 0]",5.503170209380203,0.5549540786185213
28,"[-1.5852091029096156, -1.5779152883817393, -1.5802269496841057, -1.5736598192161229]","[0.24851318919467766, 0.2503324248227917, 0.24975440938895546, 0.2513999765935751]","[2, 3, 0, 1, 3, 2, 0, 1, 3, 0, 1, 2, 3, 1, 2, 0, 1, 0, 2, 3, 0, 0]",5.178121974474447,0.3813438571604588
29,"[-1.7569450439026546, -1.746929996226676, -0.9145280533640233, -1.7369012657644378]","[0.18683613309794964, 0.18871670717943959, 0.4338283416163596, 0.1906188181062511]","[2, 1, 0, 3, 2, 0, 3, 0, 3, 2, 1, 0, 3, 1, 0, 3, 1, 2, 3, 1, 1, 1]",5.688523574763473,0.4463235979834603
30,"[-1.7891445838052609, -1.7790042523958511, -1.779905188918188, -1.76617959043398]","[0.24735914138426437, 0.24988020566609886, 0.24965518084436616, 0.2531054721052707]","[2, 3, 0, 1, 3, 3, 0, 1, 1, 2, 0, 3, 2, 3, 0, 2, 0, 1, 1, 2, 1, 2]",4.755701241826781,0.45963149473650183
