Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",70.64999999999813,"[0, 0]","[0, 0]","[0, 0]",1
2,"[0, 1]",72.999999999998,"[1, 1]","[0, 0]","[0, 0]",1
3,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
4,"[2, 3]",71.2999999999981,"[3, 3]","[0, 0]","[0, 0]",1
5,"[0, 1]",69.74999999999818,"[2, 2]","[0, 0]","[0, 0]",1
6,"[2, 3]",71.1999999999981,"[4, 4]","[0, 0]","[0, 0]",1
7,"[0, 1]",69.54999999999819,"[5, 5]","[0, 0]","[0, 0]",1
8,"[2, 3]",70.89999999999812,"[6, 6]","[0, 0]","[0, 0]",1
9,"[2, 3]",73.24999999999798,"[8, 8]","[0, 0]","[0, 0]",1
10,"[0, 1]",68.29999999999826,"[7, 7]","[0, 0]","[0, 0]",1
11,"[0, 1]",71.04999999999811,"[10, 10]","[0, 0]","[0, 0]",1
12,"[2, 3]",70.39999999999814,"[9, 9]","[0, 0]","[0, 0]",1
13,"[2, 3]",72.899999999998,"[12, 12]","[0, 0]","[0, 0]",1
14,"[0, 1]",68.79999999999824,"[11, 11]","[0, 0]","[0, 0]",1
15,"[2, 3]",72.44999999999803,"[13, 13]","[0, 0]","[0, 0]",1
16,"[2, 3]",74.7499999999979,"[15, 15]","[0, 0]","[0, 0]",1
17,"[0, 1]",68.19999999999827,"[14, 14]","[0, 0]","[0, 0]",1
18,"[2, 3]",74.19999999999793,"[16, 16]","[0, 0]","[0, 0]",1
19,"[2, 3]",76.3999999999978,"[18, 18]","[0, 0]","[0, 0]",1
20,"[2, 3]",78.49999999999768,"[19, 19]","[0, 0]","[0, 0]",1
21,"[0, 1]",67.79999999999829,"[17, 17]","[0, 0]","[0, 0]",1
22,"[0, 1]",70.79999999999812,"[21, 21]","[0, 0]","[0, 0]",1
23,"[0, 1]",73.09999999999799,"[22, 22]","[0, 0]","[0, 0]",1
24,"[2, 3]",72.19999999999804,"[20, 20]","[0, 0]","[0, 0]",1
25,"[2, 3]",74.14999999999793,"[24, 24]","[0, 0]","[0, 0]",1
26,"[0, 1]",69.84999999999818,"[23, 23]","[0, 0]","[0, 0]",1
27,"[0, 1]",71.89999999999806,"[26, 26]","[0, 0]","[0, 0]",1
28,"[2, 3]",70.89999999999812,"[25, 25]","[0, 0]","[0, 0]",1
29,"[0, 1]",71.0999999999981,"[27, 27]","[0, 0]","[0, 0]",1
30,"[2, 3]",70.59999999999813,"[28, 28]","[0, 0]","[0, 0]",1
31,"[0, 1]",70.29999999999815,"[29, 29]","[0, 0]","[0, 0]",1
32,"[2, 3]",70.49999999999814,"[30, 30]","[0, 0]","[0, 0]",1
33,"[0, 1]",69.74999999999818,"[31, 31]","[0, 0]","[0, 0]",1
34,"[2, 3]",70.44999999999814,"[32, 32]","[0, 0]","[0, 0]",1
35,"[2, 3]",72.949999999998,"[34, 34]","[0, 0]","[0, 0]",1
36,"[2, 3]",75.34999999999786,"[35, 35]","[0, 0]","[0, 0]",1
37,"[2, 3]",77.49999999999774,"[36, 36]","[0, 0]","[0, 0]",1
38,"[2, 3]",79.69999999999762,"[37, 37]","[0, 0]","[0, 0]",1
39,"[0, 1]",67.5999999999983,"[33, 33]","[0, 0]","[0, 0]",1
40,"[0, 1]",70.74999999999812,"[39, 39]","[0, 0]","[0, 0]",1
41,"[0, 1]",72.999999999998,"[40, 40]","[0, 0]","[0, 0]",1
42,"[0, 1]",74.94999999999789,"[41, 41]","[0, 0]","[0, 0]",1
43,"[0, 1]",76.64999999999779,"[42, 42]","[0, 0]","[0, 0]",1
44,"[0, 1]",78.2499999999977,"[43, 43]","[0, 0]","[0, 0]",1
45,"[2, 3]",68.84999999999823,"[38, 38]","[0, 0]","[0, 0]",1
46,"[2, 3]",72.04999999999805,"[45, 45]","[0, 0]","[0, 0]",1
47,"[0, 1]",74.24999999999793,"[44, 44]","[0, 0]","[0, 0]",1
48,"[2, 3]",71.99999999999805,"[46, 46]","[0, 0]","[0, 0]",1
49,"[0, 1]",73.09999999999799,"[47, 47]","[0, 0]","[0, 0]",1
50,"[0, 1]",74.84999999999789,"[49, 49]","[0, 0]","[0, 0]",1
51,"[2, 3]",69.79999999999818,"[48, 48]","[0, 0]","[0, 0]",1
52,"[0, 1]",74.14999999999793,"[50, 50]","[0, 0]","[0, 0]",1
53,"[2, 3]",70.09999999999816,"[51, 51]","[0, 0]","[0, 0]",1
54,"[2, 3]",72.79999999999801,"[53, 53]","[0, 0]","[0, 0]",1
55,"[2, 3]",75.14999999999787,"[54, 54]","[0, 0]","[0, 0]",1
56,"[2, 3]",77.44999999999774,"[55, 55]","[0, 0]","[0, 0]",1
57,"[2, 3]",79.54999999999762,"[56, 56]","[0, 0]","[0, 0]",1
58,"[2, 3]",81.6499999999975,"[57, 57]","[0, 0]","[0, 0]",1
59,"[0, 1]",67.5999999999983,"[52, 52]","[0, 0]","[0, 0]",1
60,"[2, 3]",80.79999999999755,"[58, 58]","[0, 0]","[0, 0]",1
61,"[0, 1]",68.74999999999824,"[59, 59]","[0, 0]","[0, 0]",1
62,"[0, 1]",71.39999999999809,"[61, 61]","[0, 0]","[0, 0]",1
63,"[0, 1]",73.44999999999797,"[62, 62]","[0, 0]","[0, 0]",1
64,"[0, 1]",75.24999999999787,"[63, 63]","[0, 0]","[0, 0]",1
65,"[2, 3]",71.84999999999806,"[60, 60]","[0, 0]","[0, 0]",1
66,"[2, 3]",73.84999999999795,"[65, 65]","[0, 0]","[0, 0]",1
67,"[0, 1]",71.44999999999808,"[64, 64]","[0, 0]","[0, 0]",1
68,"[0, 1]",73.049999999998,"[67, 67]","[0, 0]","[0, 0]",1
69,"[0, 1]",74.6499999999979,"[68, 68]","[0, 0]","[0, 0]",1
70,"[0, 1]",76.14999999999782,"[69, 69]","[0, 0]","[0, 0]",1
71,"[0, 1]",77.59999999999773,"[70, 70]","[0, 0]","[0, 0]",1
72,"[0, 1]",79.19999999999764,"[71, 71]","[0, 0]","[0, 0]",1
73,"[0, 1]",80.94999999999754,"[72, 72]","[0, 0]","[0, 0]",1
74,"[2, 3]",68.19999999999827,"[66, 66]","[0, 0]","[0, 0]",1
75,"[0, 1]",80.29999999999758,"[73, 73]","[0, 0]","[0, 0]",1
76,"[2, 3]",69.54999999999819,"[74, 74]","[0, 0]","[0, 0]",1
77,"[0, 1]",79.79999999999761,"[75, 75]","[0, 0]","[0, 0]",1
78,"[2, 3]",70.09999999999816,"[76, 76]","[0, 0]","[0, 0]",1
79,"[2, 3]",72.79999999999801,"[78, 78]","[0, 0]","[0, 0]",1
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",2
1,"[2, 3]",71.2499999999981,"[0, 0]","[0, 0]","[0, 0]",2
2,"[2, 3]",73.94999999999794,"[1, 1]","[0, 0]","[0, 0]",2
3,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",2
4,"[0, 1]",70.64999999999813,"[3, 3]","[0, 0]","[0, 0]",2
5,"[2, 3]",70.94999999999811,"[2, 2]","[0, 0]","[0, 0]",2
6,"[0, 1]",70.34999999999815,"[4, 4]","[0, 0]","[0, 0]",2
7,"[2, 3]",70.69999999999813,"[5, 5]","[0, 0]","[0, 0]",2
8,"[0, 1]",69.89999999999817,"[6, 6]","[0, 0]","[0, 0]",2
9,"[0, 1]",71.94999999999806,"[8, 8]","[0, 0]","[0, 0]",2
10,"[2, 3]",69.2999999999982,"[7, 7]","[0, 0]","[0, 0]",2
11,"[2, 3]",72.24999999999804,"[10, 10]","[0, 0]","[0, 0]",2
12,"[0, 1]",69.09999999999822,"[9, 9]","[0, 0]","[0, 0]",2
13,"[0, 1]",71.44999999999808,"[12, 12]","[0, 0]","[0, 0]",2
14,"[2, 3]",69.99999999999817,"[11, 11]","[0, 0]","[0, 0]",2
15,"[0, 1]",70.74999999999812,"[13, 13]","[0, 0]","[0, 0]",2
16,"[0, 1]",72.64999999999802,"[15, 15]","[0, 0]","[0, 0]",2
17,"[2, 3]",69.14999999999822,"[14, 14]","[0, 0]","[0, 0]",2
18,"[0, 1]",71.64999999999807,"[16, 16]","[0, 0]","[0, 0]",2
19,"[0, 1]",73.24999999999798,"[18, 18]","[0, 0]","[0, 0]",2
20,"[0, 1]",74.84999999999789,"[19, 19]","[0, 0]","[0, 0]",2
21,"[2, 3]",68.59999999999825,"[17, 17]","[0, 0]","[0, 0]",2
22,"[2, 3]",71.94999999999806,"[21, 21]","[0, 0]","[0, 0]",2
23,"[2, 3]",74.5999999999979,"[22, 22]","[0, 0]","[0, 0]",2
24,"[0, 1]",69.04999999999822,"[20, 20]","[0, 0]","[0, 0]",2
25,"[0, 1]",71.34999999999809,"[24, 24]","[0, 0]","[0, 0]",2
26,"[2, 3]",71.44999999999808,"[23, 23]","[0, 0]","[0, 0]",2
27,"[2, 3]",73.64999999999796,"[26, 26]","[0, 0]","[0, 0]",2
28,"[0, 1]",68.89999999999823,"[25, 25]","[0, 0]","[0, 0]",2
29,"[2, 3]",73.049999999998,"[27, 27]","[0, 0]","[0, 0]",2
30,"[0, 1]",69.14999999999822,"[28, 28]","[0, 0]","[0, 0]",2
31,"[2, 3]",72.39999999999803,"[29, 29]","[0, 0]","[0, 0]",2
32,"[0, 1]",69.2999999999982,"[30, 30]","[0, 0]","[0, 0]",2
33,"[2, 3]",71.74999999999807,"[31, 31]","[0, 0]","[0, 0]",2
34,"[0, 1]",69.2999999999982,"[32, 32]","[0, 0]","[0, 0]",2
35,"[0, 1]",71.64999999999807,"[34, 34]","[0, 0]","[0, 0]",2
36,"[0, 1]",73.64999999999796,"[35, 35]","[0, 0]","[0, 0]",2
37,"[0, 1]",75.39999999999786,"[36, 36]","[0, 0]","[0, 0]",2
38,"[0, 1]",77.04999999999777,"[37, 37]","[0, 0]","[0, 0]",2
39,"[2, 3]",68.29999999999826,"[33, 33]","[0, 0]","[0, 0]",2
40,"[2, 3]",71.79999999999806,"[39, 39]","[0, 0]","[0, 0]",2
41,"[2, 3]",74.44999999999791,"[40, 40]","[0, 0]","[0, 0]",2
42,"[2, 3]",76.89999999999777,"[41, 41]","[0, 0]","[0, 0]",2
43,"[2, 3]",79.09999999999765,"[42, 42]","[0, 0]","[0, 0]",2
44,"[2, 3]",81.14999999999753,"[43, 43]","[0, 0]","[0, 0]",2
45,"[0, 1]",67.79999999999829,"[38, 38]","[0, 0]","[0, 0]",2
46,"[0, 1]",70.79999999999812,"[45, 45]","[0, 0]","[0, 0]",2
47,"[2, 3]",77.59999999999773,"[44, 44]","[0, 0]","[0, 0]",2
48,"[0, 1]",70.39999999999814,"[46, 46]","[0, 0]","[0, 0]",2
49,"[2, 3]",76.69999999999779,"[47, 47]","[0, 0]","[0, 0]",2
50,"[2, 3]",78.44999999999769,"[49, 49]","[0, 0]","[0, 0]",2
51,"[0, 1]",68.54999999999825,"[48, 48]","[0, 0]","[0, 0]",2
52,"[2, 3]",77.44999999999774,"[50, 50]","[0, 0]","[0, 0]",2
53,"[0, 1]",69.04999999999822,"[51, 51]","[0, 0]","[0, 0]",2
54,"[0, 1]",71.49999999999808,"[53, 53]","[0, 0]","[0, 0]",2
55,"[0, 1]",73.49999999999797,"[54, 54]","[0, 0]","[0, 0]",2
56,"[0, 1]",75.29999999999787,"[55, 55]","[0, 0]","[0, 0]",2
57,"[0, 1]",76.94999999999777,"[56, 56]","[0, 0]","[0, 0]",2
58,"[0, 1]",78.49999999999768,"[57, 57]","[0, 0]","[0, 0]",2
59,"[2, 3]",68.54999999999825,"[52, 52]","[0, 0]","[0, 0]",2
60,"[0, 1]",77.19999999999776,"[58, 58]","[0, 0]","[0, 0]",2
61,"[2, 3]",69.69999999999818,"[59, 59]","[0, 0]","[0, 0]",2
62,"[2, 3]",72.59999999999802,"[61, 61]","[0, 0]","[0, 0]",2
63,"[2, 3]",75.04999999999788,"[62, 62]","[0, 0]","[0, 0]",2
64,"[2, 3]",77.39999999999775,"[63, 63]","[0, 0]","[0, 0]",2
65,"[0, 1]",68.84999999999823,"[60, 60]","[0, 0]","[0, 0]",2
66,"[0, 1]",71.2499999999981,"[65, 65]","[0, 0]","[0, 0]",2
67,"[2, 3]",74.09999999999793,"[64, 64]","[0, 0]","[0, 0]",2
68,"[2, 3]",76.19999999999781,"[67, 67]","[0, 0]","[0, 0]",2
69,"[2, 3]",78.2999999999977,"[68, 68]","[0, 0]","[0, 0]",2
70,"[2, 3]",80.39999999999758,"[69, 69]","[0, 0]","[0, 0]",2
71,"[2, 3]",82.39999999999746,"[70, 70]","[0, 0]","[0, 0]",2
72,"[2, 3]",84.59999999999734,"[71, 71]","[0, 0]","[0, 0]",2
73,"[2, 3]",87.34999999999718,"[72, 72]","[0, 0]","[0, 0]",2
74,"[0, 1]",67.5499999999983,"[66, -999]","[0, 0]","[0, 0]",2
75,"[2, 3]",87.54999999999717,"[73, 73]","[0, 0]","[0, 0]",2
76,"[0, 1]",68.69999999999824,"[74, 74]","[0, 0]","[0, 0]",2
77,"[2, 3]",87.94999999999715,"[75, 75]","[6.799999999999984, 0]","[0, 0]",2
78,"[0, 1]",69.14999999999822,"[76, 76]","[0, 0]","[0, 0]",2
79,"[0, 1]",71.54999999999808,"[78, 78]","[0, 0]","[0, 0]",2
