Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-6.182356611825752, -6.102202282384224, -5.297717722564601, -4.988015972951226]","[0.1280910926741127, 0.13878084049520278, 0.31025066316057387, 0.4228774036701107]","[0, 2, 1, 3, 3, 0, 3, 1, 3, 3, 2, 2, 3, 3, 3, 2, 1, 3, 2, 2, 1, 1, 3, 2, 1, 0, 2, 0, 3, 3, 1, 2, 2]",4.958842276495646,0.9089149389162984
1,"[-13.484349349108737, -13.232437568831138, -12.032548913724298, -10.081178650932536]","[0.027310064569771236, 0.03513392121196186, 0.11663573886101153, 0.8209202753572554]","[2, 3, 1, 0, 2, 1, 2, 1, 1, 3, 2, 3, 0, 3, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3]",4.588855971032062,1.1981736414808248
2,"[-7.826827789524084, -7.7388518611749335, -7.608456415872617, -7.413652737640968]","[0.20628677776307205, 0.22525728866867847, 0.25663085729064844, 0.31182507627760103]","[0, 3, 2, 1, 1, 3, 3, 1, 2, 1, 0, 1, 2, 3, 2, 3, 2, 2, 2, 1, 0, 0, 3, 1, 3, 2, 3, 1, 3, 1, 2, 1, 3]",3.629440831126217,1.022442283887136
3,"[-75.35083637721647, -55.617498717693415, -53.09450244922702, -43.18863631278641]","[1.076739352457964e-14, 4.001199822956631e-06, 4.9878524548271924e-05, 0.999946120275618]","[1, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.739104918101194,1.6178535984395772
4,"[-123.6794812228339, -86.50761454082782, -87.26524488862938, -67.70616807122103]","[4.910197491021786e-25, 6.833379525638352e-09, 3.2033239641968997e-09, 0.9999999899632965]","[3, 2, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.7042962603142655,1.689157012057397
5,"[-120.70620514537097, -110.83512122886566, -92.10162518455735, -74.27461495306213]","[6.839377662359385e-21, 1.32426182898545e-16, 1.8106221117104027e-08, 0.9999999818937788]","[0, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.504126771417392,1.7360945080422103
6,"[-106.65891174990732, -82.45732658369793, -78.66597326842303, -71.12015529259895]","[3.6768813736691887e-16, 1.1915012699021424e-05, 0.0005280296786158338, 0.9994600553086848]","[2, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.611757173113223,1.7072575245061488
7,"[-33.26557065042888, -29.0338836672887, -29.32118097239173, -26.53903667932834]","[0.0010463219542838544, 0.07202174570567395, 0.05403709699032585, 0.8728948353497163]","[1, 2, 0, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1]",4.72125879610138,1.4252711059843253
8,"[-6.250556658893756, -6.164369511680029, -7.386260843134861, -7.728437641915368]","[0.37888450435835946, 0.4129880128705923, 0.12169613445136317, 0.08643134831968503]","[0, 2, 3, 1, 3, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 3, 1, 0, 3, 0, 3, 0, 2, 1, 1, 2, 0, 0, 0, 0, 1]",5.075224230691408,0.951431827842493
9,"[-968.4985469099053, -718.1398884708576, -621.945147381752, -421.1334233773907]","[1.884355909319219e-123, 2.5593207925288683e-67, 9.461623806692887e-46, 1.0]","[2, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.376806930618068,2.1367164934138003
