Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-5.585257416009525, -4.318394842444677, -4.437773659035404, -3.424754351945425]","[0.06106700483742818, 0.21676943450100586, 0.1923767056240248, 0.5297868550375411]","[1, 2, 3, 0, 2, 0, 0, 1, 3, 2, 2, 2, 3, 1, 1, 3]",4.958842276495646,0.9089149389162984
1,"[-13.118322832462669, -10.857982198583896, -10.355246518791844, -8.428940762375394]","[0.007395311195034512, 0.07089407140800864, 0.11720476001315401, 0.8045058573838029]","[1, 0, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3]",4.588855971032062,1.1981736414808248
2,"[-7.578764293681313, -6.611491777855006, -6.131158283490713, -5.509136625551293]","[0.06326890229283871, 0.1664452537868083, 0.26907763492462444, 0.5012082089957286]","[2, 0, 3, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 3, 2, 0]",3.629440831126217,1.022442283887136
3,"[-73.10094524232096, -64.22652804734456, -59.899177083458056, -39.45206215561942]","[2.434869853553987e-15, 1.7401479352550032e-11, 1.3180467525192617e-09, 0.9999999986645494]","[1, 3, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.739104918101194,1.6178535984395772
4,"[-115.84590755746855, -102.72780778496134, -85.32063870871028, -63.12164161147122]","[1.2651506330966932e-23, 6.298840067486915e-18, 2.2861149134791445e-10, 0.9999999997713885]","[2, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.7042962603142655,1.689157012057397
5,"[-136.73526475743577, -106.81991410154812, -89.1991678346911, -68.3639994709983]","[2.026454070715751e-30, 1.9897956588216534e-17, 8.941314063508467e-10, 0.9999999991058686]","[0, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.504126771417392,1.7360945080422103
6,"[-101.55135175669551, -100.52343390178574, -81.39312739725108, -65.46287702270237]","[2.1231198478489785e-16, 5.9346288372705505e-16, 1.2066466585801614e-07, 0.9999998793353333]","[1, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.611757173113223,1.7072575245061488
7,"[-29.08422405915253, -30.207488436066505, -26.915668496216934, -24.403007475835828]","[0.008476578866979943, 0.002756722725769912, 0.07413312740096387, 0.9146335710062863]","[1, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.72125879610138,1.4252711059843253
8,"[-6.361368810515445, -5.453799537982313, -6.87653472618253, -6.091641278912704]","[0.18569066960163322, 0.46019554416115627, 0.11093187863843795, 0.2431819075987725]","[0, 1, 3, 2, 1, 1, 1, 2, 1, 1, 3, 1, 0, 1, 2, 3]",5.075224230691408,0.951431827842493
9,"[-1000.9084071098613, -833.359568763247, -583.8082790182801, -405.866572288443]","[8.045955177688301e-130, 1.8002184622978289e-93, 2.4860961407097635e-39, 1.0]","[1, 2, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.376806930618068,2.1367164934138003
