Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-4.264567819704065, -5.34284195479222, -4.607337549152042, -5.370533771424978]","[0.42001367340385526, 0.14288114508128696, 0.2981263938510311, 0.13897878766382676]","[0, 3, 2, 1, 3, 1, 1, 3, 0, 2, 3, 3, 2, 1, 3, 2, 0]",4.958842276495646,0.9089149389162984
1,"[-12.719469844427822, -13.230487928477068, -11.921306614930355, -9.999988344154037]","[0.05264877376084191, 0.03158318516276933, 0.11695698029697568, 0.7988110607794131]","[1, 0, 3, 2, 1, 3, 2, 3, 2, 1, 0, 3, 2, 0, 1, 2, 2]",4.588855971032062,1.1981736414808248
2,"[-8.435341139247093, -8.241446049628212, -8.064610950911286, -7.317198699669244]","[0.14876685575280213, 0.18059833896210872, 0.21553224827741857, 0.4551025570076706]","[2, 3, 1, 0, 3, 1, 1, 3, 2, 1, 3, 3, 1, 0, 2, 2, 2]",3.629440831126217,1.022442283887136
3,"[-76.15449591461773, -57.1048789665176, -56.670204594924115, -44.40145203897878]","[1.62115634755307e-14, 3.040663942006034e-06, 4.6961840051661035e-06, 0.9999922631520366]","[3, 1, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.739104918101194,1.6178535984395772
4,"[-120.65680919926334, -113.45856729729329, -94.59292639035783, -69.95923285595256]","[9.601129958256261e-23, 1.2837459475484608e-19, 2.003193162259865e-11, 0.999999999979968]","[3, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.7042962603142655,1.689157012057397
5,"[-135.06968687013554, -130.52485834235267, -104.62663278664512, -77.05626569963431]","[6.383976935897006e-26, 6.010149293803499e-24, 1.0625312455034252e-12, 0.9999999999989375]","[3, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.504126771417392,1.7360945080422103
6,"[-108.4966014505498, -109.238789626735, -78.49933245985109, -72.67466151708237]","[2.763428536861336e-16, 1.315588318563635e-16, 0.0029450768566115265, 0.9970549231433881]","[0, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.611757173113223,1.7072575245061488
7,"[-28.752821823851882, -28.898528362931795, -30.595578681847282, -27.569801923763578]","[0.18914287832685053, 0.1634972483221411, 0.02995648538277007, 0.6174033879682383]","[1, 0, 2, 3, 3, 3, 1, 3, 2, 1, 1, 3, 1, 3, 3, 3, 3]",4.72125879610138,1.4252711059843253
8,"[-6.931733323794601, -6.676678393349633, -7.387412484988162, -7.0132087718971485]","[0.25998977762475756, 0.33552525988966087, 0.16483799650569916, 0.23964696597988244]","[2, 3, 0, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1]",5.075224230691408,0.951431827842493
9,"[-969.113427128666, -860.1378721471281, -615.5712266566927, -418.8395143922357]","[5.0264647978632146e-124, 1.3157998364823757e-99, 8.293391807855834e-45, 1.0]","[2, 3, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.376806930618068,2.1367164934138003
10,"[-94.08286008181832, -67.32151663829681, -76.00824074628973, -60.98190788144377]","[4.204100927565952e-15, 0.0017618824085974174, 2.974271252391368e-07, 0.9982378201642732]","[2, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.962726406377934,1.636912565538253
11,"[-17.414510829656564, -16.64046550833251, -17.678465472106986, -17.446648194917113]","[0.2038776375194536, 0.4421129175961954, 0.1565797328545937, 0.19742971202975731]","[0, 1, 2, 3, 3, 0, 0, 0, 1, 2, 1, 3, 1, 1, 0, 1, 2]",4.53709407044541,1.2572575311770278
12,"[-15.542229228374966, -18.55562240395907, -20.575741576495744, -20.225515567326475]","[0.9390648684542405, 0.04613128640623071, 0.0061188380120635565, 0.008685007127465245]","[2, 1, 3, 0, 3, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",4.912642825473123,1.272429022853727
13,"[-642.3173558087256, -499.05426831691227, -456.7076124681489, -328.6252883364061]","[8.924934416628439e-107, 2.417334570181859e-58, 5.005017497589171e-44, 1.0]","[3, 0, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.655290104947139,2.0233989807445902
14,"[-97.426549351345, -93.4595201765613, -97.09221612797508, -68.09219606961601]","[1.8207580533182472e-13, 9.618583504419643e-12, 2.5436146261041415e-13, 0.9999999999899449]","[2, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.031284336935733,1.6628979824980497
15,"[-8.357166265363723, -8.308233494815818, -9.522408344374707, -8.85283853244856]","[0.33656909071412, 0.3534479455875348, 0.10495811550102158, 0.2050248481973236]","[2, 0, 3, 1, 3, 1, 1, 3, 1, 2, 0, 1, 1, 0, 0, 0, 0]",5.224358566561917,0.9945213292384952
16,"[-18.40948459098568, -17.43398989609114, -20.933861890689606, -19.215708675250703]","[0.23928435468547635, 0.6346967388298947, 0.019168634311037342, 0.10685027217359146]","[2, 3, 0, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.061538174143605,1.249983084119255
17,"[-79.19335315317248, -62.430117337909074, -78.04853628606078, -66.88394144727773]","[5.1855601898146654e-08, 0.9884995887779062, 1.6292334863291676e-07, 0.011500196443143188]","[3, 0, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",5.37125300972922,1.578254691867328
18,"[-33.46029088335542, -30.897853872047577, -30.60901364511952, -31.94099595525425]","[0.027896913374813183, 0.361749890308844, 0.4828921270250534, 0.1274610692912892]","[0, 2, 1, 3, 3, 2, 2, 2, 2, 2, 1, 1, 0, 1, 0, 1, 2]",4.927092746198306,1.3944320560936658
19,"[-46.0731067331075, -44.76334591665093, -43.594269811968466, -42.38476644474104]","[0.017664377060432092, 0.06545159308763294, 0.2106898058349815, 0.7061942240169534]","[0, 1, 3, 2, 3, 2, 0, 2, 2, 2, 0, 1, 1, 1, 1, 2, 3]",5.680738892293031,1.468849648067143
20,"[-21.932079522433614, -18.6926445688748, -20.42693420211566, -18.501310090528207]","[0.01614869311664161, 0.4121033133130623, 0.07274676554073878, 0.4990012280295572]","[2, 0, 1, 3, 3, 1, 1, 2, 2, 2, 1, 0, 3, 3, 2, 3, 2]",4.311056224305616,1.263568632106271
21,"[-160.24493495313735, -146.59532633046587, -144.89211869106552, -122.47913895174106]","[3.9675571556845846e-17, 3.3610339303016385e-11, 1.8457232210208983e-10, 0.9999999997818173]","[1, 3, 2, 0, 3, 2, 1, 2, 1, 1, 1, 1, 3, 3, 3, 3, 3]",3.995352054680521,1.810234971158184
22,"[-18.578166628387752, -16.77932132841184, -18.32990693540787, -17.471420566668552]","[0.08811380418630052, 0.5324422858572554, 0.11294363639927436, 0.2665002735571697]","[2, 1, 3, 0, 3, 0, 0, 3, 0, 1, 1, 0, 3, 1, 1, 2, 1]",5.587836096081553,1.2161195020602915
23,"[-69.24737069003226, -66.88987264302963, -88.95005095349812, -63.675585701638106]","[0.0036434193377693253, 0.03849085444606092, 1.0109829745646715e-11, 0.9578657262060598]","[0, 2, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.283116677321356,1.598250340379184
24,"[-153.94840075071434, -109.75251363049279, -130.84074195683715, -128.14114928900298]","[6.396907872166452e-20, 0.999999988980137, 6.942226834504425e-10, 1.0325640464840914e-08]","[2, 0, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.02184067633813,1.7129231635097375
