Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-4.684804624764464, -4.447629426243328, -4.415898265266827, -3.9656864807489964]","[0.17765718914000572, 0.2252094792959955, 0.23247022426410402, 0.36466310729989476]","[3, 1, 0, 2, 1, 0, 3, 3, 3, 1, 2, 1, 3, 2, 1, 1, 3, 3, 3, 0, 2, 0, 3, 0, 2, 2, 2, 1, 3, 0, 3, 1, 1, 2, 0, 3, 3, 0, 2]",2.707227506875137,0.9345044228939039
1,"[-6.697164534858931, -6.2769460108345845, -6.1397136998528365, -5.254408587953101]","[0.11763524711544775, 0.17907545170841715, 0.20541648369064192, 0.4978728174854932]","[0, 2, 1, 3, 3, 3, 3, 1, 1, 2, 0, 0, 2, 3, 3, 1, 0, 2, 2, 3, 3, 3, 0, 0, 1, 2, 1, 1, 3, 3, 3, 1, 2, 2, 1, 3, 2, 1, 0]",2.2006360944863768,1.0773311880194554
2,"[-3.1772711650060788, -3.10078206073346, -3.0745057805239195, -2.8720305544139806]","[0.22003782074772066, 0.23752872139188813, 0.24385281560414898, 0.2985806422562422]","[1, 2, 0, 3, 0, 3, 1, 3, 1, 2, 2, 1, 3, 0, 0, 3, 3, 2, 0, 2, 1, 0, 0, 1, 3, 0, 1, 1, 2, 2, 1, 1, 2, 0, 3, 3, 1, 1, 3]",2.7522997731292134,0.7732764352624939
3,"[-3.5851666209749404, -3.441860180304135, -3.406786673935893, -3.1307883351154464]","[0.2030639696242396, 0.2343527576139074, 0.2427181752723643, 0.3198650974894889]","[1, 0, 2, 3, 3, 0, 1, 0, 2, 1, 3, 0, 3, 3, 3, 1, 0, 2, 2, 0, 2, 3, 1, 1, 1, 3, 3, 2, 1, 0, 3, 0, 3, 1, 2, 1, 3, 0, 2]",2.1938139374093,0.8337073211721666
4,"[-5.8932921116465415, -5.639149345202854, -5.4697030356801655, -4.800600528443214]","[0.1470787216465666, 0.18963681279534034, 0.2246530115194245, 0.4386314540386686]","[1, 3, 2, 0, 3, 3, 1, 0, 1, 3, 0, 2, 3, 2, 2, 1, 1, 2, 2, 0, 0, 0, 3, 1, 3, 2, 3, 1, 2, 1, 3, 2, 3, 3, 3, 1, 2, 3, 2]",2.590402940287112,1.0183242140185316
5,"[-3.723288893420018, -3.6109296007502945, -3.560626540060752, -3.273304674339405]","[0.2055988017273541, 0.23004754341451195, 0.24191563719546127, 0.32243801766267277]","[3, 0, 1, 2, 1, 3, 3, 0, 2, 0, 3, 1, 2, 2, 2, 3, 2, 2, 1, 0, 3, 2, 2, 1, 0, 0, 3, 1, 0, 3, 2, 0, 3, 2, 2, 0, 2, 3, 2]",2.629322662134189,0.8415972578546331
6,"[-9.725694867752669, -9.031334678111271, -8.620227939292427, -7.207078469806419]","[0.054246190034490945, 0.10862406216091428, 0.16385791635669816, 0.6732718314478966]","[2, 0, 1, 3, 2, 1, 2, 3, 3, 3, 0, 3, 3, 0, 3, 3, 1, 3, 3, 2, 3, 0, 3, 1, 2, 0, 3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 1]",2.2314066670894683,1.1958546524314542
7,"[-3.7395122358568513, -3.568829365575389, -3.5573056340378293, -3.2814863713453053]","[0.20133174943750465, 0.23880251480804507, 0.24157032801780942, 0.31829540773664083]","[2, 3, 0, 1, 1, 0, 2, 3, 3, 3, 0, 3, 1, 3, 1, 1, 2, 0, 0, 1, 1, 2, 2, 0, 3, 0, 1, 3, 0, 0, 2, 0, 2, 3, 3, 0, 1, 2, 0]",2.505911796042344,0.8433163471553383
8,"[-3.29630575228718, -3.1906035127362844, -3.177295097709013, -2.95944028772822]","[0.2155904949442592, 0.23962686661860874, 0.24283723548863476, 0.3019454029484973]","[2, 0, 3, 1, 0, 1, 3, 0, 1, 0, 1, 2, 3, 3, 2, 3, 1, 0, 3, 3, 2, 1, 0, 3, 1, 0, 2, 2, 2, 2, 2, 3, 2, 1, 0, 1, 0, 0, 1]",2.7034413356976206,0.7879941178717977
9,"[-11.30898807009875, -11.381117575384526, -10.73312654005744, -8.976081033653264]","[0.07134226773226289, 0.0663775874970137, 0.12689379758602973, 0.7353863471846936]","[3, 0, 1, 2, 1, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 3, 0, 3, 3, 2, 1, 1, 1, 1, 3, 3, 2, 2, 3, 3, 3, 0, 3, 3, 3, 3, 3]",2.9740521381278344,1.2364801798155387
