Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.3157546827781763, -4.593676078779839, -2.7611757110405515, -2.31096392652272]","[0.17387798780602717, 0.04844516005774439, 0.3027576969244015, 0.4749191552118268]","[0, 2, 3, 1, 2, 3, 1]",2.707227506875137,0.934504422893904
1,"[-7.078070475687754, -6.883954768365318, -5.441847300561447, -4.840451592059922]","[0.059805163941606475, 0.07261762914843264, 0.3071435371047032, 0.5604336698052577]","[1, 0, 2, 3, 3, 1, 2]",2.2006360944863768,1.0773311880194554
2,"[-2.9773003873303603, -3.3597129411801507, -3.118440317713545, -2.6077427893505583]","[0.250145358650355, 0.1706525519692765, 0.2172181728097364, 0.3619839165706321]","[1, 0, 3, 2, 2, 1, 0]",2.7522997731292134,0.7732764352624939
3,"[-3.01278358428958, -3.654794170520004, 0.7287300341467173, 0.5155349810839207]","[0.0128609703606961, 0.006767871159887364, 0.5422411290918212, 0.43813002938759515]","[0, 1, 2, 3, 3, 1, 1]",2.1938139374093,0.8337073211721666
4,"[-4.469752993344545, -5.546140746221108, -3.7760371642331547, -3.196912445974057]","[0.14465617425816765, 0.04930236057538958, 0.28947691234929246, 0.5165645528171503]","[2, 3, 0, 1, 1, 2, 1]",2.590402940287112,1.0183242140185316
5,"[-4.156817521215632, -3.1867269756523573, -2.584384969282989, -3.1357109053765395]","[0.08902497051150325, 0.23486419265286568, 0.42895389824628466, 0.2471569385893464]","[0, 3, 1, 2, 0, 3, 2]",2.629322662134189,0.8415972578546331
6,"[-10.243182969266737, -10.05722799525278, -8.340716245825964, -7.646862910449053]","[0.044800742949673344, 0.05395658258701322, 0.3002728155018309, 0.6009698589614826]","[1, 3, 0, 2, 2, 2, 3]",2.2314066670894683,1.1958546524314542
7,"[-4.4279943188126545, -3.712771730934726, -3.965993988298383, -3.363971437588548]","[0.13280400355938657, 0.27153660945820424, 0.21079260056914295, 0.38486678641326627]","[0, 2, 3, 1, 1, 3, 2]",2.505911796042344,0.8433163471553383
8,"[-3.753402973228538, -3.0679631938642986, -3.5475996254576927, -3.7353927491899404]","[0.19115599851016646, 0.3793766913971357, 0.23483735980087203, 0.19462995029182575]","[0, 2, 3, 1, 1, 3, 3]",2.703441335697621,0.7879941178717977
9,"[-14.121430004650582, -15.006066630202815, -12.972439971250505, -9.004785208044616]","[0.005836255610310062, 0.0024095808302954406, 0.018413414759417393, 0.973340748799977]","[1, 2, 0, 3, 3, 3, 3]",2.9740521381278344,1.2364801798155387
10,"[-5.348596134093439, -1.0885605595804884, -3.244429309121484, -5.008933328701334]","[0.01228241029055937, 0.8697482097717513, 0.10071905489103758, 0.01725032504665175]","[0, 3, 2, 1, 2, 1, 1]",2.011525088336413,0.9059404487504455
