Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 3]",96.99999999999663,"[-999, 6]","[0, 0]","[0, 0]",1
1,"[0, 1]",77.94999999999771,"[0, 12]","[4.099999999999993, 0.05]","[3.5499999999999954, 0]",1
2,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
3,"[2, 1]",37.6,"[2, -999]","[0.44999999999999996, 0]","[0, 0]",1
4,"[0, 3]",102.59999999999631,"[1, 11]","[0.05, 0]","[0, 0]",1
5,"[2, 1]",36.95000000000004,"[3, 3]","[0.05, 0]","[0, 0]",1
6,"[2, 3]",69.3499999999982,"[5, 2]","[0.49999999999999994, 0]","[0, 0]",1
7,"[0, 3]",100.29999999999644,"[4, 4]","[0.05, 0]","[0, 0]",1
8,"[0, 3]",102.7999999999963,"[7, 7]","[0.6, 0]","[0, 0]",1
9,"[0, 1]",74.94999999999789,"[8, 14]","[1.7000000000000008, 0]","[0, 0]",1
10,"[0, 1]",77.24999999999775,"[9, 9]","[2.8999999999999977, 0]","[0, 0]",1
11,"[2, 3]",72.59999999999802,"[6, 0]","[0.05, 0]","[0, 0]",1
12,"[2, 1]",38.89999999999993,"[11, -999]","[0.44999999999999996, 0]","[0, 0]",1
13,"[0, 3]",104.94999999999618,"[10, 21]","[0.05, 0]","[0, 0]",1
14,"[2, 1]",46.24999999999951,"[12, 1]","[3.4499999999999957, 0]","[3.399999999999996, 0]",1
15,"[0, 1]",74.19999999999793,"[13, 23]","[0.05, 0]","[0, 0]",1
16,"[0, 1]",76.4499999999978,"[15, 15]","[0.65, 0]","[0, 0]",1
17,"[0, 1]",78.74999999999767,"[16, 16]","[1.850000000000001, 0]","[0, 0]",1
18,"[0, 1]",81.04999999999754,"[17, 17]","[3.049999999999997, 0]","[0, 0]",1
19,"[2, 3]",77.89999999999772,"[14, 8]","[2.499999999999999, 0.05]","[2.4499999999999993, 0]",1
20,"[0, 1]",85.54999999999728,"[18, 30]","[4.049999999999994, 0]","[2.549999999999999, 0]",1
21,"[2, 3]",77.29999999999775,"[19, 19]","[0.05, 0]","[0, 0]",1
22,"[0, 1]",84.34999999999735,"[20, 20]","[0.05, 0]","[0, 0]",1
23,"[2, 1]",47.64999999999943,"[21, 10]","[3.649999999999995, 0]","[3.599999999999995, 0]",1
24,"[0, 3]",113.69999999999568,"[22, 32]","[0.05, 0]","[0, 0]",1
25,"[2, 3]",77.49999999999774,"[23, 13]","[0.05, 0]","[0, 0]",1
26,"[0, 1]",84.09999999999737,"[24, 33]","[0.05, 0]","[0, 0]",1
27,"[2, 3]",77.14999999999776,"[25, 25]","[0.05, 0]","[0, 0]",1
28,"[2, 3]",79.34999999999764,"[27, 27]","[0.44999999999999996, 0]","[0, 0]",1
29,"[0, 1]",80.99999999999754,"[26, 26]","[0.05, 0]","[0, 0]",1
30,"[2, 1]",54.39999999999905,"[28, 18]","[2.799999999999998, 0.05]","[2.7499999999999982, 0]",1
31,"[0, 1]",80.54999999999757,"[29, 29]","[0.05, 0]","[0, 0]",1
32,"[2, 3]",81.49999999999751,"[30, 28]","[0.05, 0]","[0, 0]",1
33,"[2, 1]",59.899999999998734,"[32, 22]","[3.4499999999999957, 0]","[2.9999999999999973, 0]",1
34,"[2, 1]",78.64999999999768,"[33, 31]","[22.80000000000019, 0.05]","[9.800000000000004, 0]",1
35,"[0, 3]",104.5999999999962,"[31, 24]","[0.05, 0]","[0, 0]",1
36,"[0, 1]",83.19999999999742,"[35, 37]","[3.7499999999999947, 0]","[3.1999999999999966, 0]",1
37,"[2, 1]",73.69999999999796,"[34, 34]","[11.300000000000026, 0]","[0, 0]",1
38,"[0, 3]",112.94999999999573,"[36, 39]","[0.05, 0]","[0, 0]",1
39,"[2, 3]",103.84999999999624,"[37, 35]","[21.50000000000017, 0]","[0, 0]",1
40,"[2, 1]",76.69999999999779,"[39, 36]","[19.650000000000144, 0]","[0, 0]",1
41,"[2, 1]",79.8499999999976,"[40, 40]","[18.850000000000133, 0]","[0, 0]",1
42,"[0, 3]",107.49999999999604,"[38, 38]","[0.05, 0]","[0, 0]",1
43,"[2, 1]",80.14999999999759,"[41, 41]","[15.700000000000088, 0]","[0, 0]",1
44,"[2, 1]",89.04999999999708,"[43, 46]","[14.700000000000074, 0]","[0, 0]",1
45,"[0, 3]",104.44999999999621,"[42, 42]","[0.05, 0]","[0, 0]",1
46,"[0, 1]",78.89999999999766,"[45, 43]","[0.6, 0]","[0, 0]",1
47,"[0, 3]",110.09999999999589,"[46, 45]","[1.7000000000000008, 0]","[0, 0]",1
48,"[2, 3]",113.89999999999567,"[44, 47]","[5.899999999999987, 0]","[0, 0]",1
49,"[0, 1]",80.29999999999758,"[47, 44]","[0.15000000000000002, 0]","[0, 0]",1
50,"[2, 3]",114.44999999999564,"[48, 48]","[2.849999999999998, 0]","[0, 0]",1
51,"[2, 3]",122.54999999999518,"[50, 57]","[1.950000000000001, 0]","[0, 0]",1
52,"[2, 1]",92.54999999999688,"[51, 55]","[1.3000000000000005, 0]","[0, 0]",1
53,"[2, 1]",101.99999999999635,"[52, 59]","[2.1000000000000005, 0]","[0, 0]",1
54,"[2, 3]",145.7999999999989,"[53, 67]","[9.55, 0]","[6.5999999999999845, 0]",1
55,"[0, 1]",68.54999999999825,"[49, 49]","[0.05, 0]","[0, 0]",1
56,"[2, 3]",145.7999999999989,"[54, 54]","[1.0000000000000002, 0]","[0, 0]",1
57,"[0, 3]",100.74999999999642,"[55, 50]","[0.05, 0]","[0, 0]",1
58,"[0, 3]",108.54999999999598,"[57, 51]","[2.25, 0.05]","[1.6000000000000008, 0]",1
59,"[0, 1]",81.09999999999754,"[58, 52]","[1.800000000000001, 0]","[0, 0]",1
60,"[2, 3]",140.4999999999977,"[56, 56]","[0.05, 0]","[0, 0]",1
61,"[0, 3]",109.34999999999593,"[59, 58]","[0.25, 0]","[0, 0]",1
62,"[2, 3]",151.30000000000015,"[60, 77]","[6.649999999999984, 0]","[6.5999999999999845, 0]",1
63,"[2, 3]",154.05000000000078,"[62, 62]","[0.44999999999999996, 0]","[0, 0]",1
64,"[0, 3]",107.19999999999605,"[61, 61]","[0.05, 0]","[0, 0]",1
65,"[2, 1]",122.59999999999518,"[63, 79]","[0.05, 0]","[0, 0]",1
66,"[2, 3]",156.90000000000143,"[65, 63]","[1.1500000000000004, 0]","[0, 0]",1
67,"[0, 3]",104.44999999999621,"[64, 64]","[0.05, 0]","[0, 0]",1
68,"[0, 1]",76.74999999999778,"[67, 53]","[0.6, 0]","[0, 0]",1
69,"[2, 3]",154.95000000000098,"[66, 66]","[2.000000000000001, 0]","[0, 0]",1
70,"[2, 3]",158.00000000000168,"[69, 69]","[6.499999999999985, 0]","[0, 0]",1
71,"[0, 1]",73.54999999999797,"[68, 68]","[0.05, 0]","[0, 0]",1
72,"[0, 1]",75.89999999999783,"[71, 71]","[0.6, 0]","[0, 0]",1
73,"[2, 3]",155.60000000000113,"[70, 70]","[10.050000000000008, 0]","[0, 0]",1
74,"[2, 3]",158.70000000000184,"[73, 73]","[13.350000000000055, 0]","[0, 0]",1
75,"[2, 3]",161.85000000000255,"[74, 74]","[14.200000000000067, 0]","[0, 0]",1
76,"[0, 3]",101.99999999999635,"[72, 60]","[0.05, 0]","[0, 0]",1
77,"[0, 3]",104.5499999999962,"[76, 76]","[0.6, 0]","[0, 0]",1
78,"[0, 1]",76.69999999999779,"[77, 72]","[1.7000000000000008, 0]","[0, 0]",1
79,"[0, 1]",78.99999999999766,"[78, 78]","[2.8999999999999977, 0]","[0, 0]",1
0,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",2
1,"[2, 3]",68.94999999999823,"[0, -999]","[0.44999999999999996, 0]","[0, 0]",2
2,"[0, 1]",67.49999999999831,"[-999, 10]","[0, 0]","[0, 0]",2
3,"[0, 1]",74.34999999999792,"[2, 13]","[0.5499999999999999, 0]","[0, 0]",2
4,"[2, 3]",68.99999999999822,"[1, 1]","[0.05, 0]","[0, 0]",2
5,"[2, 3]",72.14999999999804,"[4, 4]","[0.44999999999999996, 0]","[0, 0]",2
6,"[0, 3]",100.54999999999643,"[3, 9]","[0.05, 0]","[0, 0]",2
7,"[2, 3]",71.99999999999805,"[5, 5]","[0.05, 0]","[0, 0]",2
8,"[0, 1]",71.59999999999808,"[6, 16]","[0.05, 0]","[0, 0]",2
9,"[2, 3]",71.64999999999807,"[7, 7]","[0.05, 0]","[0, 0]",2
10,"[2, 1]",38.09999999999997,"[9, -999]","[0.44999999999999996, 0]","[0, 0]",2
11,"[0, 3]",99.44999999999649,"[8, 17]","[0.05, 0]","[0, 0]",2
12,"[0, 1]",71.99999999999805,"[11, 19]","[0.6, 0]","[0, 0]",2
13,"[2, 1]",41.29999999999979,"[10, 2]","[0.05, 0]","[0, 0]",2
14,"[0, 3]",102.39999999999633,"[12, 20]","[0.05, 0]","[0, 0]",2
15,"[0, 3]",104.5499999999962,"[14, 14]","[0.8000000000000002, 0]","[0, 0]",2
16,"[2, 1]",42.34999999999973,"[13, 3]","[0.05, 0]","[0, 0]",2
17,"[2, 3]",77.14999999999776,"[16, 6]","[4.049999999999994, 0]","[3.599999999999995, 0]",2
18,"[0, 3]",106.19999999999611,"[15, 23]","[2.3999999999999995, 0.05]","[2.3499999999999996, 0]",2
19,"[2, 1]",46.99999999999947,"[17, 8]","[0.05, 0]","[0, 0]",2
20,"[2, 3]",80.59999999999756,"[19, 11]","[3.7499999999999947, 0]","[3.2499999999999964, 0]",2
21,"[0, 1]",71.1999999999981,"[18, -999]","[0.05, 0]","[0, 0]",2
22,"[2, 1]",50.14999999999929,"[20, 12]","[0.05, 0]","[0, 0]",2
23,"[2, 3]",87.39999999999718,"[22, 15]","[4.99999999999999, 0]","[0.05, 0]",2
24,"[2, 3]",94.54999999999677,"[23, 18]","[5.799999999999987, 0]","[0, 0]",2
25,"[0, 1]",67.94999999999828,"[21, 21]","[0.05, 0]","[0, 0]",2
26,"[0, 3]",101.64999999999637,"[25, 29]","[0.5499999999999999, 0]","[0, 0]",2
27,"[0, 1]",75.34999999999786,"[26, 32]","[1.7000000000000008, 0]","[0, 0]",2
28,"[0, 1]",77.64999999999773,"[27, 27]","[2.8999999999999977, 0]","[0, 0]",2
29,"[2, 3]",85.54999999999728,"[24, 24]","[0.05, 0]","[0, 0]",2
30,"[0, 1]",77.24999999999775,"[28, 28]","[1.3500000000000005, 0]","[0, 0]",2
31,"[0, 3]",109.59999999999592,"[30, 35]","[2.5999999999999988, 0]","[0, 0]",2
32,"[2, 1]",53.74999999999908,"[29, 25]","[0.05, 0]","[0, 0]",2
33,"[2, 3]",88.44999999999712,"[32, 26]","[0.44999999999999996, 0]","[0, 0]",2
34,"[0, 1]",81.54999999999751,"[31, 39]","[2.549999999999999, 0]","[2.499999999999999, 0]",2
35,"[2, 3]",88.7499999999971,"[33, 33]","[0.05, 0]","[0, 0]",2
36,"[2, 1]",66.44999999999837,"[35, 30]","[1.6500000000000008, 0]","[0, 0]",2
37,"[0, 1]",77.84999999999772,"[34, 34]","[0.05, 0]","[0, 0]",2
38,"[0, 1]",80.09999999999759,"[37, 37]","[0.6, 0]","[0, 0]",2
39,"[2, 1]",61.54999999999864,"[36, 36]","[0.05, 0]","[0, 0]",2
40,"[0, 1]",79.59999999999762,"[38, 38]","[0.05, 0]","[0, 0]",2
41,"[0, 3]",111.5999999999958,"[40, 44]","[0.8000000000000002, 0]","[0, 0]",2
42,"[2, 3]",89.09999999999708,"[39, 31]","[0.05, 0]","[0, 0]",2
43,"[2, 3]",92.99999999999686,"[42, 42]","[0.44999999999999996, 0]","[0, 0]",2
44,"[2, 3]",96.39999999999667,"[43, 43]","[1.2500000000000004, 0]","[0, 0]",2
45,"[2, 1]",70.79999999999812,"[44, 40]","[2.1000000000000005, 0]","[0, 0]",2
46,"[0, 3]",103.69999999999625,"[41, 41]","[0.05, 0]","[0, 0]",2
47,"[2, 3]",106.49999999999609,"[45, 46]","[0.15000000000000002, 0]","[0, 0]",2
48,"[2, 1]",78.89999999999766,"[47, 50]","[1.0000000000000002, 0]","[0, 0]",2
49,"[2, 3]",112.84999999999573,"[48, 47]","[1.850000000000001, 0]","[0, 0]",2
50,"[0, 1]",68.69999999999824,"[46, 45]","[0.05, 0]","[0, 0]",2
51,"[2, 1]",85.44999999999729,"[49, 53]","[0.05, 0]","[0, 0]",2
52,"[0, 1]",75.04999999999788,"[50, 48]","[3.399999999999996, 0.05]","[3.349999999999996, 0]",2
53,"[0, 1]",75.74999999999784,"[52, 52]","[0.65, 0]","[0, 0]",2
54,"[0, 3]",107.24999999999605,"[53, 49]","[1.800000000000001, 0]","[0, 0]",2
55,"[2, 3]",110.79999999999585,"[51, 54]","[0.05, 0]","[0, 0]",2
56,"[0, 1]",77.24999999999775,"[54, 51]","[0.25, 0]","[0, 0]",2
57,"[0, 1]",79.54999999999762,"[56, 56]","[1.4500000000000006, 0]","[0, 0]",2
58,"[2, 1]",82.14999999999748,"[55, 57]","[0.05, 0]","[0, 0]",2
59,"[2, 3]",120.94999999999527,"[58, 62]","[0.65, 0]","[0, 0]",2
60,"[0, 3]",106.3999999999961,"[57, 55]","[0.05, 0]","[0, 0]",2
61,"[2, 3]",125.749999999995,"[59, 68]","[0.05, 0]","[0, 0]",2
62,"[0, 3]",106.99999999999606,"[60, 60]","[0.05, 0]","[0, 0]",2
63,"[2, 1]",94.69999999999676,"[61, 70]","[6.199999999999986, 0]","[0, 0]",2
64,"[2, 3]",135.54999999999657,"[63, 74]","[9.5, 0]","[3.349999999999996, 0]",2
65,"[0, 1]",74.09999999999793,"[62, 58]","[0.05, 0]","[0, 0]",2
66,"[2, 1]",104.39999999999621,"[64, 76]","[3.2999999999999963, 0]","[0, 0]",2
67,"[2, 3]",138.7499999999973,"[66, 78]","[2.499999999999999, 0]","[0, 0]",2
68,"[0, 3]",101.44999999999638,"[65, 59]","[0.05, 0]","[0, 0]",2
69,"[2, 1]",107.74999999999602,"[67, 66]","[1.1500000000000004, 0]","[0, 0]",2
70,"[0, 1]",70.84999999999812,"[68, 65]","[0.05, 0]","[0, 0]",2
71,"[2, 3]",139.2499999999974,"[69, 67]","[1.6500000000000008, 0]","[0, 0]",2
72,"[2, 1]",112.04999999999578,"[71, 69]","[2.3999999999999995, 0]","[0, 0]",2
73,"[0, 3]",99.44999999999649,"[70, 61]","[0.05, 0]","[0, 0]",2
74,"[0, 3]",102.34999999999633,"[73, 73]","[0.6, 0]","[0, 0]",2
75,"[2, 1]",110.09999999999589,"[72, 72]","[1.1000000000000003, 0]","[0, 0]",2
76,"[0, 1]",72.19999999999804,"[74, 63]","[0.05, 0]","[0, 0]",2
77,"[2, 1]",110.04999999999589,"[75, 75]","[2.799999999999998, 0]","[0, 0]",2
78,"[0, 3]",102.49999999999632,"[76, 64]","[0.05, 0]","[0, 0]",2
79,"[2, 3]",140.69999999999774,"[77, 71]","[4.6499999999999915, 0]","[0, 0]",2
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",3
