Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.6113449191213727, -3.4846025949484924, -4.228862562972498, -4.324313046243563]","[0.3159963963888385, 0.35869524701391636, 0.1704109999208724, 0.15489735667637283]","[0, 2, 1, 3, 2, 1, 2, 1, 3, 3, 2, 1, 1, 1, 0, 2, 3, 2, 3, 1, 1, 1, 2, 1, 3]",2.707227506875137,0.934504422893904
1,"[-7.684100027921838, -6.521633234668118, -6.781269998540809, -5.87107241645971]","[0.07816554140532715, 0.2499586981217218, 0.19280107016862422, 0.47907469030432687]","[1, 0, 2, 3, 0, 2, 2, 0, 3, 2, 2, 3, 3, 3, 2, 1, 1, 3, 2, 2, 3, 3, 1, 3, 3]",2.2006360944863768,1.0773311880194554
2,"[-4.592494900560915, -4.488709269996677, -4.494256739937104, -3.741580188462231]","[0.1800382241285306, 0.19972767529665567, 0.19862275959858075, 0.4216113409762329]","[0, 1, 3, 2, 3, 3, 2, 0, 3, 0, 0, 1, 2, 0, 1, 0, 1, 2, 2, 3, 1, 1, 0, 2, 1]",2.7522997731292134,0.7732764352624939
3,"[-5.333025580653812, -4.474988257769597, -4.4096094175737885, -4.13420422847034]","[0.10878302984807045, 0.2565677261884364, 0.2739023099197115, 0.36074693404378166]","[3, 1, 0, 2, 0, 2, 2, 0, 3, 3, 2, 3, 2, 2, 0, 1, 3, 1, 2, 1, 3, 1, 1, 2, 0]",2.1938139374093,0.8337073211721666
4,"[-7.374766468092459, -6.798714053995429, -6.238079697575697, -6.083242479935951]","[0.10489046885366883, 0.18660033170104381, 0.32688336405929647, 0.3816258353859909]","[2, 0, 3, 1, 3, 1, 1, 2, 2, 3, 2, 3, 3, 2, 1, 2, 2, 2, 2, 2, 1, 0, 2, 0, 0]",2.590402940287112,1.0183242140185316
5,"[-4.446338177993885, -4.057055185394978, -4.593035643778913, -4.978590451577217]","[0.2546629990621261, 0.37586276550410547, 0.21991555527790208, 0.14955868015586643]","[3, 2, 0, 1, 2, 0, 3, 0, 0, 3, 0, 0, 3, 1, 3, 2, 1, 1, 2, 2, 0, 2, 0, 0, 0]",2.629322662134189,0.8415972578546331
6,"[-11.138257795697655, -10.410193280943671, -9.376609825994219, -8.32390611340053]","[0.03909999777977275, 0.08097876217816977, 0.22764112595040883, 0.6522801140916487]","[3, 0, 2, 1, 3, 2, 3, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 2, 1, 1, 3, 3, 2, 3, 3]",2.2314066670894683,1.1958546524314542
7,"[-4.525337180103731, -4.941479498915488, -4.394577036489254, -4.089988719382226]","[0.23016112968779168, 0.15181114916756072, 0.26231334727691175, 0.3557143738677359]","[2, 1, 3, 0, 3, 0, 0, 2, 2, 0, 2, 2, 0, 2, 3, 2, 1, 1, 3, 3, 1, 1, 0, 1, 0]",2.505911796042344,0.8433163471553383
8,"[-4.569261097194962, -3.9779994704255603, -4.1927735035809395, -4.221470967737741]","[0.17607622941762155, 0.31804047346496683, 0.2565707914453889, 0.24931250567202273]","[0, 3, 1, 2, 3, 2, 0, 3, 1, 1, 2, 2, 2, 3, 0, 0, 0, 2, 0, 0, 2, 2, 1, 2, 3]",2.703441335697621,0.7879941178717977
9,"[-12.889789762330702, -11.924124247909068, -12.199296903310003, -10.109241788190014]","[0.04597893596486441, 0.12076528788101709, 0.0917141098241833, 0.7415416663299352]","[0, 1, 2, 3, 1, 3, 3, 3, 1, 1, 2, 1, 3, 1, 3, 2, 3, 3, 3, 2, 2, 3, 2, 3, 2]",2.9740521381278344,1.2364801798155387
