Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 3]",68.94999999999823,"[1, -999]","[0, 0]","[0, 0]",1
3,"[0, 3]",97.4999999999966,"[0, 10]","[0, 0]","[0, 0]",1
4,"[0, 1]",77.24999999999775,"[3, 14]","[2.8999999999999977, 0]","[2.8999999999999977, 0]",1
5,"[0, 3]",107.09999999999606,"[4, 3]","[0, 0]","[0, 0]",1
6,"[0, 1]",86.04999999999725,"[5, 18]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",1
7,"[0, 1]",86.59999999999722,"[6, 6]","[0, 0]","[0, 0]",1
8,"[0, 1]",88.39999999999712,"[7, 7]","[0, 0]","[0, 0]",1
9,"[0, 3]",120.4499999999953,"[8, 5]","[0, 0]","[0, 0]",1
10,"[2, 3]",68.04999999999828,"[2, 2]","[0, 0]","[0, 0]",1
11,"[2, 1]",40.84999999999982,"[10, 0]","[0, 0]","[0, 0]",1
12,"[2, 1]",43.149999999999686,"[11, 11]","[0, 0]","[0, 0]",1
13,"[0, 3]",115.84999999999556,"[9, 9]","[0, 0]","[0, 0]",1
14,"[2, 1]",42.9499999999997,"[12, 12]","[0, 0]","[0, 0]",1
15,"[0, 3]",115.89999999999556,"[13, 13]","[0, 0]","[0, 0]",1
16,"[0, 3]",118.44999999999541,"[15, 15]","[0, 0]","[0, 0]",1
17,"[2, 1]",45.099999999999575,"[14, 4]","[0, 0]","[0, 0]",1
18,"[2, 1]",47.29999999999945,"[17, 17]","[0, 0]","[0, 0]",1
19,"[0, 1]",85.04999999999731,"[16, 24]","[0, 0]","[0, 0]",1
20,"[0, 1]",87.39999999999718,"[19, 19]","[0, 0]","[0, 0]",1
21,"[2, 1]",58.89999999999879,"[18, 8]","[9.750000000000004, 0]","[9.750000000000004, 0]",1
22,"[0, 1]",86.9499999999972,"[20, 20]","[0, 0]","[0, 0]",1
23,"[0, 3]",121.39999999999525,"[22, 31]","[0, 0]","[0, 0]",1
24,"[2, 1]",54.449999999999044,"[21, 21]","[0, 0]","[0, 0]",1
25,"[2, 3]",99.1999999999965,"[24, 16]","[15.10000000000008, 0]","[6.749999999999984, 0]",1
26,"[0, 3]",118.39999999999542,"[23, 23]","[0, 0]","[0, 0]",1
27,"[0, 1]",91.64999999999694,"[26, 37]","[0, 0]","[0, 0]",1
28,"[0, 3]",124.99999999999504,"[27, 40]","[0, 0]","[0, 0]",1
29,"[2, 3]",93.69999999999682,"[25, 25]","[0, 0]","[0, 0]",1
30,"[0, 3]",124.94999999999504,"[28, 28]","[0, 0]","[0, 0]",1
31,"[2, 3]",93.84999999999681,"[29, 29]","[0, 0]","[0, 0]",1
32,"[0, 3]",124.59999999999506,"[30, 30]","[0, 0]","[0, 0]",1
33,"[0, 1]",95.99999999999669,"[32, 46]","[0, 0]","[0, 0]",1
34,"[0, 3]",134.54999999999634,"[33, 51]","[2.6499999999999986, 0]","[2.6499999999999986, 0]",1
35,"[2, 1]",57.049999999998896,"[31, 22]","[7.599999999999981, 0]","[0, 0]",1
36,"[0, 3]",133.99999999999622,"[34, 34]","[0, 0]","[0, 0]",1
37,"[2, 1]",57.49999999999887,"[35, 35]","[3.699999999999995, 0]","[0, 0]",1
38,"[0, 1]",102.19999999999634,"[36, -999]","[0, 0]","[0, 0]",1
39,"[0, 3]",135.59999999999658,"[38, 55]","[0, 0]","[0, 0]",1
40,"[2, 3]",86.14999999999725,"[37, 26]","[0, 0]","[0, 0]",1
41,"[0, 1]",104.29999999999622,"[39, 38]","[0, 0]","[0, 0]",1
42,"[0, 1]",106.59999999999609,"[41, 41]","[0, 0]","[0, 0]",1
43,"[2, 1]",52.69999999999914,"[40, 27]","[0, 0]","[0, 0]",1
44,"[0, 1]",112.19999999999577,"[42, 57]","[2.499999999999999, 0]","[2.499999999999999, 0]",1
45,"[0, 3]",144.4999999999986,"[44, 60]","[0, 0]","[0, 0]",1
46,"[2, 1]",50.399999999999274,"[43, 43]","[0, 0]","[0, 0]",1
47,"[2, 3]",88.49999999999712,"[46, 32]","[0, 0]","[0, 0]",1
48,"[0, 1]",111.04999999999583,"[45, 44]","[0, 0]","[0, 0]",1
49,"[0, 1]",113.3999999999957,"[48, 48]","[0, 0]","[0, 0]",1
50,"[0, 1]",115.79999999999556,"[49, 49]","[0, 0]","[0, 0]",1
51,"[2, 3]",82.54999999999745,"[47, 47]","[0, 0]","[0, 0]",1
52,"[0, 1]",115.29999999999559,"[50, 50]","[0, 0]","[0, 0]",1
53,"[0, 3]",150.54999999999998,"[52, 68]","[0, 0]","[0, 0]",1
54,"[0, 1]",123.09999999999515,"[53, 70]","[0, 0]","[0, 0]",1
55,"[2, 3]",86.69999999999722,"[51, 36]","[6.649999999999984, 0]","[6.649999999999984, 0]",1
56,"[2, 3]",94.0999999999968,"[55, 39]","[13.150000000000052, 0]","[5.699999999999988, 0]",1
57,"[2, 1]",71.0999999999981,"[56, 42]","[15.900000000000091, 0]","[0, 0]",1
58,"[0, 1]",116.74999999999551,"[54, 54]","[0, 0]","[0, 0]",1
59,"[0, 3]",151.5500000000002,"[58, 72]","[0, 0]","[0, 0]",1
60,"[2, 3]",96.59999999999665,"[57, 56]","[20.15000000000015, 0]","[0.2, 0]",1
61,"[0, 3]",151.35000000000016,"[59, 59]","[0, 0]","[0, 0]",1
62,"[2, 3]",103.29999999999627,"[60, 45]","[18.200000000000124, 0]","[0, 0]",1
63,"[0, 1]",121.74999999999523,"[61, 78]","[0, 0]","[0, 0]",1
64,"[0, 3]",153.45000000000064,"[63, 61]","[0, 0]","[0, 0]",1
65,"[2, 3]",100.44999999999644,"[62, 62]","[10.95000000000002, 0]","[0, 0]",1
66,"[2, 3]",103.29999999999627,"[65, 65]","[9.600000000000001, 0]","[0, 0]",1
67,"[0, 1]",121.04999999999526,"[64, 79]","[0, 0]","[0, 0]",1
68,"[2, 3]",103.59999999999626,"[66, 66]","[6.849999999999984, 0]","[0, 0]",1
69,"[0, 1]",120.4499999999953,"[67, 67]","[0, 0]","[0, 0]",1
70,"[2, 1]",72.39999999999803,"[68, 52]","[3.349999999999996, 0]","[0, 0]",1
71,"[2, 3]",106.94999999999607,"[70, 53]","[2.0500000000000007, 0]","[0, 0]",1
72,"[2, 3]",110.14999999999588,"[71, 71]","[0.49999999999999994, 0]","[0, 0]",1
73,"[2, 1]",81.7499999999975,"[72, 58]","[0, 0]","[0, 0]",1
74,"[0, 3]",141.89999999999802,"[69, 64]","[0, 0]","[0, 0]",1
75,"[0, 3]",145.44999999999882,"[74, 74]","[0, 0]","[0, 0]",1
76,"[0, 1]",118.19999999999543,"[75, 69]","[0, 0]","[0, 0]",1
77,"[0, 3]",150.90000000000006,"[76, 75]","[0, 0]","[0, 0]",1
78,"[2, 1]",73.89999999999795,"[73, 73]","[0, 0]","[0, 0]",1
79,"[2, 1]",82.84999999999744,"[78, 63]","[0.65, 0]","[0, 0]",1
