Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-18.696212429815336, -18.8286862686282, -18.529057396869707, -13.05092913869986]","[0.003496362095803611, 0.00306255393741076, 0.004132481440888968, 0.9893086025258966]","[2, 0, 1, 3, 3, 3]",7.956700602868312,1.292647692753815
1,"[-12.177779825409385, -8.49202447959297, -8.386812083169735, -8.612840121711793]","[0.008297942395318331, 0.3308823670667849, 0.3675926229481347, 0.2932270675897621]","[3, 2, 0, 1, 0, 1]",6.687905486626859,1.0951238290976275
2,"[-0.15562938430054207, -2.725742045272324, -0.6087441845362658, -2.7089315558331686]","[0.558660362426399, 0.04275255872888348, 0.35510975390920807, 0.04347732493550927]","[2, 3, 1, 0, 3, 2]",7.110334232269504,0.6293707577798298
3,"[-15.49421856172368, -12.439541796608061, -9.967249484314777, -11.527338181159564]","[0.00306358785993747, 0.0649919552910029, 0.7701272876141926, 0.16181716923486716]","[1, 2, 0, 3, 3, 1]",7.974229824015242,1.187920902454202
4,"[-10.152064728329817, -6.983580012040416, -10.357614087850493, -7.917669105105643]","[0.028631578405909724, 0.6806137503012814, 0.023311828419759435, 0.2674428428730494]","[3, 1, 2, 0, 2, 1]",7.513168206375557,1.100662553002301
5,"[-15.40190503672749, -14.269151826562869, -13.754244082768896, -10.254949235964022]","[0.0055185695322699365, 0.01713069518084684, 0.028667946099277787, 0.9486827891876054]","[2, 3, 0, 1, 2, 3]",6.832673598208265,1.1765398326264294
6,"[-11.784700713538369, -10.092254843565744, -13.582705347381907, -11.739251259482122]","[0.1308065103082508, 0.7106393663186877, 0.021665357946625458, 0.13688876542643602]","[1, 3, 0, 2, 3, 2]",7.811886128443613,1.194699751420882
7,"[-2.886834446173104, -1.679486615565614, -3.7250017976376766, -0.606957503788885]","[0.06871632701616863, 0.2298287941117819, 0.02971997789995109, 0.6717349009720984]","[3, 0, 2, 1, 1, 2]",8.933190885611562,0.724417324506274
8,"[-22.04651189679948, -19.239075851397736, -14.785085889519328, -15.962882140854706]","[0.0005317814096056883, 0.008810227716574795, 0.7574088870323711, 0.2332491038414484]","[0, 1, 2, 3, 3, 2]",6.7022789239491525,1.27649961629359
9,"[-4.951898231116217, -3.828347534490093, -4.733399341642527, -4.581151436986927]","[0.14773711664025027, 0.45440331017210545, 0.1838156484820715, 0.21404392470557276]","[2, 0, 1, 3, 2, 0]",7.670082424412158,0.8184940685182323
10,"[-7.294018650918971, -10.342069382997728, -10.631441349420378, -10.986502459264573]","[0.9026168566684036, 0.04283037001819476, 0.032068539266948776, 0.022484234046452795]","[0, 2, 1, 3, 2, 0]",8.013320943717561,1.083458792369374
11,"[-10.02060519645907, -9.102881884332406, -7.35158742092282, -8.604529896777015]","[0.04535087297627107, 0.11353972075011542, 0.6542222998077633, 0.18688710646585016]","[2, 0, 1, 3, 3, 2]",6.961841842175896,1.031968209322917
12,"[-10.163260435591429, -14.196030313886899, -12.3345129813126, -11.92061268932748]","[0.7667177881817616, 0.013590199567960646, 0.08743242817020956, 0.13225958408006816]","[2, 3, 0, 1, 3, 2]",5.807827265222825,1.1819315560188062
13,"[-1.3087633869859554, -3.4359717596512587, -1.2498382436592352, -2.5525250564061768]","[0.40515962034536973, 0.04828267212450249, 0.429751122866565, 0.11680658466356285]","[0, 2, 3, 1, 0, 2]",6.703405048803215,0.7352483527299933
14,"[-5.183328535207601, -2.233758737677036, -5.063383778115355, -5.52004533196928]","[0.04558034371331918, 0.8704813741034754, 0.051388855082477106, 0.03254942710072824]","[3, 0, 2, 1, 3, 0]",7.483952326695158,0.8834081066897383
15,"[-3.54238596319244, -4.047116005716432, -3.7253583691580943, -3.7802006301339244]","[0.3100959387520872, 0.18719515586546454, 0.2582451489433301, 0.2444637564391181]","[1, 0, 3, 2, 3, 1]",7.111682400013245,0.7357682099298961
16,"[-7.538107110510126, -6.922735973006576, -5.43058274910208, -7.883374407773255]","[0.08484483593694159, 0.1569920655615519, 0.6980903182403067, 0.06007278026119984]","[2, 0, 1, 3, 1, 1]",7.517897782826399,0.9592691376754028
17,"[-14.048673469262228, -12.412332928467324, -13.197630478282422, -11.025912424461916]","[0.034451426298167005, 0.17695419953071023, 0.08068828436331223, 0.7079060898078104]","[2, 1, 3, 0, 3, 0]",6.309974145090258,1.1526108368716312
18,"[-7.135360719626476, -7.805804869229337, -6.990735016680152, -7.558221783948937]","[0.3010001069873427, 0.15395594200198628, 0.34783781529407354, 0.1972061357165975]","[1, 2, 0, 3, 2, 1]",7.2061586517018865,0.9549995198106204
19,"[-4.547852937751502, -3.7540910941584666, -2.9272397381273745, -3.5024827933190323]","[0.08999003191141035, 0.19903103179774528, 0.45500668323905014, 0.2559722530517944]","[2, 1, 3, 0, 3, 0]",8.39421164925027,0.740767398755164
20,"[-6.208818491520548, -6.16273151683774, -6.317377070960731, -5.8897788630959775]","[0.23147624814402895, 0.24239393739497103, 0.207663439321906, 0.3184663751390939]","[3, 0, 2, 1, 1, 1]",8.293018319196879,0.8870912897555299
21,"[-27.13349147640186, -32.09073667011752, -27.792050846090813, -19.182023432183833]","[0.0003519558591901782, 2.475049940981184e-06, 0.000182171107774632, 0.9994633979830942]","[2, 1, 0, 3, 2, 3]",6.6667772667371885,1.3508455932831236
22,"[-4.258838858259942, -3.3694335386698047, -2.6345739152453245, -4.11165425262063]","[0.10344538016818895, 0.2517531553424859, 0.5249529757495363, 0.11984848873978891]","[0, 2, 1, 3, 0, 0]",6.843972753580753,0.7262789862792438
