Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.455977381075036, -3.4577625846886133]","[0.5004463007848661, 0.4995536992151338]","[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0]",4.067670932103501,0.8105008564098617
1,"[-17.157571785298284, -17.249903786950366]","[0.5230666154512865, 0.47693338454871337]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",4.961587852362206,1.319482367954785
2,"[-15.862084276053546, -15.906248783229206]","[0.5110393324973426, 0.48896066750265743]","[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",4.678174878836875,1.302634678374576
3,"[-3.8695923941482353, -3.8723247308620863]","[0.5006830837534899, 0.49931691624651]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1]",4.4506451910119,0.8512418549195419
4,"[-7.080678342913404, -7.094563905768661]","[0.5034713349386503, 0.4965286650613497]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",5.061315147535001,1.0595403006633997
5,"[-7.22329716864437, -7.229649640791298]","[0.5015881126961901, 0.4984118873038099]","[0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",5.075806656591284,1.0655810465288515
6,"[-3.3089545725566265, -3.3111492325827174]","[0.5005486647863009, 0.49945133521369905]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4.808561745161538,0.7819311007367897
7,"[-5.415789358539657, -5.4128065009519855]","[0.4992542861559941, 0.5007457138440059]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]",4.984360327661237,0.9694983651129488
8,"[-11.392964150426577, -11.414074306236213]","[0.5052773429715189, 0.4947226570284811]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",5.021264327515421,1.201634496893946
9,"[-1.7765699710437066, -1.7770709788487342]","[0.5001252519486369, 0.49987474805136306]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",4.369923686950104,0.4622328144041842
10,"[-8.89802687638829, -8.950216970431484]","[0.5130445627404414, 0.48695543725955864]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",4.850315450275402,1.1317564544462018
11,"[-5.158154942063187, -5.1633798481271835]","[0.5013062235443807, 0.4986937764556193]","[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0]",5.1151314884618575,0.9495779780955844
12,"[-8.40074056542228, -8.4501923541688]","[0.512360428358203, 0.48763957164179705]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",6.389583773381529,1.0971095831568145
13,"[-3.4822236595791995, -3.4931118357711237]","[0.502722017156233, 0.497277982843767]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]",4.7334834277220335,0.8032349058776046
14,"[-10.22540420648552, -10.328901867942]","[0.5258513433545949, 0.47414865664540506]","[1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",5.911591907542884,1.1556123202797504
15,"[-4.580098743008765, -4.5906290142103785]","[0.5026325434742962, 0.49736745652570385]","[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",5.305976453786576,0.9056170755579888
16,"[-4.988094901693336, -5.0010991494589945]","[0.5032510161264743, 0.4967489838735257]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",4.345725367638841,0.94723690855527
17,"[-3.1671883348892926, -3.1707143803784033]","[0.5008815104589597, 0.4991184895410402]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]",4.854118681230944,0.7602571582220033
