Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-5.246814484373247, -5.285082490339671, -4.7232685902244445, -4.579882913427331]","[0.1786126509768935, 0.17190663232487013, 0.3014986064860442, 0.3479821102121923]","[1, 3, 0, 2, 1, 2, 2, 3, 0, 3, 3, 0, 2, 3, 2, 0, 3, 3, 2, 0, 1, 1, 3, 1, 0, 1, 3, 0, 2, 1, 3, 2, 2]",4.067670932103501,0.8105008564098617
1,"[-22.385336941767072, -21.65866170008762, -18.440022722413655, -16.484916312642085]","[0.0023812255594299176, 0.00492483384876297, 0.12309168884515277, 0.8696022517466544]","[3, 2, 1, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]",4.961587852362206,1.319482367954785
2,"[-20.298357952312937, -19.20709036617115, -19.00118087805505, -15.607077132249996]","[0.008574146070888787, 0.02553420665431677, 0.03137239853456488, 0.9345192487402295]","[2, 0, 1, 3, 2, 3, 3, 0, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3]",4.678174878836875,1.302634678374576
3,"[-5.690744451090039, -6.100159586780267, -5.938264419907963, -5.823921292110075]","[0.30119725060980285, 0.200006573212877, 0.23515512410450534, 0.2636410520728147]","[1, 2, 0, 3, 3, 2, 1, 0, 0, 3, 3, 2, 0, 0, 0, 0, 2, 3, 2, 2, 3, 1, 3, 0, 0, 1, 1, 2, 0, 2, 1, 0, 1]",4.4506451910119,0.8512418549195419
4,"[-10.537045683318002, -9.530111625006658, -9.955779994240386, -8.989563004008778]","[0.09779835079751349, 0.2676932598465862, 0.17489283290935176, 0.45961555644654867]","[1, 2, 3, 0, 3, 0, 1, 2, 0, 1, 1, 2, 1, 3, 3, 2, 1, 2, 1, 3, 2, 0, 2, 1, 3, 1, 0, 3, 1, 1, 1, 2, 3]",5.061315147535001,1.0595403006633997
5,"[-10.661015866362483, -10.592602646617934, -10.325595540466868, -9.289577128424167]","[0.13494634694603316, 0.14450158685061573, 0.1887262580984011, 0.5318258081049501]","[1, 2, 3, 0, 3, 0, 3, 3, 1, 3, 1, 0, 1, 3, 3, 3, 3, 3, 2, 3, 3, 0, 2, 3, 2, 2, 1, 0, 0, 3, 1, 0, 1]",5.075806656591284,1.0655810465288515
6,"[-5.3486346261387405, -5.130767898891195, -5.088659590388523, -5.051714589326169]","[0.20466527366327494, 0.25448516931925524, 0.26542992476793303, 0.27541963224953686]","[3, 2, 0, 1, 3, 0, 2, 1, 3, 1, 1, 1, 3, 3, 2, 0, 3, 0, 2, 0, 2, 0, 0, 3, 2, 2, 1, 2, 2, 3, 2, 0, 1]",4.808561745161538,0.7819311007367897
7,"[-7.8309138290764615, -7.438583531644717, -8.27798158334812, -7.460714855855281]","[0.21891658694435656, 0.3240899410690448, 0.1399972838652256, 0.3169961881213729]","[1, 0, 3, 2, 2, 1, 0, 0, 3, 2, 2, 3, 1, 1, 3, 3, 1, 3, 0, 0, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 1, 3, 3]",4.984360327661237,0.9694983651129488
8,"[-16.037865895849052, -15.832257650770464, -15.169215846475987, -12.746575753884361]","[0.03175663760233728, 0.039005786499627826, 0.07569800538881366, 0.8535395705092212]","[1, 2, 3, 0, 2, 3, 3, 3, 3, 3, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 1, 3, 0, 3, 3, 3, 3]",5.021264327515421,1.201634496893946
9,"[-3.277070538945531, -3.256735849375941, -3.08032956375889, -3.318933981221911]","[0.2382670039762678, 0.24316168680343056, 0.290073078332075, 0.22849823088822657]","[1, 0, 2, 3, 3, 0, 2, 0, 1, 3, 0, 2, 2, 1, 1, 0, 1, 3, 3, 0, 3, 2, 3, 0, 0, 2, 0, 1, 1, 1, 0, 1, 3]",4.369923686950104,0.4622328144041842
