Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-4.6580680489078015, -4.685048646081287, -4.178485458414181, -3.8888665170382737]","[0.17400920116357582, 0.16937709844381035, 0.281094459755747, 0.37551924063686676]","[0, 3, 2, 1, 3, 2, 0, 0, 3, 1, 3, 3, 3, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 0, 2, 1, 0, 3, 3, 1, 0, 0, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 0, 1, 1, 3, 3]",4.067670932103501,0.8105008564098617
1,"[-21.131305555336585, -19.549898540747424, -18.435611478781922, -15.362215473643394]","[0.002933206841937995, 0.014260640422747902, 0.043457801481401825, 0.9393483512539123]","[2, 0, 3, 1, 3, 3, 3, 3, 0, 3, 3, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 1, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3]",4.961587852362206,1.319482367954785
2,"[-17.60220040101281, -17.778576262143396, -16.982549819108634, -14.57565634650229]","[0.04111434851799195, 0.034466275072402394, 0.07640191450624167, 0.848017461903364]","[3, 2, 0, 1, 3, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 0, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.678174878836875,1.302634678374576
3,"[-4.976508481628224, -4.472028427771473, -5.130703472829305, -5.386011777986406]","[0.23939429141122828, 0.39646667962790966, 0.2051860146482676, 0.15895301431259437]","[2, 1, 0, 3, 1, 3, 1, 1, 0, 0, 3, 2, 2, 2, 1, 2, 2, 3, 0, 0, 1, 3, 2, 0, 1, 3, 3, 0, 3, 1, 0, 1, 0, 2, 1, 1, 1, 2, 3, 0, 0, 0, 1, 1, 1, 1, 2]",4.4506451910119,0.8512418549195419
4,"[-9.278100503668922, -8.348572751654036, -8.830422920712593, -7.801244012425353]","[0.10551701205741246, 0.2673075701809882, 0.16509973974906872, 0.46207567801253047]","[1, 2, 3, 0, 3, 2, 3, 2, 3, 3, 3, 1, 3, 1, 3, 0, 3, 0, 2, 3, 3, 2, 0, 1, 3, 0, 3, 3, 3, 3, 0, 3, 1, 0, 2, 3, 3, 1, 3, 2, 3, 1, 1, 3, 1, 3, 0]",5.061315147535001,1.0595403006633997
5,"[-9.468568891977512, -9.301868724835456, -8.733520886392904, -8.308546018048514]","[0.13410239550537947, 0.15842856866397287, 0.2796815569326375, 0.42778747889801017]","[2, 3, 1, 0, 3, 2, 2, 1, 3, 0, 1, 1, 0, 2, 3, 3, 2, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 1, 0, 0, 1, 3, 2, 3, 3, 3, 3, 2, 3, 0, 3, 2, 3, 3, 3, 1, 1]",5.075806656591284,1.0655810465288515
6,"[-5.0011530605776136, -4.439054184493453, -4.8488991395111265, -4.725270589520035]","[0.19096726113764498, 0.3350235680647401, 0.2223729498851442, 0.25163622091247073]","[1, 0, 2, 3, 3, 1, 1, 3, 2, 1, 0, 3, 2, 3, 3, 2, 1, 2, 3, 3, 0, 3, 2, 2, 3, 1, 1, 1, 1, 3, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0, 3, 0, 3, 1, 1, 3, 0]",4.808561745161538,0.7819311007367897
7,"[-7.700670810638325, -6.671301901654001, -7.079087454728067, -7.121729454101251]","[0.13431254275554702, 0.37598092161460833, 0.25007299334887545, 0.23963354228096928]","[3, 0, 2, 1, 2, 3, 3, 3, 2, 0, 1, 1, 3, 3, 2, 1, 2, 1, 1, 3, 2, 1, 1, 3, 2, 2, 1, 0, 3, 1, 2, 1, 1, 2, 0, 3, 3, 3, 2, 1, 1, 1, 2, 2, 0, 1, 1]",4.984360327661237,0.9694983651129488
8,"[-14.208506578651098, -14.247975453927424, -13.304741871451293, -12.452711754182747]","[0.09786434057814598, 0.09407697823925847, 0.2416153374950758, 0.5664433436875197]","[3, 0, 1, 2, 0, 2, 1, 3, 1, 1, 1, 3, 0, 3, 0, 3, 3, 0, 3, 2, 3, 3, 3, 2, 3, 2, 2, 3, 0, 3, 3, 0, 0, 3, 3, 3, 3, 3, 3, 2, 3, 2, 0, 3, 2, 3, 3]",5.021264327515421,1.201634496893946
9,"[-2.948041569029667, -2.782276008278399, -2.9736531087092786, -3.094908522756577]","[0.24885409791139967, 0.29372158630741996, 0.24256148700189578, 0.21486282877928453]","[3, 2, 0, 1, 1, 3, 1, 2, 3, 1, 3, 2, 3, 1, 0, 0, 2, 0, 3, 0, 3, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 3, 0, 3, 3, 3, 3, 2, 0, 1, 3, 1, 1, 2, 2, 0, 2]",4.369923686950104,0.4622328144041842
