Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-0.9646418569318908, -0.2612008153284584]","[0.33104974664239767, 0.6689502533576024]","[0, 1, 0, 0]",4.557567435280643,0.5126208814440004
1,"[-0.38842209487819535, -0.3878295458534302]","[0.49985186274814314, 0.5001481372518568]","[1, 0, 0, 1]",4.854041706818562,0.3785379126200878
2,"[0.2539300002367515, -0.44996296789013945]","[0.6690503274700976, 0.3309496725299023]","[0, 1, 1, 1]",5.167507944869824,0.3031450125763424
3,"[-0.16964802039900406, -0.8753040877363675]","[0.6694405999773813, 0.3305594000226188]","[1, 0, 1, 1]",5.4369913774510055,0.4799010304694899
4,"[-0.6388794307855497, -0.6417594534145077]","[0.5007200051595643, 0.49927999484043584]","[0, 1, 0, 1]",4.782195371009779,0.4755459743261559
5,"[-1.0237396025852072, -1.0274414762549309]","[0.5009254673605575, 0.49907453263944246]","[0, 1, 1, 0]",5.200171529764349,0.5849477099511357
6,"[-0.13222825056671983, -0.8371453475056733]","[0.6692770528337629, 0.33072294716623707]","[0, 1, 1, 1]",4.011989260621433,0.4707563889474523
7,"[-0.6370842070713751, -0.6411712902706497]","[0.5010217693774949, 0.4989782306225052]","[1, 0, 0, 1]",5.013181902716924,0.4745095874322618
8,"[-0.9289980555687054, -0.934871994393901]","[0.5014684804840336, 0.49853151951596647]","[1, 0, 0, 1]",5.806421935747135,0.5583500382819482
9,"[-0.16326795494243562, -0.8701225129827227]","[0.6697057599663335, 0.33029424003366653]","[0, 1, 1, 1]",5.63375591561215,0.4765344748609819
10,"[-0.9665492037851545, -0.26708237667983736]","[0.3319304497248063, 0.6680695502751937]","[0, 1, 0, 0]",5.22598610499527,0.5097141298223384
11,"[-0.46126344053923163, 0.242647673714391]","[0.3309456545907946, 0.6690543454092054]","[1, 0, 0, 0]",5.681393862390739,0.308035430114833
12,"[-0.5149059323953618, -1.223581398125146]","[0.6701084201246658, 0.32989157987533424]","[1, 0, 1, 1]",4.6300032132962805,0.58151005540766
13,"[-0.7543596307689433, -0.7564377621666829]","[0.5005195326624625, 0.4994804673375376]","[0, 1, 1, 0]",6.087220207661302,0.5083455823924323
14,"[-0.7045377875101957, -1.417877108981303]","[0.671138607473322, 0.328861392526678]","[1, 0, 1, 1]",4.400494704971942,0.6271291820134591
15,"[-0.16978751725217323, -0.878856374582334]","[0.6701953786810316, 0.3298046213189684]","[0, 1, 1, 1]",5.423774833234454,0.4793983873914311
16,"[-1.6927426523430396, -1.004000337530442]","[0.33431290995500373, 0.6656870900449962]","[0, 1, 0, 0]",4.835442046714782,0.6821361100038542
17,"[-1.456418048296177, -0.7635719544105808]","[0.33340024484037706, 0.6665997551596229]","[0, 1, 0, 0]",4.616210552698158,0.6360128410908341
18,"[-0.31286982076356273, -1.0201905035723802]","[0.6698088585867868, 0.3301911414132132]","[0, 1, 1, 1]",4.705896611880055,0.5250242413634951
19,"[-0.7760354085967267, -0.7842304555521153]","[0.5020487502728934, 0.4979512497271066]","[1, 0, 0, 1]",4.637919690798697,0.5199335354172248
20,"[-0.15254693713846246, -0.8627355670700981]","[0.670442838788542, 0.32955716121145795]","[1, 0, 1, 1]",4.512147167620555,0.4765977752307501
21,"[-0.8447895636510603, -0.8516309254274639]","[0.5017103337732013, 0.49828966622679866]","[0, 1, 1, 0]",5.318152689067257,0.5368962196642827
22,"[-0.4542976241987864, -0.459154808036925]","[0.5012142935722107, 0.4987857064277894]","[0, 1, 0, 1]",5.9132252330735255,0.4034117338887674
23,"[-0.7452317950356078, -0.7498265104876267]","[0.5011486768421565, 0.4988513231578436]","[1, 0, 1, 0]",5.362188568505841,0.5080624731092044
24,"[-0.5654276184853617, -0.5694648386639334]","[0.5010093036737442, 0.4989906963262558]","[0, 1, 1, 0]",5.210826174660649,0.4473378543186121
25,"[-0.8790691541096998, -1.607717106008296]","[0.6745085048386391, 0.3254914951613609]","[1, 0, 1, 1]",5.041176507792814,0.6604817282855823
26,"[-0.45373000496702187, -1.1690333434609572]","[0.6715719429760981, 0.32842805702390193]","[0, 1, 1, 1]",4.395732556969778,0.5650724151324942
27,"[-0.42532384471773277, -0.4316306949060438]","[0.5015767073207749, 0.4984232926792252]","[0, 1, 0, 1]",5.086840162848746,0.3929856581660798
28,"[-1.245959935655117, -0.5604938033001428]","[0.33504241245153626, 0.6649575875484638]","[0, 1, 0, 0]",4.936654994666474,0.5861442796430925
29,"[-0.1991215552733696, -0.20191344948088896]","[0.5006979730985072, 0.4993020269014928]","[0, 1, 0, 1]",4.912220286438915,0.2835228561909684
30,"[0.14124310764859938, -0.5683258715110421]","[0.670305912965162, 0.329694087034838]","[1, 0, 1, 1]",4.929341726444725,0.3596279609984316
31,"[-0.4361014697669161, -1.1487462505888817]","[0.6709852960944925, 0.32901470390550747]","[0, 1, 1, 1]",4.777964482993355,0.5567937736908571
32,"[-1.959500116401182, -2.0282815165040944]","[0.517188574135076, 0.482811425864924]","[1, 0, 0, 1]",4.1523547718958245,0.7651544557656093
33,"[-0.8535817883657122, -0.8704654440949768]","[0.5042208136681268, 0.4957791863318732]","[0, 1, 0, 1]",5.156460459161903,0.5378369494244887
34,"[-1.2479588947139852, -0.5665348206420033]","[0.3359435381664029, 0.6640564618335971]","[0, 1, 0, 0]",4.9438402856618255,0.5856771861813834
35,"[-0.9117702569632622, -0.9294884714287999]","[0.504429437737317, 0.495570562262683]","[1, 0, 0, 1]",4.871740222550266,0.5566293891274254
36,"[-1.0798918530212294, -1.0948225566166825]","[0.5037326065578948, 0.49626739344210513]","[0, 1, 1, 0]",4.931060149137839,0.5966176562703409
37,"[-1.2081188109939225, -0.5012339064517513]","[0.33028752742338463, 0.6697124725766154]","[1, 0, 0, 0]",4.395206583016446,0.5797538831598209
38,"[-0.970647228682666, -0.9878871324530241]","[0.504309869196895, 0.495690130803105]","[1, 0, 0, 1]",5.027356221995677,0.5706521442278141
39,"[-1.377240760929603, -0.6954049723001556]","[0.33585169683249494, 0.664148303167505]","[0, 1, 0, 0]",5.417591219171947,0.6127921211854698
40,"[-0.6880532399515304, -0.6969726146891644]","[0.502229828901546, 0.4977701710984542]","[1, 0, 0, 1]",5.407876188218223,0.4880711720597833
