Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 3]",101.54999999999637,"[0, 11]","[1.0500000000000003, 0]","[0, 0]",1
2,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
3,"[2, 3]",71.79999999999806,"[2, 2]","[0.9500000000000003, 0]","[0, 0]",1
4,"[0, 1]",70.59999999999813,"[1, 12]","[0.05, 0]","[0, 0]",1
5,"[2, 3]",72.69999999999801,"[3, 3]","[0.05, 0]","[0, 0]",1
6,"[0, 3]",102.8999999999963,"[4, 18]","[0.05, 0]","[0, 0]",1
7,"[0, 3]",106.09999999999611,"[6, 6]","[1.2500000000000004, 0]","[0, 0]",1
8,"[2, 3]",71.0999999999981,"[5, 5]","[0.05, 0]","[0, 0]",1
9,"[0, 1]",80.99999999999754,"[7, 21]","[3.2999999999999963, 0.05]","[2.5999999999999988, 0]",1
10,"[0, 3]",111.34999999999582,"[9, 7]","[2.3999999999999995, 0]","[0, 0]",1
11,"[2, 3]",69.99999999999817,"[8, 8]","[0.05, 0]","[0, 0]",1
12,"[2, 1]",46.64999999999949,"[11, 0]","[4.249999999999993, 0]","[3.2999999999999963, 0]",1
13,"[0, 1]",80.64999999999756,"[10, 22]","[0.05, 0]","[0, 0]",1
14,"[0, 3]",114.54999999999563,"[13, 23]","[1.5000000000000007, 0]","[0, 0]",1
15,"[0, 1]",86.9999999999972,"[14, 13]","[3.1999999999999966, 0]","[0, 0]",1
16,"[0, 3]",121.04999999999526,"[15, 27]","[4.94999999999999, 0]","[0, 0]",1
17,"[0, 1]",93.44999999999683,"[16, 15]","[6.699999999999984, 0]","[0, 0]",1
18,"[2, 3]",69.89999999999817,"[12, 1]","[0.05, 0]","[0, 0]",1
19,"[2, 1]",41.34999999999979,"[18, 4]","[0.9500000000000003, 0]","[0, 0]",1
20,"[2, 1]",44.49999999999961,"[19, 19]","[2.25, 0]","[0, 0]",1
21,"[2, 1]",47.399999999999444,"[20, 20]","[3.599999999999995, 0]","[0, 0]",1
22,"[2, 1]",56.04999999999895,"[21, 9]","[6.149999999999986, 0.05]","[1.2500000000000004, 0]",1
23,"[2, 3]",88.8499999999971,"[22, 10]","[9.600000000000001, 0]","[3.349999999999996, 0]",1
24,"[0, 3]",113.64999999999569,"[17, 28]","[0.05, 0]","[0, 0]",1
25,"[0, 1]",86.39999999999723,"[24, 29]","[1.1000000000000003, 0]","[0, 0]",1
26,"[0, 1]",95.24999999999673,"[25, 32]","[4.99999999999999, 0.05]","[2.25, 0]",1
27,"[2, 3]",90.89999999999698,"[23, 14]","[8.09999999999998, 0]","[6.199999999999986, 0]",1
28,"[2, 3]",99.2499999999965,"[27, 16]","[13.550000000000058, 0]","[0, 0]",1
29,"[2, 1]",71.0999999999981,"[28, 17]","[22.85000000000019, 0]","[0.05, 0]",1
30,"[0, 1]",89.54999999999706,"[26, 26]","[0.05, 0]","[0, 0]",1
31,"[0, 3]",121.64999999999523,"[30, 24]","[1.1500000000000004, 0]","[0, 0]",1
32,"[2, 1]",76.24999999999781,"[29, 25]","[17.400000000000112, 0]","[0, 0]",1
33,"[0, 1]",93.39999999999684,"[31, 36]","[0.5499999999999999, 0]","[0, 0]",1
34,"[0, 3]",127.24999999999491,"[33, 41]","[2.3, 0]","[0, 0]",1
35,"[0, 3]",130.49999999999542,"[34, 34]","[3.999999999999994, 0]","[0, 0]",1
36,"[2, 1]",81.89999999999749,"[32, 30]","[20.250000000000153, 0.05]","[2.2, 0]",1
37,"[0, 1]",100.84999999999641,"[35, 33]","[3.4999999999999956, 0]","[0, 0]",1
38,"[0, 1]",103.74999999999625,"[37, 37]","[5.1999999999999895, 0]","[0, 0]",1
39,"[0, 1]",106.59999999999609,"[38, 38]","[6.949999999999983, 0]","[0, 0]",1
40,"[0, 1]",109.34999999999593,"[39, 39]","[8.699999999999989, 0]","[0, 0]",1
41,"[2, 3]",105.69999999999614,"[36, 31]","[7.84999999999998, 0]","[0, 0]",1
42,"[0, 3]",139.84999999999755,"[40, 44]","[8.14999999999998, 0]","[0, 0]",1
