Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-2.0629875745246533, -0.9626707871416428, -0.9603376984002605, -1.9065339275257842]","[0.12215065782650955, 0.3670771230293448, 0.36793454636573536, 0.14283767277841034]","[3, 0, 1, 2, 3, 2, 0, 0, 1, 0, 3, 0, 0, 3, 1, 1, 1, 3, 1, 1, 1]",4.557567435280643,0.5126208814440004
1,"[-1.6720537030938605, -1.1633097248433353, -2.0069960393885835, -1.8728891405804107]","[0.23828659113806777, 0.39631846473938986, 0.17046530348579855, 0.1949296406367438]","[0, 2, 3, 1, 1, 2, 3, 3, 3, 3, 0, 3, 3, 2, 3, 2, 3, 3, 2, 3, 0]",4.854041706818562,0.3785379126200878
2,"[-1.4006281771465336, -2.2317813478191857, -2.335093040604865, -2.0434510500064773]","[0.42478198684710516, 0.18501240826135024, 0.16685266904221663, 0.223352935849328]","[3, 1, 0, 2, 3, 2, 1, 0, 0, 3, 2, 1, 0, 1, 3, 3, 2, 2, 1, 2, 3]",5.167507944869824,0.3031450125763424
3,"[-2.6379793520976924, -2.992899977826907, -2.754051185825902, -2.87733319596522]","[0.2959651074192923, 0.20753934606927352, 0.26353066404742215, 0.23296488246401215]","[0, 1, 3, 2, 3, 3, 2, 0, 0, 1, 1, 0, 3, 2, 3, 2, 1, 2, 0, 2, 1]",5.4369913774510055,0.4799010304694899
4,"[-2.2664320511794775, -2.03385159061275, -2.671865079832429, -2.7171897296957437]","[0.28045100227022707, 0.3538876501516868, 0.18697333275326683, 0.17868801482481936]","[0, 3, 1, 2, 0, 3, 3, 3, 3, 1, 2, 2, 3, 0, 2, 0, 3, 2, 3, 1, 2]",4.782195371009779,0.4755459743261559
5,"[-3.033491635995306, -3.367103391491585, -3.3303773993423404, -2.5079183222160255]","[0.2409122462239757, 0.17257311265139022, 0.17902885255017015, 0.4074857885744639]","[0, 2, 1, 3, 2, 2, 1, 1, 2, 1, 1, 0, 2, 3, 0, 1, 0, 0, 3, 0, 3]",5.200171529764349,0.5849477099511357
6,"[-1.9466548749557573, -2.724086711742671, -2.8236599496751262, -2.5443296144588974]","[0.41225195423037186, 0.18946472606197304, 0.1715079510107845, 0.22677536869687054]","[2, 1, 0, 3, 0, 1, 2, 1, 0, 2, 1, 3, 2, 2, 3, 3, 1, 0, 3, 3, 1]",4.011989260621433,0.4707563889474523
7,"[-1.9321800848985382, -1.8275470696480132, -2.627934687256971, -2.8062601408090533]","[0.33044232160970405, 0.3668911245659688, 0.16479092070106488, 0.13787563312326234]","[1, 2, 3, 0, 2, 2, 3, 3, 2, 0, 3, 1, 3, 3, 1, 0, 0, 1, 2, 3, 2]",5.013181902716924,0.4745095874322618
8,"[-2.253172234646636, -3.138376695591962, -2.6450918020706453, -3.285826307757291]","[0.4090901538878504, 0.16880278755232697, 0.27644613434331783, 0.14566092421650478]","[3, 0, 2, 1, 1, 3, 0, 1, 1, 2, 2, 1, 2, 1, 0, 3, 1, 3, 1, 3, 1]",5.806421935747135,0.5583500382819482
9,"[-2.322366621358115, -2.845285811200588, -3.0483088653671704, -2.9621276841682826]","[0.3840136026376421, 0.22763848663574832, 0.18581205976025772, 0.2025358509663518]","[0, 1, 2, 3, 1, 1, 1, 2, 3, 2, 2, 3, 2, 3, 0, 3, 0, 3, 1, 3, 0]",5.63375591561215,0.4765344748609819
