Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-2.5268971485965155, -2.8458381246410984, -2.068182816885965, -2.7470073949850318]","[0.24322689225257935, 0.17680611640052413, 0.38479435640848003, 0.1951726349384164]","[3, 0, 1, 2, 1, 1, 3, 1, 3, 0, 3, 1, 3, 2, 2, 0, 2]",4.557567435280643,0.5126208814440004
1,"[-1.8818184855003794, -2.8869036454746775, -1.8591294098835949, -2.437630248243631]","[0.33754495668359435, 0.12354599877709882, 0.34529108365796063, 0.19361796088134625]","[1, 0, 3, 2, 3, 3, 0, 1, 0, 3, 3, 1, 2, 1, 2, 1, 1]",4.854041706818562,0.3785379126200878
2,"[-1.786940695478127, -2.5799454380271847, -1.4520323945675253, -1.8093428153528204]","[0.2612233092280232, 0.11819914717876964, 0.3651411288870574, 0.25543641470614975]","[2, 1, 0, 3, 1, 0, 1, 3, 0, 1, 3, 0, 3, 2, 1, 2, 2]",5.167507944869824,0.3031450125763424
3,"[-3.371919743193944, -2.131056134070607, -3.24812768355771, -2.152405822035119]","[0.11140917707805884, 0.38531967434689335, 0.12609073454789074, 0.37718041402715713]","[3, 2, 1, 0, 3, 0, 2, 2, 0, 0, 2, 3, 2, 1, 0, 3, 1]",5.4369913774510055,0.4799010304694899
4,"[-3.37031337268603, -3.257156087893388, -3.251653923772939, -1.946467467691493]","[0.13515602052666134, 0.15134879950447783, 0.15218384059870302, 0.5613113393701579]","[1, 0, 2, 3, 2, 1, 2, 2, 3, 1, 1, 0, 1, 0, 0, 2, 0]",4.782195371009779,0.4755459743261559
5,"[-3.2355644182738734, -3.110488431763873, -2.8641651582513625, -3.739090994369822]","[0.23881214074143273, 0.27063017131566813, 0.3462207165812076, 0.14433697136169146]","[2, 0, 1, 3, 1, 3, 2, 3, 1, 0, 3, 0, 2, 0, 1, 2, 3]",5.200171529764349,0.5849477099511357
6,"[-3.3555946932777445, -3.1894049714603807, -2.3608678844911895, -2.0918960553433203]","[0.11871877472324707, 0.14018278531786843, 0.3210138496174537, 0.4200845903414307]","[2, 0, 1, 3, 0, 0, 0, 1, 3, 0, 2, 2, 1, 1, 3, 1, 3]",4.011989260621433,0.4707563889474523
7,"[-2.628321395426621, -2.3790402721662574, -3.2366884761217936, -2.371622316790292]","[0.24271858712097308, 0.3114328726267647, 0.13209688278529802, 0.31375165746696415]","[2, 0, 3, 1, 1, 3, 3, 0, 0, 2, 3, 2, 1, 2, 0, 2, 1]",5.013181902716924,0.4745095874322618
8,"[-2.5021339580172333, -3.32830471734447, -3.5875557128967435, -2.8281188776831616]","[0.40043285161090936, 0.17527835876310469, 0.13524992134532968, 0.2890388682806563]","[1, 3, 0, 2, 3, 1, 2, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1]",5.806421935747135,0.5583500382819482
9,"[-2.321623964622658, -2.205179923430029, -2.726975197940792, -3.3857121221424227]","[0.3189508240295265, 0.35833954099366955, 0.21265809770380906, 0.11005153727299492]","[2, 0, 1, 3, 2, 2, 1, 2, 1, 2, 3, 0, 3, 2, 3, 3, 2]",5.63375591561215,0.4765344748609819
10,"[-2.332186940563019, -2.7371591279677103, -3.486496664548848, -3.5050506203857075]","[0.436347793690716, 0.29104195438049507, 0.13756958933412625, 0.1350406625946626]","[0, 1, 3, 2, 0, 1, 3, 3, 2, 1, 1, 0, 3, 2, 2, 3, 2]",5.22598610499527,0.5097141298223384
11,"[-1.6845095563666828, -1.4179659214294962, -2.5538711060996047, -2.601008934355635]","[0.3200429916849517, 0.4177983796076, 0.13416813953787535, 0.12799048916957287]","[1, 3, 2, 0, 1, 3, 3, 2, 2, 0, 3, 2, 3, 3, 3, 0, 2]",5.681393862390739,0.308035430114833
12,"[-3.1167795526573787, -3.714962133737261, -3.980686768551909, -2.782452121657726]","[0.29688369707974854, 0.1632296147026503, 0.1251400179352634, 0.41474667028233786]","[3, 0, 1, 2, 2, 1, 1, 1, 2, 3, 3, 0, 1, 0, 1, 2, 2]",4.6300032132962805,0.58151005540766
13,"[-2.395897660235019, -2.685299931633978, -3.2337840964522835, -3.3776964742934736]","[0.3912406711882639, 0.2929261784421792, 0.16926007912950922, 0.14657307124004762]","[2, 1, 3, 0, 2, 3, 2, 1, 0, 3, 0, 2, 2, 3, 1, 3, 0]",6.087220207661302,0.5083455823924323
14,"[-4.097595273798192, -2.945274108932979, -3.1694520146988143, -4.179453539792645]","[0.13128972524247123, 0.4156018410418688, 0.33213774693983655, 0.12097068677582336]","[1, 2, 3, 0, 1, 3, 1, 1, 3, 0, 2, 2, 3, 0, 0, 0, 3]",4.400494704971942,0.6271291820134591
15,"[-2.3148229557024926, -2.419543693901627, -3.3344393241498107, -3.3879240506865016]","[0.3841343672325901, 0.3459421857371758, 0.13857005882188672, 0.13135338820834733]","[3, 1, 2, 0, 2, 1, 0, 2, 3, 2, 3, 0, 2, 2, 3, 3, 1]",5.423774833234454,0.4793983873914311
16,"[-3.698644530153362, -4.397840447844991, -3.7727929583585578, -4.234954174346293]","[0.33217940887656805, 0.16508810373934088, 0.30843982973248524, 0.1942926576516058]","[1, 2, 0, 3, 1, 3, 1, 3, 1, 3, 2, 3, 0, 3, 1, 0, 2]",4.835442046714782,0.6821361100038542
17,"[-3.4261419665954698, -4.147228948763838, -3.252198113212568, -4.394634010828707]","[0.3272393392164169, 0.15911144127143953, 0.38941113225832824, 0.12423808725381526]","[3, 0, 2, 1, 1, 1, 3, 1, 1, 2, 3, 0, 0, 3, 2, 3, 1]",4.616210552698158,0.6360128410908341
18,"[-2.7486265012469655, -2.810020208074737, -2.778290587949665, -3.5788173801571537]","[0.2987580145645342, 0.28096784243512485, 0.29002578800362716, 0.13024835499671386]","[1, 0, 3, 2, 3, 3, 2, 1, 0, 3, 1, 3, 3, 3, 1, 2, 0]",4.705896611880055,0.5250242413634951
19,"[-2.5782271461930315, -2.7195885136548172, -2.847858989031243, -2.726280714446081]","[0.28618681845351396, 0.24846039124996389, 0.21854959454609904, 0.24680319575042306]","[1, 3, 0, 2, 3, 1, 2, 3, 3, 0, 0, 3, 2, 2, 1, 1, 3]",4.637919690798697,0.5199335354172248
20,"[-2.516248294156865, -3.1676602647104923, -2.6065712766497673, -2.4371457722485745]","[0.28431217906533407, 0.14821454996827105, 0.25975785601021273, 0.30771541495618215]","[3, 0, 1, 2, 1, 3, 2, 0, 2, 1, 1, 1, 1, 2, 0, 1, 3]",4.512147167620555,0.4765977752307501
21,"[-3.2321505226684084, -3.531418278428821, -2.7232435016796375, -2.7060900058309167]","[0.1961905485174293, 0.14544799754185564, 0.32635749607942627, 0.3320039578612887]","[0, 3, 2, 1, 0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 2, 1, 3]",5.318152689067257,0.5368962196642827
22,"[-3.026368792986336, -2.0680906355649267, -2.326440147208065, -3.1776451371990415]","[0.15431092522685252, 0.4023199708397469, 0.310721871359516, 0.13264723257388458]","[3, 2, 0, 1, 2, 0, 0, 3, 1, 0, 2, 3, 1, 2, 0, 3, 3]",5.9132252330735255,0.4034117338887674
23,"[-2.44803658480237, -3.5019373693625035, -2.7072479672941663, -3.534911443369028]","[0.40691691566711957, 0.14184121697361307, 0.31400146255054584, 0.13724040480872146]","[2, 1, 3, 0, 3, 3, 2, 1, 3, 3, 1, 0, 2, 1, 1, 3, 1]",5.362188568505841,0.5080624731092044
24,"[-3.1996820245912065, -2.1946237920686844, -2.405836755213164, -3.3692226036011337]","[0.14731870551017848, 0.4024844800107001, 0.3258520923588778, 0.12434472212024367]","[2, 3, 1, 0, 2, 0, 3, 0, 0, 1, 2, 1, 0, 3, 3, 0, 3]",5.210826174660649,0.4473378543186121
25,"[-3.7099671686605102, -4.490368541277919, -4.8273777347480245, -3.6105938629172902]","[0.34604155285824906, 0.15856387202124891, 0.11319910922776269, 0.3821954658927394]","[1, 2, 0, 3, 1, 3, 2, 1, 3, 2, 2, 2, 1, 0, 0, 1, 2]",5.041176507792814,0.6604817282855823
26,"[-3.1224241742512975, -3.8513446653050156, -3.1836315073921577, -2.995958502394373]","[0.281067186163774, 0.13559510097751043, 0.2643797203206925, 0.31895799253802304]","[3, 1, 0, 2, 3, 1, 1, 3, 1, 2, 0, 2, 1, 1, 0, 0, 2]",4.395732556969778,0.5650724151324942
27,"[-2.248903022551396, -3.0821606741988163, -2.2595145991985106, -2.3005852638588014]","[0.2964099244341889, 0.1288289717676561, 0.2932811776298206, 0.2814799261683344]","[3, 2, 1, 0, 1, 1, 3, 2, 2, 0, 1, 3, 0, 0, 1, 2, 3]",5.086840162848746,0.3929856581660798
28,"[-3.1570545385003586, -4.165094433879006, -3.4175185768864678, -3.2387215849207776]","[0.327096025485418, 0.11936832587397882, 0.25209090215941404, 0.3014447464811891]","[3, 1, 2, 0, 0, 2, 3, 1, 1, 3, 0, 2, 0, 1, 1, 3, 2]",4.936654994666474,0.5861442796430925
29,"[-2.640704303801807, -1.8447828386395795, -1.6901282492762375, -1.8826791467289263]","[0.12598044766277589, 0.27923345348781303, 0.32593656357024825, 0.26884953527916294]","[3, 1, 0, 2, 3, 0, 1, 0, 2, 1, 3, 0, 0, 2, 1, 0, 3]",4.912220286438915,0.2835228561909684
30,"[-2.0695872413088168, -2.92310079000477, -2.947839670770107, -2.009305478578031]","[0.3444047988668709, 0.14668745366749586, 0.14310308962315318, 0.3658046578424799]","[2, 1, 0, 3, 0, 2, 0, 2, 3, 1, 3, 0, 2, 1, 2, 1, 1]",4.929341726444725,0.3596279609984316
31,"[-3.9897019615075067, -2.8455042292960226, -3.2195230609828496, -3.0533128682769997]","[0.11298377712758852, 0.35476016704464514, 0.2440622080169637, 0.28819384781080254]","[1, 2, 0, 3, 1, 3, 0, 2, 1, 1, 0, 3, 0, 3, 2, 0, 2]",4.777964482993355,0.5567937736908571
32,"[-4.703814845467302, -5.555355274906273, -4.787996788687593, -4.910516869353265]","[0.31652751892037784, 0.13508034586790577, 0.29097234904706526, 0.25741978616465117]","[0, 1, 3, 2, 2, 3, 0, 2, 1, 2, 3, 0, 0, 1, 3, 1, 1]",4.1523547718958245,0.7651544557656093
33,"[-2.8769137434884637, -3.750103047778262, -2.947053680252394, -3.017534813804648]","[0.31068450180990437, 0.1297472891996089, 0.2896397753392083, 0.26992843365127844]","[3, 2, 0, 1, 1, 1, 1, 3, 2, 2, 3, 0, 2, 0, 1, 3, 1]",5.156460459161903,0.5378369494244887
34,"[-3.3016743042806027, -4.081729641322713, -3.894055681269683, -3.016104491346903]","[0.29923013491751277, 0.13716130229908893, 0.16547689574900232, 0.39813166703439595]","[3, 0, 2, 1, 2, 3, 2, 0, 2, 1, 1, 1, 2, 1, 0, 0, 1]",4.9438402856618255,0.5856771861813834
35,"[-3.898726357484631, -3.148737379793361, -3.204138631206126, -3.0037018587793165]","[0.13214830491691507, 0.2797548801427944, 0.264677615545742, 0.32341919939454844]","[2, 0, 3, 1, 0, 2, 1, 0, 0, 3, 0, 1, 2, 0, 3, 1, 2]",4.871740222550266,0.5566293891274254
36,"[-3.103054900382882, -3.294843613977833, -4.2245928138802205, -3.371413964311424]","[0.34294813195513646, 0.2830972571221413, 0.11172509034362918, 0.2622295205790931]","[0, 2, 3, 1, 0, 3, 2, 2, 0, 2, 0, 1, 2, 1, 3, 2, 1]",4.931060149137839,0.5966176562703409
37,"[-3.0681521794444997, -3.891100526510489, -3.378822019891646, -4.209886279360973]","[0.40138787820999045, 0.17626347454000924, 0.29419958474066044, 0.1281490625093399]","[3, 0, 1, 2, 3, 1, 2, 0, 0, 1, 2, 3, 3, 3, 2, 1, 1]",4.395206583016446,0.5797538831598209
38,"[-2.9858560276419426, -3.2318424100132654, -4.050023777763995, -4.163042709640664]","[0.4106620727153442, 0.3211101743194352, 0.14168452323402475, 0.12654322973119583]","[3, 1, 0, 2, 0, 3, 0, 3, 2, 1, 3, 2, 1, 1, 3, 2, 2]",5.027356221995677,0.5706521442278141
39,"[-3.348488917254696, -4.298774143968093, -3.7308344759404557, -4.29674143667487]","[0.4071151649463773, 0.1574032335449059, 0.2777580878554316, 0.15772351365328516]","[2, 3, 0, 1, 3, 1, 0, 1, 2, 1, 3, 3, 2, 1, 2, 3, 0]",5.417591219171947,0.6127921211854698
40,"[-3.4833384950432675, -2.7280375824183514, -2.5999769537730706, -2.8111563319805284]","[0.133230728470616, 0.28354854365952015, 0.3222874879680671, 0.26093323990179673]","[3, 0, 1, 2, 2, 3, 1, 1, 0, 0, 0, 3, 3, 1, 0, 0, 2]",5.407876188218223,0.4880711720597833
41,"[-2.1189609323466643, -2.148091969060263, -2.0481253406452873, -3.119692064815457]","[0.2930570832000223, 0.28464317449906995, 0.314568860648461, 0.10773088165244674]","[3, 1, 2, 0, 2, 0, 2, 1, 0, 3, 1, 2, 1, 3, 0, 3, 3]",4.221892306817063,0.3853058537725821
42,"[-2.383876772620479, -2.4149945293790207, -2.508525209254348, -3.3288850771059337]","[0.30856150443609304, 0.29910761732501834, 0.2724003210635717, 0.11993055717531687]","[3, 2, 1, 0, 1, 1, 2, 0, 3, 3, 2, 0, 0, 3, 2, 1, 3]",4.891106403981611,0.4340330178490891
43,"[-2.8474719706713345, -3.7041830534825504, -2.7049732454500326, -3.6304870174112427]","[0.3295182037836451, 0.1398989695873725, 0.37998444752826066, 0.15059837910072169]","[2, 3, 1, 0, 0, 3, 1, 2, 3, 0, 3, 3, 1, 1, 1, 0, 1]",5.506670373461359,0.5229736948634343
44,"[-2.008237373150372, -1.9762265566197037, -2.892179684476382, -1.993243078195786]","[0.28895162756872317, 0.2983508407546777, 0.11938063288061433, 0.2933168987959848]","[2, 3, 1, 0, 3, 1, 2, 3, 2, 0, 0, 1, 2, 0, 3, 2, 1]",4.221266535608012,0.3285273878330312
45,"[-4.364640718551778, -3.9905340552597215, -4.66704496107015, -5.204839346739469]","[0.27591106823989425, 0.40108976718237016, 0.203909109879146, 0.11909005469858959]","[2, 0, 1, 3, 3, 2, 2, 1, 1, 0, 0, 1, 3, 3, 0, 3, 2]",4.872115130001312,0.7150888258158506
46,"[-3.5905180464430373, -3.082812060215729, -3.7173826769150162, -4.501003546421151]","[0.25350745797901686, 0.42119639816636667, 0.22330278084276817, 0.10199336301184835]","[1, 0, 2, 3, 3, 2, 1, 2, 2, 3, 3, 3, 3, 0, 1, 3, 0]",4.807082522459938,0.6355414017151817
