Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-34.5920580196555, -34.68601742251926]","[0.5234725845357553, 0.4765274154642447]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",5.153555411879669,1.4952293554632905
1,"[-6.820246784078528, -6.843337961066506]","[0.5057725377549989, 0.4942274622450012]","[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]",4.458579972103119,1.0599232943065244
2,"[-326.8476565781201, -332.7418801924899]","[0.9972522561992818, 0.0027477438007182547]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.909765182014642,1.989908310624953
3,"[-5.2705456759626435, -5.238808055612307]","[0.492066260857016, 0.5079337391429841]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1]",4.328506950578816,0.9687547647617744
4,"[-137.887860145147, -134.83738853642416]","[0.04519711715534244, 0.9548028828446575]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]",5.917263639508324,1.76837777227797
5,"[-164.8927422196629, -161.18270800840463]","[0.023891891554470194, 0.9761081084455298]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.100641318298184,1.8656647888921083
6,"[-226.25700946640782, -244.26367626801365]","[0.999999984871218, 1.5128781969217512e-08]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.990653823178925,1.9066393760548617
7,"[-35.635629551020905, -35.81438829364647]","[0.5445710609564326, 0.4554289390435674]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",6.014279518675632,1.4718834854608522
8,"[-11.10580817176597, -11.121236468703563]","[0.5038569977271834, 0.49614300227281655]","[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",4.676815745750213,1.2003551697490655
9,"[-43.35571646579816, -43.496236792816404]","[0.5350723892321453, 0.4649276107678547]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0]",5.827287351225017,1.5200829969312455
10,"[-228.81576000097232, -250.4396310713588]","[0.9999999995936764, 4.0632366447144626e-10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.975014064799828,1.899968299973401
11,"[-20.814427022833566, -20.46874935971134]","[0.41443096744912294, 0.5855690325508771]","[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]",5.574625365637205,1.3508860950335937
12,"[-25.726935063512762, -25.38454691914141]","[0.4152294851328223, 0.5847705148671776]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]",4.798748394721466,1.4173070765433788
13,"[-16.849566155783844, -16.69215803754774]","[0.4607290227592824, 0.5392709772407176]","[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]",5.382216878568359,1.297160521198765
14,"[-15.819746739471928, -15.746356077336822]","[0.4816605653662309, 0.5183394346337691]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]",4.640714030578523,1.2954159772915044
15,"[-133.48233200949247, -131.70507064522033]","[0.14464162964213256, 0.8553583703578675]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.979360614495717,1.7820940248419572
16,"[-16.798206267853296, -16.981687646695278]","[0.5457420894486887, 0.45425791055131126]","[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",4.389912472650986,1.3191887215272753
17,"[-569.2475195994925, -673.7814563514717]","[1.0, 2.044819506340078e-34]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.064150058904346,2.0771027170637515
18,"[-195.46955012041764, -224.139119182874]","[0.999999999999646, 3.539682898596785e-13]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.71103241776644,1.8679702258193105
19,"[-61.81863144742171, -67.10709786499194]","[0.9949758711826833, 0.005024128817316736]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.031256292757248,1.6064945941766984
20,"[-20.27657858517483, -19.19933568264409]","[0.2540281262610836, 0.7459718737389164]","[1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]",5.171919045974219,1.338127743395383
21,"[-79.0472528129412, -89.47304592347143]","[0.9999703433082818, 2.9656691718078333e-05]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.617851085344589,1.640873746943378
22,"[-54.23376606178201, -51.63113333150549]","[0.06896917438117686, 0.9310308256188231]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.514352898266598,1.57153088070553
23,"[-9.937251690058973, -9.750195082382016]","[0.4533717298009529, 0.5466282701990471]","[1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",4.83865574415243,1.1561033612374672
24,"[-11.405268943964806, -11.062210783640275]","[0.4150668051520134, 0.5849331948479866]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",5.543150074272231,1.1825360461032637
25,"[-9.332933801992018, -9.05355694728538]","[0.43060655504753914, 0.5693934449524609]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",4.935206887064939,1.1348393706694937
26,"[-36.63971806590463, -34.43372288176412]","[0.09921340997859905, 0.9007865900214009]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.400148973204868,1.4928171339056635
27,"[-937.9532455590612, -1319.6809759112512]","[1.0, 1.5435253779388568e-63]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.901251876287042,2.1590177314319083
28,"[-11.051554046117444, -10.663077463271362]","[0.4040840860976858, 0.5959159139023141]","[0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",5.790944723556744,1.1711484358949311
29,"[-8.345708024824933, -8.11664014161419]","[0.44298213201251463, 0.5570178679874853]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]",4.7409807091803575,1.1029391486385651
30,"[-12.181174375571711, -11.893421096294281]","[0.4285539902538493, 0.5714460097461507]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",4.960494615504318,1.2100532883951514
31,"[-2.979634698120508, -2.9664221354013076]","[0.49669690737229927, 0.5033030926277007]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1]",5.127600613300791,0.7297501965415448
32,"[-9.568724750188094, -9.290129790499638]","[0.4307982740181562, 0.5692017259818437]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]",4.537118058666088,1.1434969171246834
33,"[-5.700912971354033, -5.637084679603308]","[0.48404834234996447, 0.5159516576500355]","[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",5.998736060540918,0.968229530435806
34,"[-131.48764001637664, -117.55478597874462]","[8.892789003890193e-07, 0.9999991107210997]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.7673784625434825,1.7250593692008998
35,"[-16.59100002012409, -16.57037040868027]","[0.4948427800389269, 0.5051572199610732]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",5.660083290885976,1.2800557820041
36,"[-87.21789519949758, -103.02780342323517]","[0.999999863904414, 1.3609558600231355e-07]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.080132574584212,1.6733112543589026
37,"[-7.737445721866868, -7.640041813324035]","[0.4756682571506502, 0.5243317428493498]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0]",6.178066724115874,1.0601955649905537
38,"[-2.527192495672109, -2.5267911261738893]","[0.4998996576267922, 0.5001003423732079]","[1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]",4.349854908227904,0.655634171445218
39,"[-140.4940052146393, -180.07570802698103]","[1.0, 6.454831121673869e-18]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.383810571101486,1.7914296164220076
40,"[-20.853444057199134, -20.523475607823315]","[0.41824829993084417, 0.5817517000691558]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",5.761609454323208,1.3415616257343417
41,"[-22.453615486157688, -21.713596734907767]","[0.3230000433930088, 0.6769999566069912]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",5.285659725435281,1.357819016312532
42,"[-61.344816512244414, -57.230603725145485]","[0.01607613278282404, 0.983923867217176]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.286958668294239,1.579578682523149
43,"[-64.8607022947772, -76.6662466784202]","[0.9999925369907972, 7.463009202892004e-06]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.50143422669384,1.6210983980029117
44,"[-66.76747570686838, -78.8591039883475]","[0.9999943937801423, 5.606219857655278e-06]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.779224010393448,1.6150820234152004
45,"[-15.962040567040063, -15.254204901125695]","[0.3300772551613482, 0.6699227448386518]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",4.99124955251811,1.2657803580163558
46,"[-10.322411687971838, -10.071204618872665]","[0.437526420600885, 0.5624735793991149]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",4.919770762552735,1.1604226733753034
47,"[-381.5822258248332, -317.46650777793553]","[1.4285565900726238e-28, 1.0]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.491142930231254,1.963380315404812
48,"[-12.27302009992519, -12.240189934581814]","[0.49179319577222586, 0.5082068042277741]","[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]",4.7835533468183,1.2096196189467605
49,"[-55.62903274323387, -66.08688715829273]","[0.9999712790327703, 2.8720967229655617e-05]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.616296102235442,1.5542183559778049
50,"[-49.25196437351977, -47.85809645487513]","[0.19879098354171854, 0.8012090164582814]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]",5.094720290171412,1.539328072543851
51,"[-59.190877517181235, -71.20992398705263]","[0.9999939717421222, 6.0282578776447885e-06]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.242135079133289,1.6018822969705044
52,"[-21.75849018575774, -21.19817772352861]","[0.3634751650707675, 0.6365248349292325]","[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",5.403824783401693,1.3412986370300066
53,"[-211.98924161662993, -288.0458957859179]","[1.0, 9.311395684968846e-34]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.528192598017484,1.8571823670805645
54,"[-15.881193249537864, -15.484977931630825]","[0.4022219890990657, 0.5977780109009344]","[1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",4.808934722023728,1.2698775439594183
55,"[-35.25918752118202, -32.3803524742365]","[0.05320979446222571, 0.9467902055377743]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.787870202710374,1.4313003100278896
56,"[-46.87159260742067, -58.43116616507942]","[0.9999904558590215, 9.544140978551656e-06]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.1377486781787303,1.5830807910565592
57,"[-49.87919101623491, -44.68412040939311]","[0.005513260319537463, 0.9944867396804625]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.432991169604612,1.518887119786669
58,"[-119.22335894182, -102.24061762616837]","[4.212007547527205e-08, 0.9999999578799246]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.789872652289375,1.6822949291297642
59,"[-9.599620535634708, -9.452017253298461]","[0.46316602945670426, 0.5368339705432958]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",4.679254208579392,1.137886968827133
60,"[-35.13324446253764, -36.88832652352631]","[0.8525926525401137, 0.1474073474598863]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",4.63628423213127,1.4643123334707546
61,"[-154.5965664032836, -130.07352560655437]","[2.2375806745527285e-11, 0.9999999999776242]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.598150385806643,1.7592705218921316
62,"[-5.235199250648677, -5.255651173296383]","[0.5051128024474326, 0.4948871975525674]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",5.355889835420096,0.9405176840007032
63,"[-7.81687451376633, -7.889817115185261]","[0.5182275692358183, 0.48177243076418186]","[1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",4.929158089894828,1.0738764273006691
64,"[-41.09959948665672, -41.999304604751586]","[0.7108889005335434, 0.2891110994664566]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",3.865462743666243,1.5305233595362342
65,"[-69.58526778763385, -91.1009458018523]","[0.9999999995472487, 4.527513602866216e-10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.938740037846936,1.6126507382815325
66,"[-58.27436773593825, -74.3003333141526]","[0.9999998903492682, 1.0965073183038331e-07]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.0907962201567045,1.5670351045480435
67,"[-37.805816236977385, -45.857858855475875]","[0.9996816505943865, 0.00031834940561347445]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.497202666464987,1.4830001555460948
68,"[-66.88366882539286, -58.39837342185933]","[0.00020643976880173825, 0.9997935602311983]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.804594094559605,1.5829057328126075
69,"[-69.25961482556552, -89.87057770943245]","[0.9999999988811483, 1.1188517676428417e-09]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.943965088851763,1.603284853453641
70,"[-183.96759845176996, -264.2987445695177]","[1.0, 1.2960642042817765e-35]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.464086223713316,1.8159265636514268
71,"[-35.721470014057616, -34.86549927769897]","[0.2981818611410632, 0.7018181388589367]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",4.704747425213495,1.4717507931301617
72,"[-22.603405975806584, -20.99881587984167]","[0.1673410629720142, 0.8326589370279858]","[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",4.600248825280573,1.3414889039698843
73,"[-53.989638051449845, -48.03805918874123]","[0.002594978069214972, 0.997405021930785]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.375295464018634,1.5212133926562998
74,"[-227.68693917930705, -339.659112482486]","[1.0, 2.35019018232219e-49]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.1231924298084905,1.8380624625650164
75,"[-44.92175404762125, -56.12240564868232]","[0.9999863348978903, 1.366510210973947e-05]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.8206721244321855,1.5084755938067935
76,"[-61.57281522748066, -79.28428613966936]","[0.9999999796761535, 2.0323846568654263e-08]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.183753865743538,1.5646354752542564
77,"[-5.619674879378322, -5.5322812606373715]","[0.47816549056466, 0.52183450943534]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]",4.991068805403002,0.9631868428071708
