Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-6.323938952794056, -6.454193409591779, -5.6801250249283255, -4.648683027545017]","[0.10962794959085366, 0.09623930977440964, 0.20870176775928548, 0.5854309728754512]","[2, 0, 3, 1, 3, 0, 3, 2, 3, 3, 3, 3, 3, 1, 0, 2, 1, 0, 3, 2, 1, 1, 3, 2, 0, 2, 3, 3, 3, 3, 0, 3, 2, 3, 1, 3, 2, 3, 3, 0]",2.5808912117457257,1.0332242167218102
1,"[-10.620258232037196, -10.65343581345471, -9.058377154147843, -7.777781136941245]","[0.04185262553426778, 0.040486838675824637, 0.1995441688635979, 0.7181163669263098]","[2, 3, 0, 1, 3, 2, 0, 2, 1, 3, 2, 0, 1, 3, 3, 2, 3, 2, 0, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 0, 3, 3, 1, 2, 3, 3, 3, 2, 3, 1]",2.3348079307497707,1.1955575769543925
2,"[-6.323320933421837, -6.733045692680483, -6.222168641150532, -5.735773411216833]","[0.21882567499138053, 0.14526369092836183, 0.24211860284545342, 0.3937920312348041]","[0, 2, 3, 1, 3, 2, 0, 0, 1, 3, 0, 2, 2, 2, 1, 0, 3, 2, 1, 2, 3, 3, 0, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3]",2.509593592771514,1.014058434120509
3,"[-10.817633490520715, -10.300160380857893, -11.331116919624238, -9.015334159689116]","[0.10706908929922335, 0.17963866742096643, 0.06407093899897587, 0.6492213042808342]","[2, 1, 0, 3, 3, 3, 3, 3, 0, 2, 0, 3, 3, 0, 3, 3, 1, 1, 1, 0, 3, 3, 3, 3, 2, 3, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3, 0, 2, 3, 1]",2.715700969493054,1.2091299484230904
4,"[-5.654383221199737, -5.410408344441008, -5.006889610063425, -4.658984488753781]","[0.14507763832633871, 0.18516436917106435, 0.27720648092289285, 0.392551511579704]","[2, 1, 3, 0, 1, 3, 2, 2, 3, 3, 2, 2, 1, 2, 2, 2, 2, 3, 0, 0, 2, 1, 0, 1, 0, 3, 0, 1, 2, 3, 1, 2, 3, 2, 2, 0, 3, 3, 3, 2]",2.428214346143645,0.9058385415932396
5,"[-8.187538772981746, -7.402465622865943, -7.589877785482104, -7.243441833366251]","[0.13191010829957925, 0.2892217928227202, 0.23979434984569575, 0.3390737490320048]","[1, 3, 2, 0, 1, 2, 1, 3, 3, 1, 1, 1, 2, 2, 3, 1, 2, 3, 0, 3, 3, 3, 1, 3, 1, 1, 1, 1, 3, 3, 3, 2, 1, 3, 0, 3, 3, 1, 3, 1]",2.745790867282485,1.079829811422515
6,"[-6.691698979331496, -6.806111246463346, -7.079127957099529, -6.040382360952328]","[0.22277894424078878, 0.19869435336296842, 0.15122231224499333, 0.42730439015124944]","[3, 2, 0, 1, 3, 2, 0, 3, 2, 1, 3, 0, 2, 1, 0, 2, 3, 3, 1, 1, 0, 1, 3, 3, 2, 2, 3, 0, 2, 2, 3, 1, 2, 2, 2, 3, 3, 1, 3, 0]",2.708431161654059,1.0185851146791591
7,"[-6.25100989179862, -6.853182910624275, -7.139050316456133, -6.405912396623373]","[0.3551665729085197, 0.19449644398956184, 0.14613728297085662, 0.3041997001310618]","[1, 0, 2, 3, 3, 0, 0, 3, 2, 1, 0, 3, 3, 2, 2, 1, 0, 1, 3, 1, 0, 2, 1, 3, 0, 3, 3, 3, 2, 0, 1, 3, 3, 2, 2, 0, 2, 0, 3, 2]",2.710420057402177,1.0183661276872684
8,"[-5.377919652384662, -5.442413187935759, -5.377189573401431, -5.191470365701032]","[0.24135723669978462, 0.22628258863204578, 0.24153351088495914, 0.29082666378321054]","[0, 3, 2, 1, 2, 3, 0, 3, 2, 0, 2, 1, 3, 3, 1, 3, 0, 1, 1, 1, 0, 3, 3, 1, 2, 2, 2, 3, 1, 1, 2, 3, 1, 0, 3, 1, 2, 3, 3, 2]",2.785798408839517,0.90737267398449
9,"[-8.802342245063365, -8.316160483883227, -8.303265769257322, -7.659386425501616]","[0.1349651689231966, 0.21946625794499297, 0.22231453711872673, 0.4232540360130836]","[2, 3, 0, 1, 2, 0, 0, 3, 2, 3, 3, 1, 3, 0, 1, 2, 3, 2, 3, 3, 2, 3, 3, 2, 1, 3, 0, 1, 2, 3, 3, 1, 1, 2, 3, 2, 1, 3, 0, 0]",2.5879773789452964,1.113198516052072
