Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-5.326481281073611, -5.21497312082621, -5.281330111896523, -4.56449970965018]","[0.1884422193073003, 0.21067140372706814, 0.19714561146583215, 0.4037407654997994]","[1, 3, 2, 0, 3, 1, 2, 1, 2, 3, 2, 0]",7.9438900218139015,0.9909783859010066
1,"[-7.85795726450677, -7.103259906587115, -6.911748331703898, -6.284758750988154]","[0.09501241568237517, 0.20208834077598464, 0.24474491557882644, 0.45815432796281375]","[3, 0, 2, 1, 0, 2, 3, 1, 0, 3, 0, 3]",8.066891804179448,1.0743561217118536
2,"[-4.316568253928849, -4.123250742733782, -4.191749244211132, -3.437490323629902]","[0.17376529599311816, 0.21082386593262437, 0.19686624224992844, 0.41854459582432907]","[1, 3, 0, 2, 3, 1, 0, 0, 2, 1, 2, 2]",7.413741274588254,0.9278056542871876
3,"[-2.823506926131439, -3.0614021183755304, -3.028836834348323, -2.4474380944632372]","[0.24635327593878167, 0.19419666730506363, 0.20062483643149215, 0.3588252203246626]","[1, 2, 3, 0, 0, 3, 2, 1, 1, 1, 2, 2]",7.610148068948264,0.8295434829121024
4,"[-2.90088956915573, -3.158187670456297, -2.783463669051458, -2.887601290980882]","[0.2556816973134381, 0.1976771609409404, 0.2875392006670417, 0.2591019410785799]","[1, 0, 3, 2, 1, 3, 0, 3, 3, 1, 2, 1]",7.868535148138028,0.83737482799502
5,"[-2.346891170976565, -2.2767509363748895, -2.3875531484241255, -1.9073523667082404]","[0.2181118555959872, 0.23395955648005898, 0.2094208896088476, 0.33850769831510624]","[0, 1, 3, 2, 3, 1, 0, 0, 2, 2, 2, 1]",7.596217989597013,0.7559955928592266
6,"[-7.1856469722032745, -6.674769408427179, -6.4232437850984425, -5.8664505099869295]","[0.11695100881832839, 0.19492847235444016, 0.2506752573814541, 0.4374452614457774]","[2, 3, 0, 1, 3, 3, 1, 0, 0, 1, 2, 3]",7.670529648851424,1.0549563555335268
7,"[-4.115154803274497, -3.8723432645032094, -3.616789582823852, -3.621649559086203]","[0.17989156121620364, 0.2293308614016443, 0.2961065785288662, 0.2946709988532858]","[0, 1, 2, 3, 3, 3, 3, 0, 2, 0, 1, 1]",7.139323764174547,0.9115200850427823
8,"[-8.783800850669527, -8.848296656237796, -8.590579873549068, -8.358158691680014]","[0.21361752486911445, 0.20027498424205345, 0.2591502802637874, 0.32695721062504474]","[3, 1, 0, 2, 3, 3, 3, 3, 2, 1, 1, 2]",7.5704403231285715,1.1238156694514323
9,"[-5.242498271442197, -4.848316492296226, -5.9823921234608655, -4.5210353829759455]","[0.19929149827187423, 0.295583198111613, 0.09509484066020195, 0.4100304629563107]","[3, 0, 2, 1, 1, 3, 2, 2, 2, 0, 2, 3]",6.772751184231575,0.9873695508232829
10,"[-6.204388745122292, -6.358167111374662, -6.503369806962003, -6.68844715212308]","[0.31101174061474723, 0.26668076234247606, 0.23063805051663658, 0.19166944652614012]","[2, 1, 3, 0, 2, 3, 3, 3, 2, 2, 3, 1]",7.573026251225191,1.045840439802447
11,"[-2.2532808489470675, -2.519951603013255, -2.381528295189106, -2.2506940974716123]","[0.2741114610432576, 0.20994887773687237, 0.24111822408034972, 0.2748214371395202]","[1, 3, 2, 0, 1, 3, 2, 0, 1, 1, 2, 3]",7.466749280667651,0.7699271473979541
12,"[-23.13544519352776, -20.954320834994235, -19.18266261689915, -17.74729603141568]","[0.0035620858393675663, 0.03154675218197058, 0.18551372338979621, 0.7793774385888657]","[0, 1, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3]",7.0584722882000035,1.328466646089589
13,"[-4.7006633022587225, -4.831645168443685, -4.702717053780782, -4.608154429911165]","[0.2517556867831933, 0.22084856804101452, 0.25123917373455484, 0.2761565714412373]","[3, 1, 0, 2, 2, 3, 3, 1, 2, 1, 3, 0]",8.260683566742395,0.9578889281866039
14,"[-11.497115396349262, -11.65987932362721, -9.938107890932466, -10.631028737665925]","[0.11134021747267545, 0.09461600130164312, 0.5293225817623867, 0.26472119946329475]","[3, 0, 2, 1, 1, 3, 3, 3, 1, 1, 3, 1]",7.249065996641944,1.1734148233683737
15,"[-5.1476922495185224, -4.886464989607711, -5.101130668355766, -5.594636891080976]","[0.25089288759179396, 0.3257901183530374, 0.26285109327068945, 0.16046590078447928]","[2, 1, 0, 3, 2, 3, 1, 0, 3, 3, 2, 3]",5.849590297182359,0.9920661277839503
16,"[-17.573519293544727, -16.030151067962127, -16.48091377517528, -14.909352880512747]","[0.04344362033085833, 0.2033303992923521, 0.12955033999977295, 0.6236756403770166]","[3, 2, 1, 0, 3, 2, 3, 3, 3, 1, 1, 0]",8.934292441636462,1.2529664560218867
17,"[-9.106041913002231, -8.489669372177428, -8.729285083120933, -8.008448724928078]","[0.13686085506536252, 0.25349327499682023, 0.1994815165416472, 0.4101643533961701]","[1, 3, 2, 0, 0, 3, 2, 3, 0, 1, 2, 3]",7.49857100975806,1.1143489809796192
18,"[-2.691707082828687, -3.2889917750931232, -3.432864862636656, -3.2780708609633056]","[0.38711491014005367, 0.2130308268255913, 0.1844841947638791, 0.215370068270476]","[2, 3, 1, 0, 2, 2, 3, 2, 3, 1, 3, 1]",7.284243717204114,0.8589370261262064
19,"[-8.305983158304233, -9.352179072740451, -8.527160188228848, -7.993867154312387]","[0.284158766197875, 0.09981686963291277, 0.22777449624022877, 0.3882498679289834]","[2, 3, 0, 1, 1, 2, 3, 1, 1, 1, 3, 1]",6.12916137058702,1.1191920605278163
20,"[-9.368562106607923, -9.341265803752844, -9.457395580991347, -8.350516032011544]","[0.17511749766901616, 0.17996339457408245, 0.1602321481336391, 0.48468695962326225]","[0, 1, 3, 2, 3, 2, 3, 3, 2, 1, 0, 1]",7.7398422388576575,1.124540023710248
21,"[-3.8672900508716035, -3.915098745263582, -2.9945339166418066, -3.81438156703837]","[0.185145828979184, 0.17650250782651183, 0.4431462777145333, 0.1952053854797708]","[0, 1, 3, 2, 0, 3, 1, 1, 0, 1, 3, 3]",8.07858694627738,0.892613606496317
22,"[-7.662185212786521, -7.314518059801695, -7.09765053107249, -7.083103070345971]","[0.1678193038109081, 0.2375920152302986, 0.29513193974358115, 0.29945674121521215]","[1, 2, 3, 0, 1, 3, 3, 3, 2, 0, 1, 1]",8.185388322056301,1.063076046652448
23,"[-5.471276827543778, -4.786890065942618, -5.312991998172968, -4.632447042757608]","[0.15461414795017991, 0.3065311577537253, 0.18113044722744207, 0.35772424706865286]","[3, 2, 0, 1, 0, 1, 3, 2, 0, 0, 2, 2]",8.751920116507486,0.9697275811859675
24,"[-6.392073314041719, -6.56460652100982, -6.954708893335683, -7.096705802768153]","[0.344171746650479, 0.2896309682425226, 0.1960765642747421, 0.17012072083225627]","[2, 0, 1, 3, 3, 2, 2, 3, 1, 3, 3, 1]",7.171652380702847,1.0474409918091911
25,"[-1.1449465255988946, -1.1314026612630208, -1.2647426722336044, -0.9111562863522706]","[0.2401469673431636, 0.24342161089633604, 0.21303467656188582, 0.3033967451986146]","[1, 2, 0, 3, 0, 3, 0, 1, 2, 2, 1, 2]",7.580470424645447,0.5475303155828954
26,"[-5.330344485982814, -5.150893186719969, -5.2542363770840845, -6.13364287141638]","[0.26856530154838343, 0.3213546662191515, 0.2898032377033658, 0.12027679452909919]","[1, 0, 3, 2, 2, 3, 3, 1, 0, 3, 3, 2]",7.535195589733069,0.9863489911365338
27,"[-9.1627021342676, -8.163251397017557, -8.461340892562557, -8.29175017603697]","[0.12311527230209138, 0.3344782406027907, 0.24826142682998464, 0.29414506026513326]","[3, 2, 1, 0, 3, 3, 1, 3, 2, 0, 1, 0]",7.819761812688054,1.1019275081014843
28,"[-13.804323125294841, -12.793241781558734, -13.788374662155208, -13.594479311372366]","[0.1667185364262531, 0.45823782762542115, 0.16939875674659444, 0.20564487920173147]","[1, 2, 3, 0, 3, 3, 1, 3, 3, 2, 2, 3]",6.637202940489138,1.2199388788117973
29,"[-5.472071968424355, -6.4656615308306025, -5.322571817208709, -5.326444280866058]","[0.27113023966723926, 0.10038469267178526, 0.3148509794660609, 0.31363408819491456]","[2, 0, 3, 1, 3, 3, 0, 1, 2, 1, 1, 1]",6.858795327126538,0.9966697962283736
30,"[-5.694185411011182, -4.7045528969577814, -6.512686547294944, -5.471926793345731]","[0.18586558118589394, 0.5000240737234114, 0.08198387604836371, 0.23212646904233103]","[2, 3, 1, 0, 2, 0, 0, 3, 2, 2, 3, 2]",6.329414563926964,1.001526840135564
31,"[-11.893472024392578, -10.570597621730952, -12.669071834060086, -11.022203545902487]","[0.13149996077689388, 0.49367675257970006, 0.060546202040235066, 0.314277084603171]","[0, 1, 3, 2, 3, 3, 3, 0, 2, 2, 2, 2]",7.880410028640133,1.1673129590921194
32,"[-5.9893513506367375, -5.558248773948518, -6.108933046903255, -5.788955706044089]","[0.21514023527736342, 0.3310907971171429, 0.1908921056094677, 0.262876861996026]","[2, 1, 3, 0, 0, 2, 2, 3, 0, 3, 3, 1]",6.838734492870205,1.0109614965454492
33,"[-15.704273382976016, -15.362157781258606, -14.487289716982419, -15.295036305199448]","[0.13716333747801543, 0.19311542396042236, 0.46319870293486265, 0.20652253562669953]","[3, 1, 0, 2, 1, 3, 3, 0, 1, 2, 1, 1]",7.1616319946080385,1.2368223822711684
34,"[-2.2942903136658064, -2.24915794082274, -2.643913295368186, -2.6084645266966286]","[0.2872315306193211, 0.3004919576142021, 0.20248496476674044, 0.20979154699973632]","[0, 3, 1, 2, 3, 3, 3, 2, 2, 2, 0, 1]",8.22807588477138,0.7716818063712771
35,"[-4.671218555097985, -4.078147145659035, -4.328671065147381, -4.508851376240816]","[0.18537876747998808, 0.3354498722747248, 0.26111178581277505, 0.218059574432512]","[2, 0, 3, 1, 0, 1, 2, 3, 3, 3, 0, 0]",8.070861270942283,0.9306473196682205
36,"[-1.312441105523185, -1.0784655159591245, -1.4429964919980103, -1.2892577586486333]","[0.24011473450749582, 0.30341225524251225, 0.21072658406729786, 0.24574642618269404]","[2, 0, 3, 1, 2, 0, 2, 2, 3, 0, 1, 3]",8.03107062620614,0.5847289625699907
37,"[-15.712825837403429, -15.12864327379064, -15.101510896184962, -15.419110176970914]","[0.16728618933309897, 0.30003184465951993, 0.3082838641856998, 0.22439810182168138]","[0, 1, 3, 2, 3, 3, 0, 0, 0, 2, 3, 1]",8.629832043993598,1.2235849353457942
38,"[-4.015749228816062, -3.9142434647658133, -4.1786960101608965, -3.755993349652159]","[0.23512337826375954, 0.26024308962563536, 0.1997693815380984, 0.3048641505725067]","[1, 2, 0, 3, 2, 0, 2, 0, 1, 2, 3, 1]",8.36850077359469,0.8996762908339329
