Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-7.787436073562522, -7.132397626021586, -6.7407143069462245, -6.521524363760066]","[0.107297985966022, 0.20657185683928658, 0.30561668275089776, 0.3805134744437937]","[0, 1, 3, 2, 2, 3, 0, 3, 3, 1, 1, 2, 3, 2, 2, 3, 2, 0, 1, 2, 0, 2, 1, 2, 3, 2, 1, 3, 0]",7.943890021813901,0.9909783859010066
1,"[-11.021640385441003, -10.248223055241112, -9.749228877120466, -8.610667660653272]","[0.05592401353487947, 0.12119625797297927, 0.19961796732188558, 0.6232617611702556]","[2, 3, 0, 1, 3, 0, 0, 3, 2, 3, 2, 1, 3, 2, 3, 2, 0, 3, 3, 3, 0, 1, 1, 3, 3, 0, 3, 3, 3]",8.066891804179448,1.0743561217118536
2,"[-7.306340283211891, -7.341840656457448, -6.593189475214958, -6.048439165234511]","[0.1329157605909956, 0.12827997440390237, 0.2712026578999865, 0.4676016071051154]","[3, 1, 2, 0, 2, 1, 1, 2, 3, 3, 3, 3, 3, 2, 0, 0, 0, 3, 0, 3, 3, 2, 1, 0, 0, 1, 3, 2, 2]",7.413741274588254,0.9278056542871876
3,"[-5.3475243287425425, -5.4633441390097435, -5.488126213432103, -5.398489892003721]","[0.2695576016970064, 0.240077621187859, 0.2342011164534053, 0.25616366066172935]","[2, 0, 3, 1, 1, 3, 0, 3, 1, 1, 0, 3, 2, 0, 2, 0, 2, 0, 2, 3, 2, 1, 0, 1, 1, 1, 1, 3, 1]",7.610148068948264,0.8295434829121024
4,"[-5.959002535321492, -5.999884605143662, -5.619385042591491, -5.064784697491563]","[0.17212370695087328, 0.16522883220269385, 0.24173230530892856, 0.4209151555375043]","[0, 1, 3, 2, 0, 0, 3, 0, 0, 3, 2, 2, 2, 3, 3, 3, 3, 0, 1, 2, 3, 0, 2, 1, 2, 2, 2, 1, 1]",7.868535148138028,0.83737482799502
5,"[-5.104814863050082, -4.927032024313203, -4.948141636866225, -4.8222125471454325]","[0.2131852188292008, 0.254663788454858, 0.24934427848317633, 0.282806714232765]","[3, 0, 1, 2, 3, 0, 2, 0, 2, 3, 0, 1, 2, 2, 1, 3, 3, 1, 1, 3, 0, 1, 2, 1, 1, 3, 2, 3, 0]",7.596217989597013,0.7559955928592266
6,"[-9.597903929987867, -9.854607880594582, -10.537876632270747, -8.734217638949707]","[0.220452538522136, 0.17054146716196966, 0.08611724869440149, 0.5228887456214928]","[3, 1, 0, 2, 3, 3, 2, 3, 3, 1, 3, 1, 2, 3, 1, 3, 1, 3, 1, 3, 3, 2, 1, 3, 3, 3, 0, 2, 0]",7.670529648851424,1.0549563555335268
7,"[-6.781359576992173, -6.726575877617815, -6.730236530890441, -6.539347159558082]","[0.22817638329722062, 0.241025476663168, 0.24014477891126243, 0.29065336112834894]","[0, 2, 1, 3, 3, 3, 1, 1, 2, 3, 0, 2, 3, 1, 1, 2, 0, 2, 2, 0, 0, 2, 1, 3, 0, 2, 3, 2, 3]",7.139323764174547,0.9115200850427824
8,"[-11.77278794133868, -12.031374944050057, -11.83869413616835, -11.248514630409579]","[0.2273972071569697, 0.17558290014903558, 0.21289351364902484, 0.38412637904497]","[2, 3, 1, 0, 0, 3, 3, 3, 3, 2, 0, 0, 3, 0, 3, 3, 3, 1, 3, 3, 3, 0, 2, 3, 0, 0, 3, 2, 3]",7.5704403231285715,1.1238156694514323
9,"[-8.315793368794392, -8.722044883793249, -8.236609280877259, -7.832930987881461]","[0.2288720742945703, 0.15246143898070122, 0.247731948263788, 0.37093453846094054]","[3, 2, 1, 0, 2, 0, 3, 1, 2, 3, 3, 3, 0, 3, 2, 0, 2, 1, 3, 2, 1, 0, 1, 2, 0, 2, 3, 3, 3]",6.772751184231575,0.9873695508232828
10,"[-9.597650950123992, -9.564423863366459, -9.870288362430513, -10.089113672377355]","[0.2935232608105175, 0.3034400238783395, 0.22347945301499203, 0.17955726229615107]","[3, 1, 2, 0, 2, 0, 0, 0, 3, 0, 1, 2, 2, 2, 2, 3, 1, 2, 0, 2, 0, 2, 1, 1, 2, 0, 1, 3, 3]",7.573026251225191,1.045840439802447
11,"[-4.655536960646046, -4.779229346648073, -5.493541585425491, -5.451598644543932]","[0.36135960321043337, 0.31931599975047836, 0.15631433822758148, 0.16301005881150682]","[2, 1, 0, 3, 0, 3, 3, 0, 3, 0, 1, 0, 3, 1, 2, 1, 1, 0, 3, 3, 0, 3, 2, 0, 0, 0, 2, 2, 1]",7.466749280667651,0.7699271473979541
12,"[-25.642415921694326, -28.047249466669044, -23.60772955321994, -20.78299385124835]","[0.007262702641538621, 0.0006556805856503773, 0.055558604062890676, 0.9365230127099202]","[0, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2]",7.058472288200004,1.328466646089589
13,"[-8.735965675567112, -7.219744001305008, -8.517666487166908, -7.590971909007722]","[0.10058982460444585, 0.4581848841028309, 0.12512963674814553, 0.3160956545445778]","[3, 1, 0, 2, 3, 2, 1, 3, 1, 2, 1, 1, 0, 1, 2, 1, 1, 3, 3, 2, 0, 0, 1, 0, 3, 3, 3, 0, 1]",8.260683566742395,0.957888928186604
14,"[-13.964241846374701, -14.108778227771776, -14.56475234779844, -14.34764069780422]","[0.3230500080139441, 0.2795750448717856, 0.1772031178998094, 0.22017182921446085]","[1, 2, 3, 0, 2, 3, 3, 0, 3, 0, 2, 0, 0, 2, 3, 2, 0, 2, 2, 3, 1, 0, 0, 0, 0, 3, 3, 0, 2]",7.249065996641944,1.1734148233683737
15,"[-8.39949154075319, -7.937336699792893, -8.87592936726889, -8.75110304296058]","[0.2556213677842815, 0.4057966444974395, 0.15873870585533506, 0.17984328186294404]","[3, 1, 0, 2, 2, 3, 1, 3, 3, 1, 0, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 3, 2, 1]",5.849590297182359,0.9920661277839504
16,"[-24.423544731399755, -20.795065864190118, -22.042150562924547, -18.41492303974403]","[0.0021910722796199596, 0.08250590913116125, 0.023707352162807418, 0.8915956664264114]","[3, 1, 0, 2, 3, 3, 2, 3, 2, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3]",8.934292441636462,1.2529664560218867
17,"[-12.704671264962961, -11.544756551801678, -12.652373308440007, -12.081141965448767]","[0.1406697043470351, 0.44868870196518196, 0.14822221146165634, 0.26241938222612654]","[2, 0, 3, 1, 1, 1, 3, 1, 2, 1, 3, 3, 3, 1, 3, 1, 1, 3, 0, 0, 1, 0, 1, 2, 3, 0, 3, 1, 3]",7.49857100975806,1.1143489809796192
18,"[-6.618119770796855, -6.4820845003172884, -6.946759577295724, -7.062247313767944]","[0.28514333190716257, 0.32669507493410804, 0.2052753331053637, 0.18288626005336575]","[1, 0, 2, 3, 2, 2, 1, 1, 3, 2, 0, 0, 1, 1, 2, 1, 0, 3, 0, 0, 1, 3, 3, 1, 3, 2, 3, 1, 1]",7.284243717204114,0.8589370261262064
19,"[-12.877055623992574, -12.517775802866277, -14.056431788743652, -12.729568622199873]","[0.2564966600594651, 0.3673795333262127, 0.07886515367845008, 0.29725865293587206]","[0, 3, 1, 2, 3, 1, 0, 1, 1, 3, 0, 1, 3, 1, 3, 1, 0, 1, 0, 1, 0, 3, 3, 1, 2, 0, 0, 3, 1]",6.12916137058702,1.1191920605278165
20,"[-13.201979383375111, -12.698451525792555, -14.119203006396681, -15.233788490962825]","[0.31394481821961245, 0.5194367699725085, 0.12546083137852826, 0.04115758042935061]","[1, 0, 2, 3, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 0, 2, 1, 0, 2, 1, 0, 1, 1, 1]",7.7398422388576575,1.124540023710248
21,"[-7.279615338060954, -7.050933044770491, -7.469504707244552, -7.09240160464072]","[0.23310684822382832, 0.29300193638279387, 0.19279116478764025, 0.28110005060573756]","[2, 0, 3, 1, 1, 2, 3, 1, 3, 3, 1, 2, 3, 0, 0, 2, 2, 0, 3, 1, 2, 2, 0, 0, 0, 2, 3, 0, 0]",8.07858694627738,0.892613606496317
22,"[-11.47209947284849, -10.945794292738185, -12.765251912202704, -11.1341860278754]","[0.22888060501947147, 0.3874185651438116, 0.06280583937160679, 0.3208949904651102]","[1, 3, 0, 2, 0, 3, 1, 0, 1, 1, 1, 1, 0, 1, 0, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 3, 1, 3, 3]",8.185388322056301,1.063076046652448
23,"[-9.085475569782417, -9.199410232931529, -9.377057462105816, -8.728900957110916]","[0.2458316060663229, 0.21935953811325726, 0.1836560805246563, 0.3511527752957636]","[0, 1, 3, 2, 0, 0, 3, 0, 1, 3, 3, 1, 3, 2, 0, 2, 0, 2, 3, 3, 1, 3, 0, 0, 2, 0, 0, 0, 1]",8.751920116507486,0.9697275811859676
24,"[-11.363531319379515, -10.898272220605772, -11.389763616848686, -11.803339898554352]","[0.23749047276582655, 0.3781861772503396, 0.2313415547635071, 0.1529817952203267]","[2, 0, 3, 1, 2, 2, 1, 1, 1, 3, 2, 0, 2, 1, 3, 3, 0, 3, 0, 0, 0, 3, 3, 0, 3, 0, 1, 0, 2]",7.171652380702847,1.0474409918091911
25,"[-3.6515351386494954, -3.7023061865722333, -3.922052113115245, -3.923577473051079]","[0.28774467615441807, 0.2735002395890249, 0.2195448569526293, 0.2192102273039276]","[0, 2, 3, 1, 0, 1, 0, 0, 2, 0, 0, 1, 3, 2, 0, 1, 3, 0, 1, 3, 2, 2, 3, 0, 2, 2, 1, 1, 3]",7.580470424645447,0.5475303155828954
26,"[-8.744305302783882, -8.827538476397024, -8.724154863643129, -9.29067017226944]","[0.28412785255319506, 0.2614364278703371, 0.2899112266290614, 0.16452449294740654]","[3, 2, 0, 1, 2, 0, 3, 3, 0, 0, 3, 0, 0, 2, 3, 1, 0, 0, 1, 2, 3, 1, 3, 2, 0, 0, 1, 3, 3]",7.535195589733069,0.9863489911365338
27,"[-12.79137454544486, -13.409378896349335, -13.989833321503278, -12.91792032920083]","[0.36740235232294133, 0.19803686980128854, 0.11083014447093481, 0.3237306334048354]","[3, 1, 2, 0, 0, 3, 0, 3, 3, 0, 2, 3, 3, 0, 3, 3, 2, 3, 1, 1, 2, 2, 0, 1, 0, 3, 2, 1, 2]",7.819761812688054,1.1019275081014843
28,"[-19.56978675406058, -18.419113081734363, -19.798802793589022, -19.701622563689902]","[0.1714641805936031, 0.5418818873133304, 0.13636816800151208, 0.15028576409155442]","[2, 1, 0, 3, 2, 0, 0, 0, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 3, 0, 3]",6.637202940489138,1.2199388788117973
29,"[-9.999150136852133, -9.325334386697673, -9.624029931689483, -9.444452330354357]","[0.16238275437910915, 0.31854762089714683, 0.23629391554514112, 0.28277570917860306]","[3, 1, 0, 2, 3, 0, 3, 0, 3, 3, 2, 0, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 1, 3, 1, 3, 1, 2, 1]",6.858795327126538,0.9966697962283736
30,"[-9.94592503008143, -9.471705935351048, -10.013671561971158, -10.673660517782015]","[0.2484930261447599, 0.39926840144706355, 0.2322160641947484, 0.1200225082134282]","[1, 0, 2, 3, 1, 1, 1, 1, 0, 1, 2, 0, 2, 1, 1, 2, 3, 0, 1, 3, 1, 0, 3, 1, 1, 1, 0, 1, 3]",6.329414563926964,1.001526840135564
31,"[-17.015516832489247, -16.123465844188818, -17.074307161528136, -17.059097395106285]","[0.1872522744510487, 0.4569197424613656, 0.1765610024994471, 0.17926698058813859]","[1, 2, 0, 3, 2, 1, 1, 1, 2, 2, 0, 2, 2, 0, 1, 0, 0, 0, 2, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",7.880410028640133,1.1673129590921194
32,"[-10.549224125395199, -9.828051167523327, -9.809748946573707, -10.153979676591762]","[0.15068348618092617, 0.3099324829273989, 0.3156571630906066, 0.22372686780106835]","[3, 1, 0, 2, 3, 3, 3, 0, 2, 3, 0, 1, 3, 0, 1, 1, 1, 1, 1, 3, 0, 3, 1, 2, 3, 1, 3, 3, 0]",6.838734492870205,1.0109614965454492
33,"[-21.482151946881384, -21.313181053905925, -22.84098455351095, -21.953843661707054]","[0.3262651165249045, 0.3863258501458609, 0.08383727227116994, 0.2035717610580647]","[0, 1, 2, 3, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 3, 0, 3, 3, 3, 3, 1, 0, 3, 0, 0, 3, 1, 1, 3]",7.161631994608039,1.2368223822711684
