Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-6.490774824820639, -6.124561002288061, -6.054991325775547, -5.36346633385148]","[0.14132730858041945, 0.20383123258890148, 0.2185166114812315, 0.4363248473494476]","[0, 2, 1, 3, 3, 1, 0, 2, 3, 1, 3, 0, 0, 2, 2, 3, 2, 2, 1, 3, 3, 0, 2, 3, 3, 2, 1, 3, 2, 1, 3, 1, 0, 2, 1, 3, 3, 2, 0, 3, 2]",4.476023633248068,1.0200134988086318
1,"[-6.240353931481076, -5.922365231664419, -5.8850560943111025, -5.289025417180254]","[0.15649174766501464, 0.21507611265557197, 0.2232519859131965, 0.40518015376621686]","[3, 0, 2, 1, 2, 1, 3, 3, 3, 3, 1, 2, 3, 2, 0, 3, 2, 3, 1, 3, 0, 3, 1, 2, 0, 3, 0, 0, 1, 3, 1, 2, 3, 3, 2, 2, 3, 1, 3, 3, 1]",5.404148697300049,0.9973219380702228
2,"[-12.819225791612714, -12.543974413293663, -12.17459232067722, -10.235400898885828]","[0.05724143448891737, 0.0753790506556892, 0.10906145015474952, 0.7583180647006439]","[3, 0, 1, 2, 3, 2, 3, 3, 0, 3, 3, 3, 0, 1, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 1, 2, 3, 0, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 2, 3]",4.921897725934305,1.2266958985652536
3,"[-9.247092527050917, -8.69343861353226, -8.576286609023699, -7.531918281246502]","[0.09753191116055869, 0.16966629408679745, 0.19075417103697093, 0.5420476237156729]","[1, 0, 2, 3, 3, 2, 3, 1, 2, 1, 3, 2, 3, 1, 3, 2, 0, 3, 3, 0, 0, 2, 3, 1, 0, 3, 3, 2, 2, 0, 3, 1, 3, 3, 1, 3, 1, 1, 3, 3, 3]",5.535168575803321,1.1132733583712344
4,"[-6.121218119094258, -5.796403358281234, -5.777262689421673, -5.305241563072461]","[0.16513441139339913, 0.22850875337804863, 0.23292469093756887, 0.3734321442909834]","[2, 1, 3, 0, 1, 3, 3, 3, 2, 3, 1, 1, 1, 0, 2, 1, 2, 2, 2, 2, 0, 0, 2, 3, 2, 0, 1, 1, 1, 1, 3, 2, 2, 1, 1, 0, 3, 3, 2, 3, 3]",5.404323556925701,0.987958547026614
5,"[-3.067486680263008, -3.0108169778553906, -3.00099382599917, -2.8895752394623746]","[0.2313861933885482, 0.24487744228736036, 0.24729476401017772, 0.27644160031391374]","[3, 0, 2, 1, 2, 2, 3, 0, 3, 0, 0, 3, 1, 3, 2, 1, 0, 2, 1, 3, 0, 1, 3, 1, 0, 1, 2, 3, 3, 1, 0, 2, 2, 0, 2, 2, 3, 2, 0, 3, 0]",5.402143867559328,0.7338220967585032
6,"[-3.54427082097395, -3.449853289207329, -3.430771403315379, -3.272451821691232]","[0.2206745966807912, 0.2425254698107582, 0.2471977493328873, 0.2896021841755633]","[1, 2, 3, 0, 1, 3, 3, 0, 2, 1, 0, 2, 1, 0, 1, 2, 3, 3, 0, 0, 3, 1, 2, 2, 3, 0, 0, 0, 2, 3, 3, 3, 1, 2, 3, 2, 3, 2, 3, 3, 0]",4.608463101616568,0.7971103905450465
7,"[-7.253448568800478, -6.867440065237531, -6.799618155096318, -6.078535862501248]","[0.13730061714815006, 0.20198255074407923, 0.21615661650519194, 0.4445602156025787]","[3, 2, 1, 0, 2, 3, 1, 3, 2, 2, 2, 0, 1, 1, 0, 2, 3, 1, 3, 0, 3, 3, 2, 3, 2, 1, 3, 3, 0, 3, 3, 1, 0, 1, 2, 2, 2, 3, 1, 2, 1]",4.665862912756478,1.0458359931714831
8,"[-3.538999675671924, -3.4617856063415937, -3.42701019403877, -3.3044616147466725]","[0.22405956072549638, 0.24204556218743062, 0.25061086419107864, 0.2832840128959943]","[0, 3, 1, 2, 3, 0, 0, 3, 3, 2, 0, 3, 1, 1, 3, 3, 0, 3, 2, 0, 2, 2, 0, 2, 1, 2, 1, 0, 2, 3, 0, 2, 2, 1, 0, 1, 3, 3, 0, 1, 0]",4.782966189225412,0.79619152085282
9,"[-6.349640175344136, -6.049612745206847, -5.965924137494324, -5.50681187085207]","[0.16285180665832452, 0.21983297551340086, 0.23902225470407468, 0.37829296312419985]","[1, 2, 0, 3, 1, 3, 0, 3, 3, 0, 3, 1, 2, 3, 2, 3, 0, 3, 3, 3, 2, 3, 2, 1, 0, 1, 1, 1, 3, 0, 2, 1, 3, 0, 2, 3, 3, 0, 3, 3, 3]",4.66646867495505,1.0033945323676567
10,"[-4.435132328369222, -4.314554130576224, -4.27285859568924, -4.050046718410357]","[0.20946482507392117, 0.2363075237835014, 0.2463687897194428, 0.3078588614231347]","[2, 3, 0, 1, 3, 1, 2, 3, 3, 1, 2, 3, 3, 3, 2, 0, 2, 3, 1, 3, 0, 3, 3, 1, 0, 3, 1, 0, 3, 0, 0, 2, 2, 2, 0, 1, 2, 2, 3, 1, 1]",5.134333528862206,0.8783554352106508
