Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-8.678476160983005, -9.285160537026034, -8.105853177766349, -7.4668186810752015]","[0.14976529661388668, 0.08164536110467825, 0.265520582884962, 0.5030687593964731]","[2, 0, 3, 1, 2, 3, 1, 3, 3, 3, 2, 1, 2, 0, 2, 2, 0, 3, 3, 2, 2, 1, 3, 1, 3, 3, 3, 3, 2, 3, 2, 3, 0]",4.476023633248068,1.0200134988086318
1,"[-8.741102208492512, -8.662541206417444, -9.023127718674358, -8.299654047000356]","[0.22774160571484137, 0.24635477704179712, 0.17177511799362527, 0.3541284992497362]","[0, 2, 1, 3, 3, 3, 3, 0, 3, 2, 0, 0, 0, 2, 2, 2, 0, 3, 2, 0, 1, 3, 1, 1, 1, 3, 0, 0, 3, 0, 1, 1, 3]",5.404148697300049,0.9973219380702228
2,"[-18.280137725060037, -17.367337374918275, -16.775559696104974, -15.16514777171479]","[0.032758158344886, 0.08161004794480335, 0.1474855300749928, 0.7381462636353179]","[1, 3, 0, 2, 3, 3, 1, 2, 3, 3, 2, 2, 2, 0, 2, 3, 1, 3, 3, 3, 2, 1, 2, 3, 3, 1, 3, 2, 3, 3, 3, 3, 2]",4.921897725934305,1.2266958985652536
3,"[-12.25845838297007, -12.640119185117277, -12.688627194828014, -11.794833336025562]","[0.2549100368577404, 0.17403386106918264, 0.16579330707353876, 0.40526279499953816]","[0, 1, 3, 2, 1, 3, 1, 3, 3, 3, 3, 1, 2, 3, 3, 2, 2, 1, 1, 3, 3, 3, 2, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3]",5.535168575803321,1.1132733583712344
4,"[-9.454273387923124, -8.875953132116216, -9.347007871245566, -9.191976824079148]","[0.19244897021313437, 0.3431443776141884, 0.2142399279121347, 0.2501667242605425]","[0, 2, 1, 3, 2, 3, 2, 1, 2, 3, 2, 1, 1, 1, 3, 1, 2, 1, 3, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 3, 1, 2, 2]",5.404323556925701,0.987958547026614
5,"[-4.908817719403146, -5.383611520586409, -5.2258991987551795, -5.252836757367046]","[0.32688282949281233, 0.2033254680253083, 0.23805942032456645, 0.231732282157313]","[1, 2, 3, 0, 0, 3, 1, 3, 0, 0, 0, 0, 3, 2, 1, 3, 2, 1, 1, 2, 0, 2, 1, 2, 2, 1, 1, 2, 0, 3, 3, 0, 0]",5.402143867559328,0.7338220967585032
6,"[-6.045309820385072, -6.029587095234232, -6.177143836011808, -5.850335610365985]","[0.243450388014365, 0.24730834084415956, 0.21338097025233507, 0.2958603008891404]","[3, 2, 0, 1, 3, 2, 3, 2, 0, 1, 1, 3, 1, 3, 1, 2, 3, 1, 3, 0, 3, 0, 0, 2, 1, 1, 2, 2, 3, 0, 2, 3, 3]",4.608463101616568,0.7971103905450465
7,"[-11.145494568388223, -11.286966632850532, -10.908467105179675, -10.79238335501189]","[0.21934419257220314, 0.19040818067740198, 0.2780134836486691, 0.31223414310172587]","[2, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 2, 1, 2, 2, 0, 0, 0, 3, 1, 1, 3, 0, 2, 1, 1, 0, 0, 3, 0, 3, 0, 3]",4.665862912756478,1.0458359931714831
8,"[-6.1454365464135465, -5.984720753773658, -6.140797874483784, -6.009154984363529]","[0.23121359864162838, 0.2715259582667497, 0.23228861406574625, 0.26497182902587557]","[1, 0, 2, 3, 2, 0, 0, 1, 3, 2, 0, 3, 1, 2, 1, 3, 0, 2, 3, 0, 3, 0, 1, 1, 3, 3, 0, 3, 0, 3, 3, 0, 3]",4.782966189225412,0.79619152085282
9,"[-10.350211446313736, -9.735114192986199, -9.999340148043697, -9.416272272435068]","[0.1467425985816741, 0.27144981401693136, 0.20841917582198793, 0.3733884115794066]","[3, 1, 2, 0, 3, 1, 0, 2, 1, 0, 3, 2, 2, 1, 3, 2, 3, 1, 0, 3, 0, 1, 2, 3, 3, 0, 2, 2, 1, 3, 2, 2, 1]",4.66646867495505,1.0033945323676567
