Vehicle_label,Road_order,Caused_delay,Count,Total_time
0,0,2.7730769230769203,13,101.67307692307328
0,1,2.8999999999999972,10,70.37499999999815
0,2,1.3000000000000007,9,67.79999999999829
0,3,0.9750000000000004,18,36.45000000000007
1,0,4.292857142857136,14,106.16428571428183
1,1,3.164999999999995,10,73.33499999999798
1,2,2.2392857142857117,14,70.1035714285696
1,3,1.8624999999999983,12,38.04166666666664
2,0,4.1066666666666585,15,108.74333333332929
2,1,2.5117647058823502,17,75.34411764705669
2,2,2.369999999999996,10,71.0599999999981
2,3,3.7312499999999935,8,40.71249999999982
3,0,6.234999999999993,10,112.14499999999578
3,1,5.454545454545445,11,81.94999999999749
3,2,3.890909090909086,11,72.82272727272529
3,3,2.874999999999997,18,39.41944444444434
4,0,6.723076923076917,13,113.94615384614953
4,1,5.677272727272729,11,81.33636363636116
4,2,5.667857142857136,14,74.74642857142646
4,3,3.93333333333333,12,40.262499999999854
5,0,4.05,9,114.13888888888457
5,1,6.087500000000001,16,82.40312499999746
5,2,3.616666666666667,12,73.36666666666464
5,3,5.415384615384612,13,43.9038461538458
6,0,6.170000000000018,10,115.3949999999957
6,1,5.8666666666666645,9,85.02777777777509
6,2,4.7035714285714265,14,74.32499999999791
6,3,4.723529411764704,17,43.329411764705554
7,0,9.968181818181845,11,118.54545454545024
7,1,6.667857142857146,14,85.31071428571158
7,2,5.849999999999999,15,76.96666666666444
7,3,6.609999999999992,10,45.379999999999555
8,0,7.636666666666678,15,119.10666666666246
8,1,6.922727272727278,11,86.81818181817903
8,2,6.5346153846153845,13,78.48076923076691
8,3,6.695454545454552,11,45.03181818181776
9,0,8.786363636363655,11,121.59090909090459
9,1,7.068181818181827,11,88.39999999999712
9,2,9.157142857142874,14,80.49999999999757
9,3,6.3678571428571535,14,45.82857142857096
10,0,10.615384615384643,13,123.8192307692262
10,1,7.500000000000017,11,90.99090909090606
10,2,8.493750000000018,16,79.9937499999976
10,3,10.420000000000034,10,49.83499999999931
11,0,8.894444444444483,9,126.20555555555185
11,1,8.662500000000042,8,88.31874999999712
11,2,7.020588235294128,17,79.68529411764467
11,3,8.915625000000016,16,50.50312499999927
12,0,7.284615384615396,13,119.54230769230345
12,1,11.60000000000005,11,96.45909090908758
12,2,7.731818181818188,11,78.90454545454311
12,3,12.99000000000007,15,55.34666666666566
13,0,7.790000000000047,10,120.82999999999609
13,1,7.730769230769236,13,91.70769230768923
13,2,9.680000000000033,15,84.18666666666402
13,3,7.308333333333348,12,47.79999999999942
14,0,11.866666666666719,12,129.39999999999617
14,1,11.275000000000045,10,95.8399999999967
14,2,13.904166666666738,12,87.73333333333049
14,3,12.078125000000064,16,54.00624999999907
15,0,10.583333333333373,12,125.687499999996
15,1,13.810000000000077,10,100.10999999999646
15,2,9.816666666666697,12,83.59166666666407
15,3,13.150000000000066,16,58.7249999999988
16,0,11.120833333333385,12,127.8749999999966
16,1,9.893333333333366,15,94.44999999999678
16,2,11.915000000000058,10,85.61999999999728
16,3,12.038461538461593,13,55.9884615384605
17,0,16.262500000000095,8,138.77499999999787
17,1,10.750000000000046,15,97.11333333332996
17,2,8.716666666666677,15,83.47333333333073
17,3,21.037500000000104,12,66.76249999999835
18,0,11.90000000000004,11,131.63636363635996
18,1,13.583333333333403,18,101.89444444444081
18,2,17.068750000000108,8,100.66249999999643
18,3,16.734615384615385,13,59.91923076922951
19,0,12.861111111111176,9,135.7555555555522
19,1,10.808333333333387,12,95.6999999999967
19,2,15.196666666666689,15,91.33999999999695
19,3,14.589285714285753,14,62.00714285714147
20,0,14.428571428571512,14,137.1035714285686
20,1,15.27272727272736,11,104.99090909090528
20,2,20.263636363636326,11,100.1409090909056
20,3,19.003571428571487,14,70.03571428571244
21,0,13.86000000000008,15,133.9033333333306
21,1,16.804545454545554,11,106.00454545454159
21,2,26.329999999999963,15,103.39999999999647
21,3,16.76111111111122,9,63.316666666665206
22,0,13.695833333333413,12,135.99583333333103
22,1,16.61153846153855,13,109.13846153845765
22,2,19.506250000000005,16,99.58124999999698
22,3,17.5833333333334,9,71.25555555555364
23,0,18.633333333333475,12,140.48333333333207
23,1,16.573529411764806,17,108.72647058823128
23,2,23.43750000000007,8,101.32499999999638
23,3,25.6769230769231,13,77.97692307692078
24,0,20.628571428571572,14,145.29642857142784
24,1,15.29000000000009,15,110.5233333333292
24,2,26.138888888888815,9,111.00555555555225
24,3,28.004166666666535,12,80.32916666666425
25,0,24.07500000000015,10,153.04500000000078
25,1,20.170000000000122,10,116.51999999999597
25,2,25.050000000000107,13,109.77307692307372
25,3,29.461764705882125,17,85.15294117646789
26,0,23.360714285714437,14,155.24285714285824
26,1,14.353333333333397,15,108.37333333332953
26,2,27.012499999999935,12,112.86249999999717
26,3,29.488888888888866,9,84.01111111110862
27,0,21.670833333333437,12,151.67083333333372
27,1,20.258333333333464,12,117.95416666666279
27,2,34.62333333333321,15,124.02999999999672
27,3,22.16818181818194,11,73.49090909090705
28,0,20.396153846153993,13,153.88846153846228
28,1,17.925000000000118,8,113.3187499999965
28,2,29.5714285714286,14,116.42499999999667
28,3,28.896666666666572,15,85.46666666666428
29,0,20.27727272727284,11,149.87272727272784
29,1,19.068750000000115,16,114.11562499999631
29,2,27.391666666666623,12,117.85833333333034
29,3,30.263636363636405,11,81.97272727272475
30,0,19.11111111111124,18,149.14722222222196
