Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.46459823220667, -3.45767220873637, -3.1856454481688954, -3.0181284955997008]","[0.2044370865631213, 0.2058579373660386, 0.2702136836781403, 0.31949129239269985]","[2, 0, 1, 3, 1, 3, 3, 0, 0, 3, 3, 1, 2, 1, 2, 1, 2, 2, 0, 3, 3, 3, 3, 0, 1, 3, 0, 3, 0, 3, 0, 3, 0, 1, 1, 2, 2, 2, 3, 3, 2, 3, 3, 0, 1, 0, 0, 3, 0, 1]",5.310139395905695,0.5178783903841696
1,"[-3.8590502288000588, -3.7452585222440176, -3.6283983916659057, -3.5042445148108987]","[0.20808004020035423, 0.2331575769475825, 0.2620603056393722, 0.296702077212691]","[2, 1, 3, 0, 0, 1, 3, 1, 2, 3, 3, 2, 3, 0, 1, 1, 2, 3, 0, 0, 2, 1, 0, 0, 1, 2, 3, 2, 3, 2, 3, 3, 0, 2, 3, 0, 2, 0, 1, 2, 2, 0, 1, 2, 2, 0, 3, 0, 0, 1]",4.8258299732523655,0.568199870709438
2,"[-2.693003597985943, -2.614922486287353, -2.603577098789767, -2.661614845798679]","[0.23771919565853067, 0.2570244556719702, 0.2599571022670103, 0.24529924640248882]","[3, 0, 2, 1, 2, 1, 1, 2, 3, 3, 1, 1, 1, 0, 2, 1, 0, 3, 3, 1, 3, 2, 0, 0, 0, 3, 0, 1, 1, 1, 0, 1, 2, 0, 1, 0, 2, 1, 1, 2, 2, 0, 0, 0, 0, 1, 1, 0, 2, 3]",4.5907591429917565,0.3082982019539849
3,"[-3.9358912898318623, -3.8840097656587007, -3.789017673138228, -3.6469311477911264]","[0.21994955475720507, 0.2316620775757379, 0.2547472405865163, 0.29364112708054074]","[2, 0, 1, 3, 0, 3, 3, 1, 1, 0, 2, 0, 3, 3, 2, 0, 1, 0, 2, 3, 3, 1, 0, 0, 0, 3, 1, 3, 2, 1, 1, 3, 1, 3, 2, 3, 2, 3, 2, 2, 0, 2, 3, 3, 1, 1, 3, 3, 2, 3]",5.157207779678201,0.5646223651428418
4,"[-3.026060718384529, -2.998179890815842, -2.9958398467437806, -2.924228619767261]","[0.24002959956477424, 0.24681598891161272, 0.24739422548903364, 0.2657601860345794]","[3, 2, 1, 0, 2, 1, 1, 3, 0, 0, 2, 3, 3, 2, 1, 1, 0, 2, 1, 0, 2, 0, 1, 0, 3, 2, 1, 0, 2, 3, 1, 2, 3, 3, 2, 0, 2, 1, 3, 0, 2, 0, 3, 2, 0, 0, 1, 3, 3, 2]",5.0267880055894,0.383510943377805
5,"[-3.291316514940026, -3.3522473759238354, -3.2516315499115183, -3.3034434196086813]","[0.2519324761763402, 0.23704031660876715, 0.2621314419926965, 0.24889576522219625]","[3, 1, 0, 2, 0, 3, 3, 2, 0, 1, 1, 1, 3, 3, 1, 1, 0, 2, 3, 1, 0, 2, 0, 3, 1, 2, 2, 1, 3, 0, 1, 0, 1, 2, 2, 3, 0, 2, 3, 1, 3, 1, 1, 2, 1, 2, 2, 3, 3, 1]",4.988452620376531,0.4627552097980987
6,"[-3.5888092038697677, -3.5649778934059086, -3.513875389416214, -3.48109093762661]","[0.23721053975375775, 0.24293147571678692, 0.2556685591000773, 0.26418942542937807]","[2, 0, 3, 1, 3, 1, 2, 1, 3, 3, 2, 3, 0, 1, 2, 2, 0, 0, 2, 2, 3, 1, 3, 3, 0, 3, 2, 3, 3, 3, 1, 3, 2, 2, 0, 2, 0, 0, 1, 1, 3, 2, 3, 1, 2, 0, 3, 0, 2, 3]",4.878581127240016,0.5061620758715762
7,"[-4.076431256352721, -3.970926793899858, -3.932981708891391, -3.913939877050974]","[0.22512595609915625, 0.2501759606572329, 0.2598513139255276, 0.26484676931808315]","[1, 2, 0, 3, 2, 2, 3, 3, 0, 1, 2, 0, 3, 1, 2, 0, 1, 1, 1, 2, 0, 1, 0, 3, 1, 0, 0, 0, 2, 3, 0, 1, 2, 2, 2, 1, 2, 3, 1, 3, 1, 2, 3, 1, 2, 0, 2, 2, 1, 3]",4.805345848852944,0.5715074843391093
8,"[-3.7600757605553303, -3.723826179667401, -3.706390985359219, -3.670099958956176]","[0.23887931082176928, 0.24769744700389887, 0.25205396815891407, 0.2613692740154177]","[0, 3, 1, 2, 2, 1, 3, 0, 3, 1, 2, 2, 2, 0, 2, 3, 3, 1, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 0, 2, 0, 3, 1, 3, 1, 3, 2, 3, 0, 2, 3, 1, 2, 1, 0, 0, 3, 0, 1, 1]",4.348500307206286,0.5302724528587791
9,"[-3.2014496689663265, -3.168292443883466, -3.1957775275584037, -3.133835390259426]","[0.2433472608885603, 0.25155123976980653, 0.244731483004106, 0.2603700163375272]","[2, 3, 0, 1, 2, 1, 1, 2, 3, 3, 1, 3, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1, 2, 2, 3, 2, 0, 3, 2, 0, 3, 3, 2, 1, 3, 2, 0, 1, 3, 3, 1, 3, 1, 3]",5.786703018318132,0.4164484295542948
10,"[-3.8347264620777364, -3.7591044137935343, -3.7735457361668407, -3.7744664337049714]","[0.23788235771413466, 0.25656917193964984, 0.2528905994729011, 0.2526578708733144]","[3, 1, 0, 2, 3, 0, 3, 2, 1, 0, 0, 2, 3, 1, 1, 0, 3, 1, 1, 2, 0, 1, 2, 0, 1, 3, 0, 2, 2, 2, 3, 1, 2, 2, 2, 3, 1, 0, 3, 0, 2, 2, 2, 0, 0, 2, 3, 1, 0, 2]",4.775113315534004,0.5323316725686021
11,"[-4.367256430055761, -4.331624544327759, -4.271531856846655, -4.2829786556047305]","[0.23670536688500599, 0.24529169048350413, 0.2604838239899213, 0.25751911864156857]","[0, 2, 1, 3, 0, 2, 2, 0, 3, 1, 2, 0, 3, 2, 1, 0, 3, 3, 2, 1, 3, 3, 3, 2, 0, 1, 3, 2, 2, 2, 3, 2, 0, 3, 3, 3, 1, 2, 3, 2, 1, 3, 2, 1, 2, 0, 3, 2, 2, 0]",5.873018194086117,0.6122889940173919
12,"[-4.181993921036623, -4.263284737871986, -4.157945433075781, -4.228010650643883]","[0.2563253725754638, 0.23631290778030165, 0.2625643282589708, 0.24479739138526374]","[3, 2, 1, 0, 3, 1, 0, 3, 2, 1, 0, 2, 3, 1, 2, 3, 0, 3, 0, 0, 2, 3, 1, 2, 2, 3, 0, 1, 3, 3, 3, 0, 2, 3, 0, 2, 3, 0, 0, 1, 1, 1, 0, 3, 1, 2, 3, 1, 0, 2]",3.991303916761178,0.5982246487769056
13,"[-4.041193434926487, -4.022129015769713, -4.061024617408342, -3.9597583077524012]","[0.24483074728654133, 0.2495430794887192, 0.24002329039108805, 0.2656028828336514]","[2, 3, 0, 1, 0, 3, 0, 2, 2, 0, 1, 2, 0, 2, 2, 1, 3, 1, 3, 3, 1, 1, 3, 3, 2, 2, 2, 2, 0, 2, 0, 3, 2, 1, 1, 1, 2, 1, 3, 0, 3, 2, 1, 2, 3, 3, 0, 1, 1, 0]",5.937287036951771,0.5713581657178805
14,"[-3.870604977162875, -3.8476344586420628, -3.8732344563723426, -3.8221943970156858]","[0.24568745668206893, 0.2513963419639415, 0.24504227524003122, 0.25787392611395843]","[1, 2, 0, 3, 3, 3, 2, 0, 0, 3, 0, 1, 2, 0, 2, 3, 2, 2, 1, 2, 1, 0, 1, 3, 3, 0, 3, 0, 3, 3, 3, 3, 1, 2, 2, 0, 3, 1, 0, 1, 3, 2, 1, 0, 1, 0, 2, 3, 2, 3]",5.390793224497002,0.5340547486478119
15,"[-3.8843024582849686, -3.911254004319709, -3.846375008446221, -3.865971393399276]","[0.24810421143258363, 0.24150672494239786, 0.25769489693917985, 0.2526941666858387]","[1, 3, 2, 0, 2, 0, 3, 3, 0, 0, 1, 3, 0, 1, 2, 3, 1, 2, 3, 2, 1, 3, 1, 1, 1, 3, 0, 3, 0, 1, 0, 3, 3, 2, 0, 2, 3, 2, 2, 1, 3, 3, 3, 0, 0, 2, 3, 2, 2, 0]",4.125108072628222,0.5414855211019901
16,"[-3.6683776316609475, -3.6397655939474243, -3.660792979578974, -3.6403457335399545]","[0.24599838902261356, 0.253138564591819, 0.24787129490729695, 0.25299175147827063]","[0, 3, 2, 1, 2, 1, 0, 2, 1, 3, 3, 1, 1, 2, 0, 3, 3, 3, 2, 1, 1, 0, 0, 2, 3, 1, 3, 0, 2, 1, 1, 2, 0, 3, 0, 1, 1, 1, 1, 0, 0, 0, 3, 3, 2, 0, 3, 2, 3, 1]",5.63707554460064,0.5019231985592708
17,"[-4.296982533358285, -4.195944475227816, -4.140656857257349, -4.277140790380251]","[0.23279821578061957, 0.25754903001036966, 0.272189285748956, 0.23746346846005478]","[0, 1, 2, 3, 3, 2, 2, 3, 3, 2, 2, 2, 3, 0, 0, 0, 1, 2, 2, 1, 0, 1, 1, 3, 1, 3, 0, 2, 3, 3, 1, 1, 3, 1, 1, 0, 1, 2, 1, 2, 1, 3, 2, 2, 2, 0, 1, 1, 3, 2]",4.62539149771332,0.5890825782581008
18,"[-3.8038970621076573, -3.809895935205721, -3.83828774312479, -3.8056777100773007]","[0.2526251557004086, 0.2511142259190766, 0.2440848988880967, 0.252175719492418]","[3, 0, 1, 2, 2, 0, 3, 1, 3, 3, 0, 0, 1, 1, 1, 1, 3, 0, 1, 1, 1, 3, 0, 0, 2, 3, 3, 1, 2, 2, 3, 3, 1, 1, 2, 1, 2, 0, 3, 1, 1, 1, 1, 0, 2, 3, 3, 0, 0, 1]",5.058014620445169,0.523641599523805
19,"[-3.322438011612249, -3.2952720815081804, -3.3262360275761713, -3.3088875092383345]","[0.2476847542483764, 0.25450556838218535, 0.2467458277552875, 0.2510638496141507]","[2, 1, 3, 0, 3, 0, 2, 0, 0, 1, 2, 3, 1, 1, 2, 2, 3, 1, 3, 3, 0, 2, 2, 0, 1, 3, 1, 2, 1, 1, 3, 1, 3, 3, 0, 3, 2, 2, 2, 2, 2, 0, 1, 2, 2, 3, 1, 0, 3, 3]",4.8460392374917305,0.4342335003494733
20,"[-3.6959826549897383, -3.6908748301651038, -3.719091167311637, -3.6936713898356968]","[0.25096676950315105, 0.25225194322553196, 0.24523379617671687, 0.25154749109460006]","[2, 3, 1, 0, 0, 0, 3, 1, 3, 3, 2, 2, 1, 2, 1, 0, 2, 1, 0, 0, 1, 3, 0, 1, 2, 3, 3, 2, 1, 2, 2, 2, 3, 3, 3, 0, 2, 3, 0, 1, 0, 3, 0, 3, 0, 3, 0, 1, 0, 1]",4.410105546741703,0.5021839015236833
21,"[-3.0900156553378246, -3.0986420563951915, -3.123506777033744, -3.085582444062286]","[0.25233935939836466, 0.2501719408331872, 0.244028183349973, 0.2534605164184751]","[2, 0, 1, 3, 3, 0, 1, 0, 1, 1, 0, 0, 2, 3, 2, 2, 2, 3, 3, 0, 1, 3, 2, 2, 0, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 2, 2, 3, 3, 0, 3, 2, 0, 2, 1, 2, 2, 0, 0, 0]",4.816392364595838,0.3823128266405278
