Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-54.87625730125595, -41.96245335572015, -42.05661934526219, -30.347253830140716]","[2.2242400520109318e-11, 9.027665331283616e-06, 8.216364190619747e-06, 0.9999827559482357]","[3, 2, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.759852790739565,1.560753571657914
1,"[-31.452790871593777, -29.89594362911947, -27.147723229915865, -21.375823632215006]","[4.189613779490134e-05, 0.0001987486355634267, 0.0031034239706778906, 0.9966559312559637]","[0, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.661815001758014,1.453983971062422
2,"[-20.820232073003634, -19.347339816670182, -17.954813671776648, -15.738187558339174]","[0.0054341527539916714, 0.02370286383415152, 0.0954041446632967, 0.87545883874856]","[2, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]",4.8805638042029775,1.3484196458019515
3,"[-73.71214784578846, -56.49153368920326, -56.65848444659699, -46.16629043091249]","[1.0888293801151716e-12, 3.2792727051006694e-05, 2.7750559361472123e-05, 0.9999394567124986]","[0, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.71949718044604,1.6292459493621834
4,"[-1523.1123142842546, -1035.6052302473508, -949.5684282846865, -631.3236170147673]","[7.233902907255469e-128, 2.3032193132381523e-58, 4.2504936295724485e-46, 1.0]","[2, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.700685385763596,2.1635325281142297
5,"[-237.7490088477223, -186.8614472484204, -172.20551970552089, -134.69032653064943]","[1.746557779357601e-45, 2.1997339496894614e-23, 5.0975162231297354e-17, 1.0]","[0, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.3803161207562304,1.831233738542268
6,"[-41.47711062269236, -37.41370521352407, -34.67270320087438, -30.382123133094254]","[1.4969770406351324e-05, 0.0008708225898940938, 0.013499936803790002, 0.9856142708359095]","[2, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3]",5.284328128195067,1.479672454146566
7,"[-66.81630452292177, -53.10796938851134, -50.87545359447041, -46.63521022328604]","[1.692739702915216e-09, 0.0015207032901838002, 0.01417796094488494, 0.9843013340721916]","[1, 3, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.005378104362213,1.5841187817661802
8,"[-55.642005830716094, -47.133900722566636, -47.43975454448477, -41.455213881795636]","[6.857789419334828e-07, 0.003397873802834609, 0.002502514589054687, 0.9940989258291687]","[0, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]",5.575708770713448,1.534685283714897
9,"[-31.733048315538518, -27.01014085197234, -28.34575063808088, -25.956894247696443]","[0.0021477793696992927, 0.2416141230402605, 0.06354397173596917, 0.6926941258540711]","[1, 3, 0, 2, 3, 3, 3, 3, 3, 2, 3, 1, 3, 3, 1, 1, 1, 3, 3, 1]",5.373775579722832,1.4202370845328256
10,"[-310.5356629678471, -234.2586878779231, -224.16246348004893, -198.72677034844497]","[2.7670366256167317e-49, 3.7041134983500253e-16, 8.982946839379e-12, 0.9999999999910167]","[1, 3, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.588892922632798,1.8512382632415023
11,"[-7.360268191383764, -7.865709861951446, -8.321202299333832, -7.954517628880287]","[0.3940496645838504, 0.23770615856908484, 0.15073794199578552, 0.21750623485127918]","[0, 1, 2, 3, 1, 2, 3, 1, 1, 2, 2, 3, 1, 3, 1, 3, 2, 2, 0, 1]",4.972610092043316,1.0905383827472122
12,"[-83.40730655590247, -60.69292040234949, -70.95386866926711, -63.74912311875893]","[1.3040037420780714e-10, 0.9550176631806094, 3.3399363664874205e-05, 0.04494893732532529]","[0, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1]",5.023268881200467,1.6112518060041303
13,"[-153.39943531907832, -132.82531609292585, -134.06554106963628, -119.83060720482514]","[2.6378003020427454e-15, 2.272314101314132e-06, 6.574239174115195e-07, 0.9999970702619787]","[1, 2, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.252302471881902,1.7277189682715752
14,"[-36.143355407364886, -28.50361324446995, -32.20365603804764, -31.010305016403883]","[0.0004345664081925226, 0.9035538005951165, 0.02233808035955775, 0.07367355263713325]","[0, 2, 1, 3, 3, 3, 2, 3, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]",4.951985429063659,1.4349010394549788
15,"[-469.570594295158, -296.08379808990196, -393.6338325531163, -339.9469894113124]","[4.5252411216804676e-76, 1.0, 4.310804456460329e-43, 8.921914364952828e-20]","[3, 1, 0, 2, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.225545798694375,1.9279570082647481
16,"[-14.067230471040634, -13.649324784883596, -14.209451891313108, -14.121307468895097]","[0.23075685401175902, 0.35046830074742596, 0.20016522607441567, 0.2186096191663994]","[0, 1, 3, 2, 3, 3, 3, 0, 1, 3, 1, 2, 2, 0, 1, 1, 3, 1, 0, 1]",4.248433708222916,1.2480072973695906
17,"[-219.45097500962484, -226.68441716149124, -225.14414390489102, -201.2154714157356]","[1.2034315946895043e-08, 8.68915206084899e-12, 4.054241113410746e-11, 0.9999999879164525]","[1, 2, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",6.286990210520351,1.7837506800497973
18,"[-7.804237567237156, -8.3285512716911, -8.990982360168188, -7.775889187990706]","[0.34177182962599845, 0.20231575997506496, 0.10431326724418301, 0.3515991431547536]","[3, 2, 1, 0, 3, 0, 1, 2, 2, 3, 1, 2, 1, 1, 0, 1, 3, 2, 2, 1]",4.959740159867121,1.0962721263375015
19,"[-123.90095325701768, -104.49933779328343, -124.90584268532534, -120.97990192162779]","[3.7496042403046955e-09, 0.9999999252821015, 1.3726742853297586e-09, 6.959561996927383e-08]","[1, 3, 2, 0, 3, 2, 3, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.635847460554786,1.676441172228744
20,"[-401.3960061250114, -251.21890918960955, -269.4023162666271, -277.2763091632319]","[6.010567617064475e-66, 0.9999999873172958, 1.267788005887986e-08, 4.824085241791335e-12]","[0, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.492374595772802,1.8980092737722256
21,"[-47.399499513113874, -38.33209953382276, -41.900301277179494, -41.431124008849515]","[0.00010747576293502115, 0.9316060771976173, 0.026277375400663848, 0.04200907163878387]","[0, 3, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.757209903287183,1.482388017152497
22,"[-43.57017052934616, -42.36449885250452, -43.25914032748667, -41.933930364946896]","[0.09225386024888209, 0.308035736673368, 0.12591087676567247, 0.47379952631207756]","[1, 0, 2, 3, 3, 2, 0, 0, 0, 0, 0, 3, 0, 3, 2, 1, 3, 2, 2, 0]",4.6360443209042685,1.4854706255477346
23,"[-264.47829929113186, -180.8869519105254, -185.56719874108708, -201.44175252054603]","[4.9286597726386355e-37, 0.9908085416228143, 0.009191457204576639, 1.172609100477355e-09]","[0, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.986333903023092,1.7949548270804694
24,"[-67.7953588919868, -64.27654847769337, -66.9979299020516, -63.75211379013523]","[0.010641112233138754, 0.35907648858999197, 0.02362142174962542, 0.6066609774272438]","[1, 3, 2, 0, 3, 2, 2, 3, 3, 3, 2, 3, 3, 1, 1, 1, 3, 3, 1, 1]",4.7547337744418945,1.5648961020824477
25,"[-51.041613634614144, -40.79072939317067, -42.574498641474165, -40.75783636144925]","[1.6046598581035848e-05, 0.45424007741972344, 0.07631401580933786, 0.46942986017235766]","[0, 3, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1]",5.297373899624451,1.4759794588320037
26,"[-123.43070363910934, -91.88726850191337, -98.34325815142628, -106.96198792914427]","[1.9960815433940374e-14, 0.9984310977538581, 0.0015686188129769103, 2.834331450570854e-07]","[0, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.596175481986281,1.656689173699361
27,"[-13.743050261120484, -13.838643266487598, -15.164558426398916, -13.43792868476242]","[0.2851461503546551, 0.25915046830690164, 0.06881995123702883, 0.38688343010141446]","[2, 1, 3, 0, 2, 3, 1, 2, 1, 2, 3, 3, 1, 1, 3, 3, 2, 0, 3, 3]",5.10414752982682,1.2186372167191402
28,"[-3.289532073440319, -4.077400210112889, -4.1569963520262885, -4.020006342202881]","[0.4243565206416331, 0.19300301601673134, 0.1782362065869947, 0.20440425675464097]","[3, 0, 2, 1, 1, 0, 3, 2, 2, 2, 2, 3, 2, 1, 3, 1, 1, 0, 0, 3]",5.653697505122515,0.841998358648307
29,"[-37.60808172330012, -32.689381600179566, -35.90395774223079, -33.047565214071795]","[0.0041849046004737754, 0.5725980752383594, 0.02300261463303389, 0.4002144055281329]","[0, 1, 3, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]",5.464395325718567,1.4089198735710338
30,"[-183.3895283965232, -172.02995889396252, -198.65136917279332, -161.48830598772645]","[3.07899149952983e-10, 2.6412337716594094e-05, 7.248952551961524e-17, 0.9999735873543841]","[2, 0, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]",5.312202715466343,1.7448298481037423
31,"[-156.91061264707213, -155.8443204335133, -148.21133485514272, -157.0041427424937]","[0.0001665724496449281, 0.0004838246566065707, 0.9991979035967241, 0.0001516992970244488]","[1, 2, 3, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",4.91720757085876,1.709137798116613
32,"[-15.889000320235883, -15.97558397731924, -15.510507184290018, -15.612380266186626]","[0.21295594740456672, 0.19529313135268656, 0.31093331269984753, 0.2808176085428992]","[1, 3, 0, 2, 3, 2, 0, 2, 0, 0, 0, 1, 3, 1, 3, 1, 3, 1, 0, 1]",5.493483504528555,1.2287981896602296
33,"[-35.47440498713938, -33.08269077650051, -35.79356119636836, -32.63607258858258]","[0.033617708809805184, 0.36751612185281435, 0.024432073744042777, 0.5744340955933377]","[3, 0, 1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 3, 3]",4.20638056431528,1.4352978422298937
34,"[-24.388382901194046, -22.67415512192168, -23.544780162785145, -24.243797705609342]","[0.09967432788728593, 0.5534303615312659, 0.23171563035422063, 0.1151796802272274]","[0, 1, 2, 3, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1]",5.3130444629456,1.3226886484551978
35,"[-25.253435938468776, -25.62284248200197, -27.023536891768114, -24.878265857948037]","[0.30150459217680586, 0.2083832023322899, 0.05135099401610892, 0.43876121147479524]","[2, 3, 0, 1, 2, 3, 1, 0, 3, 1, 3, 3, 1, 1, 3, 3, 1, 1, 0, 1]",4.6719892010934005,1.3569884755297514
