Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-37.571654508644045, -32.510064157588765, -32.411150145159816, -26.130844156032545]","[1.0709450516302146e-05, 0.001690394019763341, 0.001866146597884185, 0.9964327499318361]","[3, 2, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",7.676448077979022,1.4106926067487346
1,"[-13.998203978465785, -12.880716070182794, -12.716850042744847, -12.052040647843393]","[0.06821073111929596, 0.20853143735309337, 0.24566181048937902, 0.4775960210382317]","[3, 2, 0, 1, 2, 3, 0, 2, 3, 1, 3, 2, 3, 2, 0, 3, 2, 2, 3, 0, 3, 2, 0, 1, 3, 2, 1, 3, 1, 3, 3, 1, 1, 1, 3, 3, 2, 2, 3, 3, 3, 3, 3, 1]",8.1286412161803,1.11225685868165
2,"[-5.608579041103743, -5.935638432527275, -6.16830401917595, -5.850454962945557]","[0.3249326660192737, 0.23428974782993156, 0.18565553629369005, 0.2551220498571048]","[1, 0, 3, 2, 0, 0, 0, 1, 1, 1, 3, 2, 3, 1, 0, 2, 2, 2, 3, 3, 2, 1, 2, 3, 3, 3, 1, 2, 0, 1, 2, 3, 3, 1, 1, 3, 1, 0, 3, 2, 1, 3, 0, 3]",6.89558759471028,0.8038875592599359
3,"[-12.486443420685589, -11.467070150888928, -12.281059774670545, -10.942967816146044]","[0.1033027532470187, 0.28629916583372933, 0.12685537711597517, 0.48354270380327674]","[3, 1, 2, 0, 3, 2, 3, 2, 2, 0, 3, 1, 1, 0, 3, 2, 2, 1, 1, 1, 3, 0, 2, 3, 2, 0, 1, 3, 3, 3, 2, 1, 0, 3, 1, 1, 1, 3, 2, 3, 3, 1, 0, 3]",8.014842532502485,1.0696288057415786
4,"[-8.183839056701137, -7.6878043670556515, -8.096512861137125, -7.611249700738066]","[0.18161013041639634, 0.2982395249013227, 0.19818252399212585, 0.32196782069015517]","[0, 1, 3, 2, 1, 0, 2, 1, 0, 2, 0, 0, 1, 3, 3, 3, 2, 2, 3, 1, 1, 0, 1, 3, 0, 3, 1, 1, 0, 3, 2, 3, 0, 0, 3, 2, 3, 1, 1, 1, 3, 3, 3, 3]",7.623258515680071,0.91234293280501
5,"[-9.30783454826755, -8.899722439283611, -9.042057040674246, -8.833790231792074]","[0.18467566034787727, 0.27774771679391796, 0.24089920433524778, 0.296677418522957]","[0, 2, 1, 3, 2, 2, 3, 1, 0, 1, 2, 1, 3, 3, 3, 1, 2, 3, 0, 0, 1, 0, 3, 1, 1, 0, 3, 3, 3, 0, 3, 3, 1, 2, 3, 1, 1, 1, 3, 3, 3, 1, 1, 3]",8.155592447864205,0.9616878502156446
6,"[-6.75975264189975, -6.8297070629577075, -6.887206363124834, -6.839035575658668]","[0.26762662600239456, 0.2495447858550415, 0.23560085983870568, 0.2472277283038583]","[0, 1, 2, 3, 1, 2, 0, 3, 3, 1, 1, 2, 0, 2, 2, 3, 0, 1, 0, 1, 1, 1, 3, 2, 3, 3, 2, 3, 0, 0, 1, 0, 0, 1, 1, 3, 1, 3, 1, 3, 0, 3, 1, 3]",8.271292351353923,0.8403498833667256
7,"[-13.574641620243693, -13.739542914595525, -13.694688802843018, -12.419260813518434]","[0.16920220892497184, 0.14347964921810263, 0.15006181655964274, 0.5372563252972827]","[2, 1, 3, 0, 0, 0, 3, 3, 2, 0, 3, 2, 3, 3, 0, 2, 2, 1, 0, 1, 3, 3, 2, 3, 0, 3, 2, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2]",6.544595548025148,1.0938310833925222
8,"[-14.965708434583192, -14.778663686961012, -15.602073345557073, -14.247100376351415]","[0.20892225685207322, 0.2518936447045249, 0.11056430473593207, 0.42861979370746983]","[2, 0, 1, 3, 1, 3, 1, 2, 1, 3, 0, 3, 2, 0, 1, 2, 3, 3, 3, 3, 3, 1, 3, 1, 0, 3, 2, 3, 1, 1, 1, 1, 3, 3, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3]",7.673764869943394,1.126440374271659
9,"[-14.261286360523105, -14.00012465030618, -14.781379541010468, -13.474238983337287]","[0.19647125852008945, 0.25510567313174387, 0.11679531672416377, 0.43162775162400285]","[1, 3, 0, 2, 3, 3, 1, 3, 3, 1, 0, 2, 0, 3, 1, 2, 0, 0, 1, 0, 3, 3, 0, 0, 0, 2, 0, 3, 3, 2, 3, 3, 0, 2, 3, 3, 0, 1, 3, 3, 1, 0, 3, 1]",7.379925514504069,1.1058130684263172
10,"[-12.610148480229892, -12.59089026611837, -12.58164087646501, -12.51081127494393]","[0.24080130911487116, 0.24548365437358274, 0.24776476150817986, 0.26595027500336627]","[0, 1, 3, 2, 2, 2, 3, 3, 1, 1, 0, 3, 2, 0, 2, 0, 3, 2, 0, 2, 2, 1, 3, 1, 3, 1, 0, 3, 3, 1, 2, 0, 2, 1, 1, 0, 2, 0, 2, 3, 1, 0, 1, 2]",7.190270850883082,1.0617686836743394
11,"[-6.334266815271654, -6.133470138070726, -6.44895893200264, -6.295223470018602]","[0.24074153866107853, 0.29427672952241357, 0.21465493548501735, 0.2503267963314906]","[2, 1, 0, 3, 0, 0, 2, 2, 3, 3, 3, 3, 3, 0, 2, 1, 1, 0, 2, 2, 0, 0, 2, 0, 3, 3, 3, 1, 2, 1, 1, 1, 3, 2, 0, 1, 1, 1, 1, 2, 2, 0, 3, 1]",8.717711585640302,0.7938714746102955
12,"[-31.793185837029128, -29.974784751881092, -31.21051412637943, -28.41167594828546]","[0.026063409350805915, 0.16060267782556817, 0.04667478582433179, 0.7666591269992942]","[3, 2, 0, 1, 3, 2, 1, 3, 1, 3, 1, 3, 2, 3, 1, 3, 3, 0, 1, 1, 3, 3, 3, 3, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1]",7.59112205532099,1.3232961592308248
13,"[-21.037615795832696, -20.173810047157026, -21.999601872018008, -19.682536919862535]","[0.13103804708714537, 0.3108447108616553, 0.05007398644595767, 0.5080432556052416]","[1, 0, 3, 2, 3, 3, 1, 3, 3, 1, 2, 3, 1, 3, 3, 2, 1, 1, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 3, 2, 3, 1, 2, 3, 3, 3, 0, 1, 3, 1, 3, 1, 1]",7.547438762702352,1.208080200288627
14,"[-7.359944372051994, -7.0267173123473485, -7.098696766375554, -7.431834463095997]","[0.21623274597986336, 0.3017450377558534, 0.2807888493100533, 0.20123336695422991]","[0, 2, 3, 1, 1, 2, 2, 3, 2, 2, 3, 3, 3, 3, 1, 1, 3, 3, 0, 3, 1, 2, 1, 0, 0, 3, 1, 3, 2, 3, 0, 3, 0, 3, 2, 3, 0, 1, 1, 3, 3, 0, 1, 0]",6.234489304356241,0.8501083713496459
15,"[-6.158868493846885, -6.0899876148074465, -6.190556133041201, -6.179380428802624]","[0.2487676830836727, 0.26650695486641174, 0.2410084082994384, 0.24371695375047717]","[1, 0, 3, 2, 3, 1, 1, 3, 3, 1, 3, 2, 2, 0, 0, 3, 1, 0, 0, 0, 2, 2, 0, 3, 1, 1, 1, 0, 3, 2, 0, 3, 0, 3, 2, 1, 3, 2, 2, 1, 2, 3, 1, 2]",8.022154694304561,0.7682124756181539
16,"[-10.727538563755555, -10.669410190792942, -10.87667543617901, -11.084108982363094]","[0.27613817570579413, 0.2926653335880361, 0.23787956225215157, 0.19331692845401818]","[0, 1, 2, 3, 2, 0, 3, 3, 2, 1, 0, 0, 3, 2, 2, 1, 3, 2, 1, 0, 1, 0, 0, 2, 0, 0, 3, 2, 0, 0, 2, 1, 0, 3, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0]",6.435300808912398,0.9929763181977636
17,"[-12.286148999374818, -11.855024844966211, -12.400965264275602, -12.380909112487554]","[0.23040903136205587, 0.35459641410507314, 0.2054165485693622, 0.20957800596350876]","[3, 2, 0, 1, 3, 1, 2, 2, 0, 3, 1, 3, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 3, 2, 1, 1, 2, 1, 0, 0, 3, 1, 3, 3, 2, 2, 0, 2, 2, 3, 2, 0, 1, 2]",7.874464056696098,1.0309652284619617
18,"[-18.08709510934329, -16.27171609835306, -17.93020925142749, -16.684718127128555]","[0.08078773339813286, 0.49631169694585087, 0.09451050549105207, 0.3283900641649643]","[0, 3, 1, 2, 3, 3, 3, 1, 1, 1, 1, 2, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 3, 1, 0, 3, 1, 3, 1, 1, 1, 1, 3, 3, 1, 3, 1, 2, 2, 1, 2, 1, 1, 3]",6.60748150458328,1.1374782406733648
19,"[-10.04528123929961, -9.48963102643501, -9.877077134744088, -9.934413234702955]","[0.19827502751816392, 0.3456080424447103, 0.23459466598234816, 0.22152226405477773]","[1, 0, 3, 2, 1, 3, 3, 1, 0, 2, 2, 1, 1, 0, 3, 1, 2, 1, 2, 3, 3, 3, 0, 0, 0, 1, 2, 3, 3, 2, 2, 3, 1, 1, 1, 3, 2, 0, 3, 3, 3, 1, 0, 1]",7.900700908282059,0.9492915531418784
