Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-6.734613812819225, -5.884432148665648, -6.190399479082285, -4.88315162065091]","[0.08747030350515987, 0.2046868011100117, 0.15073354583838777, 0.5571093495464406]","[0, 3, 2, 1, 1, 0, 3, 3, 2, 1, 3, 2, 1, 3, 0, 2, 2, 3, 3, 3, 1, 0, 2, 3, 3, 2, 0, 3, 3, 3, 1, 2, 3, 1, 2, 3, 2, 3, 3, 3, 1, 0, 3, 1, 3, 3, 3, 3, 2, 2, 1, 1, 1, 2, 1, 3, 3, 3, 1, 3, 3, 2, 0, 1, 3, 3]",1.0578588320022364,1.1873797887668733
1,"[-2.231023640749915, -2.1447927176907626, -2.1764198964290165, -2.0085555561212862]","[0.2275138915888984, 0.24800334190936507, 0.2402824347203089, 0.2842003317814276]","[1, 0, 2, 3, 1, 0, 2, 3, 2, 3, 2, 2, 2, 1, 3, 0, 2, 1, 1, 2, 0, 3, 3, 0, 3, 2, 1, 1, 1, 0, 3, 2, 3, 0, 2, 2, 0, 0, 3, 1, 1, 0, 3, 3, 1, 0, 3, 1, 3, 1, 3, 3, 2, 1, 3, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1]",1.0641521523315371,0.64718030123023
2,"[-7.435068503377251, -6.444983842406645, -6.753649425707559, -5.332119766593967]","[0.07215825390328665, 0.19421122178361178, 0.14263383551848058, 0.5909966887946211]","[3, 0, 1, 2, 3, 3, 1, 0, 3, 3, 1, 3, 1, 3, 3, 1, 2, 2, 2, 1, 3, 1, 3, 3, 2, 3, 3, 2, 3, 2, 0, 3, 1, 1, 3, 0, 0, 3, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 1, 2, 3, 1, 0]",1.024625297146965,1.2269672292521623
3,"[-3.9539303385937, -3.6607988216313587, -3.7437062545635222, -3.2449981118847813]","[0.17836776419135292, 0.2391232302486527, 0.22009771214323776, 0.3624112934167565]","[3, 1, 0, 2, 1, 3, 3, 0, 1, 0, 2, 2, 3, 1, 3, 2, 1, 2, 0, 1, 1, 3, 3, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 3, 0, 2, 0, 1, 3, 3, 3, 1, 0, 3, 2, 3, 3, 2, 1, 3, 0, 2, 1, 2, 1, 2, 3, 0, 1, 1, 1, 3, 1, 3, 2, 0]",1.1160086632995998,0.9451759611733264
4,"[-5.294228029618159, -4.746280833243163, -4.899278731803143, -4.041888644804727]","[0.12965921740353994, 0.2242713719101725, 0.19245433441835133, 0.4536150762679363]","[3, 0, 1, 2, 0, 2, 3, 2, 2, 3, 3, 2, 1, 3, 3, 2, 3, 1, 3, 1, 3, 3, 0, 3, 0, 3, 0, 1, 3, 0, 0, 2, 3, 2, 1, 0, 1, 3, 3, 3, 2, 3, 3, 3, 0, 3, 3, 0, 2, 1, 1, 2, 3, 1, 2, 0, 1, 3, 3, 0, 2, 1, 1, 2, 3, 1]",0.967627362311406,1.0913962843310199
5,"[-5.078368840221845, -4.642866650907419, -4.7530760815628375, -4.034463932110285]","[0.1477004199199607, 0.22830631677670551, 0.20448176263810408, 0.4195115006652297]","[0, 3, 1, 2, 1, 3, 2, 1, 3, 3, 2, 1, 3, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 0, 1, 1, 3, 0, 1, 2, 1, 0, 1, 2, 0, 3, 2, 3, 3, 2, 2, 1, 2, 3, 1, 3, 1, 0, 2, 3, 3, 2, 2, 0, 1, 1, 1, 2, 0, 3, 3, 1, 1, 3, 2, 3]",1.273953731888185,1.0426397926876354
6,"[-6.859372528721677, -6.03604262186082, -6.228335016741884, -4.970740157709613]","[0.0849765341026187, 0.19358274733300934, 0.15971846330612857, 0.5617222552582435]","[0, 1, 2, 3, 3, 3, 1, 0, 3, 2, 1, 0, 1, 3, 0, 1, 3, 0, 2, 3, 0, 1, 3, 3, 2, 2, 3, 1, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 0, 0, 3, 1, 3, 0, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3]",0.9248242015426131,1.206205580371189
7,"[-8.30977529586378, -7.086744268439164, -7.388272236343328, -5.652580691747179]","[0.047243856350838366, 0.16050958310221478, 0.11872687423735358, 0.6735196863095934]","[0, 1, 3, 2, 2, 3, 3, 1, 1, 3, 3, 3, 3, 3, 0, 2, 3, 3, 3, 3, 3, 3, 0, 3, 1, 1, 2, 3, 3, 3, 1, 3, 3, 3, 1, 2, 3, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 0, 3, 3, 1, 3, 2, 3, 3, 3, 1, 0, 1, 3, 3]",0.8399536075941844,1.2933678132988395
8,"[-10.74346961961723, -9.921112132052682, -10.422298442776622, -7.953609147275259]","[0.04777066556032037, 0.10871929088990435, 0.06586340240215201, 0.7776466411476233]","[0, 3, 2, 1, 3, 3, 1, 3, 2, 3, 1, 2, 3, 3, 3, 2, 2, 3, 3, 1, 3, 1, 2, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 2, 3, 3]",1.351212172236786,1.3481038674619503
9,"[-6.470110277900736, -5.7093788274567006, -5.883677199408501, -4.822617518755566]","[0.0987035578302188, 0.2112099036776573, 0.17742607995075957, 0.5126604585413643]","[3, 2, 1, 0, 1, 2, 3, 1, 3, 2, 0, 0, 3, 1, 3, 3, 2, 3, 1, 1, 0, 3, 2, 3, 3, 3, 0, 1, 2, 3, 0, 3, 0, 1, 1, 3, 3, 3, 3, 0, 2, 1, 3, 1, 0, 1, 0, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 1, 1, 2, 0, 3, 0, 3]",0.9661729070515818,1.1733183839127679
10,"[-8.95353726461747, -7.763483944230109, -8.047094508115638, -6.3148699392585135]","[0.04817582624539729, 0.15836629702858357, 0.119259300885215, 0.6741985758408041]","[1, 0, 3, 2, 3, 2, 3, 3, 0, 3, 3, 1, 2, 3, 3, 3, 3, 0, 1, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 0, 1, 3, 0, 2, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3, 2, 3]",0.9771731478228677,1.3027789562735592
11,"[-3.0489436550000493, -2.8973937945543464, -2.948752057923331, -2.7060577303961137]","[0.21376533196502662, 0.24874510418621537, 0.23629249679536496, 0.301197067053393]","[1, 2, 0, 3, 3, 2, 3, 3, 1, 2, 1, 0, 1, 3, 1, 0, 3, 0, 0, 2, 3, 3, 0, 1, 1, 2, 1, 1, 3, 3, 0, 0, 0, 0, 3, 2, 3, 1, 0, 0, 1, 2, 3, 2, 3, 1, 3, 2, 1, 0, 2, 1, 1, 1, 0, 2, 1, 1, 1, 2, 2, 2, 1, 2, 0, 2]",1.299834973507952,0.8055864575267542
12,"[-11.47813610126048, -9.932867356323731, -10.194194982099976, -7.900375805294363]","[0.022176214566936296, 0.10398940755638507, 0.08007481761045152, 0.7937595602662271]","[1, 0, 2, 3, 3, 3, 3, 1, 3, 2, 3, 2, 3, 0, 3, 3, 3, 3, 3, 1, 2, 1, 3, 3, 1, 0, 2, 2, 2, 3, 3, 0, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",1.054538391428085,1.3822524259673274
13,"[-6.426403236480138, -5.4923662458054, -5.737477579286645, -4.47157750492759]","[0.07937122427010589, 0.2019808474911029, 0.15807372609129616, 0.560574202147495]","[2, 0, 3, 1, 2, 3, 3, 3, 2, 0, 3, 3, 3, 2, 1, 2, 3, 0, 1, 3, 0, 1, 1, 0, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1, 1, 2, 3, 2, 2, 3, 3, 1, 2, 1, 1, 3, 2, 3, 1, 2, 1, 1, 3, 3, 3, 3, 1]",0.5350030216801511,1.2622070895765036
14,"[-5.532562468363498, -5.027838511289638, -5.161285672137836, -4.473149042204976]","[0.1430453321154704, 0.23695862430390244, 0.2073562615165793, 0.4126397820640479]","[2, 0, 1, 3, 3, 3, 3, 1, 0, 3, 2, 0, 3, 2, 1, 2, 0, 0, 1, 1, 2, 1, 2, 3, 0, 2, 1, 1, 1, 3, 2, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 2, 0, 0, 2, 2, 1, 3, 2, 0, 3, 2, 2, 1, 2, 3, 0, 1, 2, 3, 3, 3, 3, 1, 3]",1.0769126243333018,1.094629593576849
15,"[-3.411895870904745, -3.1963055717933777, -3.265514335517816, -2.96062844293968]","[0.2012666533929656, 0.24969020308271336, 0.23299388254299283, 0.31604926098132824]","[3, 0, 2, 1, 1, 1, 3, 3, 2, 2, 3, 0, 3, 1, 3, 1, 0, 2, 1, 0, 2, 2, 0, 1, 1, 3, 1, 0, 2, 2, 2, 2, 1, 2, 0, 0, 1, 3, 0, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 3, 2, 0, 3, 0, 1, 3, 3, 2, 3, 3, 1, 1, 2, 3, 2, 2]",1.0331361970655037,0.8788570567143182
16,"[-4.041272707106659, -3.726235075172597, -3.80616955984782, -3.3435350409463513]","[0.17716197218559596, 0.2427669775538124, 0.22411684794991008, 0.35595420231068164]","[1, 3, 0, 2, 0, 1, 0, 1, 2, 3, 1, 3, 3, 2, 1, 0, 2, 3, 2, 1, 0, 3, 3, 2, 1, 2, 2, 1, 1, 1, 3, 3, 1, 1, 1, 2, 0, 1, 0, 2, 2, 2, 1, 3, 1, 2, 0, 3, 0, 2, 2, 3, 1, 0, 0, 3, 0, 1, 2, 3, 3, 3, 3, 2, 2, 3]",0.7622676525679631,0.9928469968199041
