Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",49.149999999999345,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",50.84999999999925,"[0, 0]","[0, 0]","[0, 0]",1
2,"[0, 1]",51.449999999999214,"[1, 1]","[0, 0]","[0, 0]",1
3,"[2, 3]",57.599999999998865,"[-999, -999]","[0, 0]","[0, 0]",1
4,"[2, 3]",60.049999999998725,"[3, 3]","[0, 0]","[0, 0]",1
5,"[0, 1]",51.7499999999992,"[2, 2]","[0, 0]","[0, 0]",1
6,"[0, 1]",51.89999999999919,"[5, 5]","[0, 0]","[0, 0]",1
7,"[2, 3]",61.099999999998666,"[4, 4]","[0, 0]","[0, 0]",1
8,"[0, 1]",51.99999999999918,"[6, 6]","[0, 0]","[0, 0]",1
9,"[0, 1]",52.09999999999918,"[8, 8]","[0, 0]","[0, 0]",1
10,"[0, 1]",52.149999999999174,"[9, 9]","[0, 0]","[0, 0]",1
11,"[0, 1]",52.09999999999918,"[10, 10]","[0, 0]","[0, 0]",1
12,"[2, 3]",61.74999999999863,"[7, 7]","[0, 0]","[0, 0]",1
13,"[0, 1]",52.149999999999174,"[11, 11]","[0, 0]","[0, 0]",1
14,"[2, 3]",62.1999999999986,"[12, 12]","[0, 0]","[0, 0]",1
15,"[2, 3]",62.44999999999859,"[14, 14]","[0, 0]","[0, 0]",1
16,"[0, 1]",52.09999999999918,"[13, 13]","[0, 0]","[0, 0]",1
17,"[0, 1]",52.149999999999174,"[16, 16]","[0, 0]","[0, 0]",1
18,"[2, 3]",62.699999999998575,"[15, 15]","[0, 0]","[0, 0]",1
19,"[0, 1]",52.149999999999174,"[17, 17]","[0, 0]","[0, 0]",1
20,"[2, 3]",62.849999999998566,"[18, 18]","[0, 0]","[0, 0]",1
21,"[2, 3]",62.99999999999856,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 1]",52.149999999999174,"[19, 19]","[0, 0]","[0, 0]",1
23,"[2, 3]",63.09999999999855,"[21, 21]","[0, 0]","[0, 0]",1
24,"[2, 3]",63.14999999999855,"[23, 23]","[0, 0]","[0, 0]",1
25,"[2, 3]",63.199999999998546,"[24, 24]","[0, 0]","[0, 0]",1
26,"[0, 1]",52.149999999999174,"[22, 22]","[0, 0]","[0, 0]",1
27,"[0, 1]",52.09999999999918,"[26, 26]","[0, 0]","[0, 0]",1
28,"[0, 1]",52.149999999999174,"[27, 27]","[0, 0]","[0, 0]",1
29,"[0, 1]",52.149999999999174,"[28, 28]","[0, 0]","[0, 0]",1
30,"[0, 1]",52.149999999999174,"[29, 29]","[0, 0]","[0, 0]",1
31,"[0, 1]",52.149999999999174,"[30, 30]","[0, 0]","[0, 0]",1
32,"[0, 1]",52.09999999999918,"[31, 31]","[0, 0]","[0, 0]",1
33,"[2, 3]",63.14999999999855,"[25, 25]","[0, 0]","[0, 0]",1
34,"[0, 1]",52.149999999999174,"[32, 32]","[0, 0]","[0, 0]",1
35,"[0, 1]",52.149999999999174,"[34, 34]","[0, 0]","[0, 0]",1
36,"[2, 3]",63.199999999998546,"[33, 33]","[0, 0]","[0, 0]",1
37,"[0, 1]",52.149999999999174,"[35, 35]","[0, 0]","[0, 0]",1
38,"[2, 3]",63.199999999998546,"[36, 36]","[0, 0]","[0, 0]",1
39,"[2, 3]",63.199999999998546,"[38, 38]","[0, 0]","[0, 0]",1
40,"[2, 3]",63.199999999998546,"[39, 39]","[0, 0]","[0, 0]",1
41,"[0, 1]",52.149999999999174,"[37, 37]","[0, 0]","[0, 0]",1
42,"[0, 1]",52.09999999999918,"[41, 41]","[0, 0]","[0, 0]",1
43,"[2, 3]",63.24999999999854,"[40, 40]","[0, 0]","[0, 0]",1
44,"[2, 3]",63.24999999999854,"[43, 43]","[0, 0]","[0, 0]",1
45,"[0, 1]",52.149999999999174,"[42, 42]","[0, 0]","[0, 0]",1
46,"[2, 3]",63.24999999999854,"[44, 44]","[0, 0]","[0, 0]",1
47,"[0, 1]",52.149999999999174,"[45, 45]","[0, 0]","[0, 0]",1
48,"[0, 1]",52.149999999999174,"[47, 47]","[0, 0]","[0, 0]",1
49,"[0, 1]",52.149999999999174,"[48, 48]","[0, 0]","[0, 0]",1
50,"[0, 1]",52.149999999999174,"[49, 49]","[0, 0]","[0, 0]",1
51,"[2, 3]",63.199999999998546,"[46, 46]","[0, 0]","[0, 0]",1
52,"[2, 3]",63.29999999999854,"[51, 51]","[0, 0]","[0, 0]",1
53,"[0, 1]",52.149999999999174,"[50, 50]","[0, 0]","[0, 0]",1
54,"[2, 3]",63.199999999998546,"[52, 52]","[0, 0]","[0, 0]",1
55,"[2, 3]",63.24999999999854,"[54, 54]","[0, 0]","[0, 0]",1
56,"[2, 3]",63.199999999998546,"[55, 55]","[0, 0]","[0, 0]",1
57,"[0, 1]",52.149999999999174,"[53, 53]","[0, 0]","[0, 0]",1
58,"[2, 3]",63.199999999998546,"[56, 56]","[0, 0]","[0, 0]",1
59,"[2, 3]",63.199999999998546,"[58, 58]","[0, 0]","[0, 0]",1
60,"[2, 3]",63.199999999998546,"[59, 59]","[0, 0]","[0, 0]",1
61,"[2, 3]",63.24999999999854,"[60, 60]","[0, 0]","[0, 0]",1
62,"[0, 1]",52.149999999999174,"[57, 57]","[0, 0]","[0, 0]",1
63,"[0, 1]",52.149999999999174,"[62, 62]","[0, 0]","[0, 0]",1
64,"[2, 3]",63.24999999999854,"[61, 61]","[0, 0]","[0, 0]",1
65,"[2, 3]",63.24999999999854,"[64, 64]","[0, 0]","[0, 0]",1
66,"[2, 3]",63.24999999999854,"[65, 65]","[0, 0]","[0, 0]",1
67,"[0, 1]",52.149999999999174,"[63, 63]","[0, 0]","[0, 0]",1
68,"[2, 3]",63.199999999998546,"[66, 66]","[0, 0]","[0, 0]",1
69,"[2, 3]",63.199999999998546,"[68, 68]","[0, 0]","[0, 0]",1
70,"[2, 3]",63.199999999998546,"[69, 69]","[0, 0]","[0, 0]",1
71,"[2, 3]",63.199999999998546,"[70, 70]","[0, 0]","[0, 0]",1
72,"[0, 1]",52.149999999999174,"[67, 67]","[0, 0]","[0, 0]",1
73,"[0, 1]",52.149999999999174,"[72, 72]","[0, 0]","[0, 0]",1
74,"[2, 3]",63.14999999999855,"[71, 71]","[0, 0]","[0, 0]",1
75,"[2, 3]",63.24999999999854,"[74, 74]","[0, 0]","[0, 0]",1
76,"[0, 1]",52.09999999999918,"[73, 73]","[0, 0]","[0, 0]",1
77,"[2, 3]",63.199999999998546,"[75, 75]","[0, 0]","[0, 0]",1
78,"[0, 1]",52.149999999999174,"[76, 76]","[0, 0]","[0, 0]",1
79,"[2, 3]",63.199999999998546,"[77, 77]","[0, 0]","[0, 0]",1
0,"[2, 3]",57.599999999998865,"[-999, -999]","[0, 0]","[0, 0]",2
1,"[2, 3]",59.99999999999873,"[0, 0]","[0, 0]","[0, 0]",2
2,"[0, 1]",49.149999999999345,"[-999, -999]","[0, 0]","[0, 0]",2
3,"[2, 3]",61.14999999999866,"[1, 1]","[0, 0]","[0, 0]",2
4,"[2, 3]",61.74999999999863,"[3, 3]","[0, 0]","[0, 0]",2
5,"[0, 1]",50.84999999999925,"[2, 2]","[0, 0]","[0, 0]",2
6,"[0, 1]",51.449999999999214,"[5, 5]","[0, 0]","[0, 0]",2
7,"[2, 3]",62.149999999998606,"[4, 4]","[0, 0]","[0, 0]",2
8,"[0, 1]",51.7499999999992,"[6, 6]","[0, 0]","[0, 0]",2
9,"[0, 1]",51.89999999999919,"[8, 8]","[0, 0]","[0, 0]",2
10,"[0, 1]",51.99999999999918,"[9, 9]","[0, 0]","[0, 0]",2
11,"[0, 1]",52.09999999999918,"[10, 10]","[0, 0]","[0, 0]",2
12,"[2, 3]",62.44999999999859,"[7, 7]","[0, 0]","[0, 0]",2
13,"[0, 1]",52.149999999999174,"[11, 11]","[0, 0]","[0, 0]",2
14,"[2, 3]",62.699999999998575,"[12, 12]","[0, 0]","[0, 0]",2
15,"[0, 1]",52.09999999999918,"[13, 13]","[0, 0]","[0, 0]",2
16,"[0, 1]",52.149999999999174,"[15, 15]","[0, 0]","[0, 0]",2
17,"[0, 1]",52.09999999999918,"[16, 16]","[0, 0]","[0, 0]",2
18,"[2, 3]",62.89999999999856,"[14, 14]","[0, 0]","[0, 0]",2
19,"[0, 1]",52.149999999999174,"[17, 17]","[0, 0]","[0, 0]",2
20,"[2, 3]",63.049999999998555,"[18, 18]","[0, 0]","[0, 0]",2
21,"[0, 1]",52.149999999999174,"[19, 19]","[0, 0]","[0, 0]",2
22,"[0, 1]",52.149999999999174,"[21, 21]","[0, 0]","[0, 0]",2
23,"[2, 3]",63.049999999998555,"[20, 20]","[0, 0]","[0, 0]",2
24,"[0, 1]",52.149999999999174,"[22, 22]","[0, 0]","[0, 0]",2
25,"[0, 1]",52.09999999999918,"[24, 24]","[0, 0]","[0, 0]",2
26,"[2, 3]",63.14999999999855,"[23, 23]","[0, 0]","[0, 0]",2
27,"[0, 1]",52.149999999999174,"[25, 25]","[0, 0]","[0, 0]",2
28,"[0, 1]",52.149999999999174,"[27, 27]","[0, 0]","[0, 0]",2
29,"[0, 1]",52.149999999999174,"[28, 28]","[0, 0]","[0, 0]",2
30,"[0, 1]",52.149999999999174,"[29, 29]","[0, 0]","[0, 0]",2
31,"[0, 1]",52.09999999999918,"[30, 30]","[0, 0]","[0, 0]",2
32,"[0, 1]",52.149999999999174,"[31, 31]","[0, 0]","[0, 0]",2
33,"[2, 3]",63.14999999999855,"[26, 26]","[0, 0]","[0, 0]",2
34,"[0, 1]",52.149999999999174,"[32, 32]","[0, 0]","[0, 0]",2
35,"[2, 3]",63.14999999999855,"[33, 33]","[0, 0]","[0, 0]",2
36,"[2, 3]",63.199999999998546,"[35, 35]","[0, 0]","[0, 0]",2
37,"[0, 1]",52.149999999999174,"[34, 34]","[0, 0]","[0, 0]",2
38,"[0, 1]",52.149999999999174,"[37, 37]","[0, 0]","[0, 0]",2
39,"[0, 1]",52.09999999999918,"[38, 38]","[0, 0]","[0, 0]",2
40,"[2, 3]",63.199999999998546,"[36, 36]","[0, 0]","[0, 0]",2
41,"[0, 1]",52.149999999999174,"[39, 39]","[0, 0]","[0, 0]",2
42,"[0, 1]",52.149999999999174,"[41, 41]","[0, 0]","[0, 0]",2
43,"[2, 3]",63.24999999999854,"[40, 40]","[0, 0]","[0, 0]",2
44,"[0, 1]",52.149999999999174,"[42, 42]","[0, 0]","[0, 0]",2
45,"[0, 1]",52.149999999999174,"[44, 44]","[0, 0]","[0, 0]",2
46,"[0, 1]",52.149999999999174,"[45, 45]","[0, 0]","[0, 0]",2
47,"[0, 1]",52.149999999999174,"[46, 46]","[0, 0]","[0, 0]",2
48,"[2, 3]",63.199999999998546,"[43, 43]","[0, 0]","[0, 0]",2
49,"[2, 3]",63.24999999999854,"[48, 48]","[0, 0]","[0, 0]",2
50,"[2, 3]",63.199999999998546,"[49, 49]","[0, 0]","[0, 0]",2
51,"[2, 3]",63.199999999998546,"[50, 50]","[0, 0]","[0, 0]",2
52,"[2, 3]",63.24999999999854,"[51, 51]","[0, 0]","[0, 0]",2
53,"[2, 3]",63.24999999999854,"[52, 52]","[0, 0]","[0, 0]",2
54,"[0, 1]",52.149999999999174,"[47, 47]","[0, 0]","[0, 0]",2
55,"[0, 1]",52.149999999999174,"[54, 54]","[0, 0]","[0, 0]",2
56,"[2, 3]",63.199999999998546,"[53, 53]","[0, 0]","[0, 0]",2
57,"[0, 1]",52.149999999999174,"[55, 55]","[0, 0]","[0, 0]",2
58,"[0, 1]",52.149999999999174,"[57, 57]","[0, 0]","[0, 0]",2
59,"[0, 1]",52.149999999999174,"[58, 58]","[0, 0]","[0, 0]",2
60,"[2, 3]",63.199999999998546,"[56, 56]","[0, 0]","[0, 0]",2
61,"[2, 3]",63.24999999999854,"[60, 60]","[0, 0]","[0, 0]",2
62,"[0, 1]",52.149999999999174,"[59, 59]","[0, 0]","[0, 0]",2
63,"[0, 1]",52.09999999999918,"[62, 62]","[0, 0]","[0, 0]",2
64,"[2, 3]",63.14999999999855,"[61, 61]","[0, 0]","[0, 0]",2
