Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-2.1100279844004475, -2.111034667964577]","[0.5002516708697785, 0.4997483291302215]","[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",1.0810454900241178,0.618276910960013
1,"[-5.30092609427905, -5.306446640568978]","[0.5013801330673562, 0.4986198669326439]","[0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",0.9843009699489066,1.1053584103579253
2,"[-6.3575725716072515, -6.364589670238262]","[0.5017542674594622, 0.4982457325405379]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.945422496223229,1.1865412604183483
3,"[-3.8965988915798975, -3.9142978895663623]","[0.5044246339941658, 0.4955753660058343]","[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1.010751016010648,0.9557724400011886
4,"[-2.4116720762258064, -2.412094692411538]","[0.5001056540448604, 0.49989434595513954]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",0.8122777532712411,0.7173475972186858
5,"[-4.165252358347964, -4.180188243475507]","[0.5037339018687012, 0.49626609813129885]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",0.8097937620135904,1.0125613144205226
6,"[-2.8459365854164416, -2.8537630796808013]","[0.5019566135785641, 0.4980433864214359]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",1.010224433362948,0.7935631344913754
7,"[-3.2801608850761355, -3.287334567074596]","[0.5017934128086138, 0.4982065871913862]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",1.4290190684667983,0.8409077102158053
8,"[-4.231101537855727, -4.259422770445203]","[0.5070798349303213, 0.4929201650696787]","[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",1.2042801274787684,0.9748799594617065
9,"[-2.9888230872080137, -3.006684308857887]","[0.5044651867049058, 0.4955348132950942]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",0.9780512724509045,0.8219482564793833
10,"[-3.659412909202468, -3.694656140927918]","[0.5088098960633125, 0.49119010393668755]","[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",0.8132738189062123,0.9452548088795205
11,"[-3.6330215738558684, -3.6679339065452394]","[0.5087271967464502, 0.49127280325354983]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0.9922800406876882,0.9205631750376941
12,"[-9.97987308187867, -10.20327590212889]","[0.5556195716543569, 0.44438042834564295]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1]",0.9675111180227589,1.354824453108103
13,"[-2.8283461556460088, -2.847376330353852]","[0.5047574001044283, 0.4952425998955718]","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",1.0751337219286734,0.7838553632684874
14,"[-11.50086972898049, -11.74477870225793]","[0.5606767282553973, 0.43932327174460284]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1.1942940151060222,1.3707989794775184
15,"[-2.3007560714544213, -2.3146042092897856]","[0.5034619791334405, 0.49653802086655946]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",1.0851263318503197,0.6654299611960504
16,"[-6.3888791431690946, -6.49633844374032]","[0.526839003160109, 0.47316099683989105]","[0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1.2795373236058938,1.1406691348171567
17,"[-7.027175381503905, -7.181186897472404]","[0.5384269531754847, 0.4615730468245152]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]",1.01671872211553,1.2072879512498942
18,"[-3.0692141546988494, -3.100457720078896]","[0.5078102560168094, 0.4921897439831906]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]",1.2138859701947744,0.8155589092974758
19,"[-5.58915174594646, -5.731975752567964]","[0.5356454288875858, 0.4643545711124141]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",0.7330223808411234,1.1551796526840497
