Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.39999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[0, 1]",70.09999999999816,"[0, 0]","[0, 0]","[0, 0]",1
3,"[0, 1]",71.2999999999981,"[2, 2]","[0, 0]","[0, 0]",1
4,"[2, 3]",70.84999999999812,"[1, 1]","[0, 0]","[0, 0]",1
5,"[0, 1]",72.04999999999805,"[3, 3]","[0, 0]","[0, 0]",1
6,"[2, 3]",72.74999999999801,"[4, 4]","[0, 0]","[0, 0]",1
7,"[2, 3]",74.29999999999792,"[6, 6]","[0, 0]","[0, 0]",1
8,"[0, 1]",72.49999999999802,"[5, 5]","[0, 0]","[0, 0]",1
9,"[0, 1]",72.949999999998,"[8, 8]","[0, 0]","[0, 0]",1
10,"[2, 3]",75.69999999999784,"[7, 7]","[0, 0]","[0, 0]",1
11,"[2, 3]",76.94999999999777,"[10, 10]","[0, 0]","[0, 0]",1
12,"[0, 1]",73.14999999999799,"[9, 9]","[0, 0]","[0, 0]",1
13,"[0, 1]",73.39999999999797,"[12, 12]","[0, 0]","[0, 0]",1
14,"[2, 3]",78.1999999999977,"[11, 11]","[0, 0]","[0, 0]",1
15,"[0, 1]",73.84999999999795,"[13, 13]","[0, 0]","[0, 0]",1
16,"[0, 1]",74.54999999999791,"[15, 15]","[0, 0]","[0, 0]",1
17,"[0, 1]",75.49999999999785,"[16, 16]","[0, 0]","[0, 0]",1
18,"[2, 3]",79.34999999999764,"[14, 14]","[0, 0]","[0, 0]",1
19,"[2, 3]",80.59999999999756,"[18, 18]","[0, 0]","[0, 0]",1
20,"[0, 1]",76.59999999999779,"[17, 17]","[0, 0]","[0, 0]",1
21,"[0, 1]",77.69999999999773,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 1]",78.74999999999767,"[21, 21]","[0, 0]","[0, 0]",1
23,"[2, 3]",82.34999999999746,"[19, 19]","[0, 0]","[0, 0]",1
24,"[2, 3]",84.44999999999735,"[23, 23]","[0, 0]","[0, 0]",1
25,"[2, 3]",86.69999999999722,"[24, 24]","[6.149999999999986, 0]","[0, 0]",1
26,"[0, 1]",79.74999999999761,"[22, 22]","[0, 0]","[0, 0]",1
