Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-2.952958590528854, -2.955764524964179]","[0.5007014831485842, 0.49929851685141574]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.7699021331948968,0.8448885137801756
1,"[-3.6376180751823504, -3.6473053396877995]","[0.5024217971873136, 0.49757820281268644]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.6132254680266871,0.9821763586075531
2,"[-3.3650601038919583, -3.3728396398247678]","[0.5019448741743724, 0.49805512582562766]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.0438945370769568,0.8806248776126252
3,"[-2.009265323705793, -2.013369308675194]","[0.5010259948023077, 0.49897400519769236]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.0391730373810766,0.5856759984818649
4,"[-2.0724667975060016, -2.0790255704815443]","[0.5016396873659519, 0.49836031263404806]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.0810370627425414,0.6029464295175451
5,"[-5.359100490922885, -5.4243050700052295]","[0.5162953716790476, 0.4837046283209525]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.206896072232637,1.0783319164216068
6,"[-4.978867723703105, -5.054893862889848]","[0.5189973853122021, 0.48100261468779804]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.0541443821229524,1.061510894244813
7,"[-4.550857831770686, -4.628705646746414]","[0.5194521309523006, 0.4805478690476994]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.9348739658700288,1.0345946716047465
8,"[-11.82591588136186, -12.127352038667777]","[0.5747935598112329, 0.4252064401887671]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",1.2777339045519238,1.3718328734878744
9,"[-2.176101381607884, -2.200410699314467]","[0.5060770301647602, 0.49392296983523976]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.5847240218989311,0.6758386378551298
10,"[-3.1670345935026876, -3.2278088393506783]","[0.5151888867256607, 0.4848111132743393]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.6690807126144978,0.8874066268306037
11,"[-6.300480992064573, -6.441888237399068]","[0.5352930209598801, 0.4647069790401198]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]",1.3925405509192526,1.1248083285033585
12,"[-20.360458431246872, -20.6715789893164]","[0.5771587530547532, 0.4228412469452468]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0913076660187921,1.5791158406248869
13,"[-4.713034805227136, -4.8475599354710335]","[0.5335806553724732, 0.4664193446275267]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.8686485990066902,1.0522738325146146
14,"[-4.008551491383186, -4.103420279124927]","[0.5236994248608562, 0.4763005751391438]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.04116423681413,0.956467291823961
15,"[-3.6487322818879906, -3.738308491476679]","[0.522379090437621, 0.47762090956237896]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.9354932536259162,0.9204754187433839
16,"[-8.266678395696172, -8.609085677819692]","[0.5847751617730248, 0.41522483822697526]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0.9267234045394077,1.277119556269839
17,"[-5.965697910583933, -6.1331845551175705]","[0.5417740537251405, 0.45822594627485946]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]",1.5000195527824522,1.0883450491098896
18,"[-4.234022042370475, -4.343739053588333]","[0.5274017701805892, 0.4725982298194107]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0]",0.9323328778400423,0.9900768486753778
19,"[-7.213580815012759, -7.54202657023126]","[0.5813811571586651, 0.4186188428413349]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0.898822344924908,1.2228440792368718
20,"[-2.8030022301801063, -2.8727787076388145]","[0.5174370452109829, 0.4825629547890171]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",0.7227531577940116,0.8007990127925066
21,"[-11.923411347082713, -12.117944365889375]","[0.5484804634767858, 0.4515195365232142]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.9283791718124578,1.4087662974801745
22,"[-4.062635037583598, -4.192249631617437]","[0.5323583596380244, 0.46764164036197575]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.194775769466796,0.9424396378864864
23,"[-5.317860974875206, -5.451134018299285]","[0.5332690325345121, 0.46673096746548803]","[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1.0064008045020971,1.0799551388057973
24,"[-6.814485538535155, -7.182189419462382]","[0.5909040388206155, 0.4090959611793845]","[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0.7893845011472806,1.2116585311332009
25,"[-4.056063102107649, -4.199380298191153]","[0.5357680974492384, 0.46423190255076147]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",1.164571073514105,0.9413462944911277
26,"[-5.290859848276396, -5.444562973342683]","[0.5383503099217596, 0.46164969007824036]","[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1.0972344863339263,1.0654689615271065
27,"[-6.163856863299814, -6.465673131303838]","[0.5748864584751902, 0.4251135415248098]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",1.1422016465606049,1.119475529674084
28,"[-5.964745994388838, -6.306057349756364]","[0.5845090316223654, 0.4154909683776345]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0.8337473119113932,1.1427711139361552
