,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,0,"[-4.727356330843291, -4.733297385284927]","[0.5014852592417532, 0.4985147407582467]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]",1.2214437673959742,1.0310856545180684
1,1,"[-4.477974178918049, -4.493591766241689]","[0.5039043174730408, 0.4960956825269592]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",1.0051480333821616,1.0260346857036322
2,2,"[-4.063712317564602, -4.081913476038554]","[0.5045501640034978, 0.4954498359965022]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",1.1197002320067166,0.9674610086231732
3,3,"[-5.279183868494399, -5.304117892916352]","[0.5062331831751075, 0.4937668168248925]","[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",0.906960763595646,1.1105978877691522
4,4,"[-4.890964733454258, -4.929982335288418]","[0.5097531631603731, 0.49024683683962694]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",1.1801572151027957,1.0439411730974943
5,5,"[-3.1809437130818705, -3.1944518958439287]","[0.5033769943403757, 0.4966230056596242]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",1.071584738884419,0.8492222731175405
6,6,"[-2.2024179555125034, -2.2060881158575394]","[0.5009175390563158, 0.49908246094368425]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",1.121461932291714,0.6391908824054087
7,7,"[-2.866922748813211, -2.8769510289257063]","[0.5025070490177507, 0.49749295098224927]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1.143919074672462,0.7882573046586465
8,8,"[-7.0852112468589725, -7.161000484197187]","[0.5189382450822156, 0.48106175491778447]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0.964327599724484,1.2235541660631353
9,9,"[-3.0907669493822056, -3.1095856126722348]","[0.5047045269840761, 0.495295473015924]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]",1.066946413199037,0.8327411384076129
