Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-4.628993604823105, -3.0004305745435076, -2.5336080997644275, -2.4358877330911177]","[0.04312551715257082, 0.21979117642334445, 0.3505489562841472, 0.3865343501399375]","[1, 2, 0, 3, 1, 2, 0, 3, 1, 3, 2, 2, 1, 1, 2, 3, 1, 0, 3, 2, 2, 0, 0, 0, 1, 3, 3, 1, 2, 2, 2, 3, 3, 3, 3, 2, 2, 3, 2, 0, 1, 2, 3, 2, 1, 1, 1, 3, 3, 1, 1, 2, 2, 2, 3, 1, 1, 3]",4.7480056134858195,0.6610825657702821
1,"[-8.306087256889093, -7.550377913919983, -6.382301172086228, -5.665217116187131]","[0.041664313008498786, 0.08870837481923595, 0.2852685576289092, 0.5843587545433562]","[1, 3, 2, 0, 3, 2, 0, 2, 2, 3, 3, 3, 0, 3, 3, 0, 2, 3, 3, 3, 2, 2, 0, 1, 1, 3, 2, 3, 2, 1, 1, 0, 3, 3, 2, 0, 3, 3, 2, 3, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 3, 3, 0, 1, 3, 2, 2]",5.1375548735539205,1.028394766848431
2,"[-9.032514404999196, -8.938023096305058, -7.56569623979761, -6.594589359320582]","[0.055916597891574285, 0.06145791096202911, 0.2424218577649591, 0.6402036333814376]","[0, 1, 2, 3, 2, 3, 1, 2, 2, 1, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 1, 3, 2, 0, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 0, 2, 3, 2, 3, 0, 3, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2]",4.928347686555299,1.0849242465147826
3,"[-5.160254298721196, -4.602613094486855, -3.908120642820625, -3.6551136775969657]","[0.09303075850066209, 0.16248267476784836, 0.32540281021660306, 0.41908375651488644]","[1, 0, 2, 3, 1, 2, 1, 2, 1, 1, 3, 1, 2, 2, 3, 3, 3, 1, 1, 0, 1, 1, 2, 2, 1, 3, 2, 1, 2, 2, 2, 3, 2, 1, 3, 3, 3, 3, 1, 2, 1, 3, 3, 1, 1, 3, 2, 3, 3, 3, 2, 3, 3, 1, 3, 2, 1, 2]",5.073591858709393,0.8500960317891941
4,"[-4.247095575884918, -4.717150891120793, -3.892454114998623, -3.624248573920222]","[0.20346438581992105, 0.12715866864590547, 0.2900729497466124, 0.37930399578756124]","[3, 0, 2, 1, 2, 1, 3, 2, 1, 1, 0, 3, 0, 3, 3, 3, 1, 0, 2, 0, 3, 2, 2, 2, 2, 3, 3, 0, 0, 3, 1, 3, 0, 2, 1, 3, 0, 1, 1, 3, 1, 3, 1, 2, 2, 1, 2, 2, 3, 3, 3, 1, 1, 3, 0, 0, 0, 0]",4.23909852152341,0.8560199791935827
5,"[-16.15780088904999, -15.234708292244042, -13.751050625092358, -11.368829419936166]","[0.007418804963430545, 0.01867359669845024, 0.08233269147049443, 0.8915749068676248]","[2, 1, 0, 3, 3, 3, 2, 3, 1, 3, 2, 3, 3, 2, 3, 1, 3, 3, 3, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3]",5.160087687078175,1.2554274137065915
6,"[-4.64880083768249, -5.334602822813297, -4.220179430916181, -3.9182850630808073]","[0.1955043001340246, 0.09847280213797927, 0.3001264186878869, 0.4058964790401093]","[1, 3, 0, 2, 3, 1, 3, 2, 0, 1, 3, 2, 3, 1, 2, 2, 0, 2, 3, 0, 0, 0, 1, 2, 1, 1, 1, 2, 3, 3, 1, 2, 0, 3, 3, 3, 3, 0, 3, 1, 3, 0, 1, 3, 2, 2, 2, 3, 3, 3, 3, 0, 3, 3, 3, 3, 2, 2]",4.094850585271468,0.8899271579414412
7,"[-13.125255110633725, -13.785057876971162, -12.481989458551725, -8.288610641501641]","[0.007724075707479788, 0.003992986310779774, 0.014696477190941406, 0.9735864607907989]","[2, 3, 1, 0, 3, 3, 3, 3, 1, 0, 2, 3, 1, 3, 2, 3, 3, 3, 2, 3, 3, 0, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.279306746053274,1.2240006924878848
8,"[-4.185765925632717, -4.097290097881085, -2.8981631309130385, -2.839301185334591]","[0.10459803658831036, 0.11427417543139737, 0.3790725363317561, 0.40205525164853617]","[1, 2, 3, 0, 1, 2, 3, 1, 2, 2, 0, 3, 1, 3, 3, 2, 1, 0, 1, 2, 3, 0, 3, 3, 2, 2, 3, 0, 1, 3, 0, 2, 3, 2, 3, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 1, 3, 3, 3, 2, 2, 1, 0, 2, 0, 2, 3, 3]",5.188109178236999,0.8178008172441149
9,"[-5.849190884727937, -4.299372100258213, -4.532549287079813, -3.5589566299396855]","[0.05176321499618685, 0.24383665301726487, 0.19312185436455254, 0.5112782776219957]","[0, 3, 1, 2, 3, 1, 1, 3, 0, 3, 2, 3, 0, 2, 2, 0, 0, 1, 2, 1, 1, 3, 2, 3, 0, 1, 3, 1, 2, 1, 2, 3, 1, 3, 3, 2, 2, 2, 1, 1, 2, 3, 1, 3, 1, 3, 2, 3, 1, 3, 1, 3, 2, 2, 3, 1, 3, 1]",5.61711508357442,0.9009960070959224
