Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 3]",107.49999999999604,"[-999, 16]","[0, 0]","[5.649999999999988, 0]",1
1,"[2, 1]",36.40000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 1]",38.09999999999997,"[1, 1]","[0, 0]","[0, 0]",1
3,"[2, 1]",39.89999999999987,"[2, 2]","[0, 0]","[0, 0]",1
4,"[0, 1]",76.74999999999778,"[0, -999]","[0, 0]","[0, 0]",1
5,"[2, 3]",69.04999999999822,"[3, -999]","[0, 0]","[0, 0]",1
6,"[0, 3]",110.09999999999589,"[4, 17]","[0, 0]","[0, 0]",1
7,"[2, 1]",39.89999999999987,"[5, 3]","[0, 0]","[0, 0]",1
8,"[0, 3]",111.04999999999583,"[6, 6]","[0, 0]","[0, 0]",1
9,"[0, 1]",81.24999999999753,"[8, 19]","[0, 0]","[0, 0]",1
10,"[0, 3]",113.14999999999571,"[9, 20]","[0, 0]","[0, 0]",1
11,"[0, 1]",83.5499999999974,"[10, 9]","[0, 0]","[0, 0]",1
12,"[2, 3]",70.04999999999816,"[7, 5]","[0, 0]","[0, 0]",1
13,"[0, 3]",115.59999999999557,"[11, 22]","[0, 0]","[0, 0]",1
14,"[2, 1]",40.549999999999834,"[12, 7]","[0, 0]","[0, 0]",1
15,"[2, 3]",70.54999999999814,"[14, 12]","[0, 0]","[0, 0]",1
16,"[2, 3]",72.64999999999802,"[15, 15]","[0, 0]","[0, 0]",1
17,"[2, 3]",79.9999999999976,"[16, 0]","[3.149999999999997, 0]","[3.149999999999997, 0]",1
18,"[0, 3]",116.8999999999955,"[13, 13]","[0, 0]","[0, 0]",1
19,"[2, 1]",50.44999999999927,"[17, 4]","[0, 0]","[0, 0]",1
20,"[2, 3]",87.79999999999715,"[19, 8]","[0, 0]","[0, 0]",1
21,"[0, 1]",87.59999999999717,"[18, 28]","[0, 0]","[0, 0]",1
22,"[2, 3]",94.19999999999679,"[20, 10]","[4.849999999999991, 0]","[0, 0]",1
23,"[0, 1]",88.6499999999971,"[21, 21]","[0, 0]","[0, 0]",1
24,"[0, 1]",89.74999999999704,"[23, 23]","[0, 0]","[0, 0]",1
25,"[0, 1]",90.79999999999698,"[24, 24]","[0, 0]","[0, 0]",1
