Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.3949913006916246, -3.216355470558357, -3.183096364573559, -2.8244503377604104]","[0.19227710681427235, 0.22988367642524424, 0.23765796835701802, 0.34018124840346536]","[0, 3, 2, 1, 3, 2, 1, 3, 3, 2, 1, 0, 3, 2, 2, 0, 0, 0, 3, 0, 1, 1, 0, 2, 2, 3, 2, 1, 3, 3, 3, 2, 1, 3, 1, 1, 2, 1, 1, 1, 3, 3, 2, 2, 0, 2, 1, 1, 1, 1, 0, 1, 0, 1, 3, 2, 2, 2, 2, 0, 1, 3, 3, 1]",1.0045671174689927,0.8593965708124512
1,"[-8.809325640246467, -7.805402605865738, -7.659362533681069, -6.011146571040532]","[0.04291519018379257, 0.11711412435026809, 0.1355294491173365, 0.7044412363486028]","[3, 2, 0, 1, 3, 1, 3, 1, 3, 3, 2, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 2, 3, 2, 3, 3, 3, 3, 0, 3, 1, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 0, 1, 3, 3, 3, 2, 3, 3, 1, 3, 1]",1.0985787483097307,1.242902300281687
2,"[-4.412740212814937, -4.122312962746535, -4.038493400842911, -3.450646330946927]","[0.15605334035023033, 0.20864309737945214, 0.2268853187549713, 0.40841824351534634]","[3, 0, 1, 2, 3, 1, 3, 2, 0, 1, 3, 1, 3, 0, 0, 2, 1, 1, 0, 3, 2, 2, 3, 2, 1, 0, 3, 2, 1, 2, 3, 1, 2, 2, 3, 3, 0, 3, 3, 2, 2, 0, 2, 3, 3, 2, 1, 0, 3, 0, 2, 3, 0, 3, 3, 3, 3, 0, 1, 1, 1, 0, 1, 3]",0.8283589196766159,0.9994787959256964
3,"[-5.511166144407046, -5.094748418101304, -4.979885322427652, -4.194552627231209]","[0.12581156724667172, 0.1907956606520125, 0.2140192815181693, 0.46937349058314654]","[3, 0, 2, 1, 0, 3, 3, 2, 0, 2, 3, 3, 3, 1, 2, 3, 1, 0, 1, 3, 0, 1, 3, 2, 1, 0, 2, 3, 2, 3, 3, 3, 2, 3, 1, 1, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 2, 3, 1, 2, 3, 3, 2, 2, 1]",1.0264243342594521,1.0693110354404203
4,"[-5.2111462146353995, -4.825479262597068, -4.74240931778903, -4.099845759889776]","[0.14070879436941056, 0.20692562281130245, 0.22484906691918727, 0.4275165159000998]","[1, 0, 3, 2, 1, 3, 1, 2, 3, 3, 2, 1, 3, 2, 1, 2, 0, 2, 0, 3, 0, 3, 2, 0, 1, 2, 3, 0, 2, 1, 1, 2, 3, 1, 3, 1, 3, 1, 3, 3, 1, 3, 1, 1, 1, 3, 3, 3, 2, 3, 1, 2, 1, 3, 3, 1, 1, 3, 1, 0, 0, 3, 0, 3]",1.2303139307548507,1.0276998379511788
5,"[-4.450733063304014, -4.210980721728951, -4.102908238266466, -3.6158420936232853]","[0.16690363354832308, 0.2121235616408886, 0.23633290519583303, 0.38463989961495526]","[2, 1, 0, 3, 3, 2, 1, 3, 3, 0, 3, 1, 0, 2, 1, 1, 2, 2, 3, 0, 1, 0, 3, 0, 3, 2, 1, 3, 2, 2, 1, 2, 1, 3, 3, 1, 0, 2, 1, 3, 1, 2, 3, 2, 2, 2, 3, 3, 2, 1, 2, 2, 2, 1, 3, 2, 3, 2, 0, 3, 0, 3, 3, 3]",1.210797972706072,0.9628585915173954
6,"[-6.954176914431144, -6.2449753299944115, -6.081622080268706, -4.931950149999204]","[0.0770385490641304, 0.1565706769923717, 0.1843545430401244, 0.5820362309033735]","[0, 2, 3, 1, 3, 2, 1, 1, 3, 2, 1, 2, 1, 2, 2, 3, 0, 3, 3, 3, 1, 3, 3, 0, 1, 2, 3, 3, 2, 1, 3, 0, 3, 3, 3, 3, 3, 0, 0, 2, 3, 1, 3, 3, 3, 3, 2, 1, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 2, 3, 1, 3, 3, 3]",0.8326543749094379,1.1815007320473294
7,"[-5.481025960088907, -5.048052784755192, -4.873069121463359, -4.147917807585074]","[0.12237919553119739, 0.18868850992382863, 0.2247708015200009, 0.4641614930249731]","[3, 1, 2, 0, 3, 0, 2, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 1, 1, 3, 2, 2, 2, 3, 1, 3, 1, 2, 3, 3, 2, 1, 2, 1, 3, 3, 2, 3, 1, 3, 1, 3, 3, 1, 3, 3, 3, 3, 2, 2, 0, 3, 0, 3, 0, 3, 2, 3, 0, 0, 3, 0, 3, 1]",0.8639960245002192,1.079699372347367
8,"[-4.364154624054237, -4.085877387348289, -4.00647439745953, -3.528557744294967]","[0.16509684988073553, 0.21806855969975403, 0.23608986047330946, 0.38074472994620107]","[0, 1, 3, 2, 3, 3, 3, 3, 3, 1, 2, 1, 2, 3, 0, 3, 2, 1, 1, 2, 0, 2, 1, 3, 3, 0, 1, 3, 3, 3, 1, 3, 3, 0, 0, 1, 3, 0, 3, 1, 3, 0, 3, 2, 1, 1, 3, 2, 2, 3, 1, 0, 2, 0, 3, 2, 2, 3, 2, 1, 2, 2, 1, 0]",1.0458140007783236,0.9640189093999073
9,"[-4.320372251684205, -4.057889628961129, -3.9923044155793814, -3.5439080030206527]","[0.17058413818081325, 0.22178562824172945, 0.2368190838094145, 0.3708111497680428]","[1, 3, 0, 2, 0, 2, 0, 1, 0, 3, 1, 2, 0, 3, 3, 1, 3, 1, 0, 2, 3, 3, 2, 0, 2, 2, 2, 0, 3, 3, 2, 1, 2, 1, 3, 0, 1, 3, 2, 1, 2, 3, 1, 3, 0, 1, 2, 3, 3, 1, 3, 0, 0, 1, 1, 2, 3, 3, 3, 0, 3, 0, 1, 3]",1.1888866363822514,0.9496503163372221
