Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-5.224114240320334, -5.5965590341638976, -3.581265922962979, -3.349710525471332]","[0.07476158322962899, 0.0515142962387599, 0.3865079655337747, 0.48721615499783627]","[2, 0, 1, 3, 0, 2, 3, 3, 2, 2, 2, 3, 3, 3, 3, 1, 1, 3, 2, 3, 3, 2, 2, 3, 0, 3, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3, 1, 3, 3, 2, 3, 0, 3, 2, 2, 3, 3, 2, 3, 3]",4.728093149065844,0.8191059411904167
1,"[-4.155513504402394, -4.426631309617005, -2.8611094646280426, -2.738818426511533]","[0.10487877625325238, 0.07997286311824713, 0.3826838575432487, 0.4324645030852518]","[3, 2, 1, 0, 3, 2, 3, 0, 0, 3, 0, 2, 1, 0, 3, 1, 3, 2, 0, 2, 2, 2, 3, 3, 3, 3, 1, 2, 1, 3, 3, 3, 2, 1, 3, 2, 3, 3, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3]",5.530738676745925,0.7144383146653239
2,"[-12.214164987882109, -12.894848594286893, -11.745566096123108, -9.672888020273463]","[0.0632915493361434, 0.03204266230889634, 0.10112432598588178, 0.8035414623690784]","[2, 1, 0, 3, 3, 3, 3, 3, 3, 2, 1, 3, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 0, 3, 2, 2, 2, 3, 3, 3]",4.170094171354326,1.2321933464229353
3,"[-10.661740449190647, -9.53872353367724, -8.299673898475458, -7.248013029340741]","[0.022190050872823684, 0.06821475872682184, 0.23549992153186744, 0.6740952688684871]","[3, 2, 1, 0, 1, 1, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 0, 2, 0, 2, 3, 3, 2, 3, 0, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 3, 3, 1, 1, 3, 3, 2, 2, 2, 1, 3, 3]",5.465839891113057,1.1058950571083923
4,"[-12.583258073095749, -13.231826595171187, -12.100996295020051, -10.23145410249496]","[0.0732760178765816, 0.03830823383085604, 0.11868763853078698, 0.7697281097617753]","[1, 3, 0, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 0, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3]",5.821437536321396,1.2104297957866403
5,"[-10.440399818747279, -10.891119539316726, -9.023885325105828, -7.8521240281147]","[0.05244745230231212, 0.03341791185296832, 0.2162264533127074, 0.6979081825320121]","[0, 2, 3, 1, 0, 3, 2, 1, 3, 3, 2, 2, 3, 0, 3, 1, 3, 1, 3, 2, 3, 3, 3, 3, 3, 2, 3, 1, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3]",4.641284316137254,1.1435236637013932
6,"[-7.602199223920355, -8.103776213700087, -6.429080702407194, -5.813105827537062]","[0.0924072991525766, 0.05595954287069478, 0.298665581878982, 0.5529675760977466]","[2, 3, 0, 1, 1, 3, 0, 0, 3, 3, 2, 0, 3, 3, 2, 0, 1, 3, 2, 2, 3, 2, 3, 1, 3, 1, 3, 2, 2, 3, 3, 2, 3, 2, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 2]",4.900887526974718,1.0311882118946032
7,"[-5.601007927510207, -4.412315556954193, -3.541832642711877, -3.3554315316629193]","[0.046364671176682234, 0.1522052810201333, 0.3634759225548181, 0.43795412524836635]","[3, 2, 1, 0, 2, 2, 3, 0, 0, 1, 1, 3, 3, 2, 0, 2, 1, 0, 3, 1, 3, 3, 2, 3, 3, 1, 3, 3, 3, 1, 2, 0, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 1]",4.4216677248865555,0.8148886695632787
8,"[-5.22074158023706, -4.49284548541276, -4.462617481708641, -4.377698625346227]","[0.13283009286581363, 0.2750538534169346, 0.28349512090424756, 0.3086209328130043]","[1, 0, 2, 3, 1, 3, 2, 3, 1, 3, 0, 2, 3, 1, 3, 2, 1, 3, 2, 1, 2, 3, 1, 3, 3, 3, 3, 2, 3, 0, 3, 2, 1, 2, 3, 1, 0, 2, 3, 3, 0, 0, 3, 1, 3, 3, 1, 2, 2, 1, 0, 2]",5.746850257026042,0.894464756817635
9,"[-22.2252302130281, -19.665922926493128, -18.239205419842655, -16.17102389611514]","[0.002025652715311649, 0.026185328256544585, 0.10906202644723374, 0.86272699258091]","[1, 0, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 0, 3, 2, 3, 3, 3, 3]",4.324483677158901,1.345126440644285
10,"[-5.491809677181661, -6.009078656472103, -5.07127984145406, -6.784917036220685]","[0.2946956562334902, 0.17568175898754165, 0.4487531618760185, 0.08086942290294963]","[1, 2, 0, 3, 3, 3, 1, 3, 0, 2, 0, 1, 1, 2, 3, 2, 1, 0, 2, 3, 2, 2, 3, 0, 3, 2, 3, 2, 2, 1, 2, 3, 0, 3, 0, 3, 1, 1, 0, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 0, 1, 0]",5.400188745562722,0.9419716018960818
11,"[-6.996644264866665, -6.549810529523287, -7.388997534856492, -7.214243322896058]","[0.24732470650749902, 0.3866561550644443, 0.16705929421035395, 0.19895984421770277]","[2, 0, 3, 1, 0, 2, 2, 0, 1, 3, 3, 0, 3, 1, 3, 1, 0, 1, 0, 1, 2, 2, 0, 2, 0, 1, 1, 3, 2, 1, 2, 1, 2, 0, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 3, 2, 1, 0, 1, 3]",5.261020657911159,0.9942595416485689
12,"[-17.821272566349784, -17.878468528474976, -18.040804572503664, -15.533218609447992]","[0.07934591823328578, 0.07493499793126776, 0.06370639815075521, 0.7820126856846912]","[3, 1, 2, 0, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 3, 3, 1, 3, 2, 2, 3, 0, 2, 0, 2, 3, 1, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 2, 3, 0, 3, 2, 3, 3, 3, 3, 1, 3, 3, 2]",5.613269076471426,1.2776078990562958
13,"[-13.059553044709535, -10.626198535771094, -13.250252660853844, -11.776342522271285]","[0.05941193229829041, 0.6771207352078427, 0.04909687909169887, 0.214370453402168]","[2, 3, 0, 1, 3, 3, 0, 1, 2, 1, 1, 2, 2, 1, 1, 1, 0, 3, 3, 0, 0, 1, 3, 3, 1, 0, 0, 1, 1, 1, 1, 3, 1, 3, 1, 0, 2, 1, 1, 3, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3]",5.637348805076374,1.1614112059641992
14,"[-12.470961555659649, -12.520689114318518, -14.460807507915856, -12.942392220587328]","[0.36868889808232125, 0.3508032886432006, 0.05040585008983207, 0.23010196318464618]","[0, 3, 2, 1, 3, 3, 1, 0, 0, 2, 0, 0, 2, 0, 3, 3, 3, 0, 3, 0, 3, 3, 1, 0, 3, 3, 0, 3, 0, 2, 0, 3, 0, 3, 3, 2, 3, 1, 0, 1, 1, 1, 3, 1, 1, 1, 3, 3, 1, 2, 3, 0]",4.976124884049489,1.1958459145319353
15,"[-8.479180820284423, -8.578976313249983, -10.867193742840906, -9.483529284542362]","[0.4231697943501088, 0.38297817783383775, 0.0388520398424062, 0.1549999879736472]","[2, 1, 0, 3, 3, 0, 1, 2, 0, 1, 1, 2, 1, 1, 3, 3, 1, 0, 0, 2, 1, 0, 1, 1, 3, 3, 2, 2, 1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",4.876523477549851,1.0736687517751196
