Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.39999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[0, 1]",70.09999999999816,"[1, 1]","[0, 0]","[0, 0]",1
3,"[2, 3]",70.79999999999812,"[0, 0]","[0, 0]","[0, 0]",1
4,"[0, 1]",71.2999999999981,"[2, 2]","[0, 0]","[0, 0]",1
5,"[2, 3]",72.69999999999801,"[3, 3]","[0, 0]","[0, 0]",1
6,"[0, 1]",72.04999999999805,"[4, 4]","[0, 0]","[0, 0]",1
7,"[2, 3]",74.29999999999792,"[5, 5]","[0, 0]","[0, 0]",1
8,"[0, 1]",72.54999999999802,"[6, 6]","[0, 0]","[0, 0]",1
9,"[0, 1]",72.949999999998,"[8, 8]","[0, 0]","[0, 0]",1
10,"[2, 3]",75.74999999999784,"[7, 7]","[0, 0]","[0, 0]",1
11,"[0, 1]",73.14999999999799,"[9, 9]","[0, 0]","[0, 0]",1
12,"[2, 3]",76.99999999999777,"[10, 10]","[0, 0]","[0, 0]",1
13,"[2, 3]",78.1499999999977,"[12, 12]","[0, 0]","[0, 0]",1
14,"[2, 3]",79.34999999999764,"[13, 13]","[0, 0]","[0, 0]",1
15,"[2, 3]",80.59999999999756,"[14, 14]","[0, 0]","[0, 0]",1
16,"[2, 3]",82.34999999999746,"[15, 15]","[0, 0]","[0, 0]",1
17,"[0, 1]",73.39999999999797,"[11, 11]","[0, 0]","[0, 0]",1
18,"[0, 1]",73.84999999999795,"[17, 17]","[0, 0]","[0, 0]",1
19,"[2, 3]",84.44999999999735,"[16, 16]","[0, 0]","[0, 0]",1
20,"[2, 3]",86.69999999999722,"[19, 19]","[6.149999999999986, 0]","[0, 0]",1
21,"[0, 1]",74.54999999999791,"[18, 18]","[0, 0]","[0, 0]",1
22,"[2, 3]",89.04999999999708,"[20, 20]","[8.84999999999999, 0]","[0, 0]",1
23,"[2, 3]",91.34999999999695,"[22, 22]","[6.499999999999985, 0]","[0, 0]",1
24,"[0, 1]",75.49999999999785,"[21, 21]","[0, 0]","[0, 0]",1
25,"[0, 1]",76.59999999999779,"[24, 24]","[0, 0]","[0, 0]",1
26,"[0, 1]",77.69999999999773,"[25, 25]","[0, 0]","[0, 0]",1
27,"[0, 1]",78.69999999999767,"[26, 26]","[0, 0]","[0, 0]",1
28,"[0, 1]",79.69999999999762,"[27, 27]","[0, 0]","[0, 0]",1
29,"[0, 1]",80.69999999999756,"[28, 28]","[0, 0]","[0, 0]",1
30,"[0, 1]",81.7499999999975,"[29, 29]","[0, 0]","[0, 0]",1
31,"[2, 3]",93.64999999999682,"[23, 23]","[4.799999999999991, 0]","[0, 0]",1
32,"[2, 3]",95.99999999999669,"[31, 31]","[3.2499999999999964, 0]","[0, 0]",1
33,"[0, 1]",82.79999999999744,"[30, 30]","[0, 0]","[0, 0]",1
34,"[2, 3]",98.29999999999656,"[32, 32]","[1.7500000000000009, 0]","[0, 0]",1
35,"[0, 1]",83.79999999999738,"[33, 33]","[0, 0]","[0, 0]",1
36,"[0, 1]",84.84999999999732,"[35, 35]","[0, 0]","[0, 0]",1
37,"[2, 3]",100.54999999999643,"[34, 34]","[0, 0]","[0, 0]",1
38,"[0, 1]",85.84999999999727,"[36, 36]","[0, 0]","[0, 0]",1
39,"[0, 1]",86.8999999999972,"[38, 38]","[0, 0]","[0, 0]",1
