Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 3]",97.89999999999658,"[-999, 13]","[0, 0]","[0, 0]",1
1,"[0, 3]",105.24999999999616,"[0, 18]","[0, 0]","[0, 0]",1
2,"[0, 1]",83.4999999999974,"[1, 21]","[5.449999999999989, 0]","[5.449999999999989, 0]",1
3,"[0, 1]",87.24999999999719,"[2, 23]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",1
4,"[0, 3]",117.14999999999549,"[3, 1]","[0, 0]","[0, 0]",1
5,"[0, 1]",89.14999999999708,"[4, 29]","[0, 0]","[0, 0]",1
6,"[0, 1]",90.19999999999702,"[5, 5]","[0, 0]","[0, 0]",1
7,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
8,"[2, 3]",70.84999999999812,"[7, 7]","[0, 0]","[0, 0]",1
9,"[0, 3]",121.29999999999525,"[6, 31]","[0, 0]","[0, 0]",1
10,"[0, 3]",123.44999999999513,"[9, 9]","[0, 0]","[0, 0]",1
11,"[2, 3]",72.74999999999801,"[8, 8]","[0, 0]","[0, 0]",1
12,"[0, 3]",124.94999999999504,"[10, 10]","[0, 0]","[0, 0]",1
13,"[2, 3]",74.24999999999793,"[11, 11]","[0, 0]","[0, 0]",1
14,"[2, 1]",40.14999999999986,"[13, -999]","[0, 0]","[0, 0]",1
15,"[0, 3]",126.24999999999497,"[12, 12]","[0, 0]","[0, 0]",1
16,"[0, 1]",97.04999999999663,"[15, -999]","[0, 0]","[0, 0]",1
17,"[2, 1]",42.49999999999972,"[14, 14]","[0, 0]","[0, 0]",1
18,"[2, 3]",75.14999999999787,"[17, 0]","[0, 0]","[0, 0]",1
19,"[2, 1]",44.6999999999996,"[18, 17]","[0, 0]","[0, 0]",1
20,"[2, 1]",45.49999999999955,"[19, 19]","[0, 0]","[0, 0]",1
21,"[2, 1]",46.19999999999951,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 1]",98.19999999999656,"[16, 16]","[0, 0]","[0, 0]",1
23,"[2, 1]",52.299999999999166,"[21, 2]","[1.1500000000000004, 0]","[1.1500000000000004, 0]",1
24,"[0, 1]",99.2499999999965,"[22, 22]","[0, 0]","[0, 0]",1
25,"[0, 1]",100.29999999999644,"[24, 24]","[0, 0]","[0, 0]",1
26,"[0, 1]",101.29999999999639,"[25, 25]","[0, 0]","[0, 0]",1
27,"[0, 3]",132.24999999999582,"[26, 41]","[0, 0]","[0, 0]",1
28,"[0, 3]",134.2999999999963,"[27, 27]","[0, 0]","[0, 0]",1
29,"[2, 1]",57.64999999999886,"[23, 3]","[6.649999999999984, 0]","[6.649999999999984, 0]",1
30,"[0, 3]",135.84999999999664,"[28, 28]","[0, 0]","[0, 0]",1
31,"[2, 3]",89.34999999999707,"[29, 4]","[8.949999999999992, 0]","[0.05, 0]",1
32,"[2, 1]",65.29999999999843,"[31, 6]","[13.400000000000055, 0]","[0.1, 0]",1
33,"[0, 1]",106.19999999999611,"[30, 50]","[0, 0]","[0, 0]",1
34,"[0, 3]",139.04999999999737,"[33, 51]","[0, 0]","[0, 0]",1
35,"[0, 3]",140.24999999999764,"[34, 34]","[0, 0]","[0, 0]",1
36,"[0, 3]",141.3999999999979,"[35, 35]","[0, 0]","[0, 0]",1
37,"[2, 3]",113.69999999999568,"[32, 15]","[27.80000000000026, 0]","[9.5, 0]",1
38,"[2, 3]",115.34999999999559,"[37, 37]","[15.950000000000092, 0]","[0, 0]",1
39,"[0, 3]",142.59999999999818,"[36, 36]","[0, 0]","[0, 0]",1
40,"[2, 3]",116.9999999999955,"[38, 38]","[14.350000000000069, 0]","[0, 0]",1
41,"[2, 3]",119.04999999999538,"[40, 40]","[13.450000000000056, 0]","[0, 0]",1
42,"[0, 1]",112.14999999999577,"[39, 59]","[0, 0]","[0, 0]",1
43,"[2, 1]",94.54999999999677,"[41, 26]","[12.750000000000046, 0]","[0, 0]",1
44,"[2, 1]",94.49999999999677,"[43, 43]","[11.65000000000003, 0]","[0, 0]",1
45,"[0, 3]",144.59999999999863,"[42, 60]","[0, 0]","[0, 0]",1
46,"[0, 3]",145.69999999999888,"[45, 45]","[0, 0]","[0, 0]",1
47,"[0, 3]",151.70000000000024,"[46, 62]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",1
48,"[0, 1]",122.99999999999515,"[47, 64]","[0, 0]","[0, 0]",1
49,"[0, 3]",154.80000000000095,"[48, 65]","[0, 0]","[0, 0]",1
50,"[2, 1]",96.24999999999667,"[44, 44]","[10.300000000000011, 0]","[0, 0]",1
51,"[2, 3]",130.3499999999954,"[50, 30]","[10.000000000000007, 0]","[0, 0]",1
52,"[2, 1]",100.94999999999641,"[51, 33]","[10.25000000000001, 0]","[0, 0]",1
53,"[0, 1]",126.29999999999497,"[49, 67]","[0, 0]","[0, 0]",1
54,"[0, 1]",126.89999999999493,"[53, 53]","[0, 0]","[0, 0]",1
55,"[2, 1]",103.19999999999628,"[52, 52]","[10.85000000000002, 0]","[0, 0]",1
56,"[0, 1]",127.89999999999488,"[54, 54]","[0, 0]","[0, 0]",1
57,"[0, 1]",133.24999999999605,"[56, 72]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",1
58,"[0, 1]",133.79999999999617,"[57, 57]","[0, 0]","[0, 0]",1
59,"[2, 1]",105.39999999999615,"[55, 55]","[10.800000000000018, 0]","[0, 0]",1
60,"[2, 3]",141.99999999999804,"[59, 39]","[14.850000000000076, 0]","[0, 0]",1
61,"[2, 1]",111.6999999999958,"[60, 42]","[14.050000000000065, 0]","[0, 0]",1
62,"[2, 3]",150.04999999999987,"[61, 46]","[14.050000000000065, 0]","[0, 0]",1
63,"[0, 3]",167.3000000000038,"[58, 76]","[0, 0]","[0, 0]",1
64,"[2, 1]",118.79999999999539,"[62, 61]","[14.800000000000075, 0]","[0, 0]",1
65,"[2, 3]",153.3000000000006,"[64, 47]","[15.700000000000088, 0]","[0, 0]",1
66,"[0, 3]",168.35000000000403,"[63, 63]","[0, 0]","[0, 0]",1
67,"[2, 1]",124.0499999999951,"[65, 48]","[16.4500000000001, 0]","[0, 0]",1
68,"[0, 1]",136.9499999999969,"[66, 78]","[0, 0]","[0, 0]",1
69,"[0, 1]",137.0499999999969,"[68, 68]","[0.6, 0]","[0, 0]",1
70,"[2, 3]",157.85000000000164,"[67, 49]","[17.85000000000012, 0]","[0, 0]",1
71,"[2, 3]",160.2500000000022,"[70, 70]","[17.750000000000117, 0]","[0, 0]",1
72,"[2, 1]",134.59999999999636,"[71, 56]","[19.35000000000014, 0]","[0, 0]",1
73,"[0, 1]",137.94999999999712,"[69, 69]","[1.0500000000000003, 0]","[0, 0]",1
74,"[2, 3]",164.80000000000322,"[72, 71]","[19.95000000000015, 0]","[0, 0]",1
75,"[0, 1]",138.7999999999973,"[73, 73]","[0.7500000000000001, 0]","[0, 0]",1
76,"[2, 3]",168.00000000000395,"[74, 74]","[20.900000000000162, 0]","[0, 0]",1
77,"[0, 3]",169.70000000000434,"[75, 79]","[0, 0]","[0, 0]",1
78,"[2, 1]",139.09999999999738,"[76, 58]","[21.100000000000165, 0]","[0, 0]",1
79,"[2, 3]",177.25000000000605,"[78, 66]","[21.150000000000166, 0]","[0, 0]",1
0,"[2, 1]",36.40000000000007,"[-999, -999]","[0, 0]","[0, 0]",2
1,"[2, 1]",38.09999999999997,"[0, 0]","[0, 0]","[0, 0]",2
2,"[0, 3]",99.04999999999652,"[-999, 15]","[0, 0]","[0, 0]",2
3,"[2, 3]",68.64999999999824,"[1, -999]","[0, 0]","[0, 0]",2
4,"[0, 1]",70.24999999999815,"[2, 16]","[0, 0]","[0, 0]",2
5,"[0, 3]",107.04999999999606,"[4, 20]","[1.950000000000001, 0]","[1.950000000000001, 0]",2
6,"[0, 3]",112.74999999999574,"[5, 24]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",2
7,"[0, 3]",113.4999999999957,"[6, 6]","[0, 0]","[0, 0]",2
8,"[0, 1]",83.24999999999741,"[7, 25]","[0, 0]","[0, 0]",2
9,"[2, 1]",39.04999999999992,"[3, 1]","[0, 0]","[0, 0]",2
10,"[0, 1]",84.34999999999735,"[8, 8]","[0, 0]","[0, 0]",2
11,"[2, 1]",41.049999999999805,"[9, 9]","[0, 0]","[0, 0]",2
12,"[2, 3]",69.74999999999818,"[11, 3]","[0, 0]","[0, 0]",2
13,"[2, 1]",40.699999999999825,"[12, 11]","[0, 0]","[0, 0]",2
14,"[0, 1]",91.39999999999695,"[10, 27]","[2.5999999999999988, 0]","[2.5999999999999988, 0]",2
15,"[2, 3]",70.44999999999814,"[13, 12]","[0, 0]","[0, 0]",2
16,"[2, 1]",41.1499999999998,"[15, 13]","[0, 0]","[0, 0]",2
17,"[2, 3]",74.5999999999979,"[16, 2]","[0, 0]","[0, 0]",2
18,"[0, 1]",90.84999999999698,"[14, 14]","[0, 0]","[0, 0]",2
19,"[0, 1]",91.49999999999694,"[18, 18]","[0, 0]","[0, 0]",2
20,"[2, 3]",75.99999999999783,"[17, 17]","[0, 0]","[0, 0]",2
21,"[0, 1]",98.54999999999654,"[19, 31]","[2.8999999999999977, 0]","[2.8999999999999977, 0]",2
22,"[2, 1]",45.74999999999954,"[20, 4]","[0, 0]","[0, 0]",2
