Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-184.30474261786566, -147.54471989230993, -135.0185539664592, -80.29047920362643]","[6.717062046573411e-46, 6.1923341593703306e-30, 1.7056861589141035e-24, 1.0]","[0, 3, 2, 1, 3, 3, 3]",4.456347300633862,1.8301523361909642
1,"[-329.3260981185973, -209.87695689942882, -199.97388931709435, -115.16357174382279]","[9.781299678364623e-94, 7.353590888245484e-42, 1.4701006495202335e-37, 1.0]","[0, 3, 1, 2, 3, 3, 3]",3.6794657434812184,1.9539632663003037
2,"[-11.321782374743579, -13.98647743210286, -10.562231649611297, -8.898790837686951]","[0.06902984146467951, 0.004805897640135614, 0.14753856824545197, 0.7786256926497329]","[1, 0, 2, 3, 2, 3, 3]",5.533764048862183,1.2068987157507687
3,"[-3.6803889494533566, -3.5356936265403975, -3.865348820013722, -3.6861990447037467]","[0.2511911615416507, 0.2902984616787586, 0.20877442825577322, 0.2497359485238175]","[1, 2, 0, 3, 2, 3, 3]",5.263111784787928,0.9448375421081492
4,"[-400.27803183480256, -252.32230865886345, -245.96092248121073, -144.0816732395134]","[5.436697612691713e-112, 9.810458832149171e-48, 5.68073112156393e-45, 1.0]","[0, 1, 3, 2, 3, 3, 3]",4.263450795733576,1.9586633108722156
5,"[-21.20324541900392, -16.250521558532284, -15.048015981679297, -12.811332371338173]","[0.00019900562777218223, 0.028171242442375715, 0.09376646376534811, 0.8778632881645039]","[1, 0, 3, 2, 3, 3, 3]",5.261033384880844,1.3021325298570656
6,"[-123.55274202064605, -104.37639232774707, -91.00828391129643, -61.08051270842797]","[7.390188866093725e-28, 1.5733972696100117e-19, 1.005852062861242e-13, 0.9999999999998994]","[1, 0, 3, 2, 3, 3, 3]",4.195703074473569,1.7362338210620643
7,"[-73.85688544933431, -63.72931167548592, -53.71130056709818, -42.59674556192376]","[2.6539166234738306e-14, 6.641048926483396e-10, 1.4893735052860953e-05, 0.9999851056008157]","[2, 0, 3, 1, 3, 3, 3]",5.90334686929523,1.5858019826921745
8,"[-34.54073985592981, -30.253028296680142, -27.82335558994693, -33.42077912619829]","[0.0011067862919186219, 0.08057368785275429, 0.9149275204439719, 0.0033920054113551314]","[2, 1, 0, 3, 3, 3, 3]",4.838034855422429,1.4583057014217393
9,"[-20.63914260825006, -21.538622027486372, -16.829897138769358, -17.500400877793254]","[0.014368233111920066, 0.005844729509302364, 0.6482427272411518, 0.33154431013762575]","[0, 3, 1, 2, 3, 3, 3]",5.157745909392595,1.32965878308547
10,"[-45.04160474217281, -41.84306297876706, -34.056520538105, -34.36421549808132]","[9.767782251101034e-06, 0.00023927923276861342, 0.5761789961235235, 0.4235719568614568]","[0, 1, 2, 3, 3, 3, 3]",5.045166110175101,1.4945712685528878
11,"[-12.19436798158219, -11.011801370681765, -18.424605350323752, -12.130118678542253]","[0.1875797856589784, 0.6120236278199344, 0.00036934168406068947, 0.20002724483702655]","[2, 3, 0, 1, 3, 2, 1]",4.316403539659437,1.231671375706812
12,"[-8.681238354349803, -8.190843320692213, -8.067497206607614, -8.929832800033726]","[0.1901073103484874, 0.3104378553964273, 0.35119086541204975, 0.1482639688430355]","[0, 2, 1, 3, 2, 1, 1]",4.981759213059035,1.1376004900669843
13,"[-30.292335039595727, -25.236219793998753, -24.315071375955203, -32.920904898975834]","[0.0018102448016229223, 0.2841713300945292, 0.7138877587045084, 0.00013066639933959317]","[2, 3, 0, 1, 3, 3, 1]",5.052770907885316,1.4167961069485813
14,"[-98.09258595660808, -84.4197006538316, -112.29771996122913, -108.4696736769553]","[1.1532961982733174e-06, 0.9999988466671094, 7.81141205332939e-13, 3.591111793998924e-11]","[3, 1, 2, 0, 3, 2, 3]",4.213815826238482,1.688447201205511
15,"[-98.92896408705634, -73.09099195856538, -95.17052468341424, -98.88859279691793]","[6.007742098352416e-12, 0.9999999997301162, 2.576207109914416e-10, 6.255244784126764e-12]","[0, 2, 1, 3, 2, 3, 1]",4.773639173052743,1.6570688477847986
16,"[-15.20135946238083, -13.994254524431971, -18.68329204047016, -19.005450208245385]","[0.22743723041440725, 0.760502369952835, 0.006993224221855461, 0.00506717541090226]","[1, 3, 2, 0, 3, 1, 1]",5.331396414492881,1.2643155274520748
