Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",69.59999999999819,"[-999, 10]","[0, 0]","[0, 0]",1
1,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 1]",37.15000000000003,"[1, -999]","[0, 0]","[0, 0]",1
3,"[2, 1]",38.89999999999993,"[2, 2]","[0, 0]","[0, 0]",1
4,"[0, 3]",100.94999999999641,"[0, 11]","[0, 0]","[0, 0]",1
5,"[2, 3]",70.79999999999812,"[3, 1]","[0, 0]","[0, 0]",1
6,"[2, 3]",73.44999999999797,"[5, 5]","[0, 0]","[0, 0]",1
7,"[2, 3]",75.24999999999787,"[6, 6]","[0, 0]","[0, 0]",1
8,"[0, 3]",107.29999999999605,"[4, 13]","[2.499999999999999, 0]","[2.499999999999999, 0]",1
9,"[0, 1]",77.14999999999776,"[8, -999]","[0, 0]","[0, 0]",1
10,"[2, 1]",40.899999999999814,"[7, 3]","[0, 0]","[0, 0]",1
11,"[2, 3]",73.99999999999794,"[10, 7]","[0, 0]","[0, 0]",1
12,"[0, 1]",78.2999999999977,"[9, 9]","[0, 0]","[0, 0]",1
13,"[2, 3]",81.29999999999752,"[11, 4]","[2.3499999999999996, 0]","[2.3499999999999996, 0]",1
14,"[0, 1]",79.39999999999763,"[12, 12]","[0, 0]","[0, 0]",1
15,"[2, 3]",87.69999999999716,"[13, 8]","[6.699999999999984, 0]","[6.699999999999984, 0]",1
16,"[2, 1]",69.09999999999822,"[15, 14]","[15.10000000000008, 0]","[6.749999999999984, 0]",1
17,"[2, 3]",100.94999999999641,"[16, 19]","[21.35000000000017, 0]","[0.05, 0]",1
18,"[2, 1]",71.79999999999806,"[17, 21]","[23.900000000000205, 0]","[0, 0]",1
19,"[0, 3]",110.54999999999586,"[14, 15]","[0, 0]","[0, 0]",1
20,"[2, 1]",74.09999999999793,"[18, 18]","[25.60000000000023, 0]","[0, 0]",1
21,"[0, 1]",82.44999999999746,"[19, 16]","[0, 0]","[0, 0]",1
22,"[2, 3]",107.64999999999603,"[20, 28]","[23.250000000000195, 0]","[0, 0]",1
23,"[0, 3]",114.89999999999561,"[21, 17]","[0, 0]","[0, 0]",1
24,"[2, 1]",83.5499999999974,"[22, 34]","[21.55000000000017, 0]","[0, 0]",1
25,"[2, 1]",83.64999999999739,"[24, 24]","[20.00000000000015, 0]","[0, 0]",1
26,"[2, 1]",91.59999999999694,"[25, 36]","[18.500000000000128, 0]","[0, 0]",1
27,"[2, 1]",103.89999999999624,"[26, 39]","[20.250000000000153, 0]","[3.1999999999999966, 0]",1
28,"[0, 3]",116.39999999999553,"[23, 23]","[0, 0]","[0, 0]",1
29,"[2, 1]",103.84999999999624,"[27, 27]","[15.650000000000087, 0]","[0, 0]",1
30,"[2, 3]",137.64999999999705,"[29, 41]","[14.200000000000067, 0]","[0, 0]",1
31,"[2, 1]",108.44999999999598,"[30, 43]","[12.750000000000046, 0]","[0, 0]",1
32,"[0, 1]",88.39999999999712,"[28, 20]","[0, 0]","[0, 0]",1
33,"[2, 3]",146.54999999999907,"[31, 51]","[11.300000000000026, 0]","[0, 0]",1
34,"[0, 1]",88.89999999999709,"[32, 32]","[0, 0]","[0, 0]",1
35,"[0, 3]",119.79999999999534,"[34, 22]","[0, 0]","[0, 0]",1
36,"[0, 1]",96.94999999999663,"[35, 25]","[3.2999999999999963, 0]","[3.2999999999999963, 0]",1
37,"[0, 3]",126.29999999999497,"[36, 35]","[0, 0]","[0, 0]",1
38,"[0, 1]",97.99999999999658,"[37, 26]","[0, 0]","[0, 0]",1
39,"[0, 1]",99.04999999999652,"[38, 38]","[0, 0]","[0, 0]",1
40,"[0, 3]",130.14999999999534,"[39, 37]","[0, 0]","[0, 0]",1
