Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-12.868667556303448, -12.683736401502163, -12.644546321560105, -10.547388217242347]","[0.07329734437649121, 0.08818664493009785, 0.09171130127260722, 0.7468047094208038]","[2, 3, 0, 1, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 1, 1, 0, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1]",7.526617567819147,1.2052652966172963
1,"[-17.36189316378342, -16.85588412326258, -16.352918261731894, -13.39156636834714]","[0.01712232159435701, 0.02840008133829811, 0.0469628972958946, 0.9075146997714503]","[1, 0, 3, 2, 3, 3, 3, 2, 3, 1, 2, 3, 2, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 0, 3, 3, 1, 3, 3]",7.7828806820208065,1.268505389743675
2,"[-5.491365671008805, -5.278159937568989, -5.241987638037715, -4.841058189007154]","[0.18392508695315893, 0.22763290645825132, 0.23601764556022836, 0.3524243610283613]","[2, 0, 1, 3, 1, 3, 0, 3, 1, 2, 3, 0, 2, 0, 3, 0, 1, 3, 2, 1, 3, 1, 3, 3, 2, 1, 1, 0, 3, 2, 3, 1, 3, 2, 0, 3, 3, 2, 3, 0, 3, 3, 3, 1]",7.816278727024291,0.9400192538212971
3,"[-4.070277268504953, -3.9656476098991407, -3.9303611289623275, -3.706095967611876]","[0.21277447620956988, 0.2362433614402903, 0.244728381154903, 0.3062537811952369]","[2, 1, 0, 3, 0, 2, 3, 1, 1, 1, 0, 0, 0, 3, 1, 3, 2, 1, 1, 1, 0, 3, 2, 3, 2, 3, 1, 3, 2, 0, 2, 1, 3, 2, 2, 3, 1, 0, 0, 2, 1, 1, 0, 3]",6.753657101839275,0.8414790142317506
4,"[-2.8669716765005884, -2.825938248929772, -2.8108045264502306, -2.7205028527549726]","[0.23488512764765246, 0.24472374518462206, 0.2484554928218494, 0.27193563434587614]","[0, 1, 3, 2, 2, 3, 0, 1, 0, 3, 1, 0, 3, 3, 3, 1, 0, 2, 0, 1, 2, 2, 1, 3, 3, 2, 1, 3, 3, 3, 2, 0, 0, 0, 1, 2, 2, 1, 3, 2, 3, 1, 1, 0]",7.719582224639954,0.6971038164599994
5,"[-3.2028210417344667, -3.1476041802932158, -3.1250139001143697, -3.0030812277400423]","[0.22942257609012415, 0.2424468412335216, 0.24798611460905426, 0.28014446806730003]","[2, 0, 1, 3, 2, 0, 2, 0, 3, 2, 0, 1, 0, 2, 3, 1, 1, 1, 3, 3, 2, 0, 3, 3, 3, 0, 0, 2, 2, 0, 3, 3, 2, 1, 0, 1, 2, 2, 3, 2, 3, 2, 1, 3]",7.450784928534697,0.7444956224889614
6,"[-9.461279468137533, -8.9092208573934, -8.71111094430508, -7.669479751631508]","[0.09212834178580782, 0.1600107875371975, 0.19506857202455646, 0.5527922986524382]","[0, 3, 1, 2, 3, 2, 3, 3, 1, 3, 2, 1, 0, 2, 2, 3, 1, 1, 3, 0, 3, 0, 3, 1, 3, 2, 1, 3, 2, 3, 2, 3, 0, 3, 3, 2, 3, 3, 3, 2, 2, 2, 3, 2]",7.960685851104412,1.0949829081126512
7,"[-3.658984095042321, -3.5831761767730628, -3.5551167439747915, -3.392457011232239]","[0.22253715843549485, 0.24006314913713978, 0.2468945797609657, 0.2905051126663998]","[0, 1, 3, 2, 2, 0, 2, 0, 0, 1, 2, 3, 3, 3, 0, 3, 2, 3, 2, 1, 1, 1, 2, 1, 3, 2, 3, 0, 2, 3, 3, 0, 2, 3, 3, 1, 0, 0, 1, 2, 2, 2, 3, 1]",7.8361375261772865,0.7956984079052442
8,"[-3.3783095700615227, -3.306772862753184, -3.2818500155088555, -3.1358129082491084]","[0.22472669570536472, 0.24139188348793397, 0.24748365332961383, 0.2863977674770875]","[3, 0, 1, 2, 1, 2, 3, 0, 0, 3, 2, 1, 1, 1, 2, 1, 3, 1, 3, 1, 0, 1, 2, 0, 1, 2, 2, 3, 2, 2, 3, 3, 1, 2, 0, 2, 0, 2, 3, 3, 3, 0, 0, 2]",6.508261605655751,0.7683218870371865
9,"[-9.184444568947958, -8.76524427388968, -8.491125971393977, -7.584772721102502]","[0.10556880594526818, 0.16054322556079037, 0.21117380756748297, 0.5227141609264585]","[1, 3, 0, 2, 3, 3, 0, 2, 3, 1, 3, 3, 2, 1, 3, 3, 2, 2, 3, 0, 1, 1, 3, 3, 0, 0, 2, 3, 0, 1, 3, 3, 3, 3, 2, 3, 2, 2, 1, 2, 2, 3, 2, 0]",8.756153407297056,1.0816296661886786
