Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-4.151245722189233, -2.375270730038209, -2.2944013161296746, -2.2186136952110664]","[0.049462828272193074, 0.29212927755075746, 0.31673512270869403, 0.3416727714683554]","[0, 1, 3, 2, 1, 0, 2, 2, 0, 1, 3, 2, 2, 1, 3, 3, 3, 1, 2, 2, 3, 2, 3, 2, 2, 3, 1, 3, 2, 3, 2, 3, 3, 0, 2, 0, 3, 3, 3, 3, 1, 2, 1, 3, 2, 2, 3, 1, 2, 3, 2]",4.533753198713028,0.6111618015717813
1,"[-2.7314308977568134, -2.537265310626271, -1.5077297409615689, -1.4910588225483246]","[0.11024210608555182, 0.13386669599064874, 0.37479532179938574, 0.3810958761244137]","[2, 1, 0, 3, 3, 0, 2, 2, 1, 3, 3, 0, 1, 1, 0, 3, 2, 2, 0, 1, 2, 3, 2, 0, 2, 1, 3, 3, 2, 3, 2, 0, 3, 2, 2, 1, 2, 3, 1, 3, 3, 3, 2, 2, 1, 2, 3, 2, 3, 3, 2]",5.164621804472653,0.35137686877081903
2,"[-3.3455314561787883, -3.05180697013885, -1.9338577087174509, -1.892598137598052]","[0.09328472238470602, 0.1251334581894907, 0.38273012053958916, 0.39885169888621413]","[1, 2, 3, 0, 2, 3, 1, 1, 3, 2, 3, 3, 0, 1, 2, 1, 3, 2, 3, 1, 0, 0, 1, 2, 1, 3, 2, 3, 0, 3, 2, 3, 2, 2, 1, 2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 2]",4.8127106720004225,0.5133951585395893
3,"[-3.2654292917070995, -2.984685842612349, -2.401923989963816, -2.321547809152582]","[0.13763658845855922, 0.18224651411102197, 0.32639950168601733, 0.3537173957444014]","[2, 1, 0, 3, 2, 1, 2, 3, 0, 0, 1, 0, 3, 2, 3, 1, 0, 1, 3, 2, 3, 1, 2, 2, 1, 2, 0, 3, 2, 3, 0, 2, 1, 2, 1, 1, 2, 2, 2, 0, 3, 1, 1, 2, 3, 1, 3, 3, 0, 1, 2]",4.737420983664994,0.6326820497351174
4,"[-2.509969949302181, -3.5850260299836134, -2.292827625040382, -2.2271726218599834]","[0.25571289669940084, 0.08726934338353982, 0.3177286263294248, 0.3392891335876345]","[2, 3, 0, 1, 3, 1, 0, 3, 1, 2, 3, 3, 0, 0, 2, 3, 0, 3, 1, 2, 2, 2, 0, 3, 2, 3, 3, 0, 1, 2, 0, 3, 3, 3, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 2, 2, 2, 3, 0, 3, 3]",5.31339164418412,0.6058667987237507
5,"[-2.634427344364203, -2.3159775346365925, -1.6659090696565242, -1.6439300451199204]","[0.12984304146058495, 0.17853348190735605, 0.34201158895461164, 0.34961188767744744]","[0, 2, 3, 1, 3, 0, 3, 2, 1, 3, 2, 2, 3, 2, 1, 1, 1, 0, 2, 3, 0, 1, 0, 2, 0, 0, 3, 3, 2, 0, 2, 2, 3, 3, 0, 2, 3, 3, 2, 3, 2, 1, 2, 0, 3, 3, 3, 3, 1, 1, 2]",5.347788130632576,0.4186947134158342
6,"[-1.8187380962881243, -2.247759945887578, -1.7794496683878678, -1.7479592289434742]","[0.2656352950807125, 0.17296728062565117, 0.2762794144411885, 0.28511800985244795]","[2, 3, 0, 1, 2, 2, 1, 0, 0, 1, 3, 3, 3, 3, 1, 2, 1, 0, 2, 0, 2, 1, 2, 3, 1, 1, 0, 0, 1, 1, 1, 0, 3, 2, 0, 3, 1, 3, 2, 2, 0, 2, 2, 2, 2, 0, 3, 2, 2, 3, 2]",4.316978959106569,0.46401960929683794
7,"[-2.075629324240767, -1.8032378638208466, -1.7271006282535732, -1.7033944318199603]","[0.1930108495480931, 0.25344272560822567, 0.27349274598052037, 0.28005367886316074]","[0, 2, 1, 3, 2, 3, 2, 1, 1, 1, 1, 0, 3, 3, 2, 0, 1, 3, 1, 0, 0, 2, 2, 2, 2, 2, 0, 3, 1, 3, 3, 1, 1, 0, 0, 2, 1, 1, 3, 2, 0, 1, 1, 1, 0, 1, 2, 3, 2, 2, 3]",5.406106701457439,0.44175016484663465
8,"[-2.9252257688414414, -2.5520093267956114, -1.8830589601784018, -1.8490174665965293]","[0.12163544120935495, 0.1766631525451293, 0.34487953875937233, 0.3568218674861434]","[2, 3, 1, 0, 2, 3, 0, 0, 2, 1, 2, 3, 3, 2, 1, 1, 1, 1, 3, 1, 0, 0, 2, 0, 0, 3, 3, 2, 2, 2, 2, 2, 1, 2, 1, 3, 3, 3, 2, 2, 3, 2, 2, 3, 1, 1, 2, 0, 2, 3, 0]",5.03554879572993,0.4960025476227911
9,"[-2.245419550818806, -2.803799996815995, -2.194706223728052, -1.548796843711939]","[0.21593051900190352, 0.12354138963322848, 0.22716349754831605, 0.4333645938165519]","[0, 2, 3, 1, 0, 0, 3, 2, 3, 1, 2, 1, 0, 2, 3, 2, 3, 3, 1, 0, 3, 2, 3, 1, 2, 0, 2, 0, 2, 1, 3, 0, 2, 3, 3, 0, 2, 3, 2, 3, 3, 0, 3, 0, 2, 2, 2, 3, 0, 2, 3]",5.82185871794667,0.5801685447894086
10,"[-2.1505989934918452, -1.9897123920800426, -2.0713208565464956, -3.1965978364568612]","[0.2771313040740099, 0.325505063375935, 0.29999612345247156, 0.09736750909758375]","[0, 3, 1, 2, 2, 2, 1, 2, 1, 1, 3, 0, 0, 1, 2, 0, 2, 0, 3, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 3, 1, 2, 3, 1, 0, 2, 1, 3, 2, 1, 1, 1, 0, 0, 2, 0, 2, 1, 3, 2]",4.6300431777556295,0.5658589324218488
11,"[-2.789365321597175, -2.7892792750150948, -2.3487736076423675, -2.288759850121427]","[0.1921808482959958, 0.1921973855126083, 0.2985772104514111, 0.3170445557399849]","[0, 3, 2, 1, 3, 0, 0, 0, 3, 2, 0, 2, 1, 2, 3, 1, 3, 0, 3, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 1, 0, 2, 0, 3, 2, 3, 3, 0, 0, 1, 0, 3, 2, 0, 0, 0, 1, 0, 0]",4.858235332002198,0.6195762641346201
12,"[-2.2846057282745424, -2.4904474488444865, -2.4310991592714513, 0.7512061067659748]","[0.04256122374408799, 0.03464321452434248, 0.03676146563281429, 0.8860340960987553]","[1, 0, 3, 2, 2, 1, 3, 2, 0, 1, 3, 2, 1, 1, 0, 3, 2, 1, 3, 1, 1, 3, 0, 0, 2, 3, 2, 0, 0, 3, 3, 3, 1, 0, 3, 3, 0, 0, 3, 1, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3, 3]",5.305141321150035,0.38126375679739877
13,"[-3.0398137023743823, -3.0253197195591217, -2.5860810160305925, -3.6334611241547035]","[0.24148256146370056, 0.24500809334017232, 0.3801363284912204, 0.1333730167049067]","[3, 0, 1, 2, 3, 2, 2, 2, 1, 2, 1, 1, 3, 2, 0, 2, 3, 3, 1, 1, 0, 2, 2, 3, 0, 0, 3, 1, 1, 2, 2, 1, 3, 2, 2, 0, 2, 2, 1, 0, 0, 1, 2, 1, 3, 3, 1, 0, 3, 2, 2]",5.104598122991835,0.5813976255848997
14,"[-2.6072453869965173, -1.1239900352426928, -2.7944312268753997, -2.979743718412638]","[0.14439244765044462, 0.6363764401389722, 0.11974315616349972, 0.09948795604708358]","[1, 2, 3, 0, 1, 0, 2, 3, 2, 2, 1, 3, 1, 1, 0, 3, 1, 2, 1, 2, 2, 0, 1, 2, 3, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1, 3, 0, 1, 3, 1, 2, 3, 0, 0, 0, 3, 0, 0, 1, 0, 1]",5.104364065222498,0.438573599460521
