Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-0.23210599229298112, 16.651092223153956]","[4.652861850359729e-08, 0.9999999534713816]",[0],5.064484374178241,0.5017299557771792
1,"[0.2638803231789719, 16.651092223153956]","[7.64054371531279e-08, 0.9999999235945629]",[0],5.083758932799973,0.2978677589617939
2,"[16.651092223153956, 0.07372130949736744]","[0.9999999368258713, 6.317412862321714e-08]",[1],4.442326034103184,0.3910703992137069
3,"[-0.2564504483615715, 16.651092223153956]","[4.540958109066082e-08, 0.9999999545904189]",[0],4.627521168095805,0.5099394319721577
4,"[16.651092223153956, 0.2643807621842613]","[0.9999999235563171, 7.644368298022625e-08]",[1],4.72202856206264,0.29816039301028896
5,"[0.14784996413384577, 16.651092223153956]","[6.8035083768036e-08, 0.9999999319649163]",[0],3.8460718304345347,0.35881228819280386
6,"[16.651092223153956, 0.07810203052661757]","[0.999999936548516, 6.345148390392296e-08]",[1],5.0898793543222105,0.386638776220245
7,"[16.651092223153956, -0.3193523988410385]","[0.9999999573587893, 4.264121067136643e-08]",[1],4.427861029628442,0.5289410792176856
8,"[16.651092223153956, 0.04529301602580338]","[0.9999999385965165, 6.140348352108175e-08]",[1],3.995836990369596,0.40303893716158384
9,"[0.00493829655359046, 16.651092223153956]","[5.8974895383008036e-08, 0.9999999410251047]",[0],5.159647893193227,0.41666050184640346
10,"[-1.0728480023205227, 16.651092223153956]","[2.0071995631044966e-08, 0.9999999799280044]",[0],5.8614323405611515,0.690934168760765
11,"[0.006208467603145529, 16.651092223153956]","[5.904985117661288e-08, 0.9999999409501488]",[0],4.5235672998395255,0.4177547765202839
12,"[0.11402353113234676, 16.651092223153956]","[6.577218832527878e-08, 0.9999999342278117]",[0],4.2357720580251454,0.37292187754872075
13,"[16.651092223153956, -0.6509957470902694]","[0.999999969394558, 3.060544199428809e-08]",[1],5.094581855681918,0.6103988816992527
14,"[16.651092223153956, -0.2751384746420398]","[0.9999999554311539, 4.456884599170182e-08]",[1],5.312184591716533,0.5117549332422316
15,"[16.651092223153956, -0.23632829505579278]","[0.9999999536674251, 4.6332574767499364e-08]",[1],4.128415093651156,0.5037829077295005
16,"[-0.418086080319646, 16.651092223153956]","[3.863225289630393e-08, 0.999999961367747]",[0],5.488232556832679,0.5526848762541647
17,"[16.651092223153956, -0.681404784259054]","[0.9999999703112319, 2.9688768219190356e-08]",[1],5.7176860795685,0.6137203807255938
18,"[-0.3644991265739972, 16.651092223153956]","[4.075890919975678e-08, 0.9999999592410909]",[0],4.4966591394209665,0.5415609745778491
19,"[16.651092223153956, -0.4024598015707783]","[0.9999999607593275, 3.924067251202077e-08]",[1],4.497741269313241,0.5501371668169844
