Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-8.151575633955416, -6.93510677015798, -5.979446186677453, -5.758085725860783]","[0.0414871483311607, 0.14002942292899187, 0.36413080147048477, 0.45435262726936265]","[3, 0, 1, 2, 3, 1, 3, 3, 3, 2, 3, 3, 3, 3, 2, 2, 1]",2.3589083282218493,1.1109138613372738
1,"[-11.607741003118702, -8.830041926760002, -8.57909710563328, -7.6700293550471805]","[0.011229364937891765, 0.18059036561319788, 0.23210181058595894, 0.5760784588629513]","[0, 2, 1, 3, 2, 1, 3, 3, 1, 3, 2, 3, 2, 1, 3, 3, 3]",2.353538401601154,1.2221031317783673
2,"[-2.3868860267801226, -2.5661201083737417, -2.7321324457886864, -2.582158949445766]","[0.29703856885557073, 0.24829757107430317, 0.2103169277536493, 0.24434693231647675]","[2, 0, 1, 3, 3, 0, 1, 2, 2, 2, 3, 0, 2, 2, 3, 3, 2]",2.452734056116566,0.7217590089017594
3,"[-14.040632877855302, -12.719811719097606, -10.689943063479129, -9.235571340970289]","[0.006435176022574323, 0.02410936497926797, 0.18354667759935905, 0.7859087813987986]","[1, 3, 0, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 0, 0, 3]",2.460880808656979,1.2800012205710107
4,"[-4.46060566973452, -4.491358955980254, -3.2380945315177883, -3.702805744726794]","[0.13335118589566103, 0.1293126166325314, 0.45282117116891335, 0.28451502630289416]","[0, 3, 1, 2, 0, 1, 2, 1, 3, 3, 3, 2, 3, 1, 0, 2, 0]",2.10815299829839,0.915299703714723
5,"[-4.597878947229382, -4.969641919404917, -3.267215179552548, -3.7337230505721215]","[0.127452280746669, 0.08788059813062495, 0.48222258090286785, 0.30244454021983813]","[2, 1, 0, 3, 2, 0, 3, 3, 3, 0, 2, 1, 3, 3, 3, 0, 2]",2.4060451059521624,0.9090485625117883
6,"[-4.7447240276052405, -4.488124207251914, -3.605613227129072, -4.030227103851892]","[0.1340540864059287, 0.1732686306941576, 0.41878352887344394, 0.2738937540264698]","[3, 2, 1, 0, 0, 3, 2, 3, 3, 3, 2, 1, 1, 2, 3, 1, 1]",2.4196396069414363,0.9411440785805001
7,"[-9.68614769600844, -9.91961618050005, -9.5744021150755, -7.9448112965467494]","[0.11607697012716812, 0.09190771926155453, 0.12980055597430304, 0.6622147546369742]","[2, 3, 1, 0, 3, 3, 1, 2, 3, 3, 3, 0, 3, 2, 2, 2, 3]",2.243686784849217,1.2279877423170928
8,"[-4.956860951222379, -4.958843917738799, -4.906039217868253, -4.433731248140214]","[0.2110838233901557, 0.2106656659693189, 0.22208874521042593, 0.3561617654300995]","[3, 0, 1, 2, 1, 0, 2, 1, 2, 3, 2, 2, 0, 3, 3, 3, 0]",2.71606932881318,0.9717021659955123
9,"[-5.031739203881845, -5.660772975680294, -5.0429787173545755, -4.517227334176993]","[0.23839312640970092, 0.12708896217573717, 0.23572870510209995, 0.398789206312462]","[2, 1, 0, 3, 0, 1, 2, 2, 3, 3, 3, 1, 0, 3, 0, 3, 3]",2.6463064715613998,0.9791541427246635
10,"[-13.512011349608827, -12.3191129072637, -11.375726077592828, -11.676611690034314]","[0.052542577047338335, 0.173213038729807, 0.44492650192677335, 0.3293178822960812]","[0, 1, 2, 3, 3, 2, 3, 2, 2, 0, 0, 1, 3, 2, 3, 3, 0]",2.3994152104815334,1.2751094284315272
11,"[-4.6101111649998225, -5.3446570631811285, -1.6952120550126621, -5.323920500596256]","[0.048980113135237424, 0.023496899191947935, 0.9035337565664178, 0.02398923110639701]","[0, 1, 2, 3, 3, 0, 3, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2]",2.6307083777947,1.0005689329537506
12,"[-8.448800124336895, -9.345001793080872, -10.70693449406254, -8.239932369688143]","[0.3643061235359931, 0.14867947943471765, 0.03808650969534012, 0.448927887333949]","[1, 3, 2, 0, 3, 3, 2, 3, 2, 3, 2, 1, 3, 0, 3, 2, 2]",2.634592065540621,1.1800340621829863
13,"[-4.629622989819354, -4.50487267216161, -5.046227770671391, -4.529100188923039]","[0.25654867140364945, 0.2906351546112131, 0.16913777471832175, 0.28367839926681565]","[2, 0, 3, 1, 2, 2, 1, 3, 3, 0, 1, 1, 2, 1, 0, 1, 1]",2.519303655057236,0.9471074043898766
14,"[-7.3913876161603875, -6.960169309322589, -10.26813804999475, -9.370949672934987]","[0.3658208185667287, 0.5630463511446919, 0.020602104132474677, 0.05053072615610483]","[3, 0, 2, 1, 0, 3, 3, 1, 0, 2, 1, 1, 2, 1, 0, 2, 1]",2.3957495934263986,1.1289996541057619
15,"[-9.995355950106932, -9.945772001906839, -13.764321851493438, -11.127054858671201]","[0.4172935395891014, 0.4385061576405351, 0.009629429716988484, 0.134570873053375]","[1, 2, 3, 0, 3, 3, 2, 1, 3, 1, 1, 1, 0, 3, 0, 1, 0]",2.32149012316747,1.2167200619699339
16,"[-10.808639301721417, -10.420538641014188, -11.93781749771918, -11.316651113366213]","[0.29418966564441207, 0.43368798253155666, 0.09511117633582618, 0.1770111754882051]","[1, 2, 0, 3, 3, 2, 3, 0, 2, 0, 3, 0, 0, 1, 0, 1, 1]",2.671684251446769,1.192292110842489
17,"[-3.5977204349903062, -3.8484474662505956, -4.129669631649651, -4.619370200608467]","[0.3668790285868054, 0.2855180187538148, 0.21552630664206768, 0.13207664601731206]","[0, 1, 2, 3, 2, 0, 1, 2, 3, 0, 0, 1, 0, 2, 2, 1, 0]",2.123394308249858,0.829279182739978
18,"[-4.834296947803633, -4.267304726094973, -4.833923095001518, -5.646225841174851]","[0.23768036029922973, 0.4190201329477312, 0.23776923437981223, 0.10553027237322683]","[1, 3, 2, 0, 1, 0, 1, 3, 0, 3, 3, 1, 0, 3, 0, 3, 1]",2.297425378403543,0.9454522793816127
19,"[-5.988755855484632, -6.032636767996335, -8.051653281595081, -7.580927041023912]","[0.43713239046104335, 0.4183653901083712, 0.055553064223544155, 0.08894915520704132]","[0, 2, 3, 1, 3, 1, 3, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0]",2.233527090746959,1.0455386210097415
20,"[-3.783670662502736, -3.0810583960715583, -4.14564321378484, -4.986068553188415]","[0.24901673442629368, 0.5027697778280151, 0.1733907207662268, 0.07482276697946426]","[1, 0, 2, 3, 1, 0, 3, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",2.0436360905893296,0.8530211194343564
21,"[-8.901798475311754, -6.789801510828789, -10.20459985566456, -8.41897164800551]","[0.08962864137704117, 0.7407564483725781, 0.024358321749608378, 0.14525658850077236]","[1, 2, 3, 0, 0, 0, 1, 2, 2, 1, 0, 3, 1, 0, 2, 3, 2]",2.736820232868428,1.0937426586705774
22,"[-6.621006689196307, -7.6848308139101995, -10.02559888425871, -9.380158732011772]","[0.6936259298513682, 0.2393935102831968, 0.02304250638887785, 0.043938053476557305]","[3, 2, 0, 1, 3, 1, 3, 1, 2, 0, 0, 1, 1, 3, 0, 1, 2]",2.2036148475346793,1.1126007423900321
23,"[-6.4951122190360495, -6.200500268787503, -8.562571513458725, -7.5067987584173945]","[0.35301793363941947, 0.4739637345607085, 0.04465916568393132, 0.12835916611594067]","[0, 2, 1, 3, 1, 1, 3, 1, 0, 0, 0, 3, 0, 0, 0, 0, 2]",2.674666571276253,1.0269615928687088
24,"[-4.65167757330909, -5.246546155634638, -6.554761225555639, -6.21670113103542]","[0.5236078398376028, 0.28884043989412317, 0.07807417642707054, 0.1094775438412034]","[0, 1, 2, 3, 1, 3, 1, 3, 3, 1, 0, 1, 2, 0, 0, 3, 0]",2.9563031428106212,0.9176916495433542
25,"[-4.346517103034029, -5.60580214948022, -6.567826028297443, -5.61054741217376]","[0.5970730097659357, 0.16948329271078047, 0.06476274240171373, 0.16868095512157014]","[1, 0, 3, 2, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0]",2.4952144181447564,0.917719338084987
26,"[-4.010411394056662, -4.984280784442365, -5.771573958566261, -5.936532627305993]","[0.5899091416696893, 0.2227609308633678, 0.1013729168590053, 0.08595701060793766]","[1, 0, 2, 3, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 1, 2, 0]",2.3929256514696906,0.8952762682128572
27,"[-13.503950408466364, -13.01440856642152, -14.774690577170405, -15.39768929556232]","[0.3265092474502816, 0.5327222137383498, 0.0916262774791347, 0.04914226133223395]","[2, 0, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 0, 3]",2.4932727506164905,1.2601933342372005
28,"[-4.773535806103229, -5.5231027293322486, -6.989107917496793, -6.698398426082147]","[0.5788517494559944, 0.27354864735446355, 0.06314756490420421, 0.08445203828533795]","[0, 2, 1, 3, 1, 1, 0, 0, 1, 3, 0, 0, 2, 1, 1, 0, 0]",2.50422985295444,0.9404208263204095
29,"[-8.172409541286008, -7.6257394981336875, -10.049512459531263, -8.968289532850438]","[0.3001463699262021, 0.5185001404661083, 0.0459322432228306, 0.13542124638485903]","[2, 3, 0, 1, 3, 2, 0, 0, 0, 2, 0, 0, 2, 1, 1, 0, 1]",3.2015488579727176,1.0685681711715218
30,"[-1.7960601520491397, -2.753269282766431, -2.6382927502479365, -2.3615045871450366]","[0.41967110106179806, 0.161138167642972, 0.1807723877352203, 0.23841834356000963]","[3, 0, 1, 2, 0, 1, 3, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0]",2.0522091433692657,0.5373456524193723
31,"[-8.212804231691228, -6.5431967552323815, -8.93451609298799, -7.9021919157747575]","[0.12254507010432447, 0.6507245002896714, 0.05954706571269737, 0.16718336389330654]","[0, 3, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",2.398498768328742,1.0566081836841235
32,"[-6.3472287680140855, -6.151497451927927, -6.790164779871978, -7.322839370293981]","[0.3090893446403715, 0.37591448816116896, 0.1984811958642623, 0.11651497133419723]","[1, 3, 0, 2, 1, 1, 0, 3, 0, 1, 0, 0, 1, 3, 0, 2, 3]",2.8785300108532246,0.955787993485559
33,"[-8.43880705568236, -9.08731800965673, -10.906936469413543, -9.201668172030129]","[0.48218397067980023, 0.2520972105210284, 0.04086182730072136, 0.22485699149845004]","[3, 2, 0, 1, 3, 1, 3, 1, 0, 1, 1, 3, 1, 0, 1, 0, 0]",2.5855841812229583,1.1123715689451659
34,"[-5.819307738443264, -5.139364444685023, -6.578731018962272, -7.036081244522077]","[0.26753087808409126, 0.5280432987342859, 0.12518738705830532, 0.0792384361233176]","[3, 2, 0, 1, 3, 0, 1, 3, 0, 1, 0, 0, 2, 3, 1, 0, 3]",2.3176052811242855,0.9173875413429444
35,"[-12.815657884598352, -12.473461643580041, -14.030824874350392, -14.990623782980796]","[0.354822686322806, 0.499603323508136, 0.10526186521019491, 0.04031212495886312]","[2, 0, 1, 3, 2, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1]",2.6708677032888173,1.221967403603191
36,"[-4.242497910599777, -4.933547535915514, -5.967430777240058, -5.648861640190866]","[0.5196782504268286, 0.26038472414506547, 0.09259887608354457, 0.12733814934456136]","[2, 1, 0, 3, 1, 0, 0, 1, 1, 2, 2, 3, 1, 3, 1, 1, 2]",2.723501584742164,0.8843392960639462
37,"[-8.841581110402972, -9.453998941643253, -10.327802589290402, -9.21314123848586]","[0.40684771842132084, 0.22052721867583158, 0.09203946756497032, 0.2805855953378773]","[2, 0, 3, 1, 0, 0, 0, 2, 1, 2, 1, 3, 0, 1, 1, 0, 0]",2.482350444465265,1.105188101882991
38,"[-4.786772613439873, -5.377663201109301, -5.245069199143104, -5.607191567393871]","[0.3807433855394669, 0.2108685664918762, 0.24076684901006495, 0.16762119895859195]","[3, 1, 2, 0, 0, 0, 3, 1, 0, 0, 1, 1, 1, 2, 1, 0, 3]",2.408485666797121,0.8650697593604051
39,"[-5.028665379259176, -5.30000454201976, -5.205550076869092, -5.453763192021029]","[0.3073197304157704, 0.23428762097278671, 0.2574959457137741, 0.20089670289766876]","[3, 0, 2, 1, 1, 1, 0, 3, 0, 0, 1, 0, 1, 2, 1, 0, 3]",2.646144022746149,0.8628201547899749
40,"[-4.355870938154531, -3.8608073467177073, -4.667621129764218, -5.485455958592229]","[0.27056757967814643, 0.44389386495909006, 0.1980999513111807, 0.08743860405158285]","[2, 0, 1, 3, 2, 0, 3, 1, 0, 1, 0, 3, 2, 3, 1, 3, 0]",2.312142791145239,0.7831852781443729
41,"[-4.783495196813041, -4.772754244384658, -5.895982455288388, -5.353443406320405]","[0.34422295820665255, 0.3479401680754858, 0.11315995211499943, 0.1946769216028621]","[0, 1, 3, 2, 1, 0, 1, 1, 0, 0, 0, 3, 1, 3, 2, 0, 0]",2.4848331240631616,0.8621985006070082
42,"[-7.8378464448774565, -7.152504826875326, -9.00837960618127, -9.184837170524093]","[0.28131985149833205, 0.5582650790089815, 0.0872658426510102, 0.07314922684167614]","[2, 3, 0, 1, 2, 0, 1, 0, 0, 1, 0, 1, 2, 1, 3, 1, 1]",2.4766932017646512,1.0500587258923413
43,"[-16.676149356543114, -14.991593941595417, -15.616127066325037, -16.338576674395604]","[0.0936502256787149, 0.504779779337593, 0.27031531985771595, 0.1312546751259762]","[3, 2, 1, 0, 3, 1, 0, 3, 0, 1, 1, 0, 1, 3, 0, 3, 3]",2.273536462231466,1.2809227010557442
44,"[-6.031867196718419, -6.86803996688866, -6.68301411696032, -6.931507161659252]","[0.4234543962374404, 0.18351071443749004, 0.22080918339998976, 0.1722257059250798]","[2, 0, 3, 1, 2, 1, 1, 1, 0, 2, 2, 1, 0, 0, 1, 0, 3]",2.5402553169626794,0.9561363782539073
45,"[-6.447425027875848, -5.868276139141927, -6.6609916500232, -6.377333700163994]","[0.21437038553945692, 0.38254801746432904, 0.17314660620882796, 0.229934990787386]","[1, 3, 2, 0, 1, 1, 1, 3, 1, 2, 0, 0, 1, 1, 1, 3, 1]",2.535029955799592,0.9797829931248987
46,"[-5.518738945503704, -6.688368838457555, -7.365102723731301, -7.2514032193459235]","[0.6078641233636847, 0.18873076633535546, 0.09592701073570967, 0.10747809956525016]","[3, 0, 1, 2, 3, 1, 0, 0, 0, 1, 1, 1, 0, 3, 3, 1, 0]",2.8985121005097776,0.9667387602008789
47,"[-12.003083265383228, -11.301579020402189, -13.121412824135382, -13.914300694738717]","[0.2864090597136399, 0.5776252561508298, 0.0936057215150015, 0.04235996262052876]","[3, 2, 1, 0, 0, 0, 1, 3, 0, 0, 0, 3, 1, 3, 1, 0, 3]",2.661015186568053,1.1895174821558967
48,"[-11.631944474545435, -10.410459567645033, -13.073474726649023, -11.84298616047114]","[0.18387331999682505, 0.6237389610048201, 0.04349807960537542, 0.14888963939297953]","[1, 0, 3, 2, 0, 1, 1, 0, 1, 1, 0, 3, 1, 1, 1, 0, 1]",2.5879955061015867,1.1696503159838543
49,"[-2.8655200933513347, -2.5808741403997635, -2.525392766544921, -3.0228486169107445]","[0.2179199441609379, 0.28967908873153003, 0.30620508611837494, 0.18619588098915724]","[0, 2, 1, 3, 2, 3, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0]",2.464239176910914,0.5904535509786448
