Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-11.685083077985569, -11.708087346797685]","[0.5057508135961193, 0.4942491864038807]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",2.349520699600494,1.2942275810217154
1,"[-3.9396876168239494, -3.942973606918898]","[0.5008214967845456, 0.4991785032154544]","[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",2.5254280717667275,0.890304361714266
2,"[-8.866694799727533, -8.87383821124352]","[0.5017858452849449, 0.49821415471505504]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",2.182831171539804,1.208997679828083
3,"[-4.526034459109392, -4.531568354406337]","[0.5013834702936222, 0.4986165297063778]","[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",2.300294472888946,0.9527456328891896
4,"[-5.064575082792434, -5.0798850301110825]","[0.5038274120695969, 0.49617258793040314]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",1.9915267826629814,1.008743680767434
5,"[-4.458570066648389, -4.4671806060521915]","[0.5021526215511044, 0.49784737844889554]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",2.485850299541764,0.9405026241698081
6,"[-4.698444885054034, -4.72153269869865]","[0.5057716970312159, 0.494228302968784]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",2.410643599768475,0.9634009727627854
7,"[-2.8422973285358086, -2.8480508773746047]","[0.5014383832417624, 0.49856161675823774]","[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2.557031027364012,0.7376111200283948
8,"[-3.447988994554858, -3.463793861088998]","[0.5039511343864693, 0.4960488656135308]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",2.5272699843588176,0.8286391016910671
9,"[-3.193141424303639, -3.2035024324332824]","[0.5025902288605909, 0.4974097711394091]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",2.478262659939489,0.7943947508171822
10,"[-3.3109826345684437, -3.32277070329663]","[0.5029469830564144, 0.49705301694358556]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1]",2.808528831337322,0.804794220832897
11,"[-2.13894122431272, -2.1434698152910956]","[0.5011321458097445, 0.4988678541902555]","[0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0]",2.5708737988885226,0.5858705626976705
12,"[-8.23845207072742, -8.347170238825125]","[0.5271528025953479, 0.4728471974046519]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",2.5250371196652295,1.1628990330616231
13,"[-13.34327678711132, -13.60070138280637]","[0.5640030953254245, 0.4359969046745756]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",2.485873807948414,1.3185072432178429
14,"[-9.468007962622684, -9.6340573837532]","[0.5414172345705344, 0.4585827654294655]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",2.8917528790948572,1.1949301300672677
15,"[-4.255417411394941, -4.303651873205785]","[0.5120562780688305, 0.4879437219311695]","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",2.5467172856092057,0.9173904944279596
16,"[-11.791783745863045, -12.149369087209767]","[0.5884557878732386, 0.41154421212676146]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",2.511164488302003,1.276410795802059
17,"[-9.57732663024222, -9.789275245529717]","[0.5527896824974059, 0.4472103175025942]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",2.9951029758651915,1.193108295251758
18,"[-7.5513478004909675, -7.672457257793936]","[0.5302404107547091, 0.469759589245291]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",2.540453090508066,1.1300735737641616
19,"[-6.53408689532389, -6.634666220656243]","[0.525123655241661, 0.47487634475833884]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",2.6459437971410544,1.0758919195825973
20,"[-9.559492677189114, -9.779201202366565]","[0.5547072398998855, 0.4452927601001147]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",2.598868749391933,1.2049273476095879
21,"[-6.90570298696611, -7.040284292896867]","[0.533594635920713, 0.466405364079287]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1]",2.532871609867223,1.0972940894501217
22,"[-16.090191895343505, -16.674651957722556]","[0.6420930196449944, 0.3579069803550055]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]",2.9866400002019513,1.343315665903647
23,"[-18.834554702506285, -19.666451050621937]","[0.6967557532913439, 0.3032442467086561]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]",2.6151429050782973,1.403470404192116
24,"[-5.977792464362893, -6.098663983369651]","[0.5301811433448804, 0.4698188566551196]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",2.693538521104104,1.039421164470379
25,"[-27.8133415701222, -29.41632695411667]","[0.8324352202438302, 0.16756477975616982]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",2.5959973670594825,1.510334997669033
26,"[-3.4103484357987717, -3.445871087751347]","[0.5088797292607371, 0.4911202707392629]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0]",2.3625765195156445,0.8225577672489839
27,"[-3.714724421303357, -3.7639161408933246]","[0.5122954505939707, 0.48770454940602925]","[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1]",2.740014603360479,0.8509090629330786
28,"[-8.241251110750497, -8.528721865403359]","[0.571376819349917, 0.428623180650083]","[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",2.7462505410306655,1.1459149635619081
29,"[-3.2545323596902023, -3.2748983968967185]","[0.5050913333228305, 0.4949086666771693]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1]",2.9288792487751367,0.7913353948510874
30,"[-3.6354953023033314, -2.845883735331508]","[0.31225207960506124, 0.6877479203949388]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",2.6836179022381104,0.842487638320024
31,"[-9.944536369288386, -10.262837246821586]","[0.5789101072636981, 0.42108989273630193]","[0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]",2.4695625700868176,1.2177087215118239
32,"[-8.479897052309703, -8.746462789012591]","[0.5662496048529062, 0.43375039514709374]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",2.339819870033548,1.1681668762991195
33,"[-4.938336387568647, -5.03899203740874]","[0.5251426881562096, 0.4748573118437905]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",2.3359769144361433,0.9749858700274404
34,"[-6.843821834389878, -7.072161469585861]","[0.556838166091386, 0.4431618339086139]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",2.1310847967138726,1.1013110415262841
35,"[-5.050147849292868, -5.174077961753026]","[0.5309429347148821, 0.469057065285118]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]",2.4856860608425935,0.9772972043798159
36,"[-12.79526724342553, -13.457769164983809]","[0.6598221862791445, 0.34017781372085554]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",2.665116536867864,1.279749599003243
37,"[-4.562653700483444, -4.678855193923843]","[0.5290177290211795, 0.47098227097882056]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",2.342668697656469,0.9407220059066224
38,"[-13.834400862623822, -14.591103355511816]","[0.6806373815648655, 0.3193626184351346]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1]",2.5862622775382977,1.305238014316367
39,"[-7.40353785605691, -7.705502127105109]","[0.5749226288369187, 0.4250773711630813]","[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2.210643723437798,1.1228618691465
40,"[-16.511343688470046, -17.794061435035573]","[0.7829120418835058, 0.2170879581164941]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",2.1679110543826403,1.375092080780206
41,"[-2.6564248501370966, -2.6878170727815283]","[0.5078474112215903, 0.4921525887784098]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",2.0619422779485213,0.7038979983259163
42,"[-4.12559399864193, -4.214133449923195]","[0.5221204141153227, 0.4778795858846772]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1]",2.3610495939621083,0.8988896370542199
43,"[-4.097693509955867, -4.183717887837947]","[0.5214928418391, 0.4785071581609]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2.37646743261405,0.8953013599437071
44,"[-2.968957038271991, -3.012161659273419]","[0.5107994754088708, 0.4892005245911292]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",2.846312104885531,0.7445549654410291
45,"[-6.623120902578892, -6.876544246327629]","[0.5630189223258776, 0.4369810776741225]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",2.661613144061677,1.0660180530620544
46,"[-2.9918515574957754, -3.0374519169122443]","[0.511398114826092, 0.488601885173908]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",2.338764027856822,0.7561447236769174
47,"[-4.068584780113947, -4.164675627731359]","[0.5240042445781178, 0.4759957554218822]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]",2.3541705511816264,0.892112054521959
48,"[-22.282964661623577, -24.177952641847547]","[0.8693232115294183, 0.13067678847058184]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",2.5464606400593275,1.434445262345349
49,"[-7.434069459320825, -7.804342115883946]","[0.5915248602277139, 0.40847513977228594]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",2.8078005816183884,1.097790522501655
50,"[-4.508287436315199, -4.625324392842534]","[0.5292258862505881, 0.47077411374941186]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",2.4148221333941304,0.9310564246526224
51,"[-18.705106988746277, -20.022393597340958]","[0.7887299146745002, 0.21127008532549985]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1]",2.535146148665941,1.3858005860921887
52,"[-15.137052906579203, -16.35565560192699]","[0.7718175562871649, 0.22818244371283505]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",2.839997977071602,1.311147067934665
53,"[-11.056355313779399, -11.789490319601398]","[0.6754928506640748, 0.3245071493359251]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",2.6924618950896853,1.22483920768988
54,"[-10.506026118883298, -11.148205344779235]","[0.655245911327533, 0.34475408867246704]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",2.434607810594904,1.2188245140685137
55,"[-5.832672025602065, -6.066232401441216]","[0.5581261001434382, 0.4418738998565617]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",2.2292264493404934,1.0302484244206098
56,"[-13.093016422909196, -14.073688822198626]","[0.7272416146815633, 0.2727583853184367]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2.905190703463319,1.2652927047096227
57,"[-2.855772868079867, -2.9015118972126994]","[0.511432764184805, 0.48856723581519507]","[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]",2.4199398469597138,0.7294171140259573
58,"[-7.912106246154984, -8.340042393506451]","[0.6053807319407961, 0.39461926805920394]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",2.7770314918788475,1.1159731021149029
59,"[-5.806466195509025, -6.055228271621506]","[0.5618717822100305, 0.4381282177899695]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",2.629751108468656,1.0149061591467792
60,"[-12.034811851238555, -12.963738827306477]","[0.7168575415022963, 0.28314245849770386]","[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2.4163825299986748,1.2563301467258485
61,"[-4.616791073786483, -4.762062762451635]","[0.5362541859648357, 0.4637458140351644]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",2.309386356050054,0.9390338490564768
62,"[-3.7456283264738124, -3.840022648435344]","[0.5235810735769649, 0.47641892642303507]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",2.0701696912657654,0.8586481560314887
63,"[-3.6522895135843507, -3.733291627797376]","[0.5202394632590361, 0.4797605367409639]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",2.3543971427024926,0.8410653334969378
64,"[-24.296476397945163, -26.938488880530148]","[0.9335169742201442, 0.0664830257798558]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.618646135482367,1.439426917376584
65,"[-5.988234801023016, -6.21908264560864]","[0.5574570269244229, 0.442542973075577]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",2.5472843860469627,1.026007470719035
66,"[-7.156203113499139, -7.5104848582946415]","[0.5876555043507324, 0.4123444956492676]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",2.455631456793289,1.087899687869541
67,"[-2.8937213669883546, -2.941120573368006]","[0.5118475835291812, 0.4881524164708187]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]",2.4754973501390816,0.7327025304419202
68,"[-3.2244268215685556, -3.287671296189908]","[0.5158058505693646, 0.4841941494306355]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]",2.448312277897632,0.7833539989992196
69,"[-4.407235440674794, -4.547229537004877]","[0.5349414764488688, 0.46505852355113114]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",2.83100153632388,0.9055248080556668
70,"[-8.507456883558218, -8.977185934983993]","[0.6153196244928519, 0.3846803755071482]","[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",2.632099528307655,1.138668397700733
71,"[-4.239399057926613, -4.36621972182485]","[0.5316627400898475, 0.4683372599101525]","[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1]",2.403326608835644,0.8986602184398991
72,"[-6.567053144473033, -6.908202991859767]","[0.5844698075457775, 0.4155301924542225]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",2.3841100815050114,1.0594353140353898
73,"[-14.097977861320048, -15.26575427493261]","[0.7627428568871558, 0.23725714311284432]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]",2.532370372841616,1.2914505404739116
74,"[-5.329422207249661, -5.555722602981799]","[0.5563348859866942, 0.4436651140133058]","[1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",2.368998351636267,0.9851894950451187
75,"[-6.357384296004807, -6.654781759512241]","[0.5738061822106786, 0.4261938177893215]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]",2.5344099594397402,1.0437635950657926
76,"[-7.616302837313028, -8.022111158232933]","[0.6000823682470254, 0.3999176317529745]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",2.4113711811842697,1.1077509250544928
77,"[-6.355932820408489, -6.67722285042823]","[0.5796386101380292, 0.42036138986197075]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",2.3568245905068155,1.0472756724394439
78,"[-5.902909200780636, -6.170169041735959]","[0.5664200766395691, 0.43357992336043094]","[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",2.290835916634734,1.023898188089746
79,"[-2.9201821762708415, -2.970400381679643]","[0.5125519136071323, 0.48744808639286785]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",2.975160759436288,0.72843385852699
