Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-6.249269799049651, -5.249924944820993, -4.8605596150439245, -4.25099404026474]","[0.06621418946205228, 0.17987094769989428, 0.2654973783665761, 0.48841748447147737]","[2, 0, 1, 3, 3, 0, 1, 2, 3, 3, 2, 2, 3, 3, 0, 3, 3, 2, 0, 0, 1, 1, 2, 1, 2, 1, 3]",2.0020795793084707,0.9958697782635599
1,"[-6.362119534068842, -5.9114152775887225, -5.719811707130258, -4.971160412454918]","[0.11779974972998207, 0.1848769378941486, 0.22392114835726337, 0.47340216401860596]","[1, 3, 2, 0, 3, 3, 3, 3, 2, 0, 2, 1, 0, 2, 0, 3, 3, 2, 2, 0, 3, 3, 3, 2, 3, 0, 2]",2.5271207185713758,1.0393974502093506
2,"[-6.913808323033679, -7.0594301706700815, -6.323946697801724, -5.45362975482898]","[0.12539260646229095, 0.10839997075236484, 0.2261755102852858, 0.5400319125000584]","[1, 2, 3, 0, 3, 0, 2, 3, 2, 1, 3, 2, 2, 3, 3, 3, 1, 2, 1, 0, 1, 3, 0, 3, 0, 2, 2]",2.5399864697819483,1.07470549265244
3,"[-3.5383357249518306, -3.245498666882144, -2.7506436680064748, -2.5877132306970707]","[0.14033391657824623, 0.18807893828820482, 0.30849843120284304, 0.3630887139307059]","[2, 0, 3, 1, 2, 3, 0, 3, 2, 2, 0, 1, 0, 3, 3, 0, 0, 2, 0, 2, 1, 1, 1, 3, 1, 2, 1]",2.193037105524546,0.7292701689037524
4,"[-5.450926879709398, -4.789769834131964, -4.7738181625454414, -4.239918151377085]","[0.1210348920500426, 0.23444849205048893, 0.23821832503079454, 0.4062982908686739]","[3, 2, 1, 0, 1, 3, 3, 0, 2, 3, 3, 2, 3, 3, 0, 2, 0, 2, 2, 0, 2, 2, 3, 3, 3, 1, 3]",2.265402007060739,0.9747985512540801
5,"[-7.213281266318424, -6.803262164611367, -6.656333322536361, -5.668765819792469]","[0.11188329646308581, 0.16859096131202989, 0.1952741123717693, 0.5242516298531149]","[2, 0, 1, 3, 1, 1, 3, 2, 3, 0, 1, 3, 3, 3, 1, 2, 0, 2, 2, 3, 2, 3, 1, 3, 2, 1, 3]",2.1215987118432036,1.107109453722559
6,"[-5.086864606680165, -4.9536418536775315, -4.7158774149056795, -4.252414473518524]","[0.16962906773951494, 0.19380196750474682, 0.24582042517885624, 0.390748539576882]","[1, 3, 0, 2, 0, 3, 1, 2, 1, 2, 2, 3, 2, 0, 2, 3, 0, 0, 0, 3, 1, 1, 3, 2, 1, 3, 2]",2.5328513075066863,0.9629863314176209
7,"[-4.442404856881578, -4.239912992870875, -4.166775361591304, -3.7787196169184614]","[0.18235711435151222, 0.22328719109185236, 0.24022991083427622, 0.3541257837223592]","[0, 2, 1, 3, 3, 2, 0, 2, 2, 1, 3, 1, 3, 2, 1, 0, 3, 3, 1, 0, 1, 1, 0, 1, 2, 1, 1]",2.4497237953645463,0.9133147716938212
8,"[-4.943828080964948, -5.089641507645479, -4.968266311846965, -4.461019655472313]","[0.22417522091273442, 0.19375889088218173, 0.21876317487045013, 0.36330271333463365]","[1, 0, 3, 2, 0, 2, 1, 3, 3, 3, 0, 0, 1, 2, 2, 1, 2, 3, 3, 0, 3, 2, 3, 1, 3, 0, 2]",2.537169744195125,0.9822703066961435
9,"[-7.3042326647008045, -7.286396244413231, -7.540988527642151, -5.424314444007033]","[0.10683590253361071, 0.10875856835839726, 0.08431317780530183, 0.7000923513026903]","[3, 1, 0, 2, 2, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 2, 2, 1, 2, 3, 1, 1, 3, 3, 3, 3]",2.8662636308914173,1.1244112368887182
10,"[-3.1415211059823838, -3.398858714190632, -2.1330092718311526, -3.20207385288981]","[0.18328884396468956, 0.1417019180529951, 0.5024896913403214, 0.17251954664199387]","[2, 1, 0, 3, 3, 2, 0, 2, 0, 3, 3, 2, 3, 2, 0, 1, 1, 3, 1, 3, 0, 1, 3, 2, 2, 1, 1]",2.3158110344519,0.8330313551241751
11,"[-3.3705994237040096, -3.671206804122522, -4.582241434095063, -3.560283640826529]","[0.34900399039017954, 0.25839152554735956, 0.10390129329535867, 0.2887031907671022]","[1, 0, 2, 3, 0, 2, 3, 3, 3, 1, 0, 0, 2, 3, 0, 1, 2, 0, 2, 3, 0, 1, 1, 3, 3, 3, 0]",2.1970975839055606,0.914426431332729
12,"[-3.3574428101241898, -3.7354138609777223, -3.6815357174521686, -0.9458450031852426]","[0.0737452322107327, 0.05053394528288995, 0.05333130197182742, 0.82238952053455]","[2, 0, 3, 1, 1, 1, 1, 3, 2, 0, 3, 3, 3, 0, 1, 2, 3, 3, 2, 0, 3, 2, 0, 3, 3, 3, 3]",2.9207907991952027,0.8499621424846096
13,"[-2.960269210283223, -4.125812980436054, -4.070214355867379, -3.7514474070162187]","[0.47740888619794614, 0.14883369733055277, 0.1573430072654902, 0.21641440920601088]","[2, 3, 1, 0, 0, 1, 0, 1, 2, 0, 1, 3, 2, 0, 0, 2, 3, 0, 2, 3, 1, 0, 3, 1, 0, 2, 0]",2.8127728286698446,0.8929091179096165
14,"[-4.154934728446781, -5.260600834831376, -5.902465757451843, -4.847067017514576]","[0.49857866348441526, 0.16502471836250826, 0.0868541563609598, 0.2495424617921167]","[1, 2, 0, 3, 1, 2, 3, 3, 0, 0, 3, 2, 1, 3, 1, 1, 0, 0, 2, 0, 3, 3, 1, 0, 0, 1, 2]",2.2342326136785067,0.9768835550027476
15,"[-7.216499979769248, -6.558843262379767, -8.393671098198869, -7.234526151404299]","[0.2369360325424043, 0.45734906476913784, 0.07301165466790877, 0.23270324802054912]","[0, 3, 1, 2, 2, 3, 1, 2, 2, 1, 0, 0, 0, 2, 1, 1, 1, 3, 2, 1, 1, 3, 1, 0, 1, 0, 1]",2.557986796544705,1.0808170282469394
16,"[-5.140382591477066, -3.7005291005608676, -5.64436413119373, -6.257476695235676]","[0.1625638970297063, 0.6860322428694084, 0.09820818844351113, 0.05319567165737399]","[3, 0, 2, 1, 3, 0, 3, 3, 1, 3, 0, 2, 2, 3, 2, 1, 2, 1, 0, 1, 1, 0, 1, 1, 2, 1, 1]",2.4214729768407253,0.9659117147763083
17,"[-6.057917731859257, -6.05037705765374, -6.740832829195097, -6.951564342607184]","[0.3422462868401017, 0.3448368094556143, 0.1728830782099669, 0.1400338254943172]","[1, 2, 0, 3, 2, 2, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 1]",2.3585482032303835,1.0260761902815296
18,"[-13.449489478920274, -11.456255766567644, -14.18792555765189, -13.576331179504521]","[0.10311444651615782, 0.7567804727080436, 0.049274338282321056, 0.09083074249347756]","[1, 0, 3, 2, 0, 3, 3, 1, 1, 1, 1, 0, 1, 3, 0, 0, 1, 1, 0, 1, 2, 2, 2, 1, 2, 1, 3]",2.476973896359406,1.2641824720046988
19,"[-9.043489943595695, -9.179802197612718, -9.104826903217093, -10.254359304732866]","[0.32143854796226634, 0.2804776744311392, 0.3023149709799725, 0.0957688066266219]","[3, 2, 0, 1, 3, 1, 2, 3, 2, 2, 1, 0, 1, 1, 2, 2, 2, 1, 0, 2, 1, 2, 1, 2, 1, 0, 1]",2.3973421520269946,1.1788552893393833
20,"[-2.6239713364852713, -2.0832233583449113, -3.285857307880402, -4.3659474856948215]","[0.29339776519448557, 0.5038493057807204, 0.1513573015866208, 0.051395627438173094]","[3, 1, 0, 2, 1, 0, 1, 3, 0, 1, 0, 1, 2, 3, 0, 2, 0, 1, 1, 1, 3, 0, 3, 1, 1, 1, 1]",2.163276300047747,0.7047813178263855
21,"[-4.202903705764905, -3.2884696968272444, -5.919626115913355, -5.676922438942047]","[0.256146238886931, 0.6391777188469998, 0.046017700542850176, 0.05865834172321901]","[0, 3, 1, 2, 3, 3, 1, 2, 0, 1, 0, 1, 3, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 3]",2.5064720417394097,0.9026563401869632
22,"[-6.068027300251211, -6.039428043449295, -6.0438835953492225, -7.8214573608252715]","[0.3099210140140777, 0.3189124865496804, 0.3174947162343915, 0.053671783201850336]","[2, 0, 3, 1, 3, 0, 3, 3, 0, 2, 3, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2]",2.151818263051613,1.0668226259041689
23,"[-13.244518695595966, -12.56431226538875, -13.89201816501111, -12.909939833406556]","[0.2042905164734463, 0.403327751811177, 0.10691601414472017, 0.2854657175706565]","[3, 2, 0, 1, 3, 1, 1, 1, 1, 3, 1, 2, 0, 3, 1, 1, 1, 1, 2, 3, 1, 0, 2, 2, 0, 1, 3]",2.092061707040307,1.2928210026038867
24,"[-4.5564016419628715, -3.7347291846039106, -5.72557358398675, -6.048614852882515]","[0.26248105361180907, 0.5969607465562605, 0.08153292779578122, 0.0590252720361492]","[2, 0, 1, 3, 1, 2, 3, 1, 1, 1, 3, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 3, 2, 1, 1, 3, 0]",2.5635422798931375,0.91520583527954
25,"[-6.993291329339594, -6.83242254039378, -8.922327612789836, -6.927909371227461]","[0.2952129123879441, 0.3467366721127127, 0.042890937197152056, 0.3151594783021912]","[3, 1, 2, 0, 1, 2, 0, 0, 3, 3, 3, 3, 0, 0, 1, 1, 2, 0, 1, 0, 3, 2, 3, 3, 1, 2, 1]",2.3718193205772935,1.0710322548804938
26,"[-2.174264036907265, -2.1509859225454995, -3.6082964821112355, -3.8311892673175176]","[0.40772699030384246, 0.41732943561962954, 0.09718004225729872, 0.07776353181922935]","[3, 0, 2, 1, 1, 2, 0, 0, 0, 0, 1, 0, 2, 1, 1, 3, 1, 1, 2, 3, 2, 3, 0, 0, 3, 1, 2]",3.0246264184457305,0.5766772674155385
27,"[-2.5552899573135437, -1.6562601338025345, -4.099873312488425, -3.108545733179186]","[0.23553279661355694, 0.5787554319545569, 0.05026287898639549, 0.1354488924454907]","[1, 0, 3, 2, 0, 1, 0, 1, 1, 0, 3, 2, 2, 0, 0, 1, 0, 2, 0, 1, 3, 1, 1, 1, 1, 2, 1]",2.300720355144245,0.6666511679395626
28,"[-3.73358672020242, -3.7840562723447455, -5.395007697176456, -4.860145049839633]","[0.4057126265477124, 0.38574461852064496, 0.07703224617036042, 0.13151050876128223]","[0, 2, 1, 3, 2, 0, 1, 0, 2, 1, 0, 1, 3, 0, 2, 1, 0, 3, 1, 0, 3, 0, 2, 0, 1, 0, 1]",2.615006730538661,0.833940853867628
29,"[-2.5517566235507045, -1.843134559199866, -4.9141175916249455, -4.797722721611257]","[0.3094812716980459, 0.6286154127095855, 0.02915238159242733, 0.03275093399994134]","[2, 3, 0, 1, 0, 1, 1, 3, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 0, 1, 0, 1, 1]",2.737167662975834,0.8167382327361747
30,"[-4.601987318648636, -5.0435060454914815, -7.376875921448183, -6.403428370102196]","[0.5346231791143705, 0.34379427262774764, 0.0333371889066272, 0.08824535935125478]","[3, 1, 0, 2, 1, 0, 2, 1, 0, 1, 0, 0, 0, 3, 1, 0, 0, 1, 0, 1, 2, 2, 3, 2, 0, 3, 3]",2.3746338554239568,0.9411965369262498
31,"[-13.245941434094787, -11.966013355699543, -15.414491077534432, -14.449668775273564]","[0.19956900908895422, 0.7177262042051061, 0.022819386124322494, 0.05988540058161728]","[2, 0, 3, 1, 1, 1, 1, 3, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]",2.881631842590486,1.2413531355211775
32,"[-10.458062141049854, -9.825607289053853, -12.682630307593932, -11.846903234443433]","[0.30867020145425444, 0.5809869234943035, 0.03337159974277824, 0.07697127530866384]","[2, 0, 3, 1, 0, 3, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",2.0848628106096285,1.204579291030297
33,"[-18.14004774398703, -17.475855013077762, -19.61536642576112, -19.48729219573502]","[0.29141071123261825, 0.5661881151056382, 0.0666473288894857, 0.07575384477225786]","[1, 0, 3, 2, 3, 1, 1, 3, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 3]",2.822837567813801,1.332089662103304
34,"[-10.169497468784696, -9.177321037006642, -12.64605418496016, -11.61596456165403]","[0.24897108452854225, 0.6714994487960141, 0.020921556672393652, 0.05860791000305008]","[0, 2, 1, 3, 1, 1, 0, 1, 1, 0, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]",2.5099868562597827,1.1569558778439468
35,"[-5.732208579077876, -5.857629482743868, -8.137582271040044, -7.936202732825095]","[0.48014163460135745, 0.42354519608897967, 0.043324029743116076, 0.05298913956654682]","[1, 3, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 2]",1.9538875947851233,1.0297313658636933
36,"[-5.390139315612329, -5.7662343927171005, -8.034188013077104, -7.2168148214732275]","[0.5212248658808241, 0.357840184927253, 0.037044980206245894, 0.0838899689856771]","[0, 2, 3, 1, 1, 1, 3, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0]",2.482759568167944,1.0077263729424195
37,"[-5.779081910661959, -7.156696814541125, -8.107555371082455, -7.931666111097379]","[0.6822179510576495, 0.17204125096347062, 0.06647830957822333, 0.07926248840065662]","[2, 0, 3, 1, 1, 1, 3, 0, 0, 1, 3, 1, 0, 0, 1, 3, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",2.0267372605694356,1.0516760672251528
38,"[-1.7561834531386316, -1.7033225420272609, -3.8614105787428175, -2.3572149042328254]","[0.3670604564610413, 0.38698559770343355, 0.04471457183745632, 0.20123937399806885]","[3, 1, 0, 2, 0, 0, 2, 1, 1, 2, 1, 1, 0, 0, 2, 1, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 1]",2.6122737918574437,0.632499939807358
39,"[-10.007743489946494, -8.598591830707676, -11.675506207551587, -11.688362374189841]","[0.18290197651222642, 0.7485230670565947, 0.03450787794671269, 0.03406707848446624]","[2, 0, 1, 3, 1, 1, 0, 1, 0, 3, 3, 0, 1, 0, 0, 1, 1, 0, 1, 3, 3, 0, 1, 1, 0, 1, 0]",2.7356108608414744,1.163198233526257
40,"[-2.070707174639599, -2.5086031005968352, -3.346768090428148, -3.3305479956941797]","[0.4528520344213432, 0.29226750950997576, 0.12640670440769453, 0.1284737516609865]","[3, 0, 1, 2, 1, 0, 0, 2, 0, 1, 2, 3, 2, 2, 0, 3, 0, 0, 1, 1, 1, 3, 3, 0, 1, 3, 0]",2.786262304228335,0.4925815116282499
41,"[-3.918997169197119, -3.1932888577860536, -4.6348381366242934, -5.21933649538831]","[0.26127299487592726, 0.5398407180540259, 0.1277052469947944, 0.07118104007525247]","[0, 2, 3, 1, 0, 3, 0, 1, 0, 0, 1, 3, 1, 1, 1, 3, 1, 1, 2, 3, 1, 3, 1, 1, 1, 2, 0]",2.603244705570658,0.7793645304999515
42,"[-8.940175660351487, -8.351951875554953, -9.481392547041914, -11.166263202634028]","[0.2864692149662122, 0.5158700347168454, 0.16673641155764277, 0.030924338759299553]","[1, 0, 3, 2, 3, 1, 2, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 3, 1, 0, 1, 0, 3, 3]",2.8284879371414133,1.1156894544950557
43,"[-3.431783134321919, -2.918604899864589, -4.946593278315499, -4.289748739719305]","[0.3017077207565347, 0.504030595272805, 0.06633041848703303, 0.1279312654836272]","[2, 3, 0, 1, 1, 0, 3, 0, 1, 0, 0, 3, 1, 1, 0, 0, 2, 1, 1, 2, 1, 0, 2, 2, 3, 1, 1]",2.187023645834329,0.7423455409182296
44,"[-4.395762454105929, -4.512760881011221, -6.441501861730615, -5.463219902567193]","[0.4232351174888114, 0.3765042860212573, 0.05471776621082001, 0.14554283027911116]","[1, 3, 0, 2, 2, 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 2, 1, 3, 1, 2, 0, 2, 1, 0, 1, 3, 0]",2.4897508525886702,0.8785012806166959
45,"[-8.013630524947272, -6.192537289163964, -8.233313176436667, -9.16651776390951]","[0.1205239392440959, 0.7446703482687673, 0.09675342653217339, 0.03805228595496347]","[3, 1, 0, 2, 1, 1, 1, 0, 1, 3, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1, 1, 1, 3, 1, 1, 0]",2.4420927501486545,1.0635043724448676
46,"[-5.023448960929536, -5.407458141457343, -7.237765828183411, -7.465201791875499]","[0.5326624663574662, 0.362809815114153, 0.05818171237136902, 0.04634600615701189]","[0, 3, 1, 2, 1, 0, 2, 0, 0, 3, 3, 0, 3, 1, 1, 1, 1, 0, 2, 1, 1, 0, 2, 3, 2, 1, 0]",2.598612925679537,0.9264450744541898
47,"[-7.108146616171582, -6.2238125190859215, -8.5815451755097, -8.233191393544555]","[0.25156253142510243, 0.6091263330438222, 0.05764439591293551, 0.08166673961813986]","[1, 2, 0, 3, 1, 0, 1, 1, 0, 3, 1, 0, 1, 0, 0, 1, 1, 3, 0, 1, 1, 1, 0, 1, 1, 1, 3]",2.6950013785401294,1.0279055797532377
48,"[-14.53381236426542, -13.774486007513913, -15.671954740122136, -16.541667835485786]","[0.27843315735632956, 0.5949660694704085, 0.08921379188789563, 0.03738698128536632]","[0, 3, 2, 1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 2, 2, 2, 1, 1, 0, 1, 0]",2.798825442847771,1.24342713886557
49,"[-3.6820664991927696, -3.6800251220668017, -5.2155398705151494, -4.752935460564937]","[0.39054278600054404, 0.39134084540356184, 0.08427322165260895, 0.13384314694328514]","[1, 2, 3, 0, 0, 1, 0, 1, 1, 1, 3, 0, 1, 3, 3, 1, 2, 1, 0, 2, 2, 2, 3, 0, 0, 2, 2]",2.3978059578571203,0.7654277337619643
50,"[-8.367571495636893, -7.920374833371565, -8.378285925912833, -9.504534301233397]","[0.2581273693652846, 0.4036910287628801, 0.2553764452729971, 0.08280515659883833]","[0, 3, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1]",2.4162681845276817,1.0817513164762373
51,"[-38.51725187045576, -36.09573397367597, -42.38740451292371, -42.097388493307946]","[0.08122375341678745, 0.9148184505893906, 0.0016939364684916685, 0.002263859525330313]","[1, 3, 0, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",2.0939748675666916,1.5307774101534395
52,"[-4.876280704768816, -4.16633987610231, -6.038198600325479, -5.409068973113789]","[0.25421213630944245, 0.5170346685593704, 0.07953929730158768, 0.14921389782959937]","[0, 3, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 2, 2, 3, 3, 1, 2, 1, 2, 1, 3, 2, 0, 1, 1, 0]",2.3523614257341428,0.8511481609655371
53,"[-7.775706284484353, -7.421320906899533, -9.275035872631562, -8.434934721350889]","[0.3158724884099719, 0.45021443525242155, 0.07052794585032737, 0.1633851304872793]","[3, 1, 2, 0, 1, 1, 2, 1, 1, 0, 1, 1, 3, 3, 1, 0, 2, 2, 2, 0, 0, 0, 1, 1, 0, 1, 1]",2.5641770643449093,1.057417059424089
54,"[-4.594105805097951, -5.047454054502971, -5.392602995266568, -5.841650108961015]","[0.42145887505706486, 0.2678357595645229, 0.18965848632659216, 0.12104687905182007]","[2, 3, 0, 1, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 0, 3, 0, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0]",2.452462124835551,0.8773691374076152
55,"[-2.2198241388220046, -2.9795204676391096, -3.4681220805802297, -2.763908376843794]","[0.4282335494352663, 0.20033127959084807, 0.12289997107856802, 0.2485351998953176]","[1, 3, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1, 3, 0, 2, 0, 2, 0, 3, 3, 0, 2, 0, 1, 0, 0, 0]",2.258787555359476,0.5386057460826936
56,"[-3.8712990720413276, -3.4872474355478795, -4.687990848299496, -3.775372335938033]","[0.24932739022795353, 0.36606777341780034, 0.11017555815368452, 0.27442927820056157]","[2, 1, 0, 3, 1, 2, 1, 0, 3, 1, 2, 0, 2, 1, 0, 1, 1, 3, 2, 2, 3, 1, 1, 1, 0, 1, 0]",2.5522844062860335,0.7316584241689967
