Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 1]",36.40000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 3]",68.49999999999825,"[0, -999]","[0, 0]","[0, 0]",1
2,"[0, 3]",97.24999999999662,"[-999, 9]","[0, 0]","[0, 0]",1
3,"[0, 1]",79.54999999999762,"[2, 15]","[2.1000000000000005, 0]","[2.1000000000000005, 0]",1
4,"[0, 3]",108.099999999996,"[3, 2]","[0, 0]","[0, 0]",1
5,"[0, 3]",110.49999999999586,"[4, 4]","[0, 0]","[0, 0]",1
6,"[2, 1]",38.64999999999994,"[1, 0]","[0, 0]","[0, 0]",1
7,"[2, 3]",69.64999999999819,"[6, 1]","[0, 0]","[0, 0]",1
8,"[2, 3]",71.94999999999806,"[7, 7]","[0, 0]","[0, 0]",1
9,"[2, 3]",73.74999999999795,"[8, 8]","[0, 0]","[0, 0]",1
10,"[0, 1]",81.8499999999975,"[5, 16]","[0, 0]","[0, 0]",1
11,"[2, 1]",43.59999999999966,"[9, -999]","[0, 0]","[0, 0]",1
12,"[2, 1]",45.19999999999957,"[11, 11]","[0, 0]","[0, 0]",1
13,"[2, 1]",46.499999999999496,"[12, 12]","[0, 0]","[0, 0]",1
14,"[0, 1]",82.94999999999743,"[10, 10]","[0, 0]","[0, 0]",1
15,"[2, 1]",47.549999999999436,"[13, 13]","[0, 0]","[0, 0]",1
16,"[2, 1]",53.549999999999095,"[15, 3]","[3.4999999999999956, 0]","[3.4999999999999956, 0]",1
17,"[2, 3]",90.649999999997,"[16, 5]","[5.699999999999988, 0]","[2.3999999999999995, 0]",1
18,"[0, 3]",114.24999999999565,"[14, 17]","[0, 0]","[0, 0]",1
19,"[2, 1]",67.14999999999833,"[17, 14]","[12.850000000000048, 0]","[0, 0]",1
20,"[0, 3]",116.39999999999553,"[18, 18]","[0, 0]","[0, 0]",1
21,"[0, 1]",86.8999999999972,"[20, 22]","[0, 0]","[0, 0]",1
22,"[2, 1]",67.04999999999833,"[19, 19]","[15.250000000000082, 0]","[0, 0]",1
23,"[2, 3]",101.59999999999637,"[22, 20]","[16.950000000000106, 0]","[0, 0]",1
24,"[2, 3]",103.79999999999625,"[23, 23]","[14.750000000000075, 0]","[0, 0]",1
25,"[2, 1]",74.44999999999791,"[24, 26]","[13.250000000000053, 0]","[0, 0]",1
26,"[0, 1]",88.04999999999714,"[21, 21]","[0, 0]","[0, 0]",1
27,"[2, 3]",112.54999999999575,"[25, 31]","[11.800000000000033, 0]","[0, 0]",1
28,"[2, 3]",113.89999999999567,"[27, 27]","[10.450000000000014, 0]","[0, 0]",1
29,"[2, 1]",83.5499999999974,"[28, 32]","[9.149999999999995, 0]","[0, 0]",1
30,"[0, 3]",121.64999999999523,"[26, 24]","[0, 0]","[0, 0]",1
31,"[0, 3]",122.84999999999516,"[30, 30]","[0, 0]","[0, 0]",1
32,"[0, 1]",93.19999999999685,"[31, 25]","[0, 0]","[0, 0]",1
33,"[0, 3]",130.09999999999533,"[32, 28]","[2.8999999999999977, 0]","[2.8999999999999977, 0]",1
34,"[2, 1]",85.94999999999726,"[29, 29]","[7.7499999999999805, 0]","[0, 0]",1
35,"[0, 3]",131.14999999999557,"[33, 33]","[0, 0]","[0, 0]",1
36,"[2, 3]",119.54999999999535,"[34, 35]","[6.399999999999985, 0]","[0, 0]",1
37,"[2, 1]",90.69999999999699,"[36, 39]","[5.04999999999999, 0]","[0, 0]",1
38,"[2, 3]",128.649999999995,"[37, 43]","[3.649999999999995, 0]","[0, 0]",1
39,"[0, 1]",102.8999999999963,"[35, 34]","[0, 0]","[0, 0]",1
40,"[2, 3]",130.04999999999532,"[38, 38]","[2.3, 0]","[0, 0]",1
41,"[0, 3]",135.1999999999965,"[39, 36]","[0, 0]","[0, 0]",1
42,"[2, 1]",99.74999999999648,"[40, 44]","[0.8500000000000002, 0]","[0, 0]",1
43,"[0, 3]",136.4999999999968,"[41, 41]","[0, 0]","[0, 0]",1
44,"[0, 1]",106.74999999999608,"[43, 37]","[0, 0]","[0, 0]",1
45,"[0, 3]",143.94999999999848,"[44, 40]","[3.049999999999997, 0]","[3.049999999999997, 0]",1
46,"[0, 3]",144.9499999999987,"[45, 45]","[0, 0]","[0, 0]",1
47,"[0, 1]",114.09999999999566,"[46, 42]","[0, 0]","[0, 0]",1
48,"[0, 3]",146.39999999999904,"[47, 54]","[0, 0]","[0, 0]",1
49,"[0, 3]",151.9000000000003,"[48, 56]","[2.25, 0]","[2.25, 0]",1
