Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-3.8245740608084717, -3.826690066211755]","[0.5005290011534382, 0.4994709988465618]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",4.839465483383363,0.8453952979314385
1,"[-5.3209780642735485, -5.319810000520886]","[0.4997079840950359, 0.5002920159049641]","[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",4.443160303470576,0.9742472041489432
2,"[-6.694597655504384, -6.6970881890548295]","[0.5006226330657746, 0.49937736693422546]","[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",5.180614339977183,1.0424108812184287
3,"[-2.3376468340934085, -2.339344452503555]","[0.5004244045006122, 0.4995755954993879]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1]",4.615504351253255,0.6194540160596738
4,"[-3.310990973517252, -3.3145224809886886]","[0.5008828759502905, 0.4991171240497096]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",5.704076002419044,0.7772733493274189
5,"[-7.30499191088771, -7.344051911648657]","[0.5097637588545229, 0.49023624114547715]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1]",4.460207771460893,1.0789929955351345
6,"[-5.971439635329094, -6.0025331141633655]","[0.5077727434917574, 0.49222725650824267]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]",3.9813199681337696,1.0189875407557392
7,"[-20.55182858486859, -20.875569931308483]","[0.58023577536149, 0.4197642246385101]","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",5.193024919346645,1.358449947538571
8,"[-4.659732101207994, -4.683584532339623]","[0.5059628250788727, 0.49403717492112725]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",5.1205064354936525,0.9159140327478992
9,"[-6.08245394567822, -6.131947919332902]","[0.5123709681347278, 0.48762903186527223]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",5.128750445630269,1.0093357137071637
10,"[-7.91164858992766, -8.004796678291587]","[0.5232701990713826, 0.47672980092861733]","[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",4.981837806278737,1.0959242624735304
11,"[-9.59441344488962, -9.736741480003717]","[0.5355220640119924, 0.46447793598800763]","[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.565972898467764,1.1452950581182044
12,"[-7.080504456462412, -7.173676136286789]","[0.5232760841584372, 0.47672391584156276]","[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",4.9279111931390025,1.0610131293924046
13,"[-9.63991890592962, -9.833093477402768]","[0.5481440223716975, 0.4518559776283026]","[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",5.135369685841174,1.1521948018403354
14,"[-5.340436558697714, -5.404616512351119]","[0.5160394831498714, 0.48396051685012875]","[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",5.225101226939128,0.9627746770633948
15,"[-2.868792999206245, -2.8847361085739225]","[0.5039856929177494, 0.4960143070822506]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]",4.77931405024448,0.7180931942167479
16,"[-14.835580245793077, -15.258811550421814]","[0.6042562135411045, 0.39574378645889546]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",5.676133431729745,1.2630940847441152
17,"[-5.600966096292437, -5.689066656191587]","[0.5220109049635231, 0.47798909503647685]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",4.58326394387653,0.9856663801365528
