Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-5.648532000084005, -4.742990760020607, -3.826690066211755, -3.5604005892315382]","[0.05641325911012783, 0.139525232290978, 0.3488165555978848, 0.45524495300100937]","[0, 2, 1, 3, 3, 1, 2, 3, 3, 2, 3, 3, 2, 2, 0, 2, 0, 2, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 2, 1, 2, 2, 3, 0, 1, 3, 3, 3, 3, 3, 3, 1, 3]",4.839465483383363,0.8453952979314385
1,"[-5.555814205007367, -6.6429479172557215, -5.323721223676286, -4.788147635220745]","[0.21038675055797987, 0.07093853472486569, 0.2653475530344339, 0.4533271616827205]","[0, 3, 2, 1, 3, 2, 3, 2, 1, 2, 3, 3, 1, 3, 2, 0, 1, 2, 3, 3, 1, 0, 2, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 0, 0, 3, 3]",4.443160303470576,0.9742472041489432
2,"[-8.805328176144554, -7.054416655935281, -6.707655733354331, -5.934595247554926]","[0.03071537499302022, 0.17691596813497318, 0.2502438358997517, 0.542124820972255]","[0, 3, 1, 2, 1, 2, 0, 1, 3, 2, 3, 3, 0, 0, 2, 1, 3, 2, 2, 0, 1, 3, 1, 0, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1]",5.180614339977183,1.0424108812184287
3,"[-2.842637558447854, -3.4557358845218396, -2.335280376771591, -2.2628922762298727]","[0.20047514644597167, 0.10859137181364319, 0.33296835747370424, 0.3579651242666809]","[2, 0, 3, 1, 2, 3, 3, 0, 2, 0, 1, 3, 0, 2, 2, 2, 0, 0, 3, 2, 0, 3, 3, 3, 0, 3, 2, 3, 1, 3, 2, 2, 1, 2, 1, 0, 0, 2, 0, 1, 3, 2, 1, 3]",4.615504351253255,0.6194540160596738
4,"[-4.510486546543241, -3.525724254130054, -3.309743294427817, -3.1478920098647065]","[0.09169200567329167, 0.24547558415377616, 0.3046545307116277, 0.3581778794613044]","[0, 1, 3, 2, 0, 3, 3, 2, 0, 3, 2, 1, 1, 3, 2, 0, 0, 1, 3, 2, 3, 3, 3, 0, 3, 2, 1, 3, 3, 2, 0, 0, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2]",5.704076002419044,0.7772733493274189
5,"[-8.83917694654682, -7.944916260660403, -7.295561554088971, -6.398818413803635]","[0.05100956299112228, 0.12474526907460425, 0.23880051000948777, 0.5854446579247856]","[3, 0, 2, 1, 3, 2, 3, 3, 0, 1, 3, 1, 0, 2, 2, 2, 2, 3, 1, 3, 2, 1, 2, 2, 3, 2, 3, 3, 0, 3, 1, 3, 0, 0, 3, 3, 3, 3, 3, 1, 3, 2, 3, 3]",4.460207771460893,1.0789929955351345
6,"[-6.135589128566886, -6.7454220021501134, -5.961303747072429, -5.3535153055615465]","[0.20325873071534256, 0.11045926710012477, 0.2419582243371175, 0.44432377784741517]","[0, 2, 1, 3, 2, 3, 3, 1, 0, 3, 1, 3, 2, 0, 2, 3, 3, 3, 3, 1, 0, 3, 3, 2, 2, 2, 1, 2, 3, 3, 3, 1, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3]",3.9813199681337696,1.0189875407557392
7,"[-25.122700272428858, -19.424538015249908, -19.300004915312645, -16.376237064789816]","[0.000144391651921894, 0.04307472468249914, 0.04878727354064161, 0.9079936101249373]","[3, 2, 1, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.193024919346645,1.358449947538571
8,"[-5.583534379122239, -4.725921400909423, -4.6532939636875685, -3.7435319333411803]","[0.08203984694678698, 0.1934111136255057, 0.2079807407870769, 0.5165682986406304]","[1, 3, 0, 2, 1, 3, 3, 2, 3, 0, 2, 2, 3, 1, 0, 1, 1, 3, 2, 2, 1, 0, 0, 2, 2, 0, 3, 3, 3, 2, 2, 2, 0, 1, 3, 3, 3, 3, 2, 3, 1, 2, 3, 0]",5.1205064354936525,0.9159140327478992
9,"[-6.3363286336479705, -6.898800038008594, -6.085074171613019, -4.6130147567229285]","[0.11822424476006277, 0.06736407042219142, 0.15199348565376486, 0.662418199163981]","[0, 2, 1, 3, 2, 2, 3, 3, 3, 1, 3, 1, 0, 2, 3, 3, 0, 2, 0, 2, 1, 2, 0, 2, 1, 2, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 3, 3, 1, 0, 2]",5.128750445630269,1.0093357137071637
