Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-13.11709165337585, -13.13924325088846]","[0.5055376729384333, 0.4944623270615667]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1]",4.997095505842808,1.2496031242324652
1,"[-9.50496318871773, -9.54209488804489]","[0.5092818583993113, 0.49071814160068866]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]",5.3628034538950855,1.1498210939209026
2,"[-102.66304452751791, -103.60149599125386]","[0.7187867542065862, 0.2812132457934137]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4.701147327095695,1.7535664486055855
3,"[-29.064133318500353, -29.08907399248035]","[0.5062348453061973, 0.4937651546938026]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",4.985113225437429,1.4522594423020032
4,"[-10.443519879057325, -10.47954309343017]","[0.5090048298379956, 0.4909951701620045]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",6.244346432047056,1.1629241436073443
5,"[-306.1064502831712, -314.38516287073]","[0.9997462006133004, 0.00025379938669963274]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.798751419811396,1.9391164605817068
6,"[-36.42656295320012, -36.49297383969396]","[0.5165966222518092, 0.48340337774819087]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",5.106626924039476,1.4999413782752455
7,"[-42.886045643150744, -42.984806131184385]","[0.5246700733617824, 0.47532992663821766]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",5.372550590395169,1.531090417819441
8,"[-509.8493348069512, -539.5172197263748]","[0.9999999999988541, 1.145883411262025e-12]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.753488402584402,2.079503397674245
9,"[-58.047030073572735, -58.57497779717861]","[0.6290043240182582, 0.3709956759817417]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",5.133689806876912,1.6049245314656395
