Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-15.238183373644857, -14.075081873255664, -12.644546321560105, -10.547388217242347]","[0.007904016613534374, 0.02529160601822744, 0.1057426291135107, 0.8610617482547275]","[1, 2, 0, 3, 2, 3, 3, 3, 1, 3, 1, 3, 0, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",7.526617567819147,1.2052652966172963
1,"[-16.676477583078153, -18.763192791739854, -16.352918261731894, -13.416628266615552]","[0.03502412969691881, 0.004346287512032841, 0.048404682998380764, 0.9122248997926675]","[2, 1, 3, 0, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",7.7828806820208065,1.268505389743675
2,"[-7.292901874214268, -7.073425309519694, -5.241714476524496, -4.848240499886108]","[0.04640543381413186, 0.05779447166289887, 0.3609010994762385, 0.5348989950467307]","[3, 0, 2, 1, 3, 2, 1, 0, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 1, 1, 2, 2, 3, 2, 2, 3, 3, 3, 1, 1, 2, 3, 3, 0, 1, 1, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 1, 3, 2, 3]",7.816278727024291,0.9400192538212973
3,"[-5.2837732029358015, -5.488076701151189, -3.932308459653672, -3.7131260668799637]","[0.09534656801339639, 0.07772794456414572, 0.3683314017358306, 0.45859408568662713]","[1, 3, 0, 2, 2, 3, 3, 2, 2, 2, 0, 3, 2, 3, 3, 2, 0, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 0, 3, 2, 3, 3, 2, 2, 3, 2, 3, 3, 3, 1, 2, 3, 3, 2, 2, 0]",6.753657101839275,0.8414790142317506
4,"[-3.563914075674752, -4.602599514814461, -2.8124944526148634, -2.7240482689681107]","[0.17271207057770455, 0.06112619128304312, 0.36615088373733057, 0.40001085440192174]","[1, 3, 2, 0, 1, 0, 3, 3, 2, 3, 2, 2, 1, 0, 3, 2, 3, 2, 0, 3, 2, 2, 2, 2, 3, 3, 2, 3, 0, 2, 3, 2, 3, 1, 3, 1, 3, 0, 3, 3, 2, 2, 3, 2, 3, 0, 2, 2, 3, 2]",7.719582224639954,0.6971038164599994
5,"[-4.394042076491644, -4.657972006357916, -3.126016735731083, -3.002879251207168]","[0.10705060184176417, 0.08221779042853776, 0.38043942942736486, 0.43029217830233324]","[3, 2, 1, 0, 3, 0, 1, 0, 0, 2, 2, 2, 3, 2, 1, 3, 2, 3, 3, 2, 2, 1, 3, 0, 3, 2, 2, 1, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0, 3]",7.450784928534697,0.7444956224889614
6,"[-9.476705642371801, -10.991633932573182, -8.719438743651956, -7.7502681559095885]","[0.11144720149438068, 0.024498763805273042, 0.23765447860665684, 0.6263995560936895]","[0, 3, 2, 1, 2, 3, 3, 1, 1, 1, 0, 3, 2, 0, 2, 3, 0, 2, 3, 3, 2, 0, 2, 2, 2, 3, 2, 3, 3, 0, 3, 3, 3, 2, 3, 3, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3]",7.960685851104412,1.0949829081126512
7,"[-5.193275918559286, -4.549496440083737, -3.5555058007692195, -3.3969016682601105]","[0.07104744390024315, 0.13525032981769092, 0.3654458063719694, 0.4282564199100966]","[1, 0, 2, 3, 2, 3, 1, 3, 3, 2, 1, 3, 0, 1, 1, 1, 2, 1, 0, 3, 2, 3, 2, 2, 0, 2, 2, 0, 3, 3, 3, 2, 3, 0, 2, 3, 0, 2, 2, 0, 2, 3, 3, 3, 3, 3, 2, 2, 1, 2]",7.8361375261772865,0.7956984079052442
8,"[-4.498865773851604, -5.184912140026664, -3.68353070823862, -3.1426024392330683]","[0.1308017524128547, 0.06586692840580363, 0.29560316681644183, 0.5077281523648999]","[0, 2, 3, 1, 3, 0, 0, 0, 2, 0, 3, 2, 3, 3, 2, 2, 2, 2, 1, 2, 3, 2, 0, 3, 0, 2, 0, 3, 2, 1, 0, 3, 3, 0, 1, 0, 0, 0, 2, 2, 3, 0, 0, 1, 3, 3, 3, 0, 0, 2]",6.508261605655751,0.7683218870371865
9,"[-11.186050004241217, -10.181858725817506, -9.911302237917345, -7.793220202005617]","[0.026985077915102445, 0.07366113516988419, 0.0965471808646165, 0.8028066060503969]","[3, 0, 2, 1, 1, 3, 3, 2, 1, 0, 2, 2, 0, 1, 0, 3, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 0, 3, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 2]",8.756153407297056,1.0816296661886786
