Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-12.62593360397413, -12.644546321560105]","[0.5046530450664735, 0.49534695493352654]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",7.526617567819147,1.2052652966172963
1,"[-16.396265193909624, -16.38997598791387]","[0.4984277036836237, 0.5015722963163762]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",7.7828806820208065,1.268505389743675
2,"[-5.249190091732655, -5.25267012073621]","[0.5008700063728637, 0.49912999362713617]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7.816278727024291,0.9400192538212973
3,"[-3.9334819947062023, -3.9360821508407655]","[0.5006500386674084, 0.49934996133259163]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]",6.753657101839275,0.8414790142317506
4,"[-2.8134973167660533, -2.8164915606981733]","[0.500748560423762, 0.4992514395762379]","[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",7.719582224639954,0.6971038164599994
5,"[-3.1269976097192576, -3.1301435155812602]","[0.500786475816873, 0.49921352418312703]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",7.450784928534697,0.7444956224889614
6,"[-8.719650158244773, -8.777068843175359]","[0.5143507286997234, 0.4856492713002765]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",7.960685851104412,1.0949829081126512
7,"[-3.554884357458817, -3.564446550869578]","[0.5023905301377662, 0.49760946986223376]","[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",7.8361375261772865,0.7956984079052442
8,"[-3.2786364887759323, -3.2876712650433806]","[0.5022586787027514, 0.49774132129724846]","[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1]",6.508261605655751,0.7683218870371865
9,"[-8.490735718574348, -8.56778820015153]","[0.5192535954841462, 0.48074640451585376]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]",8.756153407297056,1.0816296661886786
