Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-1.8820021129443756, -1.8661999869640882, -1.864099786160772, -1.8290821549611818]","[0.24459826598819245, 0.2484941390719126, 0.24901657508064148, 0.25789101985925345]","[1, 2, 0, 3, 3, 2, 2, 3, 1, 0, 0, 3, 1, 0, 2, 3, 0, 0, 3, 1, 2, 2, 0, 1, 3, 3, 1, 0, 3, 1, 2, 1, 1]",5.6612156314257405,0.4892415412208483
1,"[-1.9816146497617249, -1.9616790034741922, -1.9567610407739398, -1.910324053921894]","[0.2427659407868474, 0.2476542001235831, 0.24887515408450295, 0.2607047050050665]","[2, 0, 3, 1, 3, 0, 1, 2, 2, 3, 1, 1, 2, 0, 3, 1, 2, 0, 2, 2, 0, 3, 0, 1, 2, 2, 2, 2, 2, 1, 0, 3, 0]",4.433705912980671,0.5223801604239765
2,"[-1.7313478228602361, -1.7216785724123083, -1.718903139049047, -1.6912882642872542]","[0.24611680867675992, 0.248508116183765, 0.24919879191934455, 0.25617628322013053]","[2, 0, 3, 1, 3, 0, 1, 0, 2, 3, 1, 3, 3, 3, 1, 0, 3, 1, 0, 2, 2, 2, 3, 0, 2, 0, 0, 0, 3, 3, 2, 1, 3]",5.244866979869975,0.43932701773496097
3,"[-1.7401749146576895, -1.7289440981642015, -1.725009147462001, -1.6961605870758616]","[0.24560533481070587, 0.24837923065721662, 0.24935851614176469, 0.25665691839031296]","[3, 2, 0, 1, 3, 2, 0, 2, 2, 2, 2, 1, 3, 1, 3, 3, 1, 0, 1, 0, 0, 3, 0, 1, 3, 3, 3, 1, 0, 3, 3, 3, 0]",4.627886857082933,0.4434603862876875
4,"[-1.714628518850974, -1.7027210380041384, -1.7000737952368896, -1.6719948172541728]","[0.24568845092951064, 0.24863146864311214, 0.24929052846097097, 0.25638955196640634]","[3, 2, 0, 1, 2, 2, 3, 1, 0, 3, 2, 0, 0, 2, 3, 0, 3, 1, 3, 2, 2, 1, 1, 1, 1, 3, 3, 1, 3, 0, 2, 0, 0]",4.2594158197435465,0.43507523295193345
5,"[-1.8837328925361592, -1.8680288476839289, -1.8638418859774046, -1.829969826481107]","[0.24442988868508703, 0.24829872530235053, 0.2493405220164971, 0.2579308639960654]","[3, 1, 2, 0, 3, 2, 3, 0, 0, 2, 0, 1, 3, 0, 2, 1, 0, 2, 0, 3, 3, 1, 1, 0, 2, 2, 2, 0, 1, 3, 3, 0, 3]",5.069626531481082,0.49028112060913026
6,"[-1.7829895387766688, -1.7721353429902853, -1.7677139903242176, -1.7409076868695321]","[0.24574335781515852, 0.24842523280212617, 0.2495260401028939, 0.2563053692798214]","[0, 2, 3, 1, 3, 0, 0, 1, 0, 2, 2, 2, 0, 0, 1, 1, 1, 3, 3, 1, 1, 3, 0, 2, 0, 1, 3, 0, 3, 0, 3, 1, 3]",5.343151787509849,0.4567433438891153
7,"[-1.8616547163234205, -1.8466472885251577, -1.841095740366537, -1.8100656838142501]","[0.24456842267410564, 0.2482664451151649, 0.24964854107789458, 0.2575165911328348]","[0, 1, 3, 2, 1, 2, 0, 1, 2, 3, 1, 0, 0, 0, 1, 2, 3, 1, 3, 1, 3, 1, 2, 3, 1, 1, 2, 0, 3, 0, 2, 3, 1]",4.797432457548095,0.4836359128450571
8,"[-2.4227227960831894, -2.3867559914316416, -2.376558845077957, -2.310395161677948]","[0.2379396191926016, 0.24665330946938074, 0.24918133679125765, 0.26622573454676]","[1, 2, 3, 0, 1, 3, 0, 3, 2, 1, 1, 2, 3, 3, 2, 1, 3, 2, 3, 0, 0, 2, 0, 1, 3, 3, 1, 1, 1, 3, 3, 2, 2]",5.318840843044001,0.6242110285822143
9,"[-1.5581465435236392, -1.5518678575746097, -1.5485299151685599, -1.5330618968859568]","[0.247441249101834, 0.24899974252125315, 0.2498322780256934, 0.2537267303512194]","[0, 3, 1, 2, 1, 3, 1, 0, 1, 2, 1, 0, 3, 0, 0, 2, 2, 1, 2, 3, 3, 2, 1, 3, 1, 2, 0, 2, 0, 0, 0, 2, 3]",5.279262141843212,0.3696136346700895
10,"[-1.8728774083948498, -1.859528419446037, -1.8541508379364664, -1.819688073033465]","[0.2446799961460571, 0.24796812447765745, 0.2493051851330057, 0.2580466942432796]","[0, 2, 1, 3, 3, 0, 0, 1, 3, 1, 3, 2, 3, 3, 2, 2, 1, 1, 1, 2, 1, 2, 0, 3, 3, 0, 3, 3, 1, 1, 1, 2, 0]",4.9418972023022265,0.4867541752371298
