Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-8.464003934344984, -7.80012511583495, -5.62661020605257, -4.89589733244238]","[0.018030058646314805, 0.0350199923505712, 0.30779501269698173, 0.6391549363061322]","[2, 1, 3, 0, 3, 3, 3, 3, 2, 2, 0, 2, 2, 3, 2, 3, 0, 3, 3, 2, 3, 2, 0, 2, 2, 1, 2, 0, 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 1, 3, 1, 2, 2, 2, 1, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 3, 3, 3, 0, 3, 3, 2, 3, 3, 2, 3]",2.557421875647964,1.0334957164822556
1,"[-6.341790466467493, -6.590573034924434, -4.486847665471287, -3.9930126930255705]","[0.05363700755890416, 0.04182342966949399, 0.3428119583194789, 0.561727604452123]","[2, 0, 3, 1, 2, 3, 3, 0, 2, 2, 2, 1, 3, 3, 2, 3, 1, 0, 3, 1, 3, 3, 2, 1, 1, 3, 3, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 3, 1, 3, 2, 3, 0, 3, 3, 0, 3, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 3, 2, 0, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3]",2.152500229711076,0.9555420638766514
2,"[-5.9874202730711605, -6.619466003033279, -4.656492361162562, -4.157864385863653]","[0.08660126384225937, 0.04602886407150385, 0.3277471154024028, 0.539622756683834]","[3, 0, 1, 2, 3, 2, 2, 0, 2, 0, 3, 2, 0, 3, 0, 2, 3, 3, 2, 3, 0, 3, 3, 2, 3, 1, 2, 3, 1, 3, 1, 3, 3, 2, 0, 3, 3, 3, 2, 3, 3, 0, 1, 2, 2, 0, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 2, 3, 0, 3, 3, 3, 2, 3]",2.392970056656313,0.9624235386825172
3,"[-7.597840855219219, -6.809644899551939, -5.398848926909179, -4.744662505472451]","[0.0338316039813965, 0.07441007507341305, 0.30502304251007223, 0.5867352784351182]","[1, 0, 3, 2, 1, 3, 3, 3, 2, 0, 3, 2, 0, 0, 2, 2, 3, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 1, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 1, 0, 2, 2, 2, 3, 3, 3, 1, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2, 3]",2.293412361885132,1.0229114708364666
4,"[-4.356387884731026, -4.369735114992116, -2.9919767178214878, -2.819784273441451]","[0.09479630962839168, 0.09353944792610604, 0.370977586650776, 0.44068665579472616]","[3, 2, 1, 0, 3, 0, 3, 3, 3, 1, 3, 2, 1, 3, 3, 2, 1, 2, 2, 3, 3, 3, 2, 3, 1, 0, 0, 2, 3, 3, 2, 0, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 1, 3, 2, 3, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 2, 3, 3, 2, 3, 2]",2.7671399061453585,0.7596306504393165
5,"[-4.414323962846596, -4.1996192277202145, -3.6137150072163373, -3.3541195314451917]","[0.13599237271025585, 0.16856198342026857, 0.30284095199286676, 0.39260469187660885]","[2, 3, 1, 0, 1, 3, 2, 1, 3, 3, 3, 2, 0, 2, 0, 0, 2, 1, 3, 1, 0, 1, 0, 1, 1, 1, 1, 2, 3, 0, 2, 2, 3, 2, 1, 3, 3, 1, 3, 1, 3, 3, 3, 1, 2, 3, 2, 0, 3, 2, 0, 0, 1, 1, 0, 1, 3, 2, 2, 3, 0, 1, 0, 3, 3, 2, 3, 3, 2, 2, 3, 2, 0, 1, 3, 3, 2, 2, 2]",2.590570723457696,0.8489591566258653
6,"[-6.465178917365406, -5.854512164878183, -5.118784479858765, -4.601598405597467]","[0.07614998141471259, 0.14024229254359133, 0.292685681199418, 0.49092204484227797]","[2, 0, 1, 3, 3, 2, 3, 0, 1, 2, 3, 0, 1, 3, 1, 2, 2, 1, 0, 3, 0, 3, 1, 1, 3, 0, 1, 3, 2, 2, 1, 3, 0, 0, 0, 3, 3, 1, 2, 2, 1, 2, 3, 3, 0, 0, 2, 3, 1, 3, 3, 2, 2, 1, 0, 3, 3, 0, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 2, 3, 2, 1, 3, 2, 3, 2, 0, 3, 3]",2.844076074439304,0.9852606401795913
7,"[-3.9615803312600137, -4.739270582644262, -3.8190586685122394, -3.546741097984673]","[0.24232018284105566, 0.11133789426017608, 0.279438318757568, 0.3669036041412002]","[1, 2, 3, 0, 3, 3, 2, 2, 3, 3, 0, 2, 2, 0, 0, 1, 3, 3, 0, 3, 2, 3, 3, 2, 1, 0, 2, 2, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 0, 0, 3, 3, 1, 2, 3, 3, 2, 3, 3, 0, 2, 0, 1, 3, 0, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 0, 3, 2, 2, 2, 0, 0, 3, 3, 0, 0, 3, 0, 2]",2.8861828254409225,0.8665777665991957
8,"[-12.10511514794832, -11.240405414011123, -9.80851265657408, -7.371047702319046]","[0.007869554656420502, 0.018684815847782855, 0.07822614797228664, 0.89521948152351]","[3, 2, 1, 0, 3, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 0, 2, 3, 2, 2, 3, 3, 1, 1, 3, 0, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3]",2.6046117985357395,1.2186116429484075
9,"[-19.85133472327588, -17.67192183609062, -15.284964960441451, -11.59562764036566]","[0.00025280817847852594, 0.0022351059269008922, 0.024318697457632175, 0.9731933884369884]","[2, 3, 1, 0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3]",2.709999476718508,1.3483053797394606
