Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.39999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 3]",70.84999999999812,"[1, 1]","[0, 0]","[0, 0]",1
3,"[0, 1]",70.09999999999816,"[0, 0]","[0, 0]","[0, 0]",1
4,"[0, 1]",71.2999999999981,"[3, 3]","[0, 0]","[0, 0]",1
5,"[2, 3]",72.74999999999801,"[2, 2]","[0, 0]","[0, 0]",1
6,"[0, 1]",72.04999999999805,"[4, 4]","[0, 0]","[0, 0]",1
7,"[0, 1]",72.49999999999802,"[6, 6]","[0, 0]","[0, 0]",1
8,"[2, 3]",74.29999999999792,"[5, 5]","[0, 0]","[0, 0]",1
9,"[0, 1]",72.949999999998,"[7, 7]","[0, 0]","[0, 0]",1
10,"[0, 1]",73.14999999999799,"[9, 9]","[0, 0]","[0, 0]",1
11,"[0, 1]",73.39999999999797,"[10, 10]","[0, 0]","[0, 0]",1
12,"[0, 1]",73.89999999999795,"[11, 11]","[0, 0]","[0, 0]",1
13,"[0, 1]",74.54999999999791,"[12, 12]","[0, 0]","[0, 0]",1
14,"[0, 1]",75.49999999999785,"[13, 13]","[0, 0]","[0, 0]",1
15,"[0, 1]",76.59999999999779,"[14, 14]","[0, 0]","[0, 0]",1
16,"[0, 1]",77.69999999999773,"[15, 15]","[0, 0]","[0, 0]",1
17,"[0, 1]",78.69999999999767,"[16, 16]","[0, 0]","[0, 0]",1
18,"[0, 1]",79.69999999999762,"[17, 17]","[0, 0]","[0, 0]",1
19,"[0, 1]",80.69999999999756,"[18, 18]","[0, 0]","[0, 0]",1
20,"[2, 3]",70.64999999999813,"[8, 8]","[0, 0]","[0, 0]",1
21,"[2, 3]",72.64999999999802,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 1]",81.7999999999975,"[19, 19]","[0, 0]","[0, 0]",1
23,"[2, 3]",74.19999999999793,"[21, 21]","[0, 0]","[0, 0]",1
24,"[2, 3]",75.54999999999785,"[23, 23]","[0, 0]","[0, 0]",1
25,"[2, 3]",76.89999999999777,"[24, 24]","[0, 0]","[0, 0]",1
26,"[0, 1]",82.84999999999744,"[22, 22]","[0, 0]","[0, 0]",1
