Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 1]",36.40000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.5499999999983,"[-999, 8]","[0, 0]","[0, 0]",1
2,"[2, 1]",38.09999999999997,"[0, 0]","[0, 0]","[0, 0]",1
3,"[0, 3]",100.29999999999644,"[1, 12]","[0, 0]","[0, 0]",1
4,"[2, 3]",68.64999999999824,"[2, -999]","[0, 0]","[0, 0]",1
5,"[2, 3]",71.34999999999809,"[4, 4]","[0, 0]","[0, 0]",1
6,"[2, 1]",37.84999999999999,"[5, 2]","[0, 0]","[0, 0]",1
7,"[2, 1]",39.89999999999987,"[6, 6]","[0, 0]","[0, 0]",1
8,"[2, 1]",41.79999999999976,"[7, 7]","[0, 0]","[0, 0]",1
9,"[0, 1]",77.89999999999772,"[3, 15]","[2.6999999999999984, 0]","[2.6999999999999984, 0]",1
10,"[0, 1]",83.4999999999974,"[9, 19]","[2.499999999999999, 0]","[2.499999999999999, 0]",1
11,"[0, 1]",83.84999999999738,"[10, 10]","[0, 0]","[0, 0]",1
12,"[2, 3]",72.849999999998,"[8, 5]","[0, 0]","[0, 0]",1
13,"[2, 1]",45.449999999999555,"[12, 1]","[0, 0]","[0, 0]",1
14,"[2, 1]",46.149999999999515,"[13, 13]","[0, 0]","[0, 0]",1
15,"[2, 1]",47.049999999999464,"[14, 14]","[0, 0]","[0, 0]",1
16,"[0, 1]",90.94999999999698,"[11, 23]","[1.5000000000000007, 0]","[1.5000000000000007, 0]",1
17,"[0, 3]",121.99999999999521,"[16, 25]","[0, 0]","[0, 0]",1
18,"[0, 1]",94.74999999999676,"[17, 26]","[0.35, 0]","[0, 0]",1
19,"[2, 1]",53.699999999999086,"[15, 9]","[2.2, 0]","[2.2, 0]",1
20,"[0, 3]",124.69999999999506,"[18, 17]","[0.35, 0]","[0, 0]",1
21,"[0, 1]",95.7999999999967,"[20, 27]","[0, 0]","[0, 0]",1
22,"[0, 1]",101.34999999999638,"[21, 28]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",1
23,"[2, 1]",64.1499999999985,"[19, 11]","[9.650000000000002, 0]","[9.650000000000002, 0]",1
24,"[0, 1]",101.84999999999636,"[22, 22]","[0, 0]","[0, 0]",1
25,"[2, 3]",93.9999999999968,"[23, 3]","[14.750000000000075, 0]","[2.000000000000001, 0]",1
26,"[2, 1]",66.64999999999836,"[25, 16]","[19.500000000000142, 0]","[0.9500000000000003, 0]",1
27,"[2, 1]",74.7999999999979,"[26, 18]","[20.10000000000015, 0]","[0, 0]",1
28,"[2, 1]",81.04999999999754,"[27, 21]","[22.400000000000183, 0]","[0, 0]",1
29,"[2, 3]",110.74999999999585,"[28, 20]","[20.00000000000015, 0]","[0, 0]",1
