Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[-6.074222999635692, -5.671605551936887, -5.62661020605257, -4.89589733244238]","[0.13681318194781777, 0.20463620799088694, 0.2140541784693152, 0.44449643159198016]","[3, 1, 2, 0, 1, 3, 3, 3, 2, 2, 2, 1, 2, 3, 0, 0, 1, 0, 3, 3, 3, 2, 0, 1, 1, 3, 0, 1, 2, 3, 2, 2, 3, 0, 3, 2, 3, 2, 3, 2, 0, 3, 3, 0, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 0, 0, 2, 2, 2, 1, 1, 1, 3, 3, 3, 1, 1, 2, 3, 0, 3, 3, 3, 3, 2, 3, 2]",2.5574218756479636,1.0334957164822556
1,"[-4.810585812395579, -4.52206532791137, -4.48065487595839, -3.987737320807219]","[0.1666027936921967, 0.2223233787345037, 0.23172317195838435, 0.3793506556149152]","[1, 3, 0, 2, 2, 3, 2, 0, 0, 2, 3, 1, 2, 0, 3, 2, 2, 1, 0, 0, 3, 1, 2, 1, 0, 2, 1, 2, 3, 3, 1, 3, 0, 3, 2, 3, 3, 2, 3, 3, 2, 1, 1, 2, 2, 3, 3, 2, 3, 2, 2, 3, 0, 0, 0, 3, 3, 1, 3, 2, 0, 1, 3, 3, 1, 3, 1, 3, 3, 0, 2, 2, 1, 1, 2, 3, 0]",2.152500229711076,0.9555420638766514
2,"[-4.966840482902615, -4.700826767581478, -4.650645496363059, -4.145498442879325]","[0.168061587094768, 0.21927885216036225, 0.23056331002699093, 0.3820962507178788]","[3, 0, 2, 1, 3, 0, 2, 3, 1, 1, 0, 0, 1, 2, 1, 3, 3, 3, 2, 2, 0, 1, 3, 0, 3, 3, 0, 0, 2, 0, 3, 1, 2, 3, 1, 1, 3, 3, 3, 2, 2, 2, 0, 0, 3, 3, 3, 1, 2, 0, 1, 3, 2, 2, 3, 3, 1, 3, 1, 3, 2, 0, 3, 0, 2, 2, 3, 2, 0, 1, 2, 2, 2, 2, 0, 1, 2]",2.3929700566563135,0.9624235386825171
3,"[-5.844857247419137, -5.448365944173786, -5.387728021729608, -4.715321959511695]","[0.13965796314145668, 0.20761545947975033, 0.22059435972118335, 0.4321322176576096]","[0, 2, 1, 3, 3, 0, 2, 2, 3, 1, 3, 3, 3, 2, 1, 0, 3, 1, 2, 0, 1, 1, 0, 2, 0, 3, 1, 2, 3, 0, 0, 3, 0, 2, 3, 2, 3, 1, 1, 3, 2, 2, 2, 2, 2, 1, 1, 0, 0, 3, 2, 2, 2, 1, 0, 2, 2, 3, 3, 2, 3, 2, 2, 3, 2, 3, 2, 1, 3, 2, 3, 3, 2, 2, 1, 1, 3]",2.293412361885132,1.0229114708364666
4,"[-3.101035473782199, -3.0090769821035064, -2.9911650693964558, -2.8135121976810127]","[0.21999420153887567, 0.24118389228271003, 0.24554287946362738, 0.29327902671478695]","[2, 1, 3, 0, 1, 2, 3, 0, 1, 1, 1, 0, 3, 3, 3, 3, 0, 2, 2, 2, 0, 1, 3, 2, 2, 3, 3, 2, 0, 0, 3, 3, 2, 2, 2, 2, 1, 1, 3, 1, 2, 0, 0, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 2, 2, 1, 0, 2, 3, 1, 1, 2, 2, 0, 2, 3, 1, 0, 3, 0, 3, 1, 1, 3, 2, 3, 1]",2.7671399061453585,0.7596306504393165
5,"[-3.789201519210566, -3.651656638335923, -3.613717385981801, -3.337687397783148]","[0.20366744452709698, 0.23369886167531306, 0.24273556064852939, 0.3198981331490605]","[2, 3, 0, 1, 1, 3, 1, 3, 1, 2, 0, 0, 2, 2, 0, 0, 3, 1, 2, 1, 3, 1, 3, 3, 1, 3, 3, 3, 2, 1, 1, 3, 0, 1, 1, 2, 3, 3, 2, 2, 1, 1, 2, 3, 3, 3, 3, 0, 0, 1, 3, 1, 2, 3, 1, 3, 2, 0, 0, 2, 2, 2, 2, 1, 0, 1, 1, 2, 3, 2, 1, 2, 3, 1, 0, 1, 3]",2.590570723457696,0.8489591566258653
6,"[-5.493202697548173, -5.207866844145901, -5.106546596699522, -4.575712242884552]","[0.15859774264265755, 0.2109680983685899, 0.23346383360839035, 0.3969703253803622]","[3, 0, 1, 2, 1, 1, 2, 2, 3, 3, 1, 1, 0, 2, 1, 2, 0, 3, 0, 3, 0, 0, 1, 2, 1, 3, 0, 0, 1, 1, 0, 3, 3, 2, 3, 3, 3, 1, 3, 1, 0, 0, 0, 1, 3, 2, 0, 0, 3, 2, 2, 2, 3, 1, 3, 0, 2, 1, 0, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 0, 3, 0, 3, 3, 3, 0, 3]",2.844076074439304,0.9852606401795913
7,"[-4.016053744451729, -3.881455645405489, -3.814199247615152, -3.531746727219313]","[0.20036881057016243, 0.2292373249185608, 0.24518529187278743, 0.32520857263848935]","[3, 2, 1, 0, 0, 3, 0, 3, 2, 1, 3, 1, 3, 0, 0, 1, 2, 2, 3, 1, 3, 2, 3, 1, 3, 3, 2, 2, 2, 3, 1, 2, 2, 0, 3, 2, 1, 3, 2, 1, 0, 3, 3, 2, 2, 2, 1, 3, 1, 3, 2, 0, 3, 0, 1, 0, 2, 3, 0, 3, 3, 3, 0, 0, 2, 3, 1, 0, 3, 1, 3, 1, 2, 3, 2, 3, 3]",2.8861828254409225,0.8665777665991957
8,"[-11.259473759691028, -10.050480777424225, -9.781271976237118, -8.15162450692795]","[0.03214603365353479, 0.10769272738812885, 0.14096207132500635, 0.7191991676333301]","[3, 1, 2, 0, 3, 3, 3, 3, 2, 2, 1, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 3, 3, 1, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 2, 3, 3, 3, 3, 0, 2, 0]",2.6046117985357395,1.2186116429484075
9,"[-17.225409477858452, -15.852736039659113, -15.146233814646912, -12.15353806398758]","[0.005799917477859685, 0.02288581136978232, 0.046387004877346316, 0.9249272662750117]","[1, 3, 2, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 2, 3, 2, 3, 3, 3, 3, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3]",2.709999476718508,1.3483053797394606
